,Overall_Putting_Average_RANK THIS WEEK,Overall_Putting_Average_RANK LAST WEEK,Overall_Putting_Average_PLAYER NAME,Overall_Putting_Average_ROUNDS,Overall_Putting_Average_AVG,Overall_Putting_Average_# OF PUTTS,Overall_Putting_Average_# OF HOLES
0,1,1,José María Olazábal,51,1.463,1238,846
1,2,2,Steve Stricker,73,1.4680000000000002,1717,1170
2,3,3,Bernhard Langer,62,1.4709999999999999,1615,1098
3,T4,T4,Sergio Garcia,64,1.486,1605,1080
4,T4,T4,Phil Mickelson,85,1.486,2194,1476
5,6,6,Nick Price,74,1.492,1987,1332
6,7,7,Brad Faxon,95,1.493,2338,1566
7,8,8,Loren Roberts,84,1.504,2274,1512
8,9,9,Bob Estes,91,1.505,2384,1584
9,10,10,Ernie Els,70,1.507,1628,1080
10,11,11,Mark O'Meara,69,1.51,1767,1170
11,12,12,Stuart Appleby,105,1.514,2671,1764
12,13,13,Davis Love III,75,1.515,2045,1350
13,T14,T14,Billy Andrade,82,1.516,2156,1422
14,T14,T14,Vijay Singh,98,1.516,2510,1656
15,16,16,David Frost,87,1.517,2375,1566
16,17,17,Matt Gogel,83,1.52,2216,1458
17,T18,T18,Mark Calcavecchia,81,1.521,2163,1422
18,T18,T18,Joe Ogilvie,110,1.521,2957,1944
19,20,20,Brandel Chamblee,77,1.5230000000000001,2111,1386
20,21,21,Jesper Parnevik,91,1.525,2498,1638
21,22,22,J.P. Hayes,76,1.531,2094,1368
22,23,23,David Duval,78,1.5330000000000001,2015,1314
23,24,24,Dudley Hart,80,1.534,2071,1350
24,25,25,Corey Pavin,72,1.536,1935,1260
25,T26,T26,Chris DiMarco,108,1.537,2849,1854
26,T26,T26,Scott Verplank,99,1.537,2683,1746
27,28,28,Frank Lickliter II,102,1.538,2823,1836
28,29,29,Tiger Woods,76,1.5390000000000001,2106,1368
29,T30,T30,Scott Hoch,84,1.5430000000000001,2333,1512
30,T30,T30,Billy Mayfair,102,1.5430000000000001,2778,1800
31,T30,T30,Rory Sabbatini,73,1.5430000000000001,1917,1242
32,T33,T33,Brian Gay,114,1.545,3114,2016
33,T33,T33,Kevin Sutherland,101,1.545,2726,1764
34,35,35,Shigeki Maruyama,98,1.548,2620,1692
35,T36,T36,Steve Elkington,64,1.55,1702,1098
36,T36,T36,Craig Kanada,80,1.55,2176,1404
37,38,38,Geoff Ogilvy,60,1.5530000000000002,1677,1080
38,39,39,Jean Van de Velde,52,1.554,1259,810
39,40,40,Jim Furyk,88,1.557,2466,1584
40,41,41,José Coceres,60,1.558,1599,1026
41,42,42,Stewart Cink,102,1.56,2724,1746
42,43,43,Mark Brooks,88,1.561,2473,1584
43,44,44,Justin Leonard,106,1.5630000000000002,2785,1782
44,45,45,David Toms,100,1.564,2702,1728
45,T46,T46,Glen Day,89,1.5659999999999998,2368,1512
46,T46,T46,Duffy Waldorf,77,1.5659999999999998,2029,1296
47,48,48,Mike Weir,86,1.567,2426,1548
48,T49,T49,Carlos Franco,87,1.568,2456,1566
49,T49,T49,Dennis Paulson,75,1.568,2088,1332
50,51,51,Willie Wood,52,1.571,1470,936
51,52,52,Steve Flesch,112,1.574,3003,1908
52,53,53,Len Mattiace,98,1.575,2694,1710
53,54,54,David Morland IV,88,1.5759999999999998,2440,1548
54,55,55,Robert Allenby,108,1.577,3009,1908
55,56,56,Greg Chalmers,92,1.578,2528,1602
56,57,57,Mark Wiebe,62,1.579,1762,1116
57,T58,T58,Jeff Maggert,84,1.581,2390,1512
58,T58,T58,Brian Watts,56,1.581,1594,1008
59,T60,T60,John Daly,84,1.5830000000000002,2337,1476
60,T60,T60,John Huston,64,1.5830000000000002,1710,1080
61,T60,T60,Jerry Kelly,104,1.5830000000000002,2877,1818
62,63,63,Scott Simpson,73,1.584,2082,1314
63,64,64,Jerry Smith,95,1.587,2714,1710
64,65,65,Chris Riley,104,1.588,2859,1800
65,66,66,Steve Jones,75,1.589,2031,1278
66,67,67,Tom Pernice Jr.,106,1.59,2920,1836
67,T68,T68,Tripp Isenhour,92,1.5919999999999999,2551,1602
68,T68,T68,Skip Kendall,111,1.5919999999999999,3095,1944
69,T70,T70,Fulton Allem,56,1.5930000000000002,1606,1008
70,T70,T70,Cameron Beckman,103,1.5930000000000002,2839,1782
71,T70,T70,Bob May,86,1.5930000000000002,2294,1440
72,T70,T70,Jeff Sluman,106,1.5930000000000002,2983,1872
73,T74,T74,Brett Quigley,67,1.594,1808,1134
74,T74,T74,Mike Sposa,96,1.594,2669,1674
75,T76,T76,Jay Don Blake,100,1.595,2757,1728
76,T76,T76,Rocco Mediate,69,1.595,1981,1242
77,T78,T78,Brad Elder,111,1.5959999999999999,3132,1962
78,T78,T78,Scott McCarron,98,1.5959999999999999,2701,1692
79,T80,T80,Lee Janzen,96,1.597,2645,1656
80,T80,T80,Steve Lowery,100,1.597,2760,1728
81,T82,T82,Edward Fryatt,93,1.598,2531,1584
82,T82,T82,Esteban Toledo,116,1.598,3280,2052
83,84,84,Jonathan Kaye,116,1.599,3223,2016
84,T85,T85,Russ Cochran,76,1.6,2103,1314
85,T85,T85,Jay Haas,75,1.6,2074,1296
86,T85,T85,Lee Porter,93,1.6,2592,1620
87,88,88,Danny Ellis,76,1.6019999999999999,2192,1368
