,Total_Putting_RANK THIS WEEK,Total_Putting_RANK LAST WEEK,Total_Putting_PLAYER NAME,Total_Putting_EVENTS,Total_Putting_TOTAL
0,1,1,David Toms,0,99.2
1,2,2,José Coceres,0,99.6
2,T3,T3,Stewart Cink,0,100.0
3,T3,T3,Scott McCarron,0,100.0
4,T5,T5,Robert Allenby,0,100.8
5,T5,T5,Chris DiMarco,0,100.8
6,T5,T5,Bob Estes,0,100.8
7,T5,T5,Frank Lickliter II,0,100.8
8,T5,T5,Davis Love III,0,100.8
9,T5,T5,Steve Lowery,0,100.8
10,T5,T5,David Peoples,0,100.8
11,T5,T5,Vijay Singh,0,100.8
12,T5,T5,Jeff Sluman,0,100.8
