,3-Putt_Avoidance_-_Round_2_RANK THIS WEEK,3-Putt_Avoidance_-_Round_2_RANK LAST WEEK,3-Putt_Avoidance_-_Round_2_PLAYER NAME,3-Putt_Avoidance_-_Round_2_%,3-Putt_Avoidance_-_Round_2_TOTAL 3 PUTTS,3-Putt_Avoidance_-_Round_2_TOTAL HOLES
0,1,1,Craig Barlow,0.76,3,396
1,2,2,Bob Estes,0.93,4,432
2,3,3,Shigeki Maruyama,1.11,5,450
3,4,4,John Cook,1.45,6,414
4,T5,T5,Jim Furyk,1.62,7,432
5,T5,T5,Loren Roberts,1.62,7,432
6,T5,T5,Scott Verplank,1.62,7,432
7,T8,T8,Paul Azinger,1.67,6,360
8,T8,T8,Jim McGovern,1.67,6,360
9,T8,T8,Craig Parry,1.67,6,360
10,11,11,Dennis Paulson,1.69,7,414
11,12,12,David Frost,1.71,8,468
12,13,13,Jay Don Blake,1.72,9,522
13,14,14,Brett Quigley,1.75,6,342
14,15,15,Brian Gay,1.79,10,558
15,T16,T16,Jim Carter,1.85,9,486
16,T16,T16,Chris DiMarco,1.85,9,486
17,T16,T16,Tim Herron,1.85,9,486
18,T16,T16,John Huston,1.85,6,324
19,20,20,Esteban Toledo,1.9,12,630
20,T21,T21,Olin Browne,1.92,10,522
21,T21,T21,Tripp Isenhour,1.92,10,522
22,T21,T21,Len Mattiace,1.92,10,522
23,T21,T21,Andrew McLardy,1.92,9,468
24,T21,T21,Lee Porter,1.92,10,522
25,26,26,Charles Howell III,1.93,8,414
26,27,27,Nick Price,1.94,7,360
27,28,28,Bob Tway,1.98,10,504
28,T29,T29,Matt Gogel,2.0,9,450
29,T29,T29,Dicky Pride,2.0,9,450
30,T31,T31,Scott McCarron,2.08,9,432
31,T31,T31,Vijay Singh,2.08,9,432
32,33,33,Jeff Sluman,2.11,11,522
33,34,34,"Dave Stockton, Jr.",2.12,8,378
34,35,35,Fred Funk,2.15,12,558
35,T36,T36,Marco Dawson,2.16,7,324
36,T36,T36,Steve Elkington,2.16,7,324
37,T38,T38,Kenny Perry,2.17,9,414
38,T38,T38,John Riegger,2.17,9,414
39,40,40,Kevin Sutherland,2.18,11,504
40,T41,T41,Russ Cochran,2.22,8,360
41,T41,T41,Joe Durant,2.22,10,450
42,T41,T41,Glen Hnatiuk,2.22,12,540
43,44,44,Tom Lehman,2.27,9,396
44,45,45,Rich Beem,2.3,12,522
45,T46,T46,Brad Faxon,2.31,10,432
46,T46,T46,Steve Jones,2.31,10,432
47,T48,T48,Michael Muehr,2.33,13,558
48,T48,T48,Jerry Smith,2.33,13,558
49,50,50,Mark Brooks,2.35,11,468
50,T51,T51,K.J. Choi,2.38,12,504
51,T51,T51,Billy Mayfair,2.38,12,504
52,T53,T53,Brandel Chamblee,2.42,10,414
53,T53,T53,Chris Perry,2.42,10,414
54,55,55,Willie Wood,2.43,7,288
55,T56,T56,Stuart Appleby,2.47,12,486
56,T56,T56,Chris Tidland,2.47,12,486
57,58,58,Joel Edwards,2.49,13,522
58,59,59,Duffy Waldorf,2.55,11,432
59,60,60,Glen Day,2.56,12,468
60,T61,T61,Cameron Beckman,2.58,13,504
61,T61,T61,Brian Henninger,2.58,13,504
62,T63,T63,Tommy Armour III,2.59,14,540
63,T63,T63,Skip Kendall,2.59,14,540
64,T63,T63,Spike McRoy,2.59,14,540
65,T66,T66,Jimmy Green,2.6,15,576
66,T66,T66,Tom Pernice Jr.,2.6,15,576
67,T68,T68,Brad Elder,2.61,16,612
68,T68,T68,Ernie Els,2.61,8,306
69,T70,T70,Fred Couples,2.63,9,342
70,T70,T70,David Duval,2.63,9,342
71,72,72,"David Berganio, Jr.",2.65,10,378
72,73,73,Jonathan Kaye,2.69,15,558
73,T74,T74,Robert Allenby,2.78,14,504
74,T74,T74,Briny Baird,2.78,15,540
75,T74,T74,Greg Chalmers,2.78,12,432
76,T74,T74,Harrison Frazar,2.78,12,432
77,T74,T74,Jay Haas,2.78,10,360
78,T74,T74,Bernhard Langer,2.78,8,288
79,T74,T74,Frank Nobilo,2.78,13,468
80,T74,T74,David Peoples,2.78,14,504
81,82,82,Gary Nicklaus,2.86,17,594
82,T83,T83,Bradley Hughes,2.87,16,558
83,T83,T83,Frank Lickliter II,2.87,15,522
84,T85,T85,David Morland IV,2.88,14,486
85,T85,T85,Steve Pate,2.88,14,486
86,T87,T87,Tom Byrum,2.89,13,450
87,T87,T87,Bill Glasson,2.89,13,450
88,T87,T87,Tom Scherrer,2.89,13,450
89,T90,T90,Bob May,2.9,12,414
90,T90,T90,Mike Weir,2.9,12,414
91,92,92,Corey Pavin,2.91,11,378
92,T93,T93,José Coceres,2.94,9,306
93,T93,T93,Sergio Garcia,2.94,9,306
94,T93,T93,Rocco Mediate,2.94,9,306
95,T96,T96,Steve Allan,2.96,16,540
96,T96,T96,Steve Flesch,2.96,16,540
97,T96,T96,Kevin Johnson,2.96,16,540
98,99,99,Carlos Franco,2.99,14,468
99,T100,T100,John Daly,3.01,13,432
100,T100,T100,Jesper Parnevik,3.01,13,432
101,102,102,Greg Kraft,3.05,17,558
102,103,103,Davis Love III,3.06,11,360
103,104,104,Gabriel Hjertstedt,3.07,16,522
104,T105,T105,J.J. Henry,3.09,15,486
105,T105,T105,Steve Stricker,3.09,10,324
106,T107,T107,Jeff Brehaut,3.11,14,450
107,T107,T107,Kelly Grunewald,3.11,14,450
108,T107,T107,David Toms,3.11,14,450
109,T110,T110,Shaun Micheel,3.13,18,576
110,T110,T110,Brian Watts,3.13,9,288
111,112,112,Stephen Ames,3.14,13,414
112,T113,T113,Andrew Magee,3.15,17,540
113,T113,T113,Jay Williamson,3.15,17,540
114,T115,T115,Lee Janzen,3.17,16,504
115,T115,T115,Kent Jones,3.17,16,504
116,T115,T115,Justin Leonard,3.17,16,504
117,T115,T115,José María Olazábal,3.17,8,252
118,119,119,Robin Freeman,3.2,19,594
119,T120,T120,Billy Andrade,3.21,15,468
120,T120,T120,Robert Damron,3.21,15,468
121,T120,T120,Steve Lowery,3.21,15,468
122,T120,T120,Sean Murphy,3.21,15,468
123,124,124,Chris Riley,3.26,17,522
124,T125,T125,Mark Calcavecchia,3.28,13,396
125,T125,T125,Jeff Julian,3.28,13,396
126,T125,T125,Phil Mickelson,3.28,13,396
127,128,128,Craig Kanada,3.29,16,486
128,T129,T129,Jerry Kelly,3.33,18,540
129,T129,T129,Franklin Langham,3.33,12,360
130,T129,T129,J.L. Lewis,3.33,18,540
131,T129,T129,Hal Sutton,3.33,15,450
132,T129,T129,Grant Waite,3.33,15,450
133,T134,T134,Paul Goydos,3.37,17,504
134,T134,T134,Pete Jordan,3.37,20,594
135,T134,T134,Ian Leggatt,3.37,17,504
136,T137,T137,Larry Mize,3.38,14,414
137,T137,T137,Kirk Triplett,3.38,14,414
138,139,139,Jeremy Anderson,3.42,16,468
139,140,140,Scott Simpson,3.44,13,378
140,141,141,Michael Clark II,3.45,18,522
141,T142,T142,Richie Coughlan,3.47,15,432
142,T142,T142,Dan Forsman,3.47,15,432
143,T142,T142,Scott Hoch,3.47,15,432
144,T142,T142,Ted Tryba,3.47,20,576
145,146,146,Stewart Cink,3.5,17,486
146,147,147,Tiger Woods,3.51,12,342
147,T148,T148,Robert Gamez,3.54,14,396
148,T148,T148,Joe Ogilvie,3.54,21,594
149,150,150,Paul Stankowski,3.56,16,450
150,T151,T151,Donnie Hammond,3.57,9,252
151,T151,T151,Mike Sposa,3.57,18,504
152,153,153,Fulton Allem,3.61,13,360
153,T154,T154,Keith Clearwater,3.62,15,414
154,T154,T154,J.P. Hayes,3.62,15,414
155,156,156,Kaname Yokoo,3.63,17,468
156,T157,T157,Hunter Haas,3.64,19,522
157,T157,T157,Brandt Jobe,3.64,19,522
158,T157,T157,Craig Perks,3.64,19,522
159,T160,T160,Doug Barron,3.7,14,378
160,T160,T160,Danny Ellis,3.7,18,486
161,T160,T160,Jeff Hart,3.7,18,486
162,T160,T160,Jean Van de Velde,3.7,10,270
163,164,164,Blaine McCallister,3.77,19,504
164,165,165,Brent Geiberger,3.79,15,396
165,166,166,Chris Smith,3.83,20,522
166,167,167,Rocky Walcher,3.85,18,468
167,T168,T168,Edward Fryatt,3.89,21,540
168,T168,T168,Cliff Kresge,3.89,21,540
169,T170,T170,Jason Gore,3.97,20,504
170,T170,T170,Joey Sindelar,3.97,15,378
171,172,172,Woody Austin,4.04,24,594
172,T173,T173,Ronnie Black,4.17,12,288
173,T173,T173,Mark O'Meara,4.17,15,360
174,T175,T175,Dudley Hart,4.23,16,378
175,T175,T175,Rory Sabbatini,4.23,16,378
176,177,177,Ben Bates,4.32,14,324
177,178,178,Mathew Goggin,4.34,25,576
178,179,179,Bob Burns,4.37,22,504
179,180,180,Ben Ferguson,4.41,23,522
180,181,181,Tommy Tolles,4.44,24,540
181,182,182,Mark Wiebe,4.5,17,378
182,183,183,Mark Hensby,4.53,22,486
183,184,184,Scott Dunlap,4.7,22,468
184,185,185,Jeff Maggert,4.94,24,486
185,186,186,Neal Lancaster,5.02,28,558
186,187,187,Geoff Ogilvy,5.05,20,396
187,188,188,Paul Gow,5.11,23,450
188,189,189,Doug Dunakey,5.19,28,540
189,190,190,Brent Schwarzrock,5.28,19,360
190,191,191,Per-Ulrik Johansson,5.36,27,504
191,192,192,Garrett Willis,5.38,30,558
192,T193,T193,Carl Paulson,5.56,30,540
193,T193,T193,Brian Wilson,5.56,29,522
