,Bonus_Putting_RANK THIS WEEK,Bonus_Putting_RANK LAST WEEK,Bonus_Putting_PLAYER NAME,Bonus_Putting_ROUNDS,Bonus_Putting_VALUE,Bonus_Putting_ATTEMPTS(<= 5'),Bonus_Putting_TOT MADE (>=20'),Bonus_Putting_TOT MADE (<= 5')
0,1,1,Tom Scherrer,69,36.36,11,,4.0
1,T2,T2,Michael Clark II,87,29.41,17,1.0,4.0
2,T2,T2,Matt Gogel,83,29.41,17,,5.0
3,T4,T4,Dicky Pride,78,27.27,11,1.0,2.0
4,T4,T4,Chris Smith,101,27.27,11,1.0,2.0
5,6,6,Scott Dunlap,80,25.0,12,,3.0
6,7,7,Stuart Appleby,105,23.68,38,1.0,8.0
7,8,8,Kaname Yokoo,81,21.74,23,,5.0
8,9,9,Paul Azinger,79,20.83,24,,5.0
9,T10,T10,Pete Jordan,105,20.0,15,1.0,2.0
10,T10,T10,Gary Nicklaus,96,20.0,15,,3.0
11,12,12,Per-Ulrik Johansson,82,18.75,16,,3.0
12,13,13,José Coceres,60,17.65,34,,6.0
13,14,14,Bob Tway,109,17.14,35,1.0,5.0
14,T15,T15,Doug Barron,62,16.67,12,,2.0
15,T15,T15,Corey Pavin,72,16.67,12,,2.0
16,T15,T15,Mike Weir,86,16.67,24,,4.0
17,18,18,Rory Sabbatini,73,16.0,25,,4.0
18,19,19,Gabriel Hjertstedt,76,15.79,19,,3.0
19,T20,T20,Charles Howell III,89,15.63,32,,5.0
20,T20,T20,Tom Pernice Jr.,106,15.63,32,,5.0
21,T22,T22,Glen Hnatiuk,104,15.38,26,,4.0
22,T22,T22,Jerry Kelly,104,15.38,13,,2.0
23,T22,T22,Skip Kendall,111,15.38,26,,4.0
24,T22,T22,Michael Muehr,94,15.38,26,,4.0
25,26,26,Scott McCarron,98,15.22,46,,7.0
26,T27,T27,Mark Brooks,88,15.0,20,1.0,2.0
27,T27,T27,Craig Perks,78,15.0,20,,3.0
28,29,29,Rocco Mediate,69,14.29,14,,2.0
29,30,30,J.L. Lewis,108,13.79,29,,4.0
30,31,31,Geoff Ogilvy,60,13.33,15,,2.0
31,T32,T32,Nick Price,74,13.04,23,,3.0
32,T32,T32,Paul Stankowski,91,13.04,23,,3.0
33,T34,T34,Olin Browne,99,12.5,24,,3.0
34,T34,T34,Harrison Frazar,88,12.5,16,,2.0
35,T34,T34,Jeff Hart,87,12.5,16,,2.0
36,37,37,Bernhard Langer,62,12.0,25,,3.0
37,38,38,Fred Couples,68,11.76,17,,2.0
38,39,39,Mike Sposa,96,11.11,27,,3.0
39,T40,T40,Woody Austin,99,10.53,19,,2.0
40,T40,T40,Stewart Cink,102,10.53,57,,6.0
41,T40,T40,John Daly,84,10.53,19,,2.0
42,T40,T40,Bob Estes,91,10.53,38,,4.0
43,T40,T40,Scott Simpson,73,10.53,19,,2.0
44,T45,T45,Glen Day,89,10.34,29,1.0,2.0
45,T45,T45,Fred Funk,118,10.34,29,,3.0
46,47,47,Greg Kraft,105,10.26,39,,4.0
47,T48,T48,Steve Flesch,112,10.0,30,,3.0
48,T48,T48,Brandt Jobe,96,10.0,20,,2.0
49,T48,T48,Neal Lancaster,107,10.0,20,1.0,1.0
50,T48,T48,Lee Porter,93,10.0,10,,1.0
51,52,52,Jim Carter,103,9.68,31,,3.0
52,T53,T53,Brent Geiberger,84,9.52,21,1.0,1.0
53,T53,T53,Billy Mayfair,102,9.52,42,1.0,3.0
54,T55,T55,Jay Don Blake,100,9.38,32,,3.0
55,T55,T55,David Toms,100,9.38,32,,3.0
56,T57,T57,Chris DiMarco,108,9.09,44,,4.0
57,T57,T57,Danny Ellis,76,9.09,33,,3.0
58,59,59,Bob Burns,92,8.7,23,,2.0
59,60,60,Tom Lehman,82,8.57,35,,3.0
60,T61,T61,Lee Janzen,96,8.33,24,,2.0
61,T61,T61,Jay Williamson,92,8.33,24,,2.0
62,63,63,Kenny Perry,94,8.16,49,,4.0
63,64,64,Jeff Sluman,106,8.0,50,,4.0
64,T65,T65,John Cook,91,7.69,26,1.0,1.0
65,T65,T65,Bob May,86,7.69,13,,1.0
66,T65,T65,Vijay Singh,98,7.69,39,,3.0
67,68,68,Tommy Armour III,93,7.41,27,,2.0
68,69,69,Steve Lowery,100,7.32,41,,3.0
69,T70,T70,Justin Leonard,106,7.14,42,,3.0
70,T70,T70,Jesper Parnevik,91,7.14,28,,2.0
71,T70,T70,John Riegger,86,7.14,28,,2.0
72,73,73,Tiger Woods,76,6.67,30,,2.0
73,74,74,J.J. Henry,86,6.45,31,,2.0
74,T75,T75,Stephen Ames,88,6.25,16,,1.0
75,T75,T75,Jeff Maggert,84,6.25,16,,1.0
76,T75,T75,David Morland IV,88,6.25,16,,1.0
77,T78,T78,Ernie Els,70,6.06,33,,2.0
78,T78,T78,Brian Henninger,81,6.06,33,1.0,1.0
79,T80,T80,Paul Goydos,86,5.88,17,,1.0
80,T80,T80,Chris Riley,104,5.88,17,,1.0
81,T80,T80,Scott Verplank,99,5.88,34,,2.0
82,T83,T83,"David Berganio, Jr.",76,5.56,18,,1.0
83,T83,T83,Brad Elder,111,5.56,18,,1.0
84,T83,T83,Brian Gay,114,5.56,18,,1.0
85,86,86,Briny Baird,106,5.41,37,1.0,1.0
86,T87,T87,Fulton Allem,56,5.26,19,,1.0
87,T87,T87,Robert Allenby,108,5.26,38,,2.0
88,T87,T87,Jonathan Kaye,116,5.26,19,1.0,
89,T87,T87,Jerry Smith,95,5.26,19,,1.0
90,91,91,Kirk Triplett,88,5.0,20,1.0,
91,T92,T92,Joe Durant,80,4.76,21,,1.0
92,T92,T92,Brad Faxon,95,4.76,42,,2.0
93,T92,T92,Ian Leggatt,84,4.76,21,,1.0
94,T92,T92,Mark O'Meara,69,4.76,21,,1.0
95,96,96,Tom Byrum,85,4.55,22,1.0,
96,T97,T97,David Frost,87,4.35,23,,1.0
97,T97,T97,Kevin Sutherland,101,4.35,23,,1.0
98,T97,T97,Esteban Toledo,116,4.35,23,,1.0
99,T100,T100,Andrew Magee,97,3.85,26,,1.0
100,T100,T100,Shaun Micheel,103,3.85,26,,1.0
101,T100,T100,Grant Waite,78,3.85,26,,1.0
102,103,103,Mathew Goggin,96,3.57,28,,1.0
103,T104,T104,Jim Furyk,88,3.45,29,,1.0
104,T104,T104,Blaine McCallister,80,3.45,29,,1.0
105,T104,T104,Ted Tryba,110,3.45,29,,1.0
106,107,107,David Duval,78,2.94,34,,1.0
107,108,108,Davis Love III,75,1.92,52,,1.0
108,T109,T109,Billy Andrade,82,0.0,13,,
109,T109,T109,Cameron Beckman,103,0.0,26,,
110,T109,T109,Mark Calcavecchia,81,0.0,18,,
111,T109,T109,Russ Cochran,76,0.0,19,,
112,T109,T109,Robert Damron,91,0.0,20,,
113,T109,T109,Joel Edwards,99,0.0,25,,
114,T109,T109,Steve Elkington,64,0.0,14,,
115,T109,T109,Carlos Franco,87,0.0,10,,
116,T109,T109,Robin Freeman,105,0.0,10,,
117,T109,T109,Sergio Garcia,64,0.0,27,,
118,T109,T109,Bill Glasson,69,0.0,18,,
119,T109,T109,Jason Gore,82,0.0,10,,
