,One-Putt_Percentage_RANK THIS WEEK,One-Putt_Percentage_RANK LAST WEEK,One-Putt_Percentage_PLAYER NAME,One-Putt_Percentage_ROUNDS,One-Putt_Percentage_%,One-Putt_Percentage_# OF 1 PUTTS,One-Putt_Percentage_# OF HOLES
0,1,1,Craig Kanada,80,43.59,612,1404
1,2,2,David Frost,87,43.23,677,1566
2,3,3,Willie Wood,52,42.31,396,936
3,4,4,Glen Day,89,42.06,636,1512
4,5,5,Brian Gay,114,41.96,846,2016
5,6,6,Scott Simpson,73,41.63,547,1314
6,7,7,Edward Fryatt,93,41.6,659,1584
7,8,8,Scott Hoch,84,41.53,628,1512
8,9,9,Greg Chalmers,92,41.26,661,1602
9,10,10,Brad Elder,111,41.23,809,1962
10,11,11,David Morland IV,88,41.21,638,1548
11,12,12,Jay Haas,75,41.05,532,1296
12,13,13,Jeff Sluman,106,40.81,764,1872
13,14,14,Tom Pernice Jr.,106,40.8,749,1836
14,15,15,Corey Pavin,72,40.79,514,1260
15,16,16,Jason Gore,82,40.69,586,1440
16,17,17,Len Mattiace,98,40.64,695,1710
17,18,18,Jay Don Blake,100,40.57,701,1728
18,19,19,Chris Riley,104,40.5,729,1800
19,20,20,Fulton Allem,56,40.48,408,1008
20,21,21,J.L. Lewis,108,40.46,772,1908
21,22,22,Stuart Appleby,105,40.42,713,1764
22,23,23,Jeff Julian,55,40.4,400,990
23,24,24,Brian Watts,56,40.38,407,1008
24,25,25,Cameron Beckman,103,40.35,719,1782
25,T26,T26,Paul Goydos,86,40.28,609,1512
26,T26,T26,Craig Perks,78,40.28,551,1368
27,28,28,Jim Carter,103,40.26,732,1818
28,29,29,Lee Janzen,96,40.22,666,1656
29,T30,T30,Russ Cochran,76,40.18,528,1314
30,T30,T30,Jerry Smith,95,40.18,687,1710
31,32,32,Justin Leonard,106,40.12,715,1782
32,T33,T33,Blaine McCallister,80,40.07,577,1440
33,T33,T33,"Dave Stockton, Jr.",61,40.07,440,1098
34,35,35,Robert Damron,91,40.05,656,1638
35,36,36,Skip Kendall,111,40.02,778,1944
36,37,37,Steve Allan,88,39.99,619,1548
37,38,38,Brad Faxon,95,39.97,626,1566
38,39,39,Paul Gow,79,39.93,539,1350
39,40,40,Steve Stricker,73,39.91,467,1170
40,41,41,Shigeki Maruyama,98,39.89,675,1692
41,42,42,Joe Ogilvie,110,39.87,775,1944
42,43,43,K.J. Choi,95,39.86,660,1656
