,Birdie_or_Better_Conversion_Percentage_RANK THIS WEEK,Birdie_or_Better_Conversion_Percentage_RANK LAST WEEK,Birdie_or_Better_Conversion_Percentage_PLAYER NAME,Birdie_or_Better_Conversion_Percentage_ROUNDS,Birdie_or_Better_Conversion_Percentage_%,Birdie_or_Better_Conversion_Percentage_# BIRDIES,Birdie_or_Better_Conversion_Percentage_GREENS HIT
0,1,1,Phil Mickelson,85,3.64,353,969
1,T2,T2,Mark Calcavecchia,81,3.52,321,912
2,T2,T2,Davis Love III,75,3.52,316,899
3,4,4,David Duval,78,3.44,294,855
4,5,5,David Frost,87,3.42,326,953
5,T6,T6,Stuart Appleby,105,3.41,374,1097
6,T6,T6,Steve Stricker,73,3.41,235,689
7,T8,T8,Sergio Garcia,64,3.39,232,685
8,T8,T8,Vijay Singh,98,3.39,373,1101
9,T10,T10,Scott Hoch,84,3.36,332,989
10,T10,T10,David Toms,100,3.36,404,1203
11,T12,T12,John Daly,84,3.35,325,969
12,T12,T12,Chris DiMarco,108,3.35,421,1258
13,T12,T12,Frank Lickliter II,102,3.35,404,1206
14,T12,T12,Joe Ogilvie,110,3.35,389,1162
15,T12,T12,Tiger Woods,76,3.35,312,932
16,17,17,Scott McCarron,98,3.33,394,1184
17,T18,T18,Craig Kanada,80,3.31,280,847
18,T18,T18,Kenny Perry,94,3.31,379,1144
19,T20,T20,Brian Gay,114,3.29,436,1325
20,T20,T20,Kaname Yokoo,81,3.29,313,951
21,22,22,Bernhard Langer,62,3.28,230,702
22,T23,T23,Tom Pernice Jr.,106,3.27,385,1176
23,T23,T23,Chris Riley,104,3.27,383,1172
24,T25,T25,Bob Estes,91,3.26,337,1035
25,T25,T25,Justin Leonard,106,3.26,381,1168
26,T25,T25,Jeff Sluman,106,3.26,429,1315
27,T28,T28,Billy Andrade,82,3.25,284,873
28,T28,T28,Cameron Beckman,103,3.25,398,1226
29,30,30,Greg Chalmers,92,3.24,341,1054
30,T31,T31,Scott Verplank,99,3.23,382,1183
31,T31,T31,Brian Watts,56,3.23,214,662
32,T33,T33,Geoff Ogilvy,60,3.21,216,673
33,T33,T33,Brett Quigley,67,3.21,242,755
34,T35,T35,Steve Flesch,112,3.2,410,1283
35,T35,T35,Jim Furyk,88,3.2,349,1092
36,T35,T35,Jason Gore,82,3.2,294,919
37,T35,T35,Jerry Smith,95,3.2,350,1093
38,39,39,Skip Kendall,111,3.19,415,1302
39,40,40,Rocco Mediate,69,3.18,276,869
40,41,41,Stewart Cink,102,3.17,370,1168
41,T42,T42,Jay Don Blake,100,3.16,358,1133
42,T42,T42,Hunter Haas,78,3.16,261,825
43,T42,T42,Dudley Hart,80,3.16,279,882
44,T42,T42,Shigeki Maruyama,98,3.16,343,1087
45,T42,T42,David Morland IV,88,3.16,305,965
46,T42,T42,Tommy Tolles,89,3.16,321,1016
47,T48,T48,Brad Faxon,95,3.15,308,979
48,T48,T48,Carlos Franco,87,3.15,309,980
49,T48,T48,Lee Janzen,96,3.15,352,1119
50,T48,T48,Chris Smith,101,3.15,392,1245
51,T52,T52,Stephen Ames,88,3.14,328,1045
52,T52,T52,Glen Day,89,3.14,309,985
53,T52,T52,Harrison Frazar,88,3.14,316,1006
54,T52,T52,Edward Fryatt,93,3.14,330,1051
55,T52,T52,Jay Haas,75,3.14,280,893
56,T52,T52,Scott Simpson,73,3.14,266,848
57,T52,T52,Paul Stankowski,91,3.14,331,1055
58,T59,T59,Jonathan Kaye,116,3.13,423,1352
59,T59,T59,Jeff Maggert,84,3.13,312,996
60,T59,T59,Mike Sposa,96,3.13,347,1110
61,T62,T62,Russ Cochran,76,3.12,278,890
62,T62,T62,Tripp Isenhour,92,3.12,316,1013
63,T62,T62,Garrett Willis,88,3.12,315,1010
64,65,65,Billy Mayfair,102,3.11,375,1207
65,T66,T66,K.J. Choi,95,3.1,338,1091
66,T66,T66,Steve Elkington,64,3.1,213,687
67,T68,T68,Craig Parry,68,3.09,237,766
68,T68,T68,Brian Wilson,88,3.09,309,999
69,T70,T70,Marco Dawson,57,3.08,212,689
70,T70,T70,Joel Edwards,99,3.08,379,1232
71,T70,T70,Ernie Els,70,3.08,205,666
72,T70,T70,Steve Lowery,100,3.08,363,1178
73,T70,T70,Willie Wood,52,3.08,180,585
74,T75,T75,Olin Browne,99,3.07,362,1181
75,T75,T75,Scott Dunlap,80,3.07,286,931
76,T75,T75,Matt Gogel,83,3.07,279,909
77,T75,T75,Jim McGovern,66,3.07,228,743
78,T75,T75,Grant Waite,78,3.07,279,908
79,T80,T80,Paul Azinger,79,3.06,301,984
80,T80,T80,Jim Carter,103,3.06,364,1191
81,T80,T80,Charles Howell III,89,3.06,344,1124
82,T80,T80,José María Olazábal,51,3.06,158,517
83,T84,T84,"David Berganio, Jr.",76,3.05,269,882
84,T84,T84,Brad Elder,111,3.05,380,1245
85,T84,T84,Jerry Kelly,104,3.05,377,1236
86,T84,T84,Tom Lehman,82,3.05,315,1033
87,T84,T84,Andrew McLardy,75,3.05,269,881
88,T84,T84,Michael Muehr,94,3.05,334,1096
89,T84,T84,Jesper Parnevik,91,3.05,319,1047
90,T84,T84,Joey Sindelar,69,3.05,243,796
91,T92,T92,Blaine McCallister,80,3.04,285,938
92,T92,T92,Dennis Paulson,75,3.04,256,841
93,T92,T92,Kirk Triplett,88,3.04,319,1051
94,T92,T92,Bob Tway,109,3.04,417,1372
95,T96,T96,Brandt Jobe,96,3.03,353,1165
96,T96,T96,Ian Leggatt,84,3.03,307,1012
97,T98,T98,Rich Beem,91,3.02,316,1046
98,T98,T98,Neal Lancaster,107,3.02,388,1286
99,T100,T100,Woody Austin,99,3.01,338,1124
100,T100,T100,Fred Funk,118,3.01,432,1437
101,T100,T100,Gabriel Hjertstedt,76,3.01,260,865
102,T100,T100,Rory Sabbatini,73,3.01,233,775
103,T104,T104,Andrew Magee,97,3.0,324,1079
104,T104,T104,Corey Pavin,72,3.0,228,761
105,T104,T104,Nick Price,74,3.0,255,850
106,T104,T104,Mike Weir,86,3.0,307,1024
107,T108,T108,Brent Geiberger,84,2.98,284,952
108,T108,T108,Kevin Johnson,93,2.98,315,1057
109,T108,T108,Craig Perks,78,2.98,265,889
110,T108,T108,Kevin Sutherland,101,2.98,354,1188
111,T112,T112,Robert Allenby,108,2.97,378,1272
112,T112,T112,José Coceres,60,2.97,199,670
113,T112,T112,Paul Goydos,86,2.97,287,966
114,T112,T112,J.L. Lewis,108,2.97,368,1240
115,T116,T116,Bob May,86,2.96,287,968
116,T116,T116,"Dave Stockton, Jr.",61,2.96,199,673
117,T118,T118,J.P. Hayes,76,2.95,251,850
118,T118,T118,Mark Wiebe,62,2.95,208,704
119,T120,T120,Tom Byrum,85,2.94,297,1009
120,T120,T120,Brandel Chamblee,77,2.94,247,840
121,T120,T120,John Cook,91,2.94,339,1155
122,T120,T120,Joe Durant,80,2.94,298,1012
123,T120,T120,John Huston,64,2.94,216,735
124,T125,T125,Mathew Goggin,96,2.93,322,1100
125,T125,T125,Donnie Hammond,51,2.93,191,652
126,T127,T127,Robert Gamez,59,2.92,202,692
127,T127,T127,Paul Gow,79,2.92,256,876
128,T127,T127,Cliff Kresge,84,2.92,279,957
129,T127,T127,Mark O'Meara,69,2.92,213,729
130,T127,T127,Jay Williamson,92,2.92,310,1063
131,132,132,Fred Couples,68,2.91,243,834
132,T133,T133,Tommy Armour III,93,2.9,307,1059
133,T133,T133,Spike McRoy,95,2.9,316,1089
134,T133,T133,Esteban Toledo,116,2.9,388,1340
135,T136,T136,Steve Allan,88,2.89,271,939
136,T136,T136,Ben Bates,53,2.89,180,622
137,T136,T136,Robert Damron,91,2.89,308,1066
138,T136,T136,Doug Dunakey,83,2.89,262,906
139,T136,T136,Loren Roberts,84,2.89,273,944
140,T136,T136,Duffy Waldorf,77,2.89,241,833
141,T142,T142,Bob Burns,92,2.88,312,1082
142,T142,T142,David Peoples,96,2.88,334,1161
143,T142,T142,Brent Schwarzrock,63,2.88,220,764
144,T142,T142,Ted Tryba,110,2.88,360,1251
145,T146,T146,Fulton Allem,56,2.87,185,644
146,T146,T146,Chris Perry,80,2.87,272,948
147,T146,T146,Lee Porter,93,2.87,300,1047
148,T149,T149,Richie Coughlan,66,2.86,217,760
149,T149,T149,Danny Ellis,76,2.86,248,868
150,T149,T149,Steve Jones,75,2.86,234,818
151,T152,T152,Ronnie Black,51,2.85,171,600
152,T152,T152,Steve Pate,89,2.85,285,1001
153,T152,T152,Jean Van de Velde,52,2.85,142,499
154,T155,T155,Doug Barron,62,2.84,203,715
155,T155,T155,Mark Hensby,71,2.84,231,813
156,T155,T155,Len Mattiace,98,2.84,312,1098
157,T155,T155,John Riegger,86,2.84,294,1037
158,T155,T155,Rocky Walcher,59,2.84,173,609
159,T160,T160,Briny Baird,106,2.83,367,1295
160,T160,T160,Brian Henninger,81,2.83,256,904
161,T160,T160,Greg Kraft,105,2.83,345,1217
162,T160,T160,Larry Mize,76,2.83,243,860
163,T160,T160,Dicky Pride,78,2.83,250,882
164,T160,T160,Hal Sutton,96,2.83,344,1216
165,166,166,Robin Freeman,105,2.82,347,1231
166,167,167,Glen Hnatiuk,104,2.81,363,1291
167,T168,T168,Ben Ferguson,76,2.8,232,829
168,T168,T168,J.J. Henry,86,2.8,299,1069
169,T168,T168,Jeff Julian,55,2.8,160,572
170,171,171,Carl Paulson,93,2.79,302,1083
171,T172,T172,Keith Clearwater,62,2.78,193,694
172,T172,T172,Pete Jordan,105,2.78,336,1207
173,T174,T174,Mark Brooks,88,2.77,274,988
174,T174,T174,Gary Nicklaus,96,2.77,292,1056
175,176,176,Dan Forsman,81,2.76,259,938
176,T177,T177,Craig Barlow,74,2.74,239,871
177,T177,T177,Kelly Grunewald,66,2.74,201,734
178,T177,T177,Per-Ulrik Johansson,82,2.74,269,981
179,T177,T177,Franklin Langham,63,2.74,181,661
180,T181,T181,Michael Clark II,87,2.73,276,1011
181,T181,T181,Tim Herron,97,2.73,314,1152
182,T181,T181,Frank Nobilo,91,2.73,296,1085
183,184,184,Chris Tidland,83,2.72,253,931
184,T185,T185,Jeff Brehaut,80,2.7,248,919
185,T185,T185,Shaun Micheel,103,2.7,317,1174
186,T187,T187,Sean Murphy,70,2.68,203,757
187,T187,T187,Tom Scherrer,69,2.68,199,743
188,189,189,Jeremy Anderson,69,2.66,215,807
189,190,190,Jimmy Green,94,2.64,277,1048
190,T191,T191,Jeff Hart,87,2.58,268,1039
191,T191,T191,Bradley Hughes,96,2.58,299,1161
192,T191,T191,Kent Jones,74,2.58,225,872
193,194,194,Bill Glasson,69,2.48,196,790
