,Total_3_Putts_-_10-15_RANK THIS WEEK,Total_3_Putts_-_10-15_RANK LAST WEEK,Total_3_Putts_-_10-15_PLAYER NAME,Total_3_Putts_-_10-15_ROUNDS,Total_3_Putts_-_10-15_TOTAL 3 PUTTS 10'-15',Total_3_Putts_-_10-15_TOTAL 3 PUTTS
0,1,1,Joe Durant,80,3,4
1,T2,T2,Fred Funk,118,2,2
2,T2,T2,Larry Mize,76,2,3
3,T4,T4,Fulton Allem,56,1,1
4,T4,T4,Woody Austin,99,1,1
5,T4,T4,Michael Clark II,87,1,2
6,T4,T4,Keith Clearwater,62,1,1
7,T4,T4,Bob Estes,91,1,2
8,T4,T4,Scott Hoch,84,1,3
9,T4,T4,J.L. Lewis,108,1,1
10,T4,T4,Jeff Sluman,106,1,3
11,T4,T4,Paul Stankowski,91,1,3
12,T4,T4,David Toms,100,1,2
13,T4,T4,Scott Verplank,99,1,2
