,Putts_per_Round_-_Round_2_RANK THIS WEEK,Putts_per_Round_-_Round_2_RANK LAST WEEK,Putts_per_Round_-_Round_2_PLAYER NAME,Putts_per_Round_-_Round_2_AVG,Putts_per_Round_-_Round_2_TOTAL PUTTS,Putts_per_Round_-_Round_2_TOTAL ROUNDS
0,1,1,Chris Riley,27.79,806,29
1,2,2,Steve Stricker,27.82,473,17
2,T3,T3,David Frost,27.88,697,25
3,T3,T3,Brian Watts,27.88,446,16
4,5,5,Brad Faxon,27.91,642,23
5,6,6,Doug Barron,27.95,587,21
6,7,7,Phil Mickelson,28.05,589,21
7,T8,T8,Stuart Appleby,28.23,734,26
8,T8,T8,Brandel Chamblee,28.23,621,22
9,10,10,Dennis Paulson,28.27,622,22
10,11,11,Len Mattiace,28.28,820,29
11,12,12,Rocco Mediate,28.29,481,17
12,13,13,Tripp Isenhour,28.34,822,29
13,14,14,Jim McGovern,28.35,567,20
14,15,15,Steve Allan,28.37,851,30
15,16,16,John Daly,28.39,653,23
16,17,17,Joe Ogilvie,28.41,909,32
17,T18,T18,Matt Gogel,28.42,682,24
18,T18,T18,Nick Price,28.42,540,19
19,20,20,Brian Gay,28.43,853,30
20,T21,T21,Jim Carter,28.44,768,27
21,T21,T21,José Coceres,28.44,455,16
22,T21,T21,Billy Mayfair,28.44,768,27
23,24,24,Jeff Julian,28.45,626,22
24,25,25,Bernhard Langer,28.47,427,15
25,T26,T26,Craig Kanada,28.48,769,27
26,T26,T26,Scott Simpson,28.48,598,21
27,28,28,Lee Janzen,28.5,798,28
28,T29,T29,David Morland IV,28.52,770,27
29,T29,T29,Lee Porter,28.52,827,29
30,31,31,Shigeki Maruyama,28.54,685,24
31,32,32,Jonathan Kaye,28.55,885,31
32,33,33,Sergio Garcia,28.56,457,16
33,T34,T34,Chris DiMarco,28.58,743,26
34,T34,T34,Fred Funk,28.58,886,31
35,T34,T34,Mark O'Meara,28.58,543,19
36,T34,T34,Brett Quigley,28.58,543,19
37,38,38,Jeff Sluman,28.62,830,29
38,T39,T39,Skip Kendall,28.63,859,30
39,T39,T39,Tom Pernice Jr.,28.63,916,32
40,41,41,Jerry Smith,28.65,888,31
41,42,42,Esteban Toledo,28.66,1003,35
42,43,43,Hunter Haas,28.69,832,29
43,T44,T44,Justin Leonard,28.7,775,27
44,T44,T44,Jesper Parnevik,28.7,660,23
45,T44,T44,Kenny Perry,28.7,660,23
46,47,47,Blaine McCallister,28.71,804,28
47,48,48,Craig Perks,28.72,833,29
48,49,49,Glen Day,28.73,747,26
49,T50,T50,Russ Cochran,28.75,575,20
50,T50,T50,Willie Wood,28.75,460,16
