,Putts_Per_Round_RANK THIS WEEK,Putts_Per_Round_RANK LAST WEEK,Putts_Per_Round_PLAYER NAME,Putts_Per_Round_ROUNDS,Putts_Per_Round_AVG,Putts_Per_Round_TOTAL PUTTS,Putts_Per_Round_TOTAL ROUNDS,Putts_Per_Round_LOW TOTAL PUTTS
0,1,1,Craig Kanada,80,27.9,2176,78,22
1,2,2,David Frost,87,27.94,2375,85,22
2,3,3,Steve Stricker,73,28.15,1717,61,22
3,4,4,Brad Faxon,95,28.17,2338,83,21
4,5,5,Glen Day,89,28.19,2368,84,23
5,6,6,Willie Wood,52,28.27,1470,52,23
6,7,7,Brian Gay,114,28.31,3114,110,22
7,8,8,Bernhard Langer,62,28.33,1615,57,24
8,9,9,David Morland IV,88,28.37,2440,86,21
9,T10,T10,Bob Estes,91,28.38,2384,84,23
10,T10,T10,Len Mattiace,98,28.38,2724,96,22
11,12,12,Nick Price,74,28.39,1987,70,23
12,13,13,Greg Chalmers,92,28.4,2528,89,21
13,14,14,Stuart Appleby,105,28.41,2671,94,20
14,T15,T15,Joe Ogilvie,110,28.43,2957,104,23
15,T15,T15,Loren Roberts,84,28.43,2274,80,22
16,17,17,Scott Hoch,84,28.45,2333,82,22
17,T18,T18,Corey Pavin,72,28.46,1935,68,22
18,T18,T18,Brian Watts,56,28.46,1594,56,22
19,20,20,Shigeki Maruyama,98,28.48,2620,92,21
20,21,21,Phil Mickelson,85,28.49,2194,77,22
21,T22,T22,Scott Simpson,73,28.52,2082,73,23
22,T22,T22,Vijay Singh,98,28.52,2510,88,21
23,24,24,Jerry Smith,95,28.57,2714,95,22
24,25,25,Chris Riley,104,28.59,2859,100,23
25,26,26,Tom Pernice Jr.,106,28.63,2920,102,23
26,T27,T27,Sergio Garcia,64,28.66,1605,56,23
27,T27,T27,Tripp Isenhour,92,28.66,2551,89,21
28,T27,T27,Skip Kendall,111,28.66,3095,108,23
29,30,30,Jim Furyk,88,28.67,2466,86,22
30,T31,T31,Fulton Allem,56,28.68,1606,56,22
31,T31,T31,Cameron Beckman,103,28.68,2839,99,23
32,T31,T31,Jeff Sluman,106,28.68,2983,104,23
33,T34,T34,Brett Quigley,67,28.7,1808,63,24
34,T34,T34,Mike Sposa,96,28.7,2669,93,23
35,T36,T36,Justin Leonard,106,28.71,2785,97,21
36,T36,T36,Jesper Parnevik,91,28.71,2498,87,22
37,38,38,Jay Don Blake,100,28.72,2757,96,21
38,T39,T39,Brad Elder,111,28.73,3132,109,22
39,T39,T39,Scott McCarron,98,28.73,2701,94,23
40,T41,T41,Billy Andrade,82,28.75,2156,75,22
41,T41,T41,Lee Janzen,96,28.75,2645,92,23
42,43,43,Mark Brooks,88,28.76,2473,86,23
43,44,44,Esteban Toledo,116,28.77,3280,114,24
44,T45,T45,Chris DiMarco,108,28.78,2849,99,19
45,T45,T45,Matt Gogel,83,28.78,2216,77,24
46,T45,T45,Jonathan Kaye,116,28.78,3223,112,21
47,48,48,José María Olazábal,51,28.79,1238,43,24
48,T49,T49,Davis Love III,75,28.8,2045,71,24
49,T49,T49,Lee Porter,93,28.8,2592,90,22
50,T51,T51,Russ Cochran,76,28.81,2103,73,24
51,T51,T51,Jay Haas,75,28.81,2074,72,24
52,T51,T51,Frank Lickliter II,102,28.81,2823,98,24
53,T54,T54,Mark Calcavecchia,81,28.84,2163,75,22
54,T54,T54,Danny Ellis,76,28.84,2192,76,24
55,T54,T54,Edward Fryatt,93,28.84,2567,89,22
56,T57,T57,K.J. Choi,95,28.85,2654,92,23
57,T57,T57,Steve Elkington,64,28.85,1702,59,22
58,T57,T57,Scott Verplank,99,28.85,2683,93,23
59,60,60,Blaine McCallister,80,28.86,2309,80,23
60,T61,T61,Michael Muehr,94,28.88,2657,92,24
61,T61,T61,Mike Weir,86,28.88,2426,84,23
62,T63,T63,Hunter Haas,78,28.89,2196,76,23
63,T63,T63,Andrew Magee,97,28.89,2716,94,23
64,T65,T65,Steve Flesch,112,28.9,3035,105,22
65,T65,T65,Harrison Frazar,88,28.9,2428,84,22
66,T67,T67,Joel Edwards,99,28.91,2862,99,22
67,T67,T67,Geoff Ogilvy,60,28.91,1677,58,23
68,T69,T69,Brandel Chamblee,77,28.92,2111,73,24
69,T69,T69,Jim McGovern,66,28.92,1822,63,24
70,T69,T69,"Dave Stockton, Jr.",61,28.92,1764,61,22
71,72,72,Billy Mayfair,102,28.94,2778,96,23
72,73,73,Larry Mize,76,28.95,2142,74,23
73,T74,T74,Fred Funk,118,28.96,3388,117,23
74,T74,T74,J.L. Lewis,108,28.96,3070,106,22
75,T76,T76,Steve Allan,88,28.97,2491,86,23
76,T76,T76,Paul Gow,79,28.97,2173,75,23
77,T76,T76,Mark O'Meara,69,28.97,1767,61,24
78,79,79,Jim Carter,103,28.98,2927,101,23
79,T80,T80,Robert Damron,91,28.99,2638,91,23
