,Total_3_Putts_-_Inside_5_RANK THIS WEEK,Total_3_Putts_-_Inside_5_RANK LAST WEEK,Total_3_Putts_-_Inside_5_PLAYER NAME,Total_3_Putts_-_Inside_5_ROUNDS,Total_3_Putts_-_Inside_5_TOTAL 3 PUTTS INSIDE 5',Total_3_Putts_-_Inside_5_TOTAL 3 PUTTS
0,T1,T1,Mark Brooks,88,3,3
1,T1,T1,Glen Hnatiuk,104,3,6
2,T1,T1,Tiger Woods,76,3,4
3,T4,T4,Robert Allenby,108,2,2
4,T4,T4,Briny Baird,106,2,3
5,T4,T4,Bob Burns,92,2,5
6,T4,T4,Danny Ellis,76,2,2
7,T4,T4,Ernie Els,70,2,2
8,T4,T4,Bill Glasson,69,2,2
9,T4,T4,Scott Hoch,84,2,3
10,T4,T4,Billy Mayfair,102,2,3
11,T4,T4,Blaine McCallister,80,2,2
12,T4,T4,Tom Pernice Jr.,106,2,3
13,T4,T4,Paul Stankowski,91,2,3
14,T4,T4,Kirk Triplett,88,2,2
15,T4,T4,Ted Tryba,110,2,2
16,T4,T4,Grant Waite,78,2,2
17,T18,T18,Stuart Appleby,105,1,1
18,T18,T18,Tom Byrum,85,1,2
19,T18,T18,José Coceres,60,1,3
20,T18,T18,Robert Damron,91,1,3
21,T18,T18,Glen Day,89,1,3
22,T18,T18,Scott Dunlap,80,1,1
23,T18,T18,Joe Durant,80,1,4
24,T18,T18,Bob Estes,91,1,2
25,T18,T18,Ben Ferguson,76,1,1
26,T18,T18,Harrison Frazar,88,1,2
27,T18,T18,Edward Fryatt,93,1,1
28,T18,T18,Brian Gay,114,1,1
29,T18,T18,Matt Gogel,83,1,1
30,T18,T18,Jeff Hart,87,1,1
31,T18,T18,J.J. Henry,86,1,3
32,T18,T18,Gabriel Hjertstedt,76,1,1
33,T18,T18,John Huston,64,1,2
34,T18,T18,Per-Ulrik Johansson,82,1,1
35,T18,T18,Kent Jones,74,1,1
36,T18,T18,Craig Kanada,80,1,2
37,T18,T18,Jonathan Kaye,116,1,1
38,T18,T18,Skip Kendall,111,1,1
39,T18,T18,Bernhard Langer,62,1,1
40,T18,T18,Ian Leggatt,84,1,1
41,T18,T18,Davis Love III,75,1,3
42,T18,T18,Steve Lowery,100,1,2
43,T18,T18,Jeff Maggert,84,1,1
44,T18,T18,Len Mattiace,98,1,1
45,T18,T18,Jim McGovern,66,1,1
46,T18,T18,Spike McRoy,95,1,3
47,T18,T18,Shaun Micheel,103,1,3
48,T18,T18,Larry Mize,76,1,3
49,T18,T18,David Morland IV,88,1,3
50,T18,T18,Gary Nicklaus,96,1,2
51,T18,T18,Frank Nobilo,91,1,1
52,T18,T18,Mark O'Meara,69,1,2
53,T18,T18,Geoff Ogilvy,60,1,1
54,T18,T18,Steve Pate,89,1,2
55,T18,T18,Rory Sabbatini,73,1,2
56,T18,T18,Vijay Singh,98,1,3
57,T18,T18,Jeff Sluman,106,1,3
58,T18,T18,Mike Sposa,96,1,1
59,T18,T18,Kevin Sutherland,101,1,3
60,T18,T18,Hal Sutton,96,1,3
61,T18,T18,David Toms,100,1,2
62,T18,T18,Bob Tway,109,1,1
63,T18,T18,Scott Verplank,99,1,2
64,T18,T18,Brian Wilson,88,1,2
