,Birdie_or_Better_Percentage_-_175-200_ya_RANK THIS WEEK,Birdie_or_Better_Percentage_-_175-200_ya_RANK LAST WEEK,Birdie_or_Better_Percentage_-_175-200_ya_PLAYER NAME,Birdie_or_Better_Percentage_-_175-200_ya_ROUNDS,Birdie_or_Better_Percentage_-_175-200_ya_%,Birdie_or_Better_Percentage_-_175-200_ya_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_175-200_ya_TOTAL HOLES
0,1,1,Dustin Johnson,87,23.16,41,177
1,2,2,Shane Lowry,57,23.15,25,108
2,3,3,Bubba Watson,72,22.3,33,148
3,4,4,Justin Rose,65,21.47,35,163
4,5,5,Adam Scott,79,21.35,38,178
5,6,6,Jason Day,76,20.34,36,177
6,7,7,Rory McIlroy,69,17.99,25,139
7,8,8,D.A. Points,55,17.86,25,140
8,9,9,Si Woo Kim,113,17.85,53,297
9,T10,T10,Ernie Els,66,17.55,33,188
10,T10,T10,Andrew Loupe,75,17.55,33,188
11,12,12,Ryan Palmer,86,17.52,41,234
12,13,13,J.B. Holmes,77,17.5,28,160
13,14,14,Hudson Swafford,104,17.29,51,295
14,15,15,Morgan Hoffmann,71,17.26,34,197
15,16,16,Freddie Jacobson,86,17.2,43,250
16,17,17,Steve Stricker,53,16.94,31,183
17,18,18,Carlos Ortiz,79,16.92,34,201
18,19,19,Adam Hadwin,93,16.88,54,320
19,20,20,David Lingmerth,84,16.82,37,220
20,21,21,Brooks Koepka,75,16.67,28,168
21,22,22,Patrick Reed,105,16.6,40,241
22,23,23,Billy Horschel,73,16.58,32,193
23,24,24,Henrik Norlander,71,16.55,24,145
24,25,25,Rhein Gibson,58,16.54,21,127
25,26,26,Martin Laird,82,16.38,38,232
26,27,27,Zach Johnson,90,16.35,43,263
27,28,28,D.H. Lee,61,16.33,24,147
28,29,29,Louis Oosthuizen,63,16.08,23,143
29,30,30,Robert Garrigus,69,15.79,27,171
30,31,31,David Hearn,95,15.74,51,324
31,32,32,Chez Reavie,90,15.59,41,263
32,33,33,Tim Wilkinson,72,15.43,25,162
33,34,34,Chris Kirk,90,15.41,45,292
34,35,35,Brett Stegmaier,87,15.38,38,247
35,36,36,Fabián Gómez,82,15.36,41,267
36,T37,T37,K.J. Choi,73,15.35,37,241
37,T37,T37,Tony Finau,95,15.35,35,228
38,39,39,Dawie van der Walt,72,15.34,25,163
39,40,40,Justin Thomas,99,15.32,38,248
40,T41,T41,Harris English,97,15.23,37,243
41,T41,T41,Jhonattan Vegas,97,15.23,37,243
42,43,43,Charley Hoffman,91,15.14,33,218
43,44,44,Jimmy Walker,85,15.02,35,233
44,45,45,Robert Streb,87,15.0,36,240
45,46,46,Chris Stroud,82,14.98,37,247
46,T47,T47,Emiliano Grillo,93,14.8,37,250
47,T47,T47,Chesson Hadley,81,14.8,29,196
48,49,49,Lucas Glover,75,14.76,31,210
49,50,50,Thomas Aiken,70,14.69,26,177
50,51,51,Shawn Stefani,91,14.63,42,287
51,52,52,Luke Donald,81,14.58,35,240
52,53,53,Scott Pinckney,87,14.56,30,206
53,54,54,Kyle Stanley,92,14.55,39,268
54,55,55,Chad Campbell,90,14.53,42,289
55,56,56,Charl Schwartzel,73,14.44,26,180
56,57,57,Webb Simpson,70,14.43,28,194
57,58,58,Kelly Kraft,63,14.41,17,118
58,59,59,Rickie Fowler,80,14.35,31,216
59,60,60,Sung Kang,89,14.34,36,251
60,61,61,Rob Oppenheim,67,14.29,25,175
61,62,62,Jon Curran,99,14.24,47,330
62,63,63,Charles Howell III,91,14.23,35,246
63,64,64,William McGirt,98,14.2,47,331
64,65,65,Johnson Wagner,86,14.18,37,261
65,66,66,Jason Kokrak,89,14.17,34,240
66,67,67,Keegan Bradley,82,14.16,31,219
67,68,68,Stewart Cink,61,14.1,22,156
68,T69,T69,Ben Martin,92,14.04,40,285
69,T69,T69,Brian Stuard,66,14.04,33,235
70,71,71,Steve Marino,72,13.95,24,172
71,72,72,Jeff Overton,69,13.93,28,201
72,73,73,Seung-Yul Noh,85,13.87,33,238
73,T74,T74,Wes Roach,59,13.85,18,130
74,T74,T74,Vaughn Taylor,72,13.85,32,231
75,76,76,Vijay Singh,72,13.69,33,241
76,77,77,Steve Wheatcroft,85,13.67,35,256
77,78,78,Brendon de Jonge,83,13.6,31,228
78,79,79,Rod Pampling,54,13.59,14,103
79,80,80,Ryan Moore,86,13.52,33,244
80,81,81,Kevin Na,96,13.51,35,259
81,82,82,Ricky Barnes,97,13.48,38,282
82,83,83,Daniel Summerhays,99,13.45,37,275
83,84,84,Alex Cejka,71,13.38,21,157
84,85,85,Matt Jones,83,13.37,27,202
85,86,86,Harold Varner III,92,13.36,35,262
86,87,87,John Huh,86,13.33,42,315
87,88,88,Nick Taylor,83,13.21,28,212
88,89,89,Hideki Matsuyama,76,13.2,26,197
89,T90,T90,Tom Hoge,81,13.14,23,175
90,T90,T90,Sam Saunders,69,13.14,23,175
91,92,92,Jim Furyk,52,13.11,24,183
92,93,93,Kyle Reifers,115,13.1,44,336
93,94,94,Scott Piercy,87,13.06,29,222
94,T95,T95,Andres Gonzales,80,13.02,25,192
95,T95,T95,Boo Weekley,83,13.02,28,215
96,97,97,James Hahn,85,12.99,30,231
97,98,98,Sean O'Hair,89,12.93,34,263
98,99,99,Ken Duke,58,12.92,23,178
99,100,100,Smylie Kaufman,91,12.9,24,186
100,101,101,Bryce Molder,80,12.89,29,225
101,T102,T102,Paul Casey,77,12.86,27,210
102,T102,T102,Russell Knox,92,12.86,31,241
103,104,104,Cameron Smith,73,12.8,21,164
104,105,105,Luke List,79,12.79,28,219
105,106,106,Jordan Spieth,80,12.78,23,180
106,107,107,Spencer Levin,104,12.75,39,306
107,108,108,Kevin Kisner,97,12.74,33,259
108,109,109,Brian Harman,104,12.62,38,301
109,110,110,Scott Brown,88,12.5,30,240
110,T111,T111,Daniel Berger,92,12.45,32,257
111,T111,T111,Matt Kuchar,100,12.45,34,273
112,113,113,Kevin Streelman,82,12.44,26,209
113,114,114,Francesco Molinari,64,12.38,26,210
114,T115,T115,Chad Collins,73,12.33,27,219
115,T115,T115,Greg Owen,85,12.33,27,219
116,117,117,Kevin Chappell,93,12.31,33,268
117,118,118,Michael Thompson,71,12.26,19,155
118,119,119,Michael Kim,100,12.24,36,294
119,120,120,Willy Wilcox,67,12.14,25,206
120,121,121,Colt Knost,90,12.12,32,264
121,122,122,Whee Kim,82,12.09,26,215
122,123,123,Danny Lee,93,12.03,32,266
123,T124,T124,Aaron Baddeley,93,11.92,31,260
124,T124,T124,Mark Hubbard,101,11.92,36,302
125,T126,T126,Branden Grace,63,11.89,17,143
126,T126,T126,Troy Merritt,77,11.89,27,227
127,T128,T128,Sergio Garcia,54,11.88,12,101
128,T128,T128,Jason Gore,78,11.88,24,202
129,T128,T128,Phil Mickelson,75,11.88,24,202
130,131,131,Derek Ernst,59,11.81,15,127
131,132,132,Peter Malnati,85,11.79,29,246
132,133,133,Graeme McDowell,63,11.76,20,170
133,134,134,Russell Henley,76,11.68,25,214
134,135,135,Andrew Landry,53,11.63,10,86
135,136,136,Will MacKenzie,84,11.59,27,233
