,Tenth_Tee_Early_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Scoring_Average_ROUNDS,Tenth_Tee_Early_Scoring_Average_AVG,Tenth_Tee_Early_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Scoring_Average_TOTAL 10TH TEE EARLY RDS.
0,1,1,Jason Day,76,68.64,961,14
1,2,2,Charles Howell III,91,68.88,1102,16
2,3,3,Ryan Moore,86,69.09,760,11
3,4,4,Billy Horschel,73,69.12,1175,17
4,5,5,Jordan Spieth,80,69.14,968,14
5,6,6,Charl Schwartzel,73,69.17,830,12
6,7,7,Daniel Summerhays,99,69.19,1107,16
7,T8,T8,Marc Leishman,89,69.2,1038,15
8,T8,T8,Adam Scott,79,69.2,1038,15
9,10,10,Dustin Johnson,87,69.29,970,14
10,11,11,Gary Woodland,95,69.44,1111,16
11,12,12,David Hearn,95,69.45,1528,22
12,13,13,Ricky Barnes,97,69.46,1667,24
13,T14,T14,Sergio Garcia,54,69.5,556,8
14,T14,T14,Kevin Na,96,69.5,834,12
15,16,16,Phil Mickelson,75,69.53,1182,17
16,T17,T17,Martin Laird,82,69.55,1530,22
17,T17,T17,John Senden,88,69.55,765,11
18,19,19,Matt Kuchar,100,69.62,1810,26
19,T20,T20,Johnson Wagner,86,69.64,975,14
20,T20,T20,Jimmy Walker,85,69.64,975,14
21,22,22,Keegan Bradley,82,69.69,1115,16
22,23,23,Chad Campbell,90,69.71,1464,21
23,24,24,Ben Crane,80,69.73,767,11
24,25,25,Brian Stuard,66,69.77,907,13
25,26,26,Louis Oosthuizen,63,69.78,628,9
26,27,27,Bubba Watson,72,69.79,977,14
27,T28,T28,Adam Hadwin,93,69.82,1187,17
28,T28,T28,Russell Knox,92,69.82,1187,17
29,30,30,Jason Dufner,105,69.83,1257,18
30,31,31,Brendan Steele,88,69.87,1048,15
31,32,32,Chesson Hadley,81,69.9,699,10
32,33,33,Bryce Molder,80,69.92,839,12
33,34,34,Nick Taylor,83,69.93,1049,15
34,35,35,Patrick Rodgers,89,69.94,1119,16
35,36,36,Kyle Reifers,115,69.96,1959,28
36,T37,T37,Jim Furyk,52,70.0,840,12
37,T37,T37,Emiliano Grillo,93,70.0,980,14
38,T37,T37,Hideki Matsuyama,76,70.0,980,14
39,T37,T37,Scott Stallings,74,70.0,490,7
40,T37,T37,Cameron Tringale,81,70.0,560,8
41,T37,T37,Jhonattan Vegas,97,70.0,1540,22
42,43,43,Bronson Burgoon,83,70.05,1331,19
43,T44,T44,Lucas Glover,75,70.06,1191,17
44,T44,T44,Anirban Lahiri,72,70.06,1121,16
45,T44,T44,Steve Stricker,53,70.06,1121,16
46,T47,T47,Rickie Fowler,80,70.07,1051,15
47,T47,T47,David Lingmerth,84,70.07,981,14
48,49,49,Matt Jones,83,70.08,911,13
49,50,50,Jason Kokrak,89,70.09,1612,23
50,51,51,Zach Johnson,90,70.1,1402,20
51,52,52,Stuart Appleby,71,70.11,631,9
52,53,53,Tyrone Van Aswegen,105,70.15,1403,20
