,Front_9_Scoring_Average_RANK THIS WEEK,Front_9_Scoring_Average_RANK LAST WEEK,Front_9_Scoring_Average_PLAYER NAME,Front_9_Scoring_Average_ROUNDS,Front_9_Scoring_Average_AVG,Front_9_Scoring_Average_TOTAL STROKES,Front_9_Scoring_Average_TOTAL HOLES
0,1,1,Dustin Johnson,87,34.45,2825,82
1,2,2,Jason Day,76,34.7,2394,69
2,3,3,Rory McIlroy,69,34.71,2152,62
3,4,4,Jordan Spieth,80,34.82,2646,76
4,5,5,Alex Cejka,71,34.84,2334,67
5,6,6,Phil Mickelson,75,34.86,2510,72
6,7,7,Adam Scott,79,34.87,2650,76
7,8,8,Charles Howell III,91,34.88,3174,91
8,9,9,Patrick Reed,105,34.89,3524,101
9,T10,T10,Rickie Fowler,80,34.9,2687,77
10,T10,T10,Sergio Garcia,54,34.9,1780,51
11,T10,T10,Brandt Snedeker,93,34.9,3106,89
12,13,13,Jason Dufner,105,34.91,3561,102
13,T14,T14,Hideki Matsuyama,76,34.92,2549,73
14,T14,T14,Kevin Na,96,34.92,3248,93
15,T14,T14,Steve Stricker,53,34.92,1851,53
16,T17,T17,Roberto Castro,97,34.93,3388,97
17,T17,T17,Russell Knox,92,34.93,3109,89
18,19,19,Justin Rose,65,34.95,2167,62
19,20,20,Jimmy Walker,85,34.96,2867,82
20,21,21,Ryan Moore,86,34.98,2833,81
21,22,22,Matt Kuchar,100,35.0,3360,96
22,T23,T23,Brooks Koepka,75,35.01,2451,70
23,T23,T23,Bryce Molder,80,35.01,2731,78
24,T25,T25,Jim Furyk,52,35.02,1821,52
25,T25,T25,Kevin Kisner,97,35.02,3292,94
26,T27,T27,Branden Grace,63,35.03,2102,60
27,T27,T27,Kelly Kraft,63,35.03,2067,59
28,T27,T27,Bubba Watson,72,35.03,2417,69
29,T30,T30,Robert Garrigus,69,35.05,2278,65
30,T30,T30,Adam Hadwin,93,35.05,3260,93
31,T30,T30,Jerry Kelly,76,35.05,2664,76
32,T30,T30,Luke List,79,35.05,2699,77
33,T30,T30,Ryan Palmer,86,35.05,3014,86
34,T30,T30,Johnson Wagner,86,35.05,3014,86
35,T30,T30,Gary Woodland,95,35.05,3190,91
36,T37,T37,Ricky Barnes,97,35.08,3262,93
37,T37,T37,Billy Hurley III,66,35.08,2315,66
38,T37,T37,Freddie Jacobson,86,35.08,3017,86
39,T37,T37,Martin Laird,82,35.08,2736,78
40,41,41,Luke Donald,81,35.09,2842,81
41,T42,T42,Marc Leishman,89,35.1,3019,86
42,T42,T42,Scott Stallings,74,35.1,2457,70
43,T44,T44,K.J. Choi,73,35.11,2563,73
44,T44,T44,William McGirt,98,35.11,3441,98
45,46,46,Russell Henley,76,35.12,2669,76
46,T47,T47,Kevin Chappell,93,35.13,3267,93
47,T47,T47,Brian Harman,104,35.13,3653,104
48,T47,T47,Boo Weekley,83,35.13,2916,83
49,50,50,Francesco Molinari,64,35.14,2249,64
50,T51,T51,Rhein Gibson,58,35.15,1898,54
51,T51,T51,Sean O'Hair,89,35.15,3128,89
52,T53,T53,Scott Pinckney,87,35.16,2989,85
53,T53,T53,Chez Reavie,90,35.16,3024,86
54,T55,T55,Tony Finau,95,35.17,3341,95
55,T55,T55,Geoff Ogilvy,63,35.17,2075,59
56,T55,T55,Charl Schwartzel,73,35.17,2462,70
57,58,58,Cameron Tringale,81,35.18,2709,77
58,T59,T59,Padraig Harrington,54,35.19,1900,54
59,T59,T59,Morgan Hoffmann,71,35.19,2358,67
60,T59,T59,Spencer Levin,104,35.19,3519,100
61,62,62,Tim Wilkinson,72,35.21,2394,68
62,63,63,Troy Merritt,77,35.22,2712,77
63,T64,T64,Paul Casey,77,35.23,2607,74
64,T64,T64,Charley Hoffman,91,35.23,3100,88
65,T64,T64,Billy Horschel,73,35.23,2466,70
66,T64,T64,Zach Johnson,90,35.23,3030,86
67,T64,T64,Jamie Lovemark,91,35.23,3206,91
68,T64,T64,Webb Simpson,70,35.23,2466,70
69,T70,T70,Thomas Aiken,70,35.24,2326,66
70,T70,T70,Jason Bohn,67,35.24,2361,67
71,T70,T70,Ben Crane,80,35.24,2678,76
72,T70,T70,Henrik Norlander,71,35.24,2361,67
73,T70,T70,Patrick Rodgers,89,35.24,2995,85
74,T75,T75,Stuart Appleby,71,35.25,2432,69
75,T75,T75,Stewart Cink,61,35.25,2150,61
76,T75,T75,Si Woo Kim,113,35.25,3842,109
77,T75,T75,Jason Kokrak,89,35.25,3137,89
78,T75,T75,Scott Piercy,87,35.25,2961,84
79,T75,T75,Justin Thomas,99,35.25,3384,96
80,T81,T81,Aaron Baddeley,93,35.26,3138,89
81,T81,T81,Jon Curran,99,35.26,3491,99
82,T81,T81,Derek Ernst,59,35.26,2010,57
83,T81,T81,Matt Jones,83,35.26,2821,80
84,T85,T85,Zac Blair,99,35.27,3351,95
85,T85,T85,John Senden,88,35.27,3033,86
86,T85,T85,Hudson Swafford,104,35.27,3668,104
87,88,88,Kyle Reifers,115,35.28,3916,111
88,T89,T89,Daniel Berger,92,35.29,3141,89
89,T89,T89,David Hearn,95,35.29,3353,95
90,T89,T89,Michael Thompson,71,35.29,2400,68
91,T92,T92,Brendan Steele,88,35.3,2965,84
92,T92,T92,Harold Varner III,92,35.3,3248,92
93,T94,T94,Smylie Kaufman,91,35.31,3107,88
94,T94,T94,Danny Lee,93,35.31,3178,90
95,T94,T94,David Lingmerth,84,35.31,2860,81
96,T97,T97,Seung-Yul Noh,85,35.32,2861,81
97,T97,T97,Shawn Stefani,91,35.32,3073,87
98,T97,T97,Brett Stegmaier,87,35.32,3002,85
99,T97,T97,Jhonattan Vegas,97,35.32,3285,93
100,T101,T101,Lucas Glover,75,35.33,2650,75
101,T101,T101,Bill Haas,86,35.33,2897,82
102,T101,T101,Michael Kim,100,35.33,3392,96
103,T101,T101,Colt Knost,90,35.33,3038,86
104,105,105,Sam Saunders,69,35.34,2297,65
105,T106,T106,Whee Kim,82,35.35,2757,78
106,T106,T106,Vaughn Taylor,72,35.35,2545,72
107,T108,T108,Jonas Blixt,79,35.36,2687,76
108,T108,T108,Chad Campbell,90,35.36,3182,90
109,T108,T108,Sung Kang,89,35.36,3076,87
110,T108,T108,Chris Kirk,90,35.36,3006,85
111,T108,T108,Chris Stroud,82,35.36,2829,80
112,T113,T113,Patton Kizzire,93,35.38,3149,89
113,T113,T113,Scott Langley,65,35.38,2229,63
114,T113,T113,Willy Wilcox,67,35.38,2300,65
115,116,116,Scott Brown,88,35.39,3114,88
116,T117,T117,Blayne Barber,84,35.4,2832,80
117,T117,T117,Retief Goosen,55,35.4,1947,55
118,T117,T117,Luke Guthrie,57,35.4,1947,55
119,T117,T117,Robert Streb,87,35.4,2974,84
120,T121,T121,Kyle Stanley,92,35.42,3152,89
121,T121,T121,Nick Taylor,83,35.42,2798,79
122,T123,T123,Tyler Aldridge,83,35.43,2799,79
123,T123,T123,Bronson Burgoon,83,35.43,2799,79
124,T123,T123,Camilo Villegas,83,35.43,2799,79
125,T126,T126,Keegan Bradley,82,35.44,2906,82
126,T126,T126,Graham DeLaet,70,35.44,2339,66
127,T126,T126,Harris English,97,35.44,3438,97
128,T126,T126,Derek Fathauer,94,35.44,3331,94
129,T126,T126,John Huh,86,35.44,3012,85
130,T126,T126,Ben Martin,92,35.44,3119,88
131,T132,T132,Anirban Lahiri,72,35.46,2447,69
132,T132,T132,Daniel Summerhays,99,35.46,3511,99
133,T132,T132,Steve Wheatcroft,85,35.46,2872,81
134,T135,T135,Andrew Landry,53,35.47,1738,49
135,T135,T135,Vijay Singh,72,35.47,2554,72
136,T135,T135,Tyrone Van Aswegen,105,35.47,3618,102
137,T138,T138,Fabián Gómez,82,35.48,2803,79
138,T138,T138,Andrew Loupe,75,35.48,2661,75
139,T140,T140,Tom Hoge,81,35.49,2733,77
140,T140,T140,Mark Hubbard,101,35.49,3443,97
141,T140,T140,Jeff Overton,69,35.49,2307,65
142,T143,T143,David Toms,62,35.5,2201,62
143,T143,T143,Mark Wilson,66,35.5,2201,62
144,T145,T145,James Hahn,85,35.51,3018,85
145,T145,T145,Peter Malnati,85,35.51,3018,85
146,T145,T145,Dawie van der Walt,72,35.51,2486,70
147,T148,T148,D.A. Points,55,35.53,1812,51
148,T148,T148,Brian Stuard,66,35.53,2345,66
149,150,150,Dicky Pride,55,35.55,1884,53
150,T151,T151,Ken Duke,58,35.57,1921,54
151,T151,T151,Emiliano Grillo,93,35.57,3201,90
152,T151,T151,Hiroshi Iwata,85,35.57,2952,83
153,154,154,Chad Collins,73,35.58,2597,73
154,155,155,George McNeill,51,35.59,1815,51
155,T156,T156,Martin Piller,59,35.6,2029,57
156,T156,T156,Kevin Streelman,82,35.6,2919,82
157,158,158,Rob Oppenheim,67,35.62,2244,63
158,159,159,Rory Sabbatini,57,35.63,1924,54
159,T160,T160,Wes Roach,59,35.64,1960,55
160,T160,T160,Cameron Smith,73,35.64,2459,69
161,T162,T162,Chesson Hadley,81,35.66,2817,79
162,T162,T162,J.B. Holmes,77,35.66,2639,74
163,T162,T162,Rod Pampling,54,35.66,1783,50
164,T165,T165,Abraham Ancer,51,35.67,1712,48
165,T165,T165,Ernie Els,66,35.67,2354,66
166,167,167,Louis Oosthuizen,63,35.68,1998,56
167,T168,T168,Shane Lowry,57,35.69,1927,54
168,T168,T168,Greg Owen,85,35.69,2891,81
169,170,170,Steve Marino,72,35.71,2428,68
170,171,171,Carlos Ortiz,79,35.72,2679,75
171,172,172,Andres Gonzales,80,35.73,2787,78
172,173,173,Brendon de Jonge,83,35.74,2895,81
173,T174,T174,Jim Herman,93,35.76,3326,93
174,T174,T174,Will MacKenzie,84,35.76,2861,80
175,176,176,Graeme McDowell,63,35.77,2146,60
176,177,177,Jason Gore,78,35.82,2651,74
177,178,178,Erik Compton,65,35.84,2258,63
178,179,179,J.J. Henry,68,35.89,2369,66
179,T180,T180,Robert Allenby,51,36.02,1837,51
180,T180,T180,Brendon Todd,66,36.02,2269,63
181,182,182,Hunter Mahan,61,36.05,2199,61
182,183,183,Ángel Cabrera,62,36.32,2252,62
183,184,184,D.H. Lee,61,36.42,2076,57
184,185,185,Steven Bowditch,71,36.62,2600,71
