,Scoring_Average_Actual_RANK THIS WEEK,Scoring_Average_Actual_RANK LAST WEEK,Scoring_Average_Actual_PLAYER NAME,Scoring_Average_Actual_ROUNDS,Scoring_Average_Actual_AVG,Scoring_Average_Actual_TOTAL STROKES,Scoring_Average_Actual_TOTAL ROUNDS
0,1,1,Dustin Johnson,87,69.48,5697,82
1,2,2,Jason Day,76,69.71,4810,69
2,3,3,Jordan Spieth,80,69.72,5299,76
3,4,4,Adam Scott,79,69.8,5305,76
4,T5,T5,Rory McIlroy,69,69.97,4338,62
5,T5,T5,Phil Mickelson,75,69.97,5038,72
6,7,7,Steve Stricker,53,69.98,3709,53
7,T8,T8,Alex Cejka,71,70.04,4693,67
8,T8,T8,Matt Kuchar,100,70.04,6724,96
9,10,10,Charles Howell III,91,70.07,6376,91
10,11,11,Roberto Castro,97,70.12,6802,97
11,12,12,Brooks Koepka,75,70.13,4909,70
12,T13,T13,Hideki Matsuyama,76,70.15,5121,73
13,T13,T13,Patrick Reed,105,70.15,7085,101
14,15,15,Rickie Fowler,80,70.17,5403,77
15,16,16,Gary Woodland,95,70.19,6387,91
16,17,17,Paul Casey,77,70.2,5195,74
17,18,18,Brandt Snedeker,93,70.22,6250,89
18,19,19,Ryan Moore,86,70.23,5689,81
19,T20,T20,Jason Dufner,105,70.27,7168,102
20,T20,T20,Kevin Na,96,70.27,6535,93
21,22,22,Chad Campbell,90,70.29,6326,90
22,23,23,Charl Schwartzel,73,70.3,4921,70
23,24,24,Chez Reavie,90,70.31,6047,86
24,T25,T25,Lucas Glover,75,70.33,5275,75
25,T25,T25,Ryan Palmer,86,70.33,6048,86
26,T27,T27,Ricky Barnes,97,70.34,6542,93
27,T27,T27,Russell Henley,76,70.34,5346,76
28,T27,T27,Si Woo Kim,113,70.34,7667,109
29,30,30,Robert Garrigus,69,70.37,4574,65
30,T31,T31,Sergio Garcia,54,70.39,3590,51
31,T31,T31,William McGirt,98,70.39,6898,98
32,T31,T31,Sean O'Hair,89,70.39,6265,89
33,34,34,Russell Knox,92,70.4,6266,89
34,T35,T35,Zach Johnson,90,70.41,6055,86
35,T35,T35,Tim Wilkinson,72,70.41,4788,68
36,37,37,Daniel Berger,92,70.42,6267,89
37,38,38,Webb Simpson,70,70.44,4931,70
38,39,39,Adam Hadwin,93,70.47,6554,93
39,T40,T40,Stewart Cink,61,70.49,4300,61
40,T40,T40,Kevin Kisner,97,70.49,6626,94
41,42,42,Johnson Wagner,86,70.5,6063,86
42,43,43,David Hearn,95,70.52,6699,95
43,T44,T44,Aaron Baddeley,93,70.53,6277,89
44,T44,T44,Marc Leishman,89,70.53,6066,86
45,T44,T44,Hudson Swafford,104,70.53,7335,104
46,47,47,Bubba Watson,72,70.54,4867,69
47,T48,T48,Kevin Chappell,93,70.55,6561,93
48,T48,T48,John Senden,88,70.55,6067,86
49,T48,T48,Jhonattan Vegas,97,70.55,6561,93
50,T48,T48,Jimmy Walker,85,70.55,5785,82
51,52,52,Jim Furyk,52,70.58,3670,52
52,53,53,Patrick Rodgers,89,70.59,6000,85
53,T54,T54,Jason Kokrak,89,70.6,6283,89
54,T54,T54,Luke List,79,70.6,5436,77
55,T56,T56,Freddie Jacobson,86,70.62,6073,86
56,T56,T56,Jerry Kelly,76,70.62,5367,76
57,58,58,Spencer Levin,104,70.63,7063,100
58,59,59,Martin Laird,82,70.64,5510,78
59,60,60,Stuart Appleby,71,70.65,4875,69
60,T61,T61,Harris English,97,70.66,6854,97
61,T61,T61,Henrik Norlander,71,70.66,4734,67
62,T61,T61,Justin Rose,65,70.66,4381,62
63,64,64,Brian Harman,104,70.67,7350,104
64,T65,T65,Bryce Molder,80,70.69,5514,78
65,T65,T65,Francesco Molinari,64,70.69,4524,64
66,T65,T65,Boo Weekley,83,70.69,5867,83
67,68,68,Jamie Lovemark,91,70.7,6434,91
68,T69,T69,Bill Haas,86,70.71,5798,82
69,T69,T69,Brett Stegmaier,87,70.71,6010,85
70,T71,T71,Jason Bohn,67,70.72,4738,67
71,T71,T71,Kyle Reifers,115,70.72,7850,111
72,T71,T71,Justin Thomas,99,70.72,6789,96
73,74,74,Blayne Barber,84,70.73,5658,80
74,75,75,Emiliano Grillo,93,70.74,6367,90
75,T76,T76,Ben Crane,80,70.75,5377,76
76,T76,T76,Tony Finau,95,70.75,6721,95
77,78,78,Sung Kang,89,70.76,6156,87
78,79,79,Keegan Bradley,82,70.77,5803,82
79,T80,T80,Branden Grace,63,70.78,4247,60
80,T80,T80,Luke Guthrie,57,70.78,3893,55
81,T80,T80,Chris Stroud,82,70.78,5662,80
82,T83,T83,Daniel Summerhays,99,70.79,7008,99
83,T83,T83,Michael Thompson,71,70.79,4814,68
84,85,85,John Huh,86,70.8,6018,85
85,T86,T86,Kelly Kraft,63,70.81,4178,59
86,T86,T86,Scott Stallings,74,70.81,4957,70
87,T88,T88,J.B. Holmes,77,70.85,5243,74
88,T88,T88,Billy Hurley III,66,70.85,4676,66
89,T88,T88,Colt Knost,90,70.85,6093,86
90,T88,T88,Ben Martin,92,70.85,6235,88
91,T88,T88,Scott Piercy,87,70.85,5951,84
92,T88,T88,Nick Taylor,83,70.85,5597,79
93,94,94,Chris Kirk,90,70.86,6023,85
94,T95,T95,Jon Curran,99,70.88,7017,99
95,T95,T95,Luke Donald,81,70.88,5741,81
96,T95,T95,Kyle Stanley,92,70.88,6308,89
97,T98,T98,Louis Oosthuizen,63,70.89,3970,56
98,T98,T98,Brendan Steele,88,70.89,5955,84
99,T100,T100,Scott Brown,88,70.91,6240,88
100,T100,T100,Retief Goosen,55,70.91,3900,55
101,T102,T102,Smylie Kaufman,91,70.92,6241,88
102,T102,T102,Andrew Landry,53,70.92,3475,49
103,T104,T104,K.J. Choi,73,70.93,5178,73
104,T104,T104,Padraig Harrington,54,70.93,3830,54
105,T106,T106,Thomas Aiken,70,70.94,4682,66
106,T106,T106,David Lingmerth,84,70.94,5746,81
107,T106,T106,Seung-Yul Noh,85,70.94,5746,81
108,T109,T109,Bronson Burgoon,83,70.95,5605,79
