,Late_Scoring_Average_RANK THIS WEEK,Late_Scoring_Average_RANK LAST WEEK,Late_Scoring_Average_PLAYER NAME,Late_Scoring_Average_ROUNDS,Late_Scoring_Average_AVG,Late_Scoring_Average_TOTAL STROKES,Late_Scoring_Average_TOTAL LATE ROUNDS
0,1,1,Adam Scott,79,69.6,3480,50
1,2,2,Dustin Johnson,87,69.62,4038,58
2,3,3,Rickie Fowler,80,69.77,3349,48
3,4,4,Ryan Moore,86,69.85,3353,48
4,5,5,Patrick Reed,105,69.86,3563,51
5,6,6,Jason Bohn,67,69.93,2028,29
6,7,7,Rory McIlroy,69,69.95,2588,37
7,8,8,Robert Garrigus,69,69.96,1889,27
8,9,9,Steve Stricker,53,70.0,1890,27
9,10,10,Russell Henley,76,70.02,2871,41
10,11,11,Brooks Koepka,75,70.03,2801,40
11,12,12,Kevin Chappell,93,70.04,3572,51
12,13,13,Daniel Berger,92,70.05,2872,41
13,14,14,Henrik Norlander,71,70.07,1892,27
14,15,15,Jason Dufner,105,70.08,3434,49
15,T16,T16,Alex Cejka,71,70.09,2313,33
16,T16,T16,Bill Haas,86,70.09,3084,44
17,T16,T16,Webb Simpson,70,70.09,2383,34
18,19,19,Jordan Spieth,80,70.1,3435,49
19,20,20,Brandt Snedeker,93,70.15,3648,52
20,21,21,Hideki Matsuyama,76,70.19,2948,42
21,22,22,Ryan Palmer,86,70.2,3089,44
22,23,23,Jason Day,76,70.21,2738,39
23,T24,T24,Kevin Kisner,97,70.22,3230,46
24,T24,T24,Justin Thomas,99,70.22,3441,49
25,T26,T26,Paul Casey,77,70.24,3231,46
26,T26,T26,Branden Grace,63,70.24,2037,29
27,T28,T28,Roberto Castro,97,70.3,3234,46
28,T28,T28,Lucas Glover,75,70.3,2601,37
29,30,30,Phil Mickelson,75,70.32,2672,38
30,31,31,Matt Kuchar,100,70.33,3446,49
31,32,32,Jon Curran,99,70.36,3096,44
32,33,33,Sergio Garcia,54,70.37,2111,30
33,34,34,Bubba Watson,72,70.38,2252,32
34,T35,T35,Kevin Na,96,70.42,3521,50
35,T35,T35,Dawie van der Walt,72,70.42,2324,33
36,37,37,Brett Stegmaier,87,70.45,2818,40
37,T38,T38,Si Woo Kim,113,70.48,4088,58
38,T38,T38,William McGirt,98,70.48,3242,46
39,40,40,Chez Reavie,90,70.49,2890,41
40,T41,T41,Stewart Cink,61,70.5,1692,24
41,T41,T41,Colt Knost,90,70.5,2820,40
42,T43,T43,Luke Donald,81,70.51,2750,39
43,T43,T43,Freddie Jacobson,86,70.51,3173,45
44,T43,T43,Jerry Kelly,76,70.51,2891,41
45,46,46,Jason Kokrak,89,70.54,2751,39
46,47,47,Adam Hadwin,93,70.55,3316,47
47,T48,T48,Aaron Baddeley,93,70.56,2893,41
48,T48,T48,Chad Campbell,90,70.56,3034,43
49,50,50,Thomas Aiken,70,70.57,1976,28
50,T51,T51,Sean O'Hair,89,70.59,2894,41
51,T51,T51,Harold Varner III,92,70.59,3459,49
52,53,53,Charles Howell III,91,70.6,3177,45
53,T54,T54,Russell Knox,92,70.63,3037,43
54,T54,T54,Bryce Molder,80,70.63,2825,40
55,56,56,Patton Kizzire,93,70.65,2826,40
56,57,57,Hudson Swafford,104,70.66,3957,56
57,T58,T58,Luke Guthrie,57,70.68,1767,25
58,T58,T58,J.B. Holmes,77,70.68,2403,34
59,T58,T58,Marc Leishman,89,70.68,2827,40
60,61,61,Willy Wilcox,67,70.69,2050,29
61,62,62,Graeme McDowell,63,70.7,2121,30
62,T63,T63,Spencer Levin,104,70.71,3394,48
