,First_Tee_Late_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Scoring_Average_PLAYER NAME,First_Tee_Late_Scoring_Average_ROUNDS,First_Tee_Late_Scoring_Average_AVG,First_Tee_Late_Scoring_Average_TOTAL STROKES,First_Tee_Late_Scoring_Average_TOTAL 1ST TEE LATE ROUNDS
0,1,1,Ryan Moore,86,69.29,2425,35
1,2,2,Adam Scott,79,69.52,3059,44
2,3,3,Dustin Johnson,87,69.67,3762,54
3,4,4,Steve Marino,72,69.71,1185,17
4,5,5,Jerry Kelly,76,69.74,1604,23
5,6,6,Luke Donald,81,69.83,1606,23
6,7,7,Rickie Fowler,80,69.86,3074,44
7,T8,T8,Rory McIlroy,69,69.88,2306,33
8,T8,T8,Steve Stricker,53,69.88,1747,25
9,10,10,Willy Wilcox,67,69.91,769,11
10,11,11,Patrick Reed,105,69.92,3356,48
11,12,12,Brandt Snedeker,93,69.98,3289,47
12,T13,T13,Alex Cejka,71,70.0,1610,23
13,T13,T13,Bill Haas,86,70.0,2310,33
14,T13,T13,Henrik Norlander,71,70.0,980,14
15,16,16,Jordan Spieth,80,70.04,3152,45
16,17,17,Branden Grace,63,70.09,1542,22
17,18,18,Hideki Matsuyama,76,70.1,2734,39
18,T19,T19,Kevin Chappell,93,70.11,2524,36
19,T19,T19,Chris Stroud,82,70.11,1332,19
20,21,21,Chez Reavie,90,70.12,1823,26
21,22,22,Russell Henley,76,70.13,1613,23
22,23,23,Colt Knost,90,70.14,1473,21
23,24,24,Peter Malnati,85,70.18,1544,22
24,25,25,Brooks Koepka,75,70.19,2176,31
25,26,26,Jon Curran,99,70.22,2247,32
26,27,27,Webb Simpson,70,70.23,1826,26
27,28,28,Jason Day,76,70.24,2669,38
28,29,29,John Senden,88,70.25,1405,20
29,30,30,Phil Mickelson,75,70.26,2459,35
30,31,31,Justin Thomas,99,70.28,3022,43
31,T32,T32,Jason Bohn,67,70.29,984,14
32,T32,T32,Charles Howell III,91,70.29,2179,31
33,34,34,Bubba Watson,72,70.32,1969,28
34,35,35,Stuart Appleby,71,70.33,633,9
35,T36,T36,Chad Campbell,90,70.38,1830,26
36,T36,T36,Sergio Garcia,54,70.38,1830,26
37,T36,T36,Kevin Kisner,97,70.38,2745,39
38,39,39,Daniel Berger,92,70.39,2182,31
39,T40,T40,Graeme McDowell,63,70.4,1760,25
40,T40,T40,Brett Stegmaier,87,70.4,1760,25
41,42,42,Paul Casey,77,70.41,2253,32
42,43,43,Jason Dufner,105,70.42,2535,36
43,44,44,Kevin Na,96,70.44,2395,34
44,45,45,Michael Thompson,71,70.45,1409,20
45,46,46,Daniel Summerhays,99,70.46,1973,28
46,47,47,Bryce Molder,80,70.5,1551,22
47,48,48,Matt Kuchar,100,70.52,3244,46
48,49,49,Robert Garrigus,69,70.53,1058,15
49,T50,T50,Luke Guthrie,57,70.54,917,13
50,T50,T50,Ryan Palmer,86,70.54,1975,28
51,T52,T52,Si Woo Kim,113,70.55,2187,31
52,T52,T52,Patrick Rodgers,89,70.55,2046,29
53,54,54,Robert Streb,87,70.58,1694,24
54,T55,T55,Freddie Jacobson,86,70.59,1906,27
55,T55,T55,Scott Pinckney,87,70.59,1200,17
56,57,57,Jason Kokrak,89,70.64,1978,28
57,58,58,Nick Taylor,83,70.67,1272,18
58,T59,T59,J.B. Holmes,77,70.68,1979,28
59,T59,T59,Russell Knox,92,70.68,2686,38
60,T59,T59,David Toms,62,70.68,1343,19
61,62,62,Tyrone Van Aswegen,105,70.69,2050,29
62,63,63,Scott Stallings,74,70.7,707,10
63,64,64,Derek Fathauer,94,70.71,1485,21
64,65,65,William McGirt,98,70.72,2263,32
65,T66,T66,Thomas Aiken,70,70.73,778,11
66,T66,T66,Jhonattan Vegas,97,70.73,2122,30
67,68,68,Vaughn Taylor,72,70.74,1344,19
68,69,69,Roberto Castro,97,70.75,1981,28
69,T70,T70,David Hearn,95,70.76,2335,33
70,T70,T70,Sung Kang,89,70.76,1769,25
71,72,72,Graham DeLaet,70,70.77,1840,26
72,T73,T73,Adam Hadwin,93,70.78,1911,27
73,T73,T73,Patton Kizzire,93,70.78,1911,27
74,T75,T75,Blayne Barber,84,70.79,1345,19
75,T75,T75,Whee Kim,82,70.79,1345,19
76,T75,T75,Chris Kirk,90,70.79,1699,24
77,T75,T75,Charl Schwartzel,73,70.79,2336,33
78,T75,T75,Steve Wheatcroft,85,70.79,1699,24
79,80,80,Matt Jones,83,70.81,1133,16
80,81,81,Jim Furyk,52,70.82,1558,22
81,82,82,Spencer Levin,104,70.83,1700,24
82,83,83,Harris English,97,70.84,2267,32
83,T84,T84,Aaron Baddeley,93,70.86,1559,22
84,T84,T84,Ricky Barnes,97,70.86,1984,28
85,T84,T84,Morgan Hoffmann,71,70.86,2055,29
86,T84,T84,Kyle Stanley,92,70.86,1488,21
87,88,88,Abraham Ancer,51,70.88,1134,16
88,T89,T89,Andres Gonzales,80,70.89,1276,18
89,T89,T89,Kyle Reifers,115,70.89,2694,38
90,T91,T91,Brian Harman,104,70.91,1631,23
91,T91,T91,Scott Piercy,87,70.91,1560,22
92,T93,T93,Robert Allenby,51,70.92,922,13
93,T93,T93,Sean O'Hair,89,70.92,1844,26
94,T95,T95,Smylie Kaufman,91,70.94,2554,36
95,T95,T95,Luke List,79,70.94,2199,31
96,T95,T95,Rob Oppenheim,67,70.94,1277,18
97,T98,T98,Lucas Glover,75,71.0,1775,25
98,T98,T98,Andrew Landry,53,71.0,923,13
99,T98,T98,Ben Martin,92,71.0,1207,17
100,T98,T98,Hudson Swafford,104,71.0,2130,30
101,T102,T102,Billy Hurley III,66,71.04,1634,23
102,T102,T102,Marc Leishman,89,71.04,1989,28
103,T104,T104,Scott Langley,65,71.05,1350,19
104,T104,T104,Andrew Loupe,75,71.05,1492,21
105,T106,T106,Scott Brown,88,71.09,2417,34
106,T106,T106,Francesco Molinari,64,71.09,1564,22
107,T106,T106,Rod Pampling,54,71.09,782,11
108,109,109,Brendon de Jonge,83,71.1,1422,20
109,110,110,Harold Varner III,92,71.11,1920,27
110,111,111,James Hahn,85,71.13,1138,16
111,112,112,Johnson Wagner,86,71.17,1708,24
112,T113,T113,Emiliano Grillo,93,71.18,1993,28
113,T113,T113,Kelly Kraft,63,71.18,1210,17
114,115,115,Dicky Pride,55,71.2,712,10
115,T116,T116,Michael Kim,100,71.22,1923,27
116,T116,T116,Martin Laird,82,71.22,1638,23
117,T116,T116,Sam Saunders,69,71.22,1638,23
118,T119,T119,Zach Johnson,90,71.23,2493,35
119,T119,T119,Tim Wilkinson,72,71.23,926,13
120,121,121,Mark Hubbard,101,71.25,1710,24
121,T122,T122,Bronson Burgoon,83,71.3,1640,23
122,T122,T122,Danny Lee,93,71.3,2139,30
123,T124,T124,Zac Blair,99,71.35,1641,23
124,T124,T124,Ben Crane,80,71.35,1427,20
125,T124,T124,Troy Merritt,77,71.35,1213,17
126,T124,T124,Jeff Overton,69,71.35,1213,17
127,128,128,Wes Roach,59,71.36,785,11
128,T129,T129,Fabián Gómez,82,71.37,1356,19
129,T129,T129,Camilo Villegas,83,71.37,1356,19
130,T131,T131,Retief Goosen,55,71.41,1214,17
131,T131,T131,Justin Rose,65,71.41,2071,29
132,T133,T133,Padraig Harrington,54,71.44,1143,16
133,T133,T133,Will MacKenzie,84,71.44,1786,25
134,135,135,Brendan Steele,88,71.45,2215,31
135,136,136,Jim Herman,93,71.46,2001,28
136,137,137,Jamie Lovemark,91,71.47,2430,34
137,T138,T138,Stewart Cink,61,71.5,715,10
138,T138,T138,Dawie van der Walt,72,71.5,1144,16
139,140,140,Hiroshi Iwata,85,71.53,1359,19
140,141,141,Tyler Aldridge,83,71.54,1860,26
141,T142,T142,John Huh,86,71.55,1574,22
142,T142,T142,Martin Piller,59,71.55,1574,22
143,144,144,Keegan Bradley,82,71.59,1933,27
144,145,145,Tony Finau,95,71.63,2292,32
145,T146,T146,J.J. Henry,68,71.67,645,9
146,T146,T146,Cameron Tringale,81,71.67,1290,18
147,148,148,Seung-Yul Noh,85,71.68,1362,19
148,T149,T149,Hunter Mahan,61,71.69,1147,16
149,T149,T149,Jimmy Walker,85,71.69,2509,35
150,151,151,Gary Woodland,95,71.71,2438,34
151,152,152,Charley Hoffman,91,71.76,2081,29
152,153,153,Tom Hoge,81,71.79,1364,19
153,154,154,D.A. Points,55,71.8,718,10
154,T155,T155,Billy Horschel,73,71.83,2155,30
155,T155,T155,Shawn Stefani,91,71.83,1652,23
156,157,157,Chesson Hadley,81,71.87,1078,15
157,158,158,Cameron Smith,73,71.88,1222,17
158,159,159,Carlos Ortiz,79,71.89,1366,19
159,160,160,David Lingmerth,84,71.91,1582,22
160,161,161,Ken Duke,58,71.93,1007,14
161,162,162,Kevin Streelman,82,71.96,1871,26
162,T163,T163,Shane Lowry,57,72.0,1512,21
163,T163,T163,Greg Owen,85,72.0,792,11
164,165,165,Jonas Blixt,79,72.04,1801,25
