,First_Tee_Early_Round_2_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Round_2_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Round_2_Scoring_Average_PLAYER NAME,First_Tee_Early_Round_2_Scoring_Average_AVG,First_Tee_Early_Round_2_Scoring_Average_TOTAL STROKES,First_Tee_Early_Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,Brooks Koepka,67.0,134,2
1,2,2,Michael Thompson,67.83,407,6
2,T3,T3,Billy Hurley III,68.0,136,2
3,T3,T3,Tim Wilkinson,68.0,272,4
4,5,5,Justin Thomas,68.5,137,2
5,6,6,Webb Simpson,68.6,343,5
6,T7,T7,Kevin Kisner,68.67,412,6
7,T7,T7,Phil Mickelson,68.67,206,3
8,T7,T7,Tyrone Van Aswegen,68.67,206,3
9,10,10,Roberto Castro,68.7,687,10
10,11,11,Daniel Berger,68.71,481,7
11,12,12,Alex Cejka,68.8,344,5
12,13,13,Stewart Cink,68.86,482,7
13,T14,T14,Jonas Blixt,69.0,69,1
14,T14,T14,Michael Kim,69.0,690,10
15,T14,T14,Sam Saunders,69.0,207,3
16,17,17,Scott Piercy,69.14,484,7
17,18,18,William McGirt,69.17,415,6
18,19,19,Zach Johnson,69.25,277,4
19,20,20,Hudson Swafford,69.29,485,7
20,T21,T21,Matt Kuchar,69.33,208,3
21,T21,T21,Mark Wilson,69.33,208,3
22,23,23,Kyle Stanley,69.44,625,9
23,24,24,Willy Wilcox,69.56,626,9
24,25,25,Rhein Gibson,69.57,487,7
25,26,26,Charl Schwartzel,69.67,418,6
26,27,27,Patrick Rodgers,69.71,488,7
27,T28,T28,Rory McIlroy,69.75,279,4
28,T28,T28,Ryan Palmer,69.75,558,8
29,T28,T28,Johnson Wagner,69.75,558,8
30,31,31,Vijay Singh,69.86,489,7
31,32,32,Sean O'Hair,69.89,629,9
32,33,33,Si Woo Kim,69.92,909,13
33,T34,T34,Derek Fathauer,70.0,560,8
34,T34,T34,Tony Finau,70.0,560,8
35,T34,T34,Jim Herman,70.0,630,9
36,T34,T34,Dustin Johnson,70.0,280,4
37,T34,T34,Spencer Levin,70.0,770,11
38,T34,T34,Andrew Loupe,70.0,280,4
39,T34,T34,Patrick Reed,70.0,280,4
40,T34,T34,Steve Stricker,70.0,140,2
41,T34,T34,Nick Taylor,70.0,350,5
42,T34,T34,Steve Wheatcroft,70.0,140,2
43,T34,T34,Gary Woodland,70.0,490,7
44,45,45,Charles Howell III,70.11,631,9
45,46,46,Ricky Barnes,70.13,561,8
46,47,47,Harris English,70.14,491,7
47,T48,T48,Charley Hoffman,70.17,421,6
48,T48,T48,Patton Kizzire,70.17,421,6
49,T50,T50,D.H. Lee,70.2,351,5
50,T50,T50,Troy Merritt,70.2,702,10
51,52,52,Freddie Jacobson,70.22,632,9
52,53,53,Cameron Smith,70.25,562,8
53,T54,T54,K.J. Choi,70.33,211,3
54,T54,T54,Retief Goosen,70.33,211,3
55,T54,T54,Luke List,70.33,211,3
56,T57,T57,Lucas Glover,70.43,493,7
57,T57,T57,Smylie Kaufman,70.43,493,7
58,T57,T57,Francesco Molinari,70.43,493,7
59,60,60,Bryce Molder,70.44,634,9
60,T61,T61,Jason Bohn,70.5,564,8
61,T61,T61,Brian Harman,70.5,705,10
62,T61,T61,Mark Hubbard,70.5,423,6
63,T61,T61,Jeff Overton,70.5,282,4
64,T61,T61,Jhonattan Vegas,70.5,423,6
65,T66,T66,Thomas Aiken,70.56,635,9
66,T66,T66,John Senden,70.56,635,9
67,T68,T68,Jason Dufner,70.57,494,7
68,T68,T68,Emiliano Grillo,70.57,494,7
69,T68,T68,Kevin Streelman,70.57,494,7
70,T71,T71,Keegan Bradley,70.63,565,8
71,T71,T71,Kevin Chappell,70.63,565,8
72,T71,T71,John Huh,70.63,565,8
73,T71,T71,Kevin Na,70.63,565,8
74,T71,T71,Scott Pinckney,70.63,565,8
75,T71,T71,Boo Weekley,70.63,565,8
76,T77,T77,Robert Garrigus,70.67,424,6
77,T77,T77,Anirban Lahiri,70.67,212,3
78,T77,T77,Andrew Landry,70.67,424,6
79,80,80,Marc Leishman,70.7,707,10
80,T81,T81,Graham DeLaet,70.75,283,4
81,T81,T81,Sergio Garcia,70.75,283,4
82,T81,T81,David Hearn,70.75,566,8
83,T81,T81,Camilo Villegas,70.75,566,8
84,85,85,Colt Knost,70.78,637,9
85,T86,T86,Will MacKenzie,70.8,354,5
86,T86,T86,Martin Piller,70.8,354,5
