,Par_3_Birdie_or_Better_Leaders_RANK THIS WEEK,Par_3_Birdie_or_Better_Leaders_RANK LAST WEEK,Par_3_Birdie_or_Better_Leaders_PLAYER NAME,Par_3_Birdie_or_Better_Leaders_ROUNDS,Par_3_Birdie_or_Better_Leaders_%,Par_3_Birdie_or_Better_Leaders_PAR 3 BIRDIES OR BETTER,Par_3_Birdie_or_Better_Leaders_PAR 3 HOLES
0,1,1,Adam Hadwin,93,19.25,72,374
1,2,2,Jerry Kelly,76,17.8,55,309
2,3,3,Phil Mickelson,75,17.65,51,289
3,4,4,Robert Garrigus,69,17.62,46,261
4,5,5,Freddie Jacobson,86,17.58,61,347
5,6,6,Louis Oosthuizen,63,17.11,39,228
6,7,7,Ricky Barnes,97,17.07,64,375
7,8,8,Ryan Moore,86,17.02,56,329
8,9,9,Charl Schwartzel,73,16.9,48,284
9,10,10,David Toms,62,16.73,42,251
10,11,11,Shane Lowry,57,16.59,36,217
11,12,12,John Huh,86,16.57,57,344
12,13,13,David Hearn,95,16.45,63,383
13,14,14,Kyle Stanley,92,16.34,59,361
14,15,15,Troy Merritt,77,16.29,50,307
15,16,16,Sergio Garcia,54,16.18,33,204
16,17,17,Dawie van der Walt,72,16.01,45,281
17,18,18,Dustin Johnson,87,16.0,52,325
18,19,19,Henrik Norlander,71,15.99,43,269
19,20,20,Kevin Chappell,93,15.92,60,377
20,21,21,Zach Johnson,90,15.88,54,340
21,22,22,Tim Wilkinson,72,15.75,43,273
22,T23,T23,Fabián Gómez,82,15.71,49,312
23,T23,T23,Kevin Streelman,82,15.71,52,331
24,25,25,Russell Knox,92,15.69,56,357
25,T26,T26,Bronson Burgoon,83,15.67,50,319
26,T26,T26,Nick Taylor,83,15.67,50,319
27,28,28,Justin Rose,65,15.66,39,249
28,29,29,Russell Henley,76,15.64,48,307
29,30,30,Retief Goosen,55,15.63,35,224
30,31,31,Martin Laird,82,15.61,49,314
31,T32,T32,Carlos Ortiz,79,15.46,47,304
32,T32,T32,Adam Scott,79,15.46,47,304
33,34,34,Jim Furyk,52,15.38,32,208
34,35,35,Michael Kim,100,15.28,59,386
35,36,36,Alex Cejka,71,15.09,40,265
36,37,37,Mark Wilson,66,15.08,38,252
37,38,38,Peter Malnati,85,15.04,51,339
38,T39,T39,Jason Day,76,15.02,41,273
39,T39,T39,J.B. Holmes,77,15.02,44,293
40,41,41,Chad Collins,73,14.92,44,295
41,42,42,Kevin Na,96,14.85,56,377
42,43,43,Johnson Wagner,86,14.83,51,344
43,44,44,Brooks Koepka,75,14.8,41,277
44,45,45,Brian Stuard,66,14.72,39,265
45,46,46,Steve Marino,72,14.65,40,273
46,47,47,Chesson Hadley,81,14.64,47,321
47,48,48,D.A. Points,55,14.63,30,205
48,49,49,Scott Pinckney,87,14.62,50,342
49,50,50,Ryan Palmer,86,14.61,51,349
50,51,51,Robert Streb,87,14.58,49,336
51,52,52,Aaron Baddeley,93,14.57,52,357
52,53,53,Jon Curran,99,14.54,58,399
