,First_Tee_Early_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Scoring_Average_PLAYER NAME,First_Tee_Early_Scoring_Average_ROUNDS,First_Tee_Early_Scoring_Average_AVG,First_Tee_Early_Scoring_Average_TOTAL STROKES,First_Tee_Early_Scoring_Average_TOT. EARLY RDS.(1ST TEE)
0,1,1,Dustin Johnson,87,68.9,689,10
1,2,2,Jordan Spieth,80,68.92,896,13
2,3,3,Gary Woodland,95,69.4,2082,30
3,4,4,Jason Day,76,69.44,1111,16
4,5,5,Justin Rose,65,69.47,1181,17
5,6,6,Alex Cejka,71,69.52,1460,21
6,7,7,Tim Wilkinson,72,69.56,1252,18
7,8,8,Zach Johnson,90,69.6,1740,25
8,9,9,Rhein Gibson,58,69.63,1114,16
9,10,10,Phil Mickelson,75,69.65,1184,17
10,T11,T11,Roberto Castro,97,69.71,2161,31
11,T11,T11,Andrew Loupe,75,69.71,1464,21
12,13,13,Paul Casey,77,69.77,1535,22
13,14,14,Rory McIlroy,69,69.79,977,14
14,15,15,Steve Stricker,53,69.8,698,10
15,16,16,John Huh,86,69.86,1956,28
16,T17,T17,Charles Howell III,91,69.9,2097,30
17,T17,T17,Matt Kuchar,100,69.9,1468,21
18,T17,T17,Johnson Wagner,86,69.9,2027,29
19,20,20,Robert Garrigus,69,69.93,1888,27
20,21,21,William McGirt,98,69.97,2449,35
21,T22,T22,Stewart Cink,61,70.0,1750,25
22,T22,T22,Brooks Koepka,75,70.0,1330,19
23,T22,T22,Charl Schwartzel,73,70.0,1330,19
24,T22,T22,Brandt Snedeker,93,70.0,980,14
25,26,26,Hudson Swafford,104,70.03,2381,34
26,27,27,Louis Oosthuizen,63,70.06,1121,16
27,28,28,Kelly Kraft,63,70.08,911,13
28,T29,T29,Sean O'Hair,89,70.12,2314,33
29,T29,T29,Chez Reavie,90,70.12,1823,26
30,T29,T29,Wes Roach,59,70.12,1192,17
31,32,32,Jimmy Walker,85,70.13,1613,23
32,33,33,Si Woo Kim,113,70.14,2525,36
33,34,34,Hideki Matsuyama,76,70.18,1193,17
34,35,35,Luke List,79,70.19,1123,16
35,36,36,Geoff Ogilvy,63,70.2,1404,20
36,T37,T37,Ricky Barnes,97,70.21,2036,29
37,T37,T37,Patrick Rodgers,89,70.21,1685,24
38,39,39,Ryan Palmer,86,70.22,2247,32
39,40,40,Russell Henley,76,70.23,1826,26
40,41,41,Sam Saunders,69,70.24,1194,17
41,42,42,Brian Harman,104,70.27,2600,37
42,T43,T43,Aaron Baddeley,93,70.28,1757,25
43,T43,T43,Smylie Kaufman,91,70.28,1757,25
44,45,45,Chad Campbell,90,70.31,1828,26
45,46,46,Kevin Na,96,70.32,2180,31
