,Reverse_Bounce_Back_RANK THIS WEEK,Reverse_Bounce_Back_RANK LAST WEEK,Reverse_Bounce_Back_PLAYER NAME,Reverse_Bounce_Back_ROUNDS,Reverse_Bounce_Back_% UNDER THEN OVER PAR,Reverse_Bounce_Back_TOTAL UNDER THEN OVER PAR,Reverse_Bounce_Back_UNDER PAR
0,1,1,Rickie Fowler,80,7.78,21,270
1,2,2,Shawn Stefani,91,10.04,26,259
2,3,3,Jerry Kelly,76,10.5,25,238
3,4,4,Jim Furyk,52,11.46,18,157
4,T5,T5,Alex Cejka,71,11.93,29,243
5,T5,T5,Brian Stuard,66,11.93,26,218
6,7,7,Patrick Reed,105,12.03,45,374
7,8,8,Russell Henley,76,12.08,32,265
8,9,9,Jason Day,76,12.15,35,288
9,10,10,Kevin Kisner,97,12.2,41,336
10,11,11,Sung Kang,89,12.46,36,289
11,12,12,Charles Howell III,91,12.61,42,333
12,13,13,Colt Knost,90,12.64,34,269
13,T14,T14,Ricky Barnes,97,12.68,43,339
14,T14,T14,Graeme McDowell,63,12.68,26,205
15,16,16,Rory McIlroy,69,12.73,34,267
16,17,17,Jordan Spieth,80,12.9,40,310
17,18,18,Matt Kuchar,100,12.95,47,363
18,19,19,Bill Haas,86,12.99,33,254
19,20,20,James Hahn,85,13.01,35,269
20,21,21,John Senden,88,13.06,38,291
21,22,22,Marc Leishman,89,13.15,38,289
22,23,23,Dicky Pride,55,13.25,22,166
23,24,24,Brian Harman,104,13.39,49,366
24,25,25,Bubba Watson,72,13.44,34,253
25,26,26,Robert Garrigus,69,13.62,35,257
26,27,27,Paul Casey,77,13.64,36,264
27,28,28,Stewart Cink,61,13.66,28,205
28,29,29,Gary Woodland,95,13.79,44,319
29,30,30,Johnson Wagner,86,13.82,42,304
30,31,31,Branden Grace,63,13.86,28,202
31,32,32,Dawie van der Walt,72,13.87,33,238
32,T33,T33,Chad Campbell,90,13.95,42,301
33,T33,T33,Bryce Molder,80,13.95,36,258
34,35,35,Phil Mickelson,75,13.99,40,286
35,36,36,Zac Blair,99,14.0,42,300
36,T37,T37,Lucas Glover,75,14.07,38,270
37,T37,T37,Smylie Kaufman,91,14.07,46,327
38,39,39,Henrik Norlander,71,14.1,32,227
39,T40,T40,Emiliano Grillo,93,14.11,45,319
40,T40,T40,Sean O'Hair,89,14.11,46,326
41,42,42,Scott Langley,65,14.14,27,191
42,43,43,Kevin Na,96,14.16,48,339
43,T44,T44,Roberto Castro,97,14.2,49,345
44,T44,T44,D.A. Points,55,14.2,25,176
45,46,46,Fabián Gómez,82,14.23,37,260
46,47,47,Kyle Reifers,115,14.25,54,379
47,T48,T48,Tony Finau,95,14.29,47,329
48,T48,T48,Chris Kirk,90,14.29,40,280
49,T50,T50,Jim Herman,93,14.33,42,293
50,T50,T50,Justin Thomas,99,14.33,50,349
51,52,52,Scott Stallings,74,14.35,33,230
52,53,53,Russell Knox,92,14.47,45,311
53,T54,T54,Adam Scott,79,14.53,42,289
54,T54,T54,Boo Weekley,83,14.53,43,296
55,56,56,David Hearn,95,14.55,47,323
56,57,57,David Lingmerth,84,14.64,41,280
57,58,58,Rod Pampling,54,14.77,22,149
58,59,59,Will MacKenzie,84,14.8,37,250
59,60,60,Billy Hurley III,66,14.81,32,216
60,61,61,K.J. Choi,73,14.83,35,236
61,62,62,Luke List,79,14.91,41,275
62,T63,T63,Stuart Appleby,71,14.98,34,227
63,T63,T63,Kelly Kraft,63,14.98,31,207
64,65,65,Zach Johnson,90,15.05,45,299
65,66,66,Daniel Berger,92,15.08,49,325
66,T67,T67,Jamie Lovemark,91,15.22,51,335
67,T67,T67,Justin Rose,65,15.22,35,230
68,69,69,Geoff Ogilvy,63,15.26,29,190
69,70,70,Tyrone Van Aswegen,105,15.31,49,320
70,71,71,Sergio Garcia,54,15.34,29,189
71,72,72,Andrew Landry,53,15.44,23,149
72,73,73,Troy Merritt,77,15.5,40,258
73,74,74,Erik Compton,65,15.54,30,193
74,75,75,John Huh,86,15.55,44,283
