,Early_Scoring_Average_RANK THIS WEEK,Early_Scoring_Average_RANK LAST WEEK,Early_Scoring_Average_PLAYER NAME,Early_Scoring_Average_ROUNDS,Early_Scoring_Average_AVG,Early_Scoring_Average_TOTAL STROKES,Early_Scoring_Average_TOTAL EARLY ROUNDS
0,1,1,Jordan Spieth,80,69.04,1864,27
1,2,2,Jason Day,76,69.07,2072,30
2,3,3,Dustin Johnson,87,69.13,1659,24
3,4,4,Gary Woodland,95,69.41,3193,46
4,5,5,Charles Howell III,91,69.54,3199,46
5,6,6,Phil Mickelson,75,69.59,2366,34
6,7,7,Charl Schwartzel,73,69.68,2160,31
7,8,8,Matt Kuchar,100,69.74,3278,47
8,9,9,Johnson Wagner,86,69.81,3002,43
9,10,10,Zach Johnson,90,69.82,3142,45
10,11,11,Ricky Barnes,97,69.87,3703,53
11,12,12,Jimmy Walker,85,69.95,2588,37
12,T13,T13,Roberto Castro,97,69.96,3568,51
13,T13,T13,Louis Oosthuizen,63,69.96,1749,25
14,T13,T13,Steve Stricker,53,69.96,1819,26
15,T16,T16,Alex Cejka,71,70.0,2380,34
16,T16,T16,Rory McIlroy,69,70.0,1750,25
17,T16,T16,Tim Wilkinson,72,70.0,2590,37
18,19,19,Justin Rose,65,70.03,2101,30
19,20,20,Chad Campbell,90,70.04,3292,47
20,21,21,Kevin Na,96,70.09,3014,43
21,T22,T22,Hideki Matsuyama,76,70.1,2173,31
22,T22,T22,Patrick Rodgers,89,70.1,2804,40
23,T24,T24,Keegan Bradley,82,70.14,3016,43
24,T24,T24,Paul Casey,77,70.14,1964,28
25,T24,T24,John Huh,86,70.14,3016,43
26,27,27,Chez Reavie,90,70.16,3157,45
27,28,28,Si Woo Kim,113,70.18,3579,51
28,T29,T29,Adam Scott,79,70.19,1825,26
29,T29,T29,John Senden,88,70.19,3018,43
30,31,31,Russell Knox,92,70.2,3229,46
31,32,32,David Hearn,95,70.22,3230,46
32,T33,T33,Jim Furyk,52,70.23,1826,26
33,T33,T33,Sean O'Hair,89,70.23,3371,48
34,35,35,Luke List,79,70.24,2599,37
35,36,36,Brian Harman,104,70.26,3794,54
36,37,37,Brooks Koepka,75,70.27,2108,30
37,T38,T38,Anirban Lahiri,72,70.31,2531,36
38,T38,T38,Jamie Lovemark,91,70.31,3164,45
39,T38,T38,William McGirt,98,70.31,3656,52
40,T41,T41,Billy Horschel,73,70.32,2391,34
41,T41,T41,Brandt Snedeker,93,70.32,2602,37
42,T43,T43,Stuart Appleby,71,70.34,2884,41
43,T43,T43,Martin Laird,82,70.34,3095,44
44,45,45,Jhonattan Vegas,97,70.35,3588,51
45,46,46,Lucas Glover,75,70.37,2674,38
46,T47,T47,Bronson Burgoon,83,70.38,2604,37
47,T47,T47,Kelly Kraft,63,70.38,1830,26
48,T47,T47,Hudson Swafford,104,70.38,3378,48
49,T50,T50,Retief Goosen,55,70.39,1971,28
50,T50,T50,Adam Hadwin,93,70.39,3238,46
51,52,52,Brian Stuard,66,70.4,2464,35
52,53,53,Marc Leishman,89,70.41,3239,46
53,T54,T54,Shawn Stefani,91,70.42,3380,48
54,T54,T54,Cameron Tringale,81,70.42,2535,36
55,56,56,Sergio Garcia,54,70.43,1479,21
56,57,57,Patrick Reed,105,70.44,3522,50
57,T58,T58,Jason Dufner,105,70.45,3734,53
58,T58,T58,Ryan Palmer,86,70.45,2959,42
59,60,60,Brendan Steele,88,70.46,2889,41
60,61,61,K.J. Choi,73,70.47,2114,30
61,62,62,Emiliano Grillo,93,70.48,3665,52
62,T63,T63,Stewart Cink,61,70.49,2608,37
63,T63,T63,Harris English,97,70.49,3736,53
64,T63,T63,Nick Taylor,83,70.49,2749,39
65,T66,T66,Aaron Baddeley,93,70.5,3384,48
66,T66,T66,Padraig Harrington,54,70.5,2115,30
67,T66,T66,Michael Thompson,71,70.5,2538,36
68,T66,T66,Boo Weekley,83,70.5,3243,46
69,T70,T70,Tony Finau,95,70.51,3314,47
70,T70,T70,Chris Kirk,90,70.51,3314,47
71,T70,T70,Scott Piercy,87,70.51,3032,43
72,73,73,Daniel Summerhays,99,70.52,3667,52
73,74,74,Sung Kang,89,70.53,3033,43
74,75,75,Spencer Levin,104,70.56,3669,52
75,76,76,Andrew Landry,53,70.57,1976,28
76,77,77,Ben Crane,80,70.58,2541,36
77,78,78,Francesco Molinari,64,70.59,2259,32
78,79,79,Sam Saunders,69,70.61,2189,31
79,80,80,Matt Jones,83,70.63,3037,43
80,81,81,Jason Kokrak,89,70.64,3532,50
81,T82,T82,Billy Hurley III,66,70.65,2402,34
82,T82,T82,David Lingmerth,84,70.65,3038,43
83,T84,T84,Blayne Barber,84,70.66,2897,41
84,T84,T84,Robert Garrigus,69,70.66,2685,38
85,86,86,Kyle Reifers,115,70.67,4028,57
86,87,87,Bubba Watson,72,70.68,2615,37
87,88,88,Troy Merritt,77,70.69,2969,42
88,89,89,Russell Henley,76,70.71,2475,35
89,T90,T90,Daniel Berger,92,70.73,3395,48
90,T90,T90,Freddie Jacobson,86,70.73,2900,41
91,T92,T92,Rhein Gibson,58,70.74,1910,27
92,T92,T92,Jerry Kelly,76,70.74,2476,35
93,94,94,Kevin Kisner,97,70.75,3396,48
94,T95,T95,Bryce Molder,80,70.76,2689,38
95,T95,T95,Mark Wilson,66,70.76,2618,37
96,97,97,Seung-Yul Noh,85,70.77,3043,43
97,98,98,Webb Simpson,70,70.78,2548,36
98,99,99,Ryan Moore,86,70.79,2336,33
99,100,100,Michael Kim,100,70.8,3611,51
100,T101,T101,Ben Martin,92,70.81,3682,52
101,T101,T101,Scott Stallings,74,70.81,2620,37
102,103,103,Chris Stroud,82,70.82,3187,45
103,104,104,Rickie Fowler,80,70.83,2054,29
104,T105,T105,Scott Brown,88,70.86,2976,42
105,T105,T105,Kyle Stanley,92,70.86,3472,49
106,107,107,Luke Guthrie,57,70.87,2126,30
107,108,108,Smylie Kaufman,91,70.88,2977,42
108,109,109,Kevin Streelman,82,70.9,2978,42
109,110,110,Chad Collins,73,70.91,3049,43
110,111,111,Jonas Blixt,79,70.92,2766,39
111,112,112,Brett Stegmaier,87,70.93,3192,45
112,T113,T113,Jeff Overton,69,70.94,2483,35
113,T113,T113,David Toms,62,70.94,2270,32
114,115,115,Brendon de Jonge,83,70.95,3051,43
115,T116,T116,Chesson Hadley,81,70.97,2697,38
116,T116,T116,Tom Hoge,81,70.97,2768,39
117,T118,T118,Mark Hubbard,101,70.98,3549,50
118,T118,T118,Scott Pinckney,87,70.98,3194,45
119,T120,T120,Charley Hoffman,91,71.0,2911,41
120,T120,T120,J.B. Holmes,77,71.0,2840,40
121,122,122,Tyler Aldridge,83,71.02,2912,41
122,T123,T123,Graham DeLaet,70,71.03,2131,30
123,T123,T123,Geoff Ogilvy,63,71.03,2273,32
124,125,125,Henrik Norlander,71,71.05,2842,40
125,T126,T126,Jim Herman,93,71.08,3412,48
126,T126,T126,Shane Lowry,57,71.08,1777,25
127,128,128,D.A. Points,55,71.11,1920,27
128,129,129,Jason Gore,78,71.12,2916,41
129,130,130,Colt Knost,90,71.15,3273,46
130,131,131,Tyrone Van Aswegen,105,71.16,3558,50
131,T132,T132,Kevin Chappell,93,71.17,2989,42
132,T132,T132,Fabián Gómez,82,71.17,3345,47
133,T132,T132,George McNeill,51,71.17,1708,24
134,135,135,Andrew Loupe,75,71.18,2705,38
135,136,136,Willy Wilcox,67,71.19,2563,36
136,137,137,Will MacKenzie,84,71.2,2919,41
137,T138,T138,Thomas Aiken,70,71.21,2706,38
138,T138,T138,Luke Donald,81,71.21,2991,42
139,T138,T138,Vaughn Taylor,72,71.21,2777,39
140,141,141,Justin Thomas,99,71.23,3348,47
141,142,142,Derek Ernst,59,71.25,2280,32
142,T143,T143,Jon Curran,99,71.29,3921,55
143,T143,T143,Branden Grace,63,71.29,2210,31
144,145,145,Jason Bohn,67,71.32,2710,38
145,146,146,Hiroshi Iwata,85,71.33,3210,45
146,147,147,Scott Langley,65,71.34,2497,35
147,T148,T148,Danny Lee,93,71.35,3068,43
148,T148,T148,Peter Malnati,85,71.35,3068,43
149,T150,T150,Whee Kim,82,71.39,3284,46
150,T150,T150,Patton Kizzire,93,71.39,3498,49
151,T152,T152,Morgan Hoffmann,71,71.4,2142,30
152,T152,T152,Greg Owen,85,71.4,3213,45
153,154,154,Bill Haas,86,71.42,2714,38
154,155,155,Camilo Villegas,83,71.44,2929,41
155,156,156,Rod Pampling,54,71.46,2001,28
156,157,157,Wes Roach,59,71.48,2073,29
157,158,158,Derek Fathauer,94,71.52,3147,44
158,T159,T159,Erik Compton,65,71.53,2575,36
159,T159,T159,Steve Marino,72,71.53,2575,36
160,T159,T159,Steve Wheatcroft,85,71.53,3219,45
161,T162,T162,Ernie Els,66,71.54,2790,39
162,T162,T162,Dawie van der Walt,72,71.54,2647,37
163,164,164,Robert Streb,87,71.57,3292,46
164,165,165,Zac Blair,99,71.58,3722,52
165,166,166,Carlos Ortiz,79,71.59,2935,41
166,167,167,Harold Varner III,92,71.63,3080,43
167,168,168,Abraham Ancer,51,71.67,1720,24
168,169,169,Graeme McDowell,63,71.7,2151,30
169,T170,T170,James Hahn,85,71.71,3514,49
170,T170,T170,Martin Piller,59,71.71,2008,28
171,172,172,Cameron Smith,73,71.72,2582,36
172,173,173,Andres Gonzales,80,71.75,3157,44
173,174,174,Vijay Singh,72,71.76,2655,37
174,175,175,Rory Sabbatini,57,71.78,2297,32
