,Eagles_Holes_per_RANK THIS WEEK,Eagles_Holes_per_RANK LAST WEEK,Eagles_Holes_per_PLAYER NAME,Eagles_Holes_per_ROUNDS,Eagles_Holes_per_FREQUENCY,Eagles_Holes_per_# OF HOLES,Eagles_Holes_per_# OF EAGLES
0,1,1,Jason Day,76,88.7,1242,14
1,2,2,Dustin Johnson,87,92.3,1476,16
2,3,3,Ben Martin,92,99.0,1584,16
3,4,4,Morgan Hoffmann,71,100.5,1206,12
4,5,5,Kevin Chappell,93,104.6,1674,16
5,6,6,Adam Scott,79,105.2,1368,13
6,7,7,Chez Reavie,90,110.6,1548,14
7,8,8,Bubba Watson,72,112.9,1242,11
8,9,9,D.H. Lee,61,114.0,1026,9
9,10,10,Brooks Koepka,75,114.5,1260,11
10,11,11,Scott Piercy,87,116.3,1512,13
11,12,12,Patrick Rodgers,89,117.7,1530,13
12,13,13,Jerry Kelly,76,124.4,1368,11
13,14,14,Hiroshi Iwata,85,124.5,1494,12
14,15,15,Ryan Palmer,86,129.0,1548,12
15,16,16,Ernie Els,66,132.0,1188,9
16,17,17,Daniel Summerhays,99,137.1,1782,13
17,18,18,Ken Duke,58,138.9,972,7
18,T19,T19,Rory McIlroy,69,139.5,1116,8
19,T19,T19,Jhonattan Vegas,97,139.5,1674,12
20,21,21,Dawie van der Walt,72,140.0,1260,9
21,22,22,Luke Guthrie,57,141.4,990,7
22,23,23,Nick Taylor,83,142.2,1422,10
23,24,24,Sung Kang,89,142.4,1566,11
24,T25,T25,Louis Oosthuizen,63,144.0,1008,7
25,T25,T25,Hudson Swafford,104,144.0,1872,13
26,27,27,Jimmy Walker,85,147.6,1476,10
27,28,28,Gary Woodland,95,148.9,1638,11
28,29,29,Andrew Loupe,75,150.0,1350,9
29,30,30,Patrick Reed,105,151.5,1818,12
30,31,31,Geoff Ogilvy,63,151.7,1062,7
31,T32,T32,Sergio Garcia,54,153.0,918,6
32,T32,T32,Scott Pinckney,87,153.0,1530,10
33,34,34,Tom Hoge,81,154.0,1386,9
34,35,35,Justin Thomas,99,157.1,1728,11
35,36,36,Webb Simpson,70,157.5,1260,8
36,37,37,Bronson Burgoon,83,158.0,1422,9
37,38,38,Charley Hoffman,91,158.4,1584,10
38,39,39,Chris Stroud,82,160.0,1440,9
39,40,40,Si Woo Kim,113,163.5,1962,12
40,41,41,Charles Howell III,91,163.8,1638,10
41,42,42,Bill Haas,86,164.0,1476,9
42,43,43,Francesco Molinari,64,164.6,1152,7
43,44,44,Harold Varner III,92,165.6,1656,10
44,T45,T45,Jason Gore,78,166.5,1332,8
45,T45,T45,Kyle Reifers,115,166.5,1998,12
46,47,47,Robert Garrigus,69,167.1,1170,7
47,T48,T48,Brendan Steele,88,168.0,1512,9
48,T48,T48,Robert Streb,87,168.0,1512,9
49,50,50,Kevin Kisner,97,169.2,1692,10
50,51,51,Graham DeLaet,70,169.7,1188,7
51,T52,T52,Jonas Blixt,79,171.0,1368,8
52,T52,T52,David Hearn,95,171.0,1710,10
53,54,54,Johnson Wagner,86,172.0,1548,9
54,55,55,Michael Thompson,71,174.9,1224,7
55,56,56,Bryce Molder,80,175.5,1404,8
56,57,57,Smylie Kaufman,91,176.0,1584,9
57,58,58,Kelly Kraft,63,177.0,1062,6
58,59,59,Aaron Baddeley,93,178.0,1602,9
59,60,60,Danny Lee,93,180.0,1620,9
60,61,61,Steve Wheatcroft,85,182.3,1458,8
61,T62,T62,Stewart Cink,61,183.0,1098,6
62,T62,T62,Hunter Mahan,61,183.0,1098,6
63,64,64,Justin Rose,65,186.0,1116,6
64,65,65,Tony Finau,95,190.0,1710,9
65,T66,T66,Roberto Castro,97,194.0,1746,9
66,T66,T66,Mark Hubbard,101,194.0,1746,9
67,68,68,Shane Lowry,57,194.4,972,5
68,69,69,Willy Wilcox,67,195.0,1170,6
69,T70,T70,Russell Henley,76,195.4,1368,7
70,T70,T70,Jordan Spieth,80,195.4,1368,7
71,72,72,Shawn Stefani,91,195.8,1566,8
72,T73,T73,Thomas Aiken,70,198.0,1188,6
73,T73,T73,Scott Brown,88,198.0,1584,8
74,T73,T73,Rickie Fowler,80,198.0,1386,7
75,T73,T73,Wes Roach,59,198.0,990,5
76,T73,T73,Cameron Tringale,81,198.0,1386,7
77,78,78,Kyle Stanley,92,200.3,1602,8
78,79,79,Henrik Norlander,71,201.0,1206,6
79,T80,T80,Fabián Gómez,82,203.1,1422,7
80,T80,T80,Camilo Villegas,83,203.1,1422,7
81,82,82,Jamie Lovemark,91,204.8,1638,8
82,83,83,Derek Ernst,59,205.2,1026,5
83,84,84,Blayne Barber,84,205.7,1440,7
84,85,85,Anirban Lahiri,72,207.0,1242,6
85,86,86,Greg Owen,85,208.3,1458,7
86,T87,T87,Jim Herman,93,209.3,1674,8
87,T87,T87,Kevin Na,96,209.3,1674,8
88,89,89,Charl Schwartzel,73,210.0,1260,6
89,90,90,Kevin Streelman,82,210.9,1476,7
90,91,91,Phil Mickelson,75,216.0,1296,6
91,92,92,Andrew Landry,53,220.5,882,4
92,93,93,Colt Knost,90,221.1,1548,7
93,94,94,Spencer Levin,104,225.0,1800,8
94,95,95,Rob Oppenheim,67,226.8,1134,5
95,T96,T96,Robert Allenby,51,229.5,918,4
96,T96,T96,Jason Dufner,105,229.5,1836,8
97,T98,T98,Luke List,79,231.0,1386,6
98,T98,T98,Troy Merritt,77,231.0,1386,6
99,T100,T100,Jim Furyk,52,234.0,936,4
100,T100,T100,Sam Saunders,69,234.0,1170,5
101,102,102,Tyler Aldridge,83,237.0,1422,6
102,T103,T103,Dicky Pride,55,238.5,954,4
103,T103,T103,Steve Stricker,53,238.5,954,4
104,105,105,Adam Hadwin,93,239.1,1674,7
105,106,106,Alex Cejka,71,241.2,1206,5
106,T107,T107,Padraig Harrington,54,243.0,972,4
107,T107,T107,David Lingmerth,84,243.0,1458,6
108,109,109,Keegan Bradley,82,246.0,1476,6
109,110,110,Boo Weekley,83,249.0,1494,6
110,111,111,Harris English,97,249.4,1746,7
111,T112,T112,William McGirt,98,252.0,1764,7
112,T112,T112,Scott Stallings,74,252.0,1260,5
113,T114,T114,James Hahn,85,255.0,1530,6
114,T114,T114,John Huh,86,255.0,1530,6
115,T114,T114,Brett Stegmaier,87,255.0,1530,6
116,117,117,Martin Piller,59,256.5,1026,4
117,118,118,Marc Leishman,89,258.0,1548,6
118,119,119,Vaughn Taylor,72,259.2,1296,5
119,120,120,Tyrone Van Aswegen,105,262.3,1836,7
120,T121,T121,K.J. Choi,73,262.8,1314,5
121,T121,T121,Chad Collins,73,262.8,1314,5
122,123,123,Paul Casey,77,266.4,1332,5
123,124,124,Jason Kokrak,89,267.0,1602,6
124,125,125,Brian Harman,104,267.4,1872,7
125,T126,T126,Lucas Glover,75,270.0,1350,5
126,T126,T126,Carlos Ortiz,79,270.0,1350,5
127,128,128,Whee Kim,82,280.8,1404,5
128,T129,T129,Scott Langley,65,283.5,1134,4
129,T129,T129,Brendon Todd,66,283.5,1134,4
130,131,131,Seung-Yul Noh,85,291.6,1458,5
131,T132,T132,J.J. Henry,68,297.0,1188,4
132,T132,T132,Billy Hurley III,66,297.0,1188,4
133,134,134,Rod Pampling,54,300.0,900,3
134,T135,T135,Chris Kirk,90,306.0,1530,5
135,T135,T135,Peter Malnati,85,306.0,1530,5
136,T135,T135,D.A. Points,55,306.0,918,3
137,T138,T138,Freddie Jacobson,86,309.6,1548,5
138,T138,T138,John Senden,88,309.6,1548,5
139,140,140,Stuart Appleby,71,310.5,1242,4
140,141,141,Billy Horschel,73,315.0,1260,4
141,142,142,Steven Bowditch,71,319.5,1278,4
142,T143,T143,Daniel Berger,92,320.4,1602,5
143,T143,T143,Patton Kizzire,93,320.4,1602,5
144,T143,T143,Russell Knox,92,320.4,1602,5
145,T143,T143,Sean O'Hair,89,320.4,1602,5
146,T147,T147,Rhein Gibson,58,324.0,972,3
147,T147,T147,Vijay Singh,72,324.0,1296,4
148,149,149,Retief Goosen,55,330.0,990,3
149,150,150,J.B. Holmes,77,333.0,1332,4
150,151,151,Matt Kuchar,100,345.6,1728,5
151,152,152,Andres Gonzales,80,351.0,1404,4
152,T153,T153,Branden Grace,63,360.0,1080,3
153,T153,T153,Matt Jones,83,360.0,1440,4
154,T155,T155,Brendon de Jonge,83,364.5,1458,4
155,T155,T155,Ryan Moore,86,364.5,1458,4
156,T157,T157,Ángel Cabrera,62,372.0,1116,3
157,T157,T157,Mark Wilson,66,372.0,1116,3
158,159,159,Zach Johnson,90,387.0,1548,4
159,160,160,Brandt Snedeker,93,400.5,1602,4
160,T161,T161,Chad Campbell,90,405.0,1620,4
