,Birdie_Average_RANK THIS WEEK,Birdie_Average_RANK LAST WEEK,Birdie_Average_PLAYER NAME,Birdie_Average_ROUNDS,Birdie_Average_AVG,Birdie_Average_# OF BIRDIES,Birdie_Average_TOTAL ROUNDS
0,1,1,Dustin Johnson,87,4.45,365,82
1,2,2,Rory McIlroy,69,4.42,274,62
2,3,3,Jordan Spieth,80,4.26,324,76
3,4,4,Hideki Matsuyama,76,4.19,306,73
4,5,5,Jason Day,76,4.16,287,69
5,6,6,Brooks Koepka,75,4.11,288,70
6,7,7,Phil Mickelson,75,4.06,292,72
7,8,8,J.B. Holmes,77,4.05,300,74
8,T9,T9,Robert Garrigus,69,4.0,260,65
9,T9,T9,Ryan Palmer,86,4.0,344,86
10,11,11,Andrew Loupe,75,3.97,298,75
11,12,12,Adam Scott,79,3.95,300,76
12,13,13,Matt Kuchar,100,3.92,376,96
13,T14,T14,Alex Cejka,71,3.87,259,67
14,T14,T14,Sean O'Hair,89,3.87,344,89
15,16,16,Michael Thompson,71,3.85,262,68
16,T17,T17,Daniel Berger,92,3.84,342,89
17,T17,T17,Adam Hadwin,93,3.84,357,93
18,T17,T17,Jimmy Walker,85,3.84,315,82
19,20,20,Sergio Garcia,54,3.82,195,51
20,T21,T21,Ricky Barnes,97,3.81,354,93
21,T21,T21,Charles Howell III,91,3.81,347,91
22,T21,T21,Patrick Reed,105,3.81,385,101
23,T21,T21,Justin Rose,65,3.81,236,62
24,T21,T21,Brandt Snedeker,93,3.81,339,89
25,T26,T26,Emiliano Grillo,93,3.8,342,90
26,T26,T26,Smylie Kaufman,91,3.8,334,88
27,T26,T26,Charl Schwartzel,73,3.8,266,70
28,T26,T26,Hudson Swafford,104,3.8,395,104
29,T30,T30,Lucas Glover,75,3.79,284,75
30,T30,T30,Jamie Lovemark,91,3.79,345,91
31,32,32,Kevin Na,96,3.78,352,93
32,T33,T33,Graham DeLaet,70,3.77,249,66
33,T33,T33,Jason Dufner,105,3.77,385,102
34,T35,T35,Luke List,79,3.75,289,77
35,T35,T35,Ryan Moore,86,3.75,304,81
36,T35,T35,Justin Thomas,99,3.75,360,96
37,38,38,Freddie Jacobson,86,3.74,322,86
38,T39,T39,Jason Bohn,67,3.73,250,67
39,T39,T39,Kevin Kisner,97,3.73,351,94
40,T41,T41,Jonas Blixt,79,3.71,282,76
41,T41,T41,Rickie Fowler,80,3.71,286,77
42,T41,T41,Billy Horschel,73,3.71,260,70
43,T41,T41,Martin Laird,82,3.71,289,78
44,T45,T45,Paul Casey,77,3.69,273,74
45,T45,T45,Ben Martin,92,3.69,325,88
46,T45,T45,Boo Weekley,83,3.69,306,83
47,T48,T48,Roberto Castro,97,3.68,357,97
48,T48,T48,Bubba Watson,72,3.68,254,69
49,T50,T50,Si Woo Kim,113,3.67,400,109
50,T50,T50,Daniel Summerhays,99,3.67,363,99
51,T52,T52,Brian Harman,104,3.65,380,104
52,T52,T52,Zach Johnson,90,3.65,314,86
53,T52,T52,Jason Kokrak,89,3.65,325,89
54,T52,T52,Gary Woodland,95,3.65,332,91
55,T56,T56,Luke Guthrie,57,3.64,200,55
56,T56,T56,Patrick Rodgers,89,3.64,309,85
57,T58,T58,Aaron Baddeley,93,3.63,323,89
58,T58,T58,Russell Knox,92,3.63,323,89
59,T58,T58,D.A. Points,55,3.63,185,51
60,T58,T58,Webb Simpson,70,3.63,254,70
61,T62,T62,Chesson Hadley,81,3.62,286,79
62,T62,T62,Patton Kizzire,93,3.62,322,89
63,T62,T62,David Lingmerth,84,3.62,293,81
64,T62,T62,Cameron Tringale,81,3.62,279,77
65,66,66,Tony Finau,95,3.61,343,95
66,T67,T67,Jhonattan Vegas,97,3.6,335,93
67,T67,T67,Tim Wilkinson,72,3.6,245,68
68,69,69,Johnson Wagner,86,3.59,309,86
69,T70,T70,Kelly Kraft,63,3.58,211,59
70,T70,T70,Vaughn Taylor,72,3.58,258,72
71,T72,T72,Kevin Chappell,93,3.57,332,93
72,T72,T72,Danny Lee,93,3.57,321,90
73,T72,T72,William McGirt,98,3.57,350,98
74,T72,T72,Seung-Yul Noh,85,3.57,289,81
75,T72,T72,Steve Stricker,53,3.57,189,53
76,T77,T77,Scott Pinckney,87,3.56,303,85
77,T77,T77,Wes Roach,59,3.56,196,55
78,T79,T79,Andres Gonzales,80,3.55,277,78
79,T79,T79,Morgan Hoffmann,71,3.55,238,67
80,T79,T79,Carlos Ortiz,79,3.55,266,75
81,T82,T82,Stewart Cink,61,3.54,216,61
82,T82,T82,Matt Jones,83,3.54,283,80
83,T82,T82,Kevin Streelman,82,3.54,290,82
84,T82,T82,Harold Varner III,92,3.54,326,92
85,T86,T86,Blayne Barber,84,3.53,282,80
86,T86,T86,Derek Fathauer,94,3.53,332,94
87,T86,T86,Russell Henley,76,3.53,268,76
88,T86,T86,John Senden,88,3.53,304,86
89,T90,T90,Graeme McDowell,63,3.52,211,60
90,T90,T90,Troy Merritt,77,3.52,271,77
91,T90,T90,Scott Piercy,87,3.52,296,84
92,T90,T90,Brendan Steele,88,3.52,296,84
93,T90,T90,Willy Wilcox,67,3.52,229,65
94,95,95,Marc Leishman,89,3.51,302,86
95,T96,T96,Padraig Harrington,54,3.5,189,54
96,T96,T96,Steve Marino,72,3.5,238,68
97,T96,T96,Kyle Reifers,115,3.5,389,111
98,T99,T99,Keegan Bradley,82,3.49,286,82
99,T99,T99,Chris Stroud,82,3.49,279,80
100,T101,T101,Chad Campbell,90,3.48,313,90
101,T101,T101,Branden Grace,63,3.48,209,60
102,T101,T101,David Hearn,95,3.48,331,95
103,T101,T101,Spencer Levin,104,3.48,348,100
104,T105,T105,Scott Brown,88,3.47,305,88
105,T105,T105,Harris English,97,3.47,337,97
106,T105,T105,Michael Kim,100,3.47,333,96
