,Back_9_Round_1_Scoring_Average_RANK THIS WEEK,Back_9_Round_1_Scoring_Average_RANK LAST WEEK,Back_9_Round_1_Scoring_Average_PLAYER NAME,Back_9_Round_1_Scoring_Average_AVG,Back_9_Round_1_Scoring_Average_TOTAL STROKES,Back_9_Round_1_Scoring_Average_TOTAL ROUNDS
0,1,1,Jhonattan Vegas,34.23,890,26
1,2,2,Jason Day,34.58,657,19
2,3,3,Matt Kuchar,34.6,865,25
3,4,4,Phil Mickelson,34.67,728,21
4,5,5,Si Woo Kim,34.7,1145,33
5,T6,T6,Ben Martin,34.78,939,27
6,T6,T6,John Senden,34.78,939,27
7,8,8,Daniel Berger,34.79,835,24
8,T9,T9,Aaron Baddeley,34.81,940,27
9,T9,T9,Chez Reavie,34.81,905,26
10,T9,T9,Patrick Reed,34.81,940,27
11,12,12,Chad Campbell,34.82,975,28
12,13,13,Brooks Koepka,34.84,662,19
13,14,14,Jordan Spieth,34.85,697,20
14,T15,T15,Sergio Garcia,34.86,488,14
15,T15,T15,Hideki Matsuyama,34.86,767,22
16,T15,T15,Michael Thompson,34.86,767,22
17,T18,T18,Jerry Kelly,34.91,803,23
18,T18,T18,Martin Laird,34.91,803,23
19,T18,T18,Steve Marino,34.91,803,23
20,21,21,Ben Crane,34.92,873,25
21,T22,T22,David Hearn,34.93,1013,29
22,T22,T22,Sung Kang,34.93,978,28
23,T24,T24,Stuart Appleby,34.95,769,22
24,T24,T24,Paul Casey,34.95,734,21
25,T26,T26,Keegan Bradley,34.96,909,26
26,T26,T26,Russell Henley,34.96,874,25
27,T26,T26,Brendan Steele,34.96,839,24
28,T26,T26,Steve Wheatcroft,34.96,874,25
29,T30,T30,Harris English,35.0,945,27
30,T30,T30,Lucas Glover,35.0,805,23
31,T30,T30,Brian Harman,35.0,1085,31
32,T30,T30,Steve Stricker,35.0,525,15
33,T34,T34,Roberto Castro,35.04,946,27
34,T34,T34,Charles Howell III,35.04,876,25
35,36,36,Jamie Lovemark,35.07,947,27
36,37,37,Henrik Norlander,35.1,702,20
37,38,38,Brett Stegmaier,35.11,948,27
38,T39,T39,Zach Johnson,35.13,808,23
39,T39,T39,Hudson Swafford,35.13,1054,30
40,T41,T41,Kevin Chappell,35.15,949,27
41,T41,T41,Robert Garrigus,35.15,703,20
42,T41,T41,Andrew Loupe,35.15,949,27
43,T44,T44,Bill Haas,35.17,809,23
44,T44,T44,Ryan Palmer,35.17,809,23
45,T44,T44,Dawie van der Walt,35.17,844,24
46,T47,T47,Ricky Barnes,35.18,985,28
47,T47,T47,Rod Pampling,35.18,598,17
48,T49,T49,Bronson Burgoon,35.19,915,26
49,T49,T49,Chesson Hadley,35.19,915,26
50,T49,T49,Dustin Johnson,35.19,739,21
51,52,52,Tony Finau,35.21,986,28
52,53,53,Justin Thomas,35.22,951,27
53,54,54,Freddie Jacobson,35.23,916,26
54,55,55,Justin Rose,35.24,599,17
55,56,56,Michael Kim,35.25,987,28
56,T57,T57,Jason Dufner,35.26,952,27
57,T57,T57,J.J. Henry,35.26,811,23
58,T57,T57,Adam Scott,35.26,670,19
59,60,60,Ryan Moore,35.27,776,22
60,61,61,J.B. Holmes,35.29,741,21
61,T62,T62,Adam Hadwin,35.3,953,27
62,T62,T62,Anirban Lahiri,35.3,706,20
63,T62,T62,Rob Oppenheim,35.3,706,20
64,T65,T65,Blayne Barber,35.31,918,26
65,T65,T65,Retief Goosen,35.31,565,16
66,T65,T65,Shane Lowry,35.31,565,16
67,T65,T65,Boo Weekley,35.31,918,26
68,T69,T69,Rickie Fowler,35.32,777,22
69,T69,T69,Billy Horschel,35.32,671,19
70,T69,T69,Will MacKenzie,35.32,883,25
71,T69,T69,Gary Woodland,35.32,883,25
72,T73,T73,Alex Cejka,35.33,742,21
73,T73,T73,Emiliano Grillo,35.33,848,24
74,T73,T73,Patrick Rodgers,35.33,954,27
75,T76,T76,Jason Gore,35.35,919,26
76,T76,T76,Brandt Snedeker,35.35,919,26
77,78,78,Nick Taylor,35.36,884,25
78,79,79,John Huh,35.37,955,27
79,80,80,Mark Hubbard,35.38,1026,29
80,81,81,Jim Herman,35.41,1027,29
81,T82,T82,Kyle Reifers,35.42,1169,33
82,T82,T82,David Toms,35.42,673,19
83,T84,T84,Hiroshi Iwata,35.43,992,28
84,T84,T84,Tyrone Van Aswegen,35.43,1063,30
85,T86,T86,Louis Oosthuizen,35.44,567,16
86,T86,T86,Bubba Watson,35.44,638,18
87,88,88,Webb Simpson,35.45,709,20
88,T89,T89,Marc Leishman,35.46,851,24
89,T89,T89,Kevin Streelman,35.46,922,26
90,T89,T89,Harold Varner III,35.46,993,28
91,92,92,Charley Hoffman,35.48,887,25
92,T93,T93,Luke Guthrie,35.5,639,18
93,T93,T93,Francesco Molinari,35.5,639,18
94,T93,T93,Wes Roach,35.5,710,20
95,T96,T96,Smylie Kaufman,35.52,959,27
96,T96,T96,Jeff Overton,35.52,817,23
97,98,98,Greg Owen,35.54,995,28
98,T99,T99,Vijay Singh,35.55,782,22
99,T99,T99,Brian Stuard,35.55,711,20
100,101,101,Andres Gonzales,35.56,960,27
101,102,102,Daniel Summerhays,35.57,996,28
102,103,103,Luke List,35.58,925,26
103,104,104,Scott Brown,35.59,961,27
104,T105,T105,Luke Donald,35.61,819,23
105,T105,T105,Scott Piercy,35.61,819,23
106,T105,T105,Shawn Stefani,35.61,997,28
107,T108,T108,Scott Langley,35.62,748,21
108,T108,T108,Johnson Wagner,35.62,926,26
109,T108,T108,Tim Wilkinson,35.62,748,21
110,T111,T111,Morgan Hoffmann,35.63,855,24
111,T111,T111,Kyle Stanley,35.63,962,27
112,T111,T111,Jimmy Walker,35.63,855,24
113,T114,T114,Colt Knost,35.64,891,25
114,T114,T114,William McGirt,35.64,998,28
