,Tenth_Tee_Early_Par_3_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Par_3_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Par_3_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Par_3_Scoring_Average_ROUNDS,Tenth_Tee_Early_Par_3_Scoring_Average_AVG,Tenth_Tee_Early_Par_3_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Par_3_Scoring_Average_TOTAL HOLES
0,1,1,Nick Taylor,83,2.85,174,61
1,2,2,Martin Laird,82,2.86,252,88
2,T3,T3,Retief Goosen,55,2.9,139,48
3,T3,T3,Kevin Na,96,2.9,145,50
4,T5,T5,Ricky Barnes,97,2.91,285,98
5,T5,T5,Freddie Jacobson,86,2.91,201,69
6,T5,T5,Phil Mickelson,75,2.91,198,68
7,T5,T5,Ryan Moore,86,2.91,131,45
8,T5,T5,Camilo Villegas,83,2.91,131,45
9,T10,T10,Paul Casey,77,2.92,70,24
10,T10,T10,Louis Oosthuizen,63,2.92,108,37
11,T12,T12,Charley Hoffman,91,2.93,117,40
12,T12,T12,David Lingmerth,84,2.93,167,57
13,T12,T12,Troy Merritt,77,2.93,117,40
14,T15,T15,John Huh,86,2.95,180,61
15,T15,T15,Jason Kokrak,89,2.95,277,94
16,T15,T15,Jhonattan Vegas,97,2.95,260,88
17,T15,T15,Johnson Wagner,86,2.95,165,56
18,T19,T19,Jim Furyk,52,2.96,142,48
19,T19,T19,Fabián Gómez,82,2.96,142,48
20,T19,T19,Billy Horschel,73,2.96,201,68
21,T19,T19,Steve Marino,72,2.96,166,56
22,T19,T19,Sam Saunders,69,2.96,169,57
23,T24,T24,Keegan Bradley,82,2.97,193,65
24,T24,T24,Bronson Burgoon,83,2.97,232,78
25,T24,T24,Sergio Garcia,54,2.97,95,32
26,T24,T24,Brian Harman,104,2.97,202,68
27,T24,T24,Charles Howell III,91,2.97,193,65
28,T24,T24,Marc Leishman,89,2.97,178,60
29,T24,T24,Peter Malnati,85,2.97,232,78
30,T24,T24,Vijay Singh,72,2.97,107,36
31,T32,T32,Steven Bowditch,71,2.98,143,48
32,T32,T32,Kevin Chappell,93,2.98,167,56
33,T32,T32,K.J. Choi,73,2.98,182,61
34,T32,T32,Chad Collins,73,2.98,262,88
35,T32,T32,David Hearn,95,2.98,268,90
36,T32,T32,Matt Jones,83,2.98,155,52
37,T32,T32,Scott Langley,65,2.98,191,64
38,T32,T32,Hideki Matsuyama,76,2.98,167,56
39,T32,T32,Charl Schwartzel,73,2.98,146,49
40,T32,T32,Brian Stuard,66,2.98,155,52
41,T32,T32,Hudson Swafford,104,2.98,170,57
42,T32,T32,David Toms,62,2.98,155,52
43,T44,T44,Roberto Castro,97,2.99,239,80
44,T44,T44,Chris Stroud,82,2.99,215,72
45,T44,T44,Tyrone Van Aswegen,105,2.99,239,80
46,T47,T47,Abraham Ancer,51,3.0,144,48
47,T47,T47,Stuart Appleby,71,3.0,108,36
48,T47,T47,Blayne Barber,84,3.0,147,49
49,T47,T47,Jason Day,76,3.0,168,56
50,T47,T47,Luke Donald,81,3.0,162,54
51,T47,T47,Robert Garrigus,69,3.0,132,44
52,T47,T47,Chesson Hadley,81,3.0,123,41
53,T47,T47,Russell Henley,76,3.0,108,36
54,T47,T47,Dustin Johnson,87,3.0,171,57
55,T47,T47,Michael Kim,100,3.0,267,89
56,T47,T47,Henrik Norlander,71,3.0,168,56
57,T47,T47,Rob Oppenheim,67,3.0,168,56
58,T47,T47,Chez Reavie,90,3.0,228,76
59,T47,T47,Adam Scott,79,3.0,180,60
60,T47,T47,Scott Stallings,74,3.0,84,28
61,T47,T47,Daniel Summerhays,99,3.0,195,65
62,T47,T47,Vaughn Taylor,72,3.0,159,53
63,T47,T47,Cameron Tringale,81,3.0,96,32
64,T65,T65,Tyler Aldridge,83,3.01,253,84
65,T65,T65,Scott Brown,88,3.01,271,90
66,T65,T65,Chad Campbell,90,3.01,256,85
67,T65,T65,Brendon de Jonge,83,3.01,253,84
68,T65,T65,Russell Knox,92,3.01,211,70
69,T65,T65,Greg Owen,85,3.01,205,68
70,T65,T65,Brandt Snedeker,93,3.01,280,93
71,T65,T65,Tim Wilkinson,72,3.01,232,77
72,T73,T73,Bill Haas,86,3.02,160,53
73,T73,T73,Jerry Kelly,76,3.02,133,44
74,T73,T73,Jordan Spieth,80,3.02,175,58
75,T73,T73,Jimmy Walker,85,3.02,169,56
76,T73,T73,Boo Weekley,83,3.02,169,56
77,T78,T78,Zac Blair,99,3.03,273,90
78,T78,T78,Whee Kim,82,3.03,233,77
79,T78,T78,Seung-Yul Noh,85,3.03,194,64
80,T78,T78,Ryan Palmer,86,3.03,121,40
81,T78,T78,D.A. Points,55,3.03,121,40
82,T78,T78,Rory Sabbatini,57,3.03,109,36
83,T78,T78,Brendan Steele,88,3.03,182,60
84,T78,T78,Robert Streb,87,3.03,206,68
85,T78,T78,Mark Wilson,66,3.03,218,72
86,T78,T78,Gary Woodland,95,3.03,197,65
87,T88,T88,Ángel Cabrera,62,3.04,146,48
88,T88,T88,Stewart Cink,61,3.04,149,49
89,T88,T88,Lucas Glover,75,3.04,210,69
90,T88,T88,Andrew Loupe,75,3.04,210,69
91,T88,T88,Bryce Molder,80,3.04,146,48
92,T88,T88,Francesco Molinari,64,3.04,170,56
93,T94,T94,Aaron Baddeley,93,3.05,281,92
94,T94,T94,Erik Compton,65,3.05,198,65
95,T94,T94,Ben Crane,80,3.05,134,44
96,T94,T94,Jason Dufner,105,3.05,226,74
97,T94,T94,Ernie Els,66,3.05,235,77
98,T94,T94,Jason Gore,78,3.05,198,65
99,T94,T94,Luke Guthrie,57,3.05,134,44
100,T94,T94,Si Woo Kim,113,3.05,186,61
101,T94,T94,Rod Pampling,54,3.05,122,40
102,T94,T94,John Senden,88,3.05,134,44
103,T94,T94,Brendon Todd,66,3.05,113,37
