,Birdie_or_Better_Percentage_-_200_yards_RANK THIS WEEK,Birdie_or_Better_Percentage_-_200_yards_RANK LAST WEEK,Birdie_or_Better_Percentage_-_200_yards_PLAYER NAME,Birdie_or_Better_Percentage_-_200_yards_ROUNDS,Birdie_or_Better_Percentage_-_200_yards_%,Birdie_or_Better_Percentage_-_200_yards_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_200_yards_TOTAL HOLES
0,1,1,Rory McIlroy,69,40.65,87,214
1,2,2,Robert Garrigus,69,40.3,81,201
2,3,3,Brooks Koepka,75,40.0,102,255
3,4,4,Jason Day,76,38.79,90,232
4,5,5,Phil Mickelson,75,38.2,102,267
5,6,6,Jimmy Walker,85,38.06,110,289
6,7,7,Andrew Loupe,75,37.83,101,267
7,8,8,Dustin Johnson,87,37.44,82,219
8,9,9,Jordan Spieth,80,37.4,92,246
9,10,10,Luke List,79,37.07,96,259
10,11,11,Tony Finau,95,36.57,113,309
11,12,12,Martin Laird,82,36.4,95,261
12,13,13,Smylie Kaufman,91,36.36,116,319
13,14,14,Charl Schwartzel,73,36.18,89,246
14,15,15,Charles Howell III,91,36.17,102,282
15,16,16,Harold Varner III,92,35.92,111,309
16,17,17,Gary Woodland,95,35.71,115,322
17,18,18,Adam Hadwin,93,35.33,118,334
18,19,19,Sean O'Hair,89,35.28,115,326
19,20,20,Patrick Rodgers,89,35.17,102,290
20,21,21,Sergio Garcia,54,35.14,52,148
21,22,22,J.B. Holmes,77,34.75,90,259
22,23,23,Rickie Fowler,80,34.63,98,283
23,24,24,Scott Stallings,74,34.2,79,231
24,25,25,Jamie Lovemark,91,34.04,112,329
25,26,26,Justin Rose,65,34.02,82,241
26,27,27,Jason Kokrak,89,34.01,101,297
27,28,28,Louis Oosthuizen,63,33.75,54,160
28,29,29,Blayne Barber,84,33.72,87,258
29,30,30,Wes Roach,59,33.58,46,137
30,T31,T31,Scott Piercy,87,33.46,86,257
31,T31,T31,Brendan Steele,88,33.46,88,263
32,33,33,Ryan Palmer,86,33.45,96,287
33,T34,T34,Matt Kuchar,100,33.44,100,299
34,T34,T34,Justin Thomas,99,33.44,101,302
35,36,36,Patrick Reed,105,33.33,110,330
36,37,37,Retief Goosen,55,33.17,67,202
37,38,38,Danny Lee,93,33.11,101,305
38,39,39,Ben Martin,92,32.8,102,311
39,40,40,Adam Scott,79,32.77,77,235
40,41,41,Marc Leishman,89,32.61,90,276
41,42,42,Daniel Summerhays,99,32.33,107,331
42,43,43,Jhonattan Vegas,97,32.3,115,356
43,44,44,Kevin Chappell,93,32.27,101,313
44,45,45,Daniel Berger,92,32.23,97,301
45,46,46,Scott Pinckney,87,32.18,84,261
46,47,47,Boo Weekley,83,32.13,89,277
47,48,48,Camilo Villegas,83,32.1,78,243
48,49,49,Paul Casey,77,32.02,81,253
49,50,50,Bubba Watson,72,31.92,68,213
50,51,51,Aaron Baddeley,93,31.86,94,295
51,52,52,Emiliano Grillo,93,31.77,95,299
52,53,53,Jonas Blixt,79,31.69,90,284
53,54,54,Charley Hoffman,91,31.62,86,272
54,55,55,Hideki Matsuyama,76,31.52,81,257
55,56,56,Patton Kizzire,93,31.5,86,273
56,57,57,Michael Thompson,71,31.46,56,178
57,58,58,Hudson Swafford,104,31.37,101,322
58,59,59,Graham DeLaet,70,31.33,73,233
59,60,60,Branden Grace,63,31.06,50,161
60,61,61,Ángel Cabrera,62,31.05,68,219
