,Tenth_Tee_Late_Lowest_Round_RANK THIS WEEK,Tenth_Tee_Late_Lowest_Round_RANK LAST WEEK,Tenth_Tee_Late_Lowest_Round_PLAYER NAME,Tenth_Tee_Late_Lowest_Round_ROUNDS,Tenth_Tee_Late_Lowest_Round_LOW RND
0,T1,T1,Roberto Castro,97,62
1,T1,T1,Robert Garrigus,69,62
2,T1,T1,Matt Kuchar,100,62
3,T1,T1,Harold Varner III,92,62
4,T1,T1,Boo Weekley,83,62
5,T6,T6,Jason Bohn,67,63
6,T6,T6,K.J. Choi,73,63
7,T6,T6,Ben Crane,80,63
8,T6,T6,Branden Grace,63,63
9,T6,T6,Danny Lee,93,63
10,T6,T6,Chez Reavie,90,63
11,T6,T6,Robert Streb,87,63
12,T6,T6,Camilo Villegas,83,63
13,T6,T6,Johnson Wagner,86,63
14,T6,T6,Aaron Wise,6,63
15,T16,T16,Tyler Aldridge,83,64
16,T16,T16,Chad Collins,73,64
17,T16,T16,Jason Dufner,105,64
18,T16,T16,Fabián Gómez,82,64
19,T16,T16,Charley Hoffman,91,64
20,T16,T16,Tom Hoge,81,64
21,T16,T16,Charles Howell III,91,64
22,T16,T16,Freddie Jacobson,86,64
23,T16,T16,Jerry Kelly,76,64
24,T16,T16,Si Woo Kim,113,64
25,T16,T16,Kelly Kraft,63,64
26,T16,T16,Wes Roach,59,64
27,T16,T16,Robby Shelton,12,64
28,T16,T16,Brendan Steele,88,64
29,T16,T16,Dawie van der Walt,72,64
30,T16,T16,Jimmy Walker,85,64
31,T32,T32,Tony Finau,95,65
32,T32,T32,Fred Funk,10,65
33,T32,T32,Brice Garnett,45,65
34,T32,T32,Lucas Glover,75,65
35,T32,T32,Andres Gonzales,80,65
36,T32,T32,Jason Gore,78,65
37,T32,T32,James Hahn,85,65
38,T32,T32,David Hearn,95,65
39,T32,T32,Russell Henley,76,65
40,T32,T32,Justin Hicks,42,65
41,T32,T32,John Huh,86,65
42,T32,T32,Billy Hurley III,66,65
