,Late_Round_2_Scoring_Average_RANK THIS WEEK,Late_Round_2_Scoring_Average_RANK LAST WEEK,Late_Round_2_Scoring_Average_PLAYER NAME,Late_Round_2_Scoring_Average_AVG,Late_Round_2_Scoring_Average_TOTAL STROKES,Late_Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,Charl Schwartzel,68.29,478,7
1,2,2,Dustin Johnson,68.3,683,10
2,3,3,Sergio Garcia,68.6,343,5
3,4,4,Jason Kokrak,68.73,756,11
4,5,5,Russell Knox,68.8,688,10
5,6,6,Graham DeLaet,69.1,691,10
6,7,7,Rory McIlroy,69.11,622,9
7,8,8,Steve Stricker,69.17,415,6
8,T9,T9,Rickie Fowler,69.31,901,13
9,T9,T9,Kevin Kisner,69.31,901,13
10,11,11,Adam Scott,69.36,971,14
11,T12,T12,Adam Hadwin,69.5,973,14
12,T12,T12,Colt Knost,69.5,556,8
13,T12,T12,Kevin Na,69.5,973,14
14,T12,T12,Gary Woodland,69.5,695,10
15,16,16,Chez Reavie,69.53,1043,15
16,T17,T17,Jerry Kelly,69.55,765,11
17,T17,T17,Brooks Koepka,69.55,765,11
18,19,19,Bill Haas,69.56,626,9
19,20,20,Jason Day,69.62,905,13
20,21,21,Ryan Palmer,69.67,836,12
21,22,22,Zac Blair,69.79,977,14
22,23,23,Sean O'Hair,69.83,838,12
23,T24,T24,Jon Curran,69.88,1118,16
24,T24,T24,Jim Furyk,69.88,559,8
25,T24,T24,Robert Garrigus,69.88,559,8
26,T27,T27,Matt Kuchar,69.89,629,9
27,T27,T27,Ryan Moore,69.89,629,9
28,29,29,Rob Oppenheim,69.9,699,10
29,T30,T30,Daniel Berger,69.92,839,12
30,T30,T30,Freddie Jacobson,69.92,839,12
31,T32,T32,Kevin Chappell,69.93,979,14
32,T32,T32,Seung-Yul Noh,69.93,979,14
33,T32,T32,Harold Varner III,69.93,1049,15
34,T35,T35,Jason Bohn,70.0,700,10
35,T35,T35,Roberto Castro,70.0,770,11
36,T35,T35,Michael Kim,70.0,910,13
