,Par_5_Performance_RANK THIS WEEK,Par_5_Performance_RANK LAST WEEK,Par_5_Performance_PLAYER NAME,Par_5_Performance_ROUNDS,Par_5_Performance_STATUS,Par_5_Performance_PAR 5 AVG,Par_5_Performance_TOTAL PAR
0,1,1,Patrick Reed,105,-142,4.57,1660
1,2,2,Si Woo Kim,113,-141,4.59,1740
2,3,3,Kyle Reifers,115,-140,4.61,1815
3,4,4,Harold Varner III,92,-132,4.56,1510
4,T5,T5,Hudson Swafford,104,-130,4.61,1670
5,T5,T5,Gary Woodland,95,-130,4.55,1450
6,T7,T7,Roberto Castro,97,-128,4.6,1600
7,T7,T7,Charles Howell III,91,-128,4.57,1500
8,9,9,Tony Finau,95,-126,4.59,1540
9,T10,T10,Ryan Palmer,86,-125,4.54,1370
10,T10,T10,Jhonattan Vegas,97,-125,4.6,1580
11,12,12,Dustin Johnson,87,-123,4.54,1340
12,T13,T13,Daniel Summerhays,99,-121,4.62,1600
13,T13,T13,Justin Thomas,99,-121,4.59,1490
14,T15,T15,Jamie Lovemark,91,-118,4.61,1530
15,T15,T15,Brendan Steele,88,-118,4.58,1400
16,17,17,Matt Kuchar,100,-117,4.6,1470
17,T18,T18,Jason Day,76,-115,4.51,1170
18,T18,T18,Brian Harman,104,-115,4.67,1730
19,T18,T18,Mark Hubbard,101,-115,4.64,1600
20,T18,T18,Rory McIlroy,69,-115,4.46,1060
21,T22,T22,Smylie Kaufman,91,-112,4.61,1450
22,T22,T22,Ben Martin,92,-112,4.61,1420
23,T22,T22,Jimmy Walker,85,-112,4.55,1250
24,25,25,Jordan Spieth,80,-111,4.54,1210
25,26,26,Chad Campbell,90,-110,4.61,1400
26,T27,T27,Jason Dufner,105,-108,4.64,1510
27,T27,T27,Harris English,97,-108,4.63,1475
28,29,29,Spencer Levin,104,-107,4.67,1610
29,30,30,Boo Weekley,83,-106,4.6,1310
30,T31,T31,Aaron Baddeley,93,-105,4.64,1470
31,T31,T31,Jason Kokrak,89,-105,4.63,1420
32,T31,T31,Andrew Loupe,75,-105,4.58,1250
33,T34,T34,Kevin Chappell,93,-104,4.66,1520
34,T34,T34,Adam Hadwin,93,-104,4.66,1510
35,T34,T34,Jim Herman,93,-104,4.66,1520
36,T34,T34,Scott Piercy,87,-104,4.61,1330
37,T38,T38,Daniel Berger,92,-103,4.64,1450
38,T38,T38,Rickie Fowler,80,-103,4.58,1240
39,T40,T40,Luke List,79,-102,4.59,1250
40,T40,T40,Bubba Watson,72,-102,4.53,1090
41,42,42,Patton Kizzire,93,-101,4.65,1430
42,T43,T43,William McGirt,98,-99,4.68,1560
43,T43,T43,Sean O'Hair,89,-99,4.64,1390
44,45,45,Adam Scott,79,-98,4.58,1160
45,T46,T46,Alex Cejka,71,-97,4.57,1140
46,T46,T46,Emiliano Grillo,93,-97,4.66,1430
47,T46,T46,Hideki Matsuyama,76,-97,4.59,1190
48,49,49,Lucas Glover,75,-96,4.61,1230
49,T50,T50,Matt Jones,83,-95,4.63,1270
50,T50,T50,Colt Knost,90,-95,4.65,1365
51,T50,T50,Phil Mickelson,75,-95,4.59,1150
52,T50,T50,Brett Stegmaier,87,-95,4.64,1320
53,T54,T54,Jonas Blixt,79,-94,4.63,1260
54,T54,T54,Kevin Kisner,97,-94,4.67,1420
55,T54,T54,Patrick Rodgers,89,-94,4.66,1380
56,T57,T57,Kevin Na,96,-93,4.68,1460
57,T57,T57,Cameron Tringale,81,-93,4.65,1310
58,T59,T59,Charley Hoffman,91,-91,4.67,1390
59,T59,T59,Danny Lee,93,-91,4.69,1470
60,T59,T59,Chez Reavie,90,-91,4.67,1390
61,T59,T59,John Senden,88,-91,4.67,1370
62,T59,T59,Johnson Wagner,86,-91,4.66,1350
63,T64,T64,Keegan Bradley,82,-90,4.65,1280
64,T64,T64,Brendon de Jonge,83,-90,4.66,1330
65,T64,T64,Freddie Jacobson,86,-90,4.67,1380
66,T64,T64,Zach Johnson,90,-90,4.65,1280
67,68,68,Bronson Burgoon,83,-89,4.64,1250
68,69,69,Marc Leishman,89,-88,4.67,1350
69,T70,T70,Blayne Barber,84,-87,4.65,1240
70,T70,T70,David Hearn,95,-87,4.72,1570
71,T70,T70,Sung Kang,89,-87,4.68,1340
72,T70,T70,Russell Knox,92,-87,4.69,1400
