,Bogey_Average_RANK THIS WEEK,Bogey_Average_RANK LAST WEEK,Bogey_Average_PLAYER NAME,Bogey_Average_EVENTS,Bogey_Average_AVERAGE BOGEYS PER ROUND,Bogey_Average_TOTAL BOGEYS,Bogey_Average_ROUNDS PLAYED
0,1,1,Rickie Fowler,23,2.03,156,77
1,2,2,Alex Cejka,22,2.12,142,67
2,3,3,Lucas Glover,23,2.13,160,75
3,4,4,Phil Mickelson,22,2.15,155,72
4,5,5,Dustin Johnson,22,2.21,181,82
5,6,6,David Hearn,29,2.22,211,95
6,7,7,Gary Woodland,26,2.23,203,91
7,8,8,Jerry Kelly,23,2.24,170,76
8,T9,T9,Paul Casey,22,2.26,167,74
9,T9,T9,Russell Henley,25,2.26,172,76
10,11,11,Russell Knox,25,2.28,203,89
11,T12,T12,Adam Scott,20,2.3,175,76
12,T12,T12,Steve Stricker,15,2.3,122,53
13,14,14,Jason Kokrak,28,2.31,206,89
14,T15,T15,Matt Kuchar,26,2.32,223,96
15,T15,T15,Hideki Matsuyama,23,2.32,169,73
16,17,17,Jon Curran,30,2.35,233,99
17,T18,T18,Jason Day,20,2.36,163,69
18,T18,T18,Patrick Reed,28,2.36,238,101
19,T20,T20,Charles Howell III,25,2.37,216,91
20,T20,T20,Martin Piller,22,2.37,135,57
21,T20,T20,Jordan Spieth,21,2.37,180,76
22,T23,T23,Colt Knost,26,2.38,205,86
23,T23,T23,Bryce Molder,26,2.38,186,78
24,T23,T23,Chez Reavie,27,2.38,205,86
25,T26,T26,Chad Campbell,28,2.39,215,90
26,T26,T26,Bill Haas,24,2.39,196,82
27,T26,T26,John Huh,28,2.39,203,85
28,T26,T26,Rory McIlroy,18,2.39,148,62
29,30,30,Luke Donald,23,2.4,194,81
30,31,31,John Senden,28,2.41,207,86
31,T32,T32,Henrik Norlander,21,2.42,162,67
32,T32,T32,Jhonattan Vegas,27,2.42,225,93
33,T34,T34,Andrew Landry,18,2.43,119,49
34,T34,T34,Brandt Snedeker,27,2.43,216,89
35,T34,T34,Shawn Stefani,29,2.43,211,87
36,T37,T37,Daniel Berger,26,2.44,217,89
37,T37,T37,Johnson Wagner,26,2.44,210,86
38,T39,T39,Roberto Castro,27,2.45,238,97
39,T39,T39,Adam Hadwin,27,2.45,228,93
40,T39,T39,Marc Leishman,25,2.45,211,86
41,42,42,Ricky Barnes,29,2.46,229,93
42,43,43,Aaron Baddeley,28,2.47,220,89
43,T44,T44,K.J. Choi,22,2.48,181,73
44,T44,T44,Si Woo Kim,34,2.48,270,109
45,T44,T44,Chris Kirk,28,2.48,211,85
46,T44,T44,Spencer Levin,32,2.48,248,100
47,T44,T44,Jamie Lovemark,27,2.48,226,91
48,T49,T49,Luke Guthrie,19,2.49,137,55
49,T49,T49,Charl Schwartzel,19,2.49,174,70
50,T49,T49,Tim Wilkinson,22,2.49,169,68
51,52,52,Jason Gore,27,2.5,185,74
52,T53,T53,Zac Blair,31,2.51,238,95
53,T53,T53,Freddie Jacobson,26,2.51,216,86
54,T53,T53,William McGirt,28,2.51,246,98
55,T53,T53,Ryan Moore,23,2.51,203,81
56,T53,T53,Hudson Swafford,30,2.51,261,104
57,58,58,Sergio Garcia,15,2.53,129,51
58,T59,T59,Jason Bohn,21,2.54,170,67
59,T59,T59,Rod Pampling,18,2.54,127,50
60,T61,T61,Billy Hurley III,20,2.55,168,66
61,T61,T61,Kevin Kisner,27,2.55,240,94
62,T61,T61,Martin Laird,24,2.55,199,78
63,T61,T61,Patrick Rodgers,28,2.55,217,85
64,65,65,Retief Goosen,16,2.56,141,55
65,T66,T66,Branden Grace,18,2.57,154,60
66,T66,T66,Brian Harman,31,2.57,267,104
67,T66,T66,Nick Taylor,26,2.57,203,79
68,T66,T66,Tyrone Van Aswegen,31,2.57,262,102
69,T66,T66,Boo Weekley,26,2.57,213,83
70,T71,T71,Zach Johnson,24,2.58,222,86
71,T71,T71,Luke List,27,2.58,199,77
72,T71,T71,Jeff Overton,25,2.58,168,65
73,T74,T74,Keegan Bradley,26,2.59,212,82
74,T74,T74,Kevin Na,26,2.59,241,93
75,T74,T74,Kyle Reifers,34,2.59,287,111
76,T77,T77,Jim Furyk,14,2.6,135,52
77,T77,T77,Morgan Hoffmann,25,2.6,174,67
78,T77,T77,Sung Kang,29,2.6,226,87
79,80,80,Webb Simpson,20,2.61,183,70
80,T81,T81,Stuart Appleby,23,2.62,181,69
81,T81,T81,Jason Dufner,28,2.62,267,102
82,T83,T83,Derek Ernst,20,2.63,150,57
83,T83,T83,Tony Finau,28,2.63,250,95
84,T83,T83,Brendan Steele,25,2.63,221,84
85,T86,T86,Jonas Blixt,26,2.64,201,76
86,T86,T86,Chris Stroud,27,2.64,211,80
87,T88,T88,Scott Brown,27,2.65,233,88
88,T88,T88,Brendon de Jonge,30,2.65,215,81
89,T88,T88,Steve Marino,24,2.65,180,68
90,T88,T88,Justin Rose,18,2.65,164,62
91,T88,T88,Michael Thompson,23,2.65,180,68
92,T93,T93,Bronson Burgoon,27,2.66,210,79
93,T93,T93,Stewart Cink,19,2.66,162,61
94,T93,T93,Kelly Kraft,20,2.66,157,59
95,T93,T93,Troy Merritt,26,2.66,205,77
96,T93,T93,Francesco Molinari,18,2.66,170,64
97,T93,T93,Brett Stegmaier,29,2.66,226,85
98,T99,T99,Andres Gonzales,28,2.67,208,78
99,T99,T99,Emiliano Grillo,25,2.67,240,90
100,T99,T99,Mark Hubbard,30,2.67,259,97
101,T99,T99,Whee Kim,27,2.67,208,78
102,T99,T99,Ryan Palmer,23,2.67,230,86
103,T104,T104,Kevin Chappell,27,2.68,249,93
104,T104,T104,Chad Collins,26,2.68,196,73
105,T104,T104,Graham DeLaet,21,2.68,177,66
106,T104,T104,Jim Herman,29,2.68,249,93
107,T104,T104,Graeme McDowell,21,2.68,161,60
108,109,109,Will MacKenzie,26,2.69,215,80
109,T110,T110,Smylie Kaufman,28,2.7,238,88
110,T110,T110,Michael Kim,29,2.7,259,96
111,T110,T110,Sean O'Hair,27,2.7,240,89
112,T110,T110,Scott Piercy,24,2.7,227,84
113,T110,T110,Kyle Stanley,28,2.7,240,89
114,T110,T110,Kevin Streelman,26,2.7,221,82
115,T116,T116,Harris English,27,2.71,263,97
116,T116,T116,Robert Garrigus,21,2.71,176,65
117,T116,T116,Camilo Villegas,27,2.71,214,79
118,T116,T116,Bubba Watson,19,2.71,187,69
119,T120,T120,Scott Langley,22,2.73,172,63
120,T120,T120,Seung-Yul Noh,28,2.73,221,81
121,T120,T120,Louis Oosthuizen,17,2.73,153,56
122,T120,T120,Steve Wheatcroft,26,2.73,221,81
123,T120,T120,Mark Wilson,21,2.73,169,62
124,125,125,Ben Martin,28,2.74,241,88
125,T126,T126,Ben Crane,27,2.75,209,76
126,T126,T126,Matt Jones,27,2.75,220,80
127,T126,T126,David Lingmerth,24,2.75,223,81
128,T126,T126,Willy Wilcox,23,2.75,179,65
129,T130,T130,Blayne Barber,27,2.76,221,80
130,T130,T130,Rob Oppenheim,21,2.76,174,63
131,T130,T130,Brian Stuard,20,2.76,182,66
132,133,133,Billy Horschel,20,2.77,194,70
133,T134,T134,Rhein Gibson,20,2.78,150,54
134,T134,T134,Padraig Harrington,16,2.78,150,54
135,T134,T134,Patton Kizzire,27,2.78,247,89
136,T134,T134,Justin Thomas,28,2.78,267,96
137,138,138,Thomas Aiken,23,2.79,184,66
138,T139,T139,Tyler Aldridge,28,2.8,221,79
139,T139,T139,Hiroshi Iwata,29,2.8,232,83
140,T139,T139,Scott Stallings,27,2.8,196,70
141,T142,T142,Tom Hoge,26,2.81,216,77
142,T142,T142,Greg Owen,29,2.81,228,81
143,T144,T144,Hunter Mahan,22,2.82,172,61
144,T144,T144,David Toms,19,2.82,175,62
145,T146,T146,Derek Fathauer,30,2.83,266,94
146,T146,T146,Vaughn Taylor,24,2.83,204,72
147,T148,T148,Fabián Gómez,26,2.85,225,79
148,T148,T148,Dicky Pride,21,2.85,151,53
149,150,150,Scott Pinckney,29,2.86,243,85
150,151,151,Peter Malnati,32,2.87,244,85
151,152,152,Jimmy Walker,25,2.88,236,82
152,T153,T153,J.B. Holmes,22,2.89,214,74
153,T153,T153,Wes Roach,21,2.89,159,55
154,T153,T153,Sam Saunders,24,2.89,188,65
155,T156,T156,Brooks Koepka,21,2.9,203,70
156,T156,T156,Harold Varner III,28,2.9,267,92
157,158,158,Daniel Summerhays,28,2.91,288,99
158,T159,T159,Charley Hoffman,26,2.92,257,88
159,T159,T159,Danny Lee,28,2.92,263,90
160,T161,T161,James Hahn,26,2.93,249,85
161,T161,T161,Geoff Ogilvy,22,2.93,173,59
162,T161,T161,Cameron Smith,24,2.93,202,69
163,T164,T164,Ángel Cabrera,22,2.94,182,62
164,T164,T164,George McNeill,23,2.94,150,51
165,T164,T164,Rory Sabbatini,20,2.94,159,54
166,167,167,Cameron Tringale,25,2.95,227,77
167,168,168,Anirban Lahiri,21,2.99,206,69
168,T169,T169,Erik Compton,24,3.0,189,63
169,T169,T169,Robert Streb,27,3.0,252,84
170,T169,T169,Brendon Todd,29,3.0,189,63
171,172,172,Chesson Hadley,27,3.01,238,79
172,T173,T173,J.J. Henry,24,3.03,200,66
173,T173,T173,Vijay Singh,22,3.03,218,72
174,T175,T175,Andrew Loupe,27,3.04,228,75
175,T175,T175,D.A. Points,18,3.04,155,51
