,Back_9_Scoring_Average_RANK THIS WEEK,Back_9_Scoring_Average_RANK LAST WEEK,Back_9_Scoring_Average_PLAYER NAME,Back_9_Scoring_Average_ROUNDS,Back_9_Scoring_Average_AVG,Back_9_Scoring_Average_TOTAL STROKES,Back_9_Scoring_Average_TOTAL HOLES
0,1,1,Jordan Spieth,80,34.91,2653,76
1,T2,T2,Chad Campbell,90,34.93,3144,90
2,T2,T2,Adam Scott,79,34.93,2655,76
3,4,4,Paul Casey,77,34.97,2588,74
4,5,5,Lucas Glover,75,35.0,2625,75
5,6,6,Jason Day,76,35.01,2416,69
6,7,7,Dustin Johnson,87,35.02,2872,82
7,8,8,Matt Kuchar,100,35.04,3364,96
8,9,9,Steve Stricker,53,35.06,1858,53
9,10,10,Si Woo Kim,113,35.09,3825,109
10,T11,T11,Brooks Koepka,75,35.11,2458,70
11,T11,T11,Phil Mickelson,75,35.11,2528,72
12,13,13,Daniel Berger,92,35.12,3126,89
13,T14,T14,Charl Schwartzel,73,35.13,2459,70
14,T14,T14,Gary Woodland,95,35.13,3197,91
15,16,16,Chez Reavie,90,35.15,3023,86
16,17,17,Zach Johnson,90,35.17,3025,86
17,18,18,Emiliano Grillo,93,35.18,3166,90
18,T19,T19,J.B. Holmes,77,35.19,2604,74
19,T19,T19,Charles Howell III,91,35.19,3202,91
20,21,21,Roberto Castro,97,35.2,3414,97
21,T22,T22,Alex Cejka,71,35.21,2359,67
22,T22,T22,Louis Oosthuizen,63,35.21,1972,56
23,T22,T22,Webb Simpson,70,35.21,2465,70
24,T22,T22,Tim Wilkinson,72,35.21,2394,68
25,T26,T26,Harris English,97,35.22,3416,97
26,T26,T26,David Hearn,95,35.22,3346,95
27,T26,T26,Russell Henley,76,35.22,2677,76
28,T29,T29,Hideki Matsuyama,76,35.23,2572,73
29,T29,T29,Jhonattan Vegas,97,35.23,3276,93
30,T31,T31,Stewart Cink,61,35.25,2150,61
31,T31,T31,Sean O'Hair,89,35.25,3137,89
32,T33,T33,Rory McIlroy,69,35.26,2186,62
33,T33,T33,Ryan Moore,86,35.26,2856,81
34,T33,T33,Patrick Reed,105,35.26,3561,101
35,T33,T33,Hudson Swafford,104,35.26,3667,104
36,T37,T37,Aaron Baddeley,93,35.27,3139,89
37,T37,T37,Ricky Barnes,97,35.27,3280,93
38,T37,T37,Rickie Fowler,80,35.27,2716,77
39,T40,T40,William McGirt,98,35.28,3457,98
40,T40,T40,Ryan Palmer,86,35.28,3034,86
41,T40,T40,John Senden,88,35.28,3034,86
