,SG_Total_RANK THIS WEEK,SG_Total_RANK LAST WEEK,SG_Total_PLAYER NAME,SG_Total_ROUNDS,SG_Total_AVERAGE,SG_Total_TOTAL SG:T,SG_Total_TOTAL SG:T2G,SG_Total_TOTAL SG:P,SG_Total_MEASURED ROUNDS
0,1,1,Jason Day,76,2.1180000000000003,114.345,53.3,61.042,54
1,2,2,Dustin Johnson,87,1.993,123.535,103.17299999999999,20.361,62
2,3,3,Adam Scott,79,1.8940000000000001,106.04899999999999,115.45100000000001,-9.405,56
3,4,4,Rory McIlroy,69,1.681,80.664,90.6,-9.937999999999999,48
4,5,5,Jordan Spieth,80,1.569,91.007,47.052,43.95399999999999,58
5,6,6,Rickie Fowler,80,1.3780000000000001,88.176,78.366,9.807,64
6,7,7,Paul Casey,77,1.3719999999999999,78.202,71.815,6.3839999999999995,57
7,8,8,Phil Mickelson,75,1.364,80.465,47.128,33.335,59
8,9,9,Matt Kuchar,100,1.314,101.155,71.8,29.355999999999998,77
9,10,10,Hideki Matsuyama,76,1.29,74.811,76.281,-1.472,58
10,11,11,Justin Rose,65,1.128,55.269,64.906,-9.639,49
11,12,12,Brooks Koepka,75,1.092,65.547,38.861999999999995,26.680999999999997,60
12,13,13,Charl Schwartzel,73,1.043,58.409,66.059,-7.649,56
13,14,14,Patrick Reed,105,1.026,80.018,58.213,21.805,78
14,15,15,Bubba Watson,72,0.992,50.598,69.29,-18.692,51
15,16,16,Gary Woodland,95,0.968,74.507,84.50200000000001,-9.997,77
16,17,17,William McGirt,98,0.958,84.26799999999999,52.598,31.666,88
17,18,18,Ryan Moore,86,0.895,58.17,35.336999999999996,22.831,65
18,19,19,Daniel Berger,92,0.893,64.31,51.681000000000004,12.627,72
19,20,20,Jimmy Walker,85,0.892,62.446999999999996,45.452,16.994,70
20,21,21,Brandt Snedeker,93,0.86,63.676,38.326,25.351,74
21,22,22,Branden Grace,63,0.855,35.923,40.325,-4.402,42
22,23,23,Louis Oosthuizen,63,0.836,35.11,36.007,-0.897,42
23,24,24,Billy Horschel,73,0.81,45.349,41.074,4.273,56
24,25,25,Sergio Garcia,54,0.8009999999999999,24.818,36.845,-12.027999999999999,31
25,26,26,Ryan Palmer,86,0.774,60.36,67.673,-7.314,78
26,27,27,Kevin Chappell,93,0.77,60.076,84.27,-24.195,78
27,28,28,Steve Stricker,53,0.721,32.433,4.539,27.895,45
28,29,29,Charles Howell III,91,0.6729999999999999,52.468999999999994,42.086999999999996,10.378,78
29,30,30,Webb Simpson,70,0.667,38.703,66.64699999999999,-27.945,58
30,31,31,Chris Kirk,90,0.653,48.356,48.808,-0.451,74
31,32,32,Alex Cejka,71,0.642,32.717,32.17,0.541,51
32,33,33,Robert Garrigus,69,0.632,34.109,45.583999999999996,-11.475,54
33,34,34,Kevin Na,96,0.627,43.284,38.144,5.138999999999999,69
34,35,35,Retief Goosen,55,0.613,29.401999999999997,7.242999999999999,22.156999999999996,48
35,36,36,Zach Johnson,90,0.609,44.452,15.635,28.815,73
36,37,37,Jhonattan Vegas,97,0.604,48.31,40.433,7.872999999999999,80
37,38,38,Roberto Castro,97,0.5870000000000001,51.648999999999994,74.277,-22.627,88
38,39,39,Harris English,97,0.574,41.357,-1.242,42.599,72
39,40,40,Lucas Glover,75,0.5720000000000001,38.306,51.157,-12.850999999999999,67
40,41,41,Chad Campbell,90,0.565,44.626999999999995,64.869,-20.244,79
41,T42,T42,Charley Hoffman,91,0.562,39.373000000000005,41.891000000000005,-2.516,70
42,T42,T42,Francesco Molinari,64,0.562,32.042,48.935,-16.895,57
43,44,44,Tim Wilkinson,72,0.561,28.055999999999997,11.265,16.789,50
44,T45,T45,Russell Henley,76,0.56,38.611,25.269000000000002,13.341,69
45,T45,T45,Jason Kokrak,89,0.56,41.465,61.425,-19.96,74
46,47,47,Shane Lowry,57,0.551,19.851,17.686,2.165,36
47,48,48,Kevin Kisner,97,0.5479999999999999,39.993,-8.677999999999999,48.67,73
48,49,49,Bryce Molder,80,0.54,36.178000000000004,-0.885,37.063,67
49,50,50,Jim Furyk,52,0.53,23.316,20.351,2.964,44
50,51,51,Adam Hadwin,93,0.526,45.799,-0.245,46.041000000000004,87
51,52,52,David Hearn,95,0.525,43.07,25.491,17.577,82
52,53,53,Bill Haas,86,0.519,33.203,44.343,-11.142000000000001,64
53,T54,T54,Marc Leishman,89,0.51,33.118,16.766,16.349,65
54,T54,T54,John Senden,88,0.51,39.760999999999996,14.073,25.684,78
55,56,56,Russell Knox,92,0.506,32.876,36.373000000000005,-3.4989999999999997,65
56,57,57,Chez Reavie,90,0.5,37.963,57.863,-19.898,76
57,58,58,Si Woo Kim,113,0.499,48.924,59.596000000000004,-10.674000000000001,98
58,59,59,Jason Dufner,105,0.488,38.534,66.383,-27.85,79
59,60,60,J.B. Holmes,77,0.48100000000000004,28.848000000000003,38.038000000000004,-9.189,60
60,61,61,Emiliano Grillo,93,0.479,34.949,39.004,-4.0569999999999995,73
61,62,62,Jamie Lovemark,91,0.46299999999999997,37.967,26.355,11.61,82
62,63,63,Luke List,79,0.436,28.364,46.1,-17.737000000000002,65
63,64,64,Patton Kizzire,93,0.382,28.304000000000002,-5.733,34.033,74
64,65,65,David Toms,62,0.38,20.523000000000003,13.375,7.145,54
65,66,66,Luke Donald,81,0.37799999999999995,22.308000000000003,13.546,8.76,59
66,67,67,Sean O'Hair,89,0.371,31.160999999999998,13.671,17.488,84
67,68,68,Johnson Wagner,86,0.368,27.996,7.251,20.741999999999997,76
68,69,69,Billy Hurley III,66,0.348,20.559,-4.963,25.52,59
69,70,70,Colt Knost,90,0.324,22.685,-4.196000000000001,26.875999999999998,70
70,71,71,Smylie Kaufman,91,0.322,22.84,13.34,9.497,71
71,72,72,Justin Thomas,99,0.32,24.034000000000002,37.913000000000004,-13.880999999999998,75
72,73,73,Patrick Rodgers,89,0.311,22.099,35.8,-13.705,71
73,T74,T74,Danny Lee,93,0.302,21.151,35.669000000000004,-14.52,70
74,T74,T74,Hudson Swafford,104,0.302,27.506999999999998,9.066,18.438,91
75,76,76,Keegan Bradley,82,0.298,18.777,58.523999999999994,-39.747,63
76,77,77,Martin Laird,82,0.297,20.811999999999998,9.833,10.978,70
77,78,78,Ricky Barnes,97,0.295,23.56,-7.282,30.840999999999998,80
78,79,79,Brendan Steele,88,0.275,18.723,36.165,-17.442999999999998,68
79,80,80,David Lingmerth,84,0.261,15.659,12.368,3.2880000000000003,60
80,81,81,Brian Harman,104,0.26,23.633000000000003,-20.517,44.148,91
81,82,82,Ben Crane,80,0.253,16.445,2.398,14.046,65
82,83,83,Spencer Levin,104,0.23800000000000002,19.517,18.819000000000003,0.696,82
83,84,84,Daniel Summerhays,99,0.23600000000000002,18.619,-28.13,46.746,79
84,85,85,Aaron Baddeley,93,0.23399999999999999,17.349,-25.655,43.001999999999995,74
85,86,86,Scott Piercy,87,0.192,12.274000000000001,30.592,-18.317999999999998,64
86,87,87,K.J. Choi,73,0.17800000000000002,11.761,-11.501,23.263,66
87,88,88,Stuart Appleby,71,0.17600000000000002,11.639000000000001,-1.6640000000000001,13.302999999999999,66
88,89,89,Jerry Kelly,76,0.16699999999999998,10.027000000000001,22.875,-12.847999999999999,60
89,90,90,Scott Stallings,74,0.158,9.765,27.83,-18.067,62
90,91,91,Thomas Aiken,70,0.156,7.4639999999999995,7.167000000000001,0.298,48
91,92,92,Kyle Reifers,115,0.14800000000000002,14.242,4.495,9.746,96
92,93,93,Scott Brown,88,0.14300000000000002,9.866,8.591000000000001,1.275,69
93,94,94,Kyle Stanley,92,0.141,11.009,21.217,-10.208,78
94,95,95,Vijay Singh,72,0.128,8.342,14.417,-6.075,65
95,96,96,Robert Streb,87,0.122,7.956,36.045,-28.089000000000002,65
96,97,97,Chris Stroud,82,0.121,8.374,-2.006,10.379000000000001,69
97,98,98,Tony Finau,95,0.11800000000000001,9.096,17.417,-8.324,77
98,99,99,Harold Varner III,92,0.10099999999999999,7.999,37.759,-29.76,79
99,100,100,Blayne Barber,84,0.099,7.319,6.541,0.7759999999999999,74
100,101,101,Boo Weekley,83,0.08199999999999999,5.822,21.783,-15.963,71
101,102,102,Graham DeLaet,70,0.07200000000000001,4.18,16.393,-12.215,58
102,103,103,Anirban Lahiri,72,0.068,3.2439999999999998,4.203,-0.9590000000000001,48
103,104,104,Henrik Norlander,71,0.066,3.455,2.532,0.9209999999999999,52
104,105,105,Kevin Streelman,82,0.064,4.031000000000001,28.17,-24.14,63
105,106,106,Stewart Cink,61,0.062,3.014,22.514,-19.497,49
106,107,107,Jon Curran,99,0.053,4.449,-29.758000000000003,34.204,84
107,108,108,Brett Stegmaier,87,0.048,3.602,8.13,-4.53,75
108,109,109,Freddie Jacobson,86,0.047,3.313,-30.653000000000002,33.964,71
