,Final_Round_Performance_RANK THIS WEEK,Final_Round_Performance_RANK LAST WEEK,Final_Round_Performance_PLAYER NAME,Final_Round_Performance_EVENTS,Final_Round_Performance_%
0,1,1,Brendon Todd,29,100.0
1,2,2,Luke Guthrie,19,88.89
2,3,3,Phil Mickelson,22,86.67
3,4,4,Branden Grace,18,84.62
4,5,5,Michael Thompson,23,81.82
5,6,6,Jason Day,20,81.25
6,7,7,Dustin Johnson,22,80.0
7,8,8,Adam Scott,20,78.95
8,9,9,Rory McIlroy,18,78.57
9,10,10,Jordan Spieth,21,77.78
10,T11,T11,Paul Casey,22,75.0
11,T11,T11,J.B. Holmes,22,75.0
12,T11,T11,Louis Oosthuizen,17,75.0
13,T14,T14,Fabián Gómez,26,73.33
14,T14,T14,Hideki Matsuyama,23,73.33
15,T16,T16,Shane Lowry,17,72.73
16,T16,T16,Scott Stallings,27,72.73
17,18,18,Robert Garrigus,21,71.43
18,T19,T19,Chad Campbell,28,70.59
19,T19,T19,Jimmy Walker,25,70.59
20,T21,T21,Chad Collins,26,70.0
21,T21,T21,Kelly Kraft,20,70.0
22,T21,T21,Graeme McDowell,21,70.0
23,24,24,Brooks Koepka,21,68.75
24,T25,T25,Zach Johnson,24,68.42
25,T25,T25,Brandt Snedeker,27,68.42
26,T27,T27,Luke List,27,66.67
27,T27,T27,Kevin Na,26,66.67
28,T27,T27,Kevin Streelman,26,66.67
29,T27,T27,Justin Thomas,28,66.67
30,T27,T27,Jhonattan Vegas,27,66.67
31,32,32,Si Woo Kim,34,65.22
32,T33,T33,Russell Knox,25,65.0
33,T33,T33,Spencer Levin,32,65.0
34,T33,T33,William McGirt,28,65.0
35,36,36,Rickie Fowler,23,64.71
36,T37,T37,Alex Cejka,22,64.29
37,T37,T37,Matt Jones,27,64.29
38,T37,T37,Justin Rose,18,64.29
39,T37,T37,Chris Stroud,27,64.29
40,T41,T41,Stewart Cink,19,63.64
41,T41,T41,Dawie van der Walt,25,63.64
42,T41,T41,Willy Wilcox,23,63.64
43,T44,T44,Kevin Chappell,27,63.16
44,T44,T44,Patton Kizzire,27,63.16
45,T44,T44,Scott Piercy,24,63.16
46,T47,T47,Steven Bowditch,26,62.5
47,T47,T47,Wes Roach,21,62.5
48,49,49,Charles Howell III,25,61.9
49,50,50,Brian Stuard,20,61.54
50,T51,T51,David Hearn,29,61.11
51,T51,T51,Ryan Moore,23,61.11
52,T51,T51,Chez Reavie,27,61.11
53,T54,T54,Blayne Barber,27,60.0
54,T54,T54,Andrew Loupe,27,60.0
55,T54,T54,Carlos Ortiz,29,60.0
56,T54,T54,Ryan Palmer,23,60.0
57,58,58,David Lingmerth,24,58.82
58,T59,T59,Hiroshi Iwata,29,58.33
59,T59,T59,Troy Merritt,26,58.33
60,61,61,Marc Leishman,25,57.89
61,T62,T62,Bronson Burgoon,27,57.14
62,T62,T62,K.J. Choi,22,57.14
63,T62,T62,Brian Harman,31,57.14
