,Total_Birdies_RANK THIS WEEK,Total_Birdies_RANK LAST WEEK,Total_Birdies_PLAYER NAME,Total_Birdies_ROUNDS,Total_Birdies_TOTAL
0,1,1,Si Woo Kim,113,400
1,2,2,Hudson Swafford,104,395
2,3,3,Kyle Reifers,115,389
3,T4,T4,Jason Dufner,105,385
4,T4,T4,Patrick Reed,105,385
5,6,6,Brian Harman,104,380
6,7,7,Matt Kuchar,100,376
7,8,8,Dustin Johnson,87,365
8,9,9,Daniel Summerhays,99,363
9,10,10,Justin Thomas,99,360
10,T11,T11,Roberto Castro,97,357
11,T11,T11,Adam Hadwin,93,357
12,13,13,Ricky Barnes,97,354
13,14,14,Kevin Na,96,352
14,15,15,Kevin Kisner,97,351
15,16,16,William McGirt,98,350
16,17,17,Spencer Levin,104,348
17,18,18,Charles Howell III,91,347
18,19,19,Jamie Lovemark,91,345
19,T20,T20,Sean O'Hair,89,344
20,T20,T20,Ryan Palmer,86,344
21,22,22,Tony Finau,95,343
22,T23,T23,Daniel Berger,92,342
23,T23,T23,Emiliano Grillo,93,342
24,25,25,Jon Curran,99,340
25,26,26,Brandt Snedeker,93,339
26,27,27,Harris English,97,337
27,28,28,Jhonattan Vegas,97,335
28,T29,T29,Smylie Kaufman,91,334
29,T29,T29,Tyrone Van Aswegen,105,334
30,T31,T31,Mark Hubbard,101,333
31,T31,T31,Michael Kim,100,333
32,T33,T33,Kevin Chappell,93,332
33,T33,T33,Derek Fathauer,94,332
34,T33,T33,Gary Woodland,95,332
35,36,36,David Hearn,95,331
36,37,37,Harold Varner III,92,326
37,T38,T38,Jason Kokrak,89,325
38,T38,T38,Ben Martin,92,325
39,40,40,Jordan Spieth,80,324
40,T41,T41,Aaron Baddeley,93,323
41,T41,T41,Russell Knox,92,323
42,T43,T43,Freddie Jacobson,86,322
43,T43,T43,Patton Kizzire,93,322
44,45,45,Danny Lee,93,321
45,46,46,Jimmy Walker,85,315
46,47,47,Zach Johnson,90,314
47,48,48,Chad Campbell,90,313
48,T49,T49,Patrick Rodgers,89,309
49,T49,T49,Johnson Wagner,86,309
50,51,51,Kyle Stanley,92,307
51,T52,T52,Hideki Matsuyama,76,306
52,T52,T52,Boo Weekley,83,306
53,T54,T54,Zac Blair,99,305
54,T54,T54,Scott Brown,88,305
55,T54,T54,Jim Herman,93,305
56,T57,T57,Ryan Moore,86,304
57,T57,T57,John Senden,88,304
58,59,59,Scott Pinckney,87,303
59,60,60,Marc Leishman,89,302
60,T61,T61,J.B. Holmes,77,300
61,T61,T61,Adam Scott,79,300
62,T63,T63,Andrew Loupe,75,298
63,T63,T63,Chez Reavie,90,298
64,65,65,Charley Hoffman,91,297
65,T66,T66,Scott Piercy,87,296
66,T66,T66,Brendan Steele,88,296
67,68,68,Sung Kang,89,295
68,69,69,David Lingmerth,84,293
69,T70,T70,Phil Mickelson,75,292
70,T70,T70,Brett Stegmaier,87,292
71,72,72,Chris Kirk,90,291
72,73,73,Kevin Streelman,82,290
73,T74,T74,Martin Laird,82,289
74,T74,T74,Luke List,79,289
75,T74,T74,Seung-Yul Noh,85,289
76,77,77,Brooks Koepka,75,288
77,T78,T78,Jason Day,76,287
78,T78,T78,Peter Malnati,85,287
79,T80,T80,Keegan Bradley,82,286
80,T80,T80,Rickie Fowler,80,286
81,T80,T80,Chesson Hadley,81,286
82,T80,T80,John Huh,86,286
83,84,84,Lucas Glover,75,284
84,T85,T85,James Hahn,85,283
85,T85,T85,Matt Jones,83,283
86,T87,T87,Blayne Barber,84,282
87,T87,T87,Jonas Blixt,79,282
88,89,89,Colt Knost,90,280
89,T90,T90,Chris Stroud,82,279
90,T90,T90,Cameron Tringale,81,279
91,92,92,Greg Owen,85,278
92,93,93,Andres Gonzales,80,277
93,94,94,Robert Streb,87,275
94,95,95,Rory McIlroy,69,274
95,T96,T96,Paul Casey,77,273
96,T96,T96,Fabián Gómez,82,273
97,T98,T98,Shawn Stefani,91,272
98,T98,T98,Nick Taylor,83,272
99,100,100,Troy Merritt,77,271
100,101,101,Russell Henley,76,268
101,T102,T102,Brendon de Jonge,83,267
102,T102,T102,Will MacKenzie,84,267
103,T102,T102,Steve Wheatcroft,85,267
104,T105,T105,Carlos Ortiz,79,266
105,T105,T105,Charl Schwartzel,73,266
106,107,107,Camilo Villegas,83,264
107,108,108,Hiroshi Iwata,85,263
108,T109,T109,Tyler Aldridge,83,262
109,T109,T109,Michael Thompson,71,262
110,111,111,Bryce Molder,80,261
111,T112,T112,Ben Crane,80,260
112,T112,T112,Robert Garrigus,69,260
113,T112,T112,Billy Horschel,73,260
114,T115,T115,Alex Cejka,71,259
115,T115,T115,Luke Donald,81,259
116,117,117,Vaughn Taylor,72,258
117,T118,T118,Bronson Burgoon,83,256
118,T118,T118,Jason Gore,78,256
119,T120,T120,Bill Haas,86,255
120,T120,T120,Tom Hoge,81,255
121,T122,T122,Webb Simpson,70,254
122,T122,T122,Bubba Watson,72,254
123,124,124,Whee Kim,82,253
124,125,125,K.J. Choi,73,251
125,126,126,Jason Bohn,67,250
126,127,127,Graham DeLaet,70,249
127,128,128,Vijay Singh,72,246
128,129,129,Tim Wilkinson,72,245
129,130,130,Dawie van der Walt,72,243
130,131,131,Jerry Kelly,76,242
131,132,132,Scott Stallings,74,241
132,133,133,Anirban Lahiri,72,239
133,T134,T134,Morgan Hoffmann,71,238
134,T134,T134,Steve Marino,72,238
135,136,136,Justin Rose,65,236
136,137,137,Stuart Appleby,71,233
137,T138,T138,Henrik Norlander,71,231
138,T138,T138,Cameron Smith,73,231
139,140,140,Willy Wilcox,67,229
140,141,141,Chad Collins,73,225
141,142,142,Brian Stuard,66,224
142,143,143,Billy Hurley III,66,223
143,144,144,Sam Saunders,69,222
144,145,145,Ernie Els,66,218
145,146,146,Thomas Aiken,70,217
146,147,147,Stewart Cink,61,216
147,148,148,Steven Bowditch,71,214
148,T149,T149,Francesco Molinari,64,212
149,T149,T149,Jeff Overton,69,212
150,T151,T151,Kelly Kraft,63,211
151,T151,T151,Graeme McDowell,63,211
152,153,153,Branden Grace,63,209
153,154,154,David Toms,62,203
154,T155,T155,Erik Compton,65,201
155,T155,T155,Hunter Mahan,61,201
156,157,157,Luke Guthrie,57,200
157,158,158,Geoff Ogilvy,63,198
158,159,159,Scott Langley,65,197
159,160,160,Wes Roach,59,196
160,161,161,Sergio Garcia,54,195
161,162,162,Rob Oppenheim,67,193
162,163,163,Louis Oosthuizen,63,192
163,164,164,Ángel Cabrera,62,191
164,T165,T165,Padraig Harrington,54,189
165,T165,T165,Steve Stricker,53,189
166,167,167,Mark Wilson,66,187
167,168,168,Retief Goosen,55,186
168,169,169,D.A. Points,55,185
169,170,170,Martin Piller,59,183
170,T171,T171,J.J. Henry,68,182
171,T171,T171,Rory Sabbatini,57,182
172,173,173,Rhein Gibson,58,181
173,174,174,Shane Lowry,57,179
174,175,175,Derek Ernst,59,178
