,Birdie_or_Better_Percentage_-_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Rough_%,Birdie_or_Better_Percentage_-_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Rough_TOTAL HOLES
0,1,1,Rory McIlroy,69,26.74,46,172
1,2,2,Luke List,79,22.74,73,321
2,3,3,Dustin Johnson,87,21.67,57,263
3,4,4,Seung-Yul Noh,85,20.19,65,322
4,5,5,Ryan Palmer,86,20.14,58,288
5,6,6,Brooks Koepka,75,19.92,49,246
6,7,7,Gary Woodland,95,19.87,59,297
7,8,8,Jamie Lovemark,91,19.75,64,324
8,9,9,J.B. Holmes,77,19.64,55,280
9,10,10,Ken Duke,58,19.54,34,174
10,11,11,Jimmy Walker,85,19.49,69,354
11,12,12,D.A. Points,55,19.48,30,154
12,13,13,Andrew Loupe,75,19.39,64,330
13,14,14,Francesco Molinari,64,19.21,34,177
14,15,15,Bubba Watson,72,18.78,43,229
15,16,16,Hideki Matsuyama,76,18.69,40,214
16,17,17,Branden Grace,63,18.58,34,183
17,T18,T18,Adam Scott,79,18.1,40,221
18,T18,T18,Jordan Spieth,80,18.1,40,221
19,20,20,Marc Leishman,89,18.0,45,250
20,21,21,Jason Day,76,17.96,44,245
21,22,22,Vaughn Taylor,72,17.95,42,234
22,23,23,Vijay Singh,72,17.94,47,262
23,24,24,Kevin Chappell,93,17.75,52,293
24,25,25,Brandt Snedeker,93,17.71,51,288
25,26,26,Scott Stallings,74,17.63,49,278
26,27,27,Jhonattan Vegas,97,17.58,58,330
27,28,28,Chris Stroud,82,17.54,47,268
28,29,29,Phil Mickelson,75,17.52,48,274
29,30,30,Brian Harman,104,17.5,56,320
30,T31,T31,Jason Kokrak,89,17.42,54,310
31,T31,T31,Johnson Wagner,86,17.42,50,287
32,T33,T33,Jonas Blixt,79,17.39,48,276
33,T33,T33,Sean O'Hair,89,17.39,56,322
34,T33,T33,Wes Roach,59,17.39,28,161
35,36,36,Smylie Kaufman,91,17.33,57,329
36,37,37,Morgan Hoffmann,71,17.32,40,231
37,T38,T38,Charles Howell III,91,17.31,63,364
38,T38,T38,Steve Stricker,53,17.31,27,156
39,40,40,Hudson Swafford,104,17.22,57,331
40,41,41,Jason Dufner,105,17.07,49,287
41,42,42,Jason Bohn,67,17.05,30,176
42,43,43,Andrew Landry,53,16.95,20,118
43,44,44,Carlos Ortiz,79,16.92,45,266
44,45,45,Graham DeLaet,70,16.89,38,225
45,46,46,Charl Schwartzel,73,16.88,40,237
46,47,47,Matt Jones,83,16.86,43,255
47,48,48,Thomas Aiken,70,16.78,24,143
48,T49,T49,Keegan Bradley,82,16.59,34,205
49,T49,T49,Boo Weekley,83,16.59,37,223
50,51,51,Geoff Ogilvy,63,16.58,31,187
51,T52,T52,Tony Finau,95,16.25,59,363
52,T52,T52,Charley Hoffman,91,16.25,45,277
53,T52,T52,Tom Hoge,81,16.25,45,277
54,55,55,Rickie Fowler,80,16.19,40,247
55,56,56,Justin Thomas,99,16.16,53,328
56,57,57,Sam Saunders,69,16.15,31,192
57,58,58,Kevin Na,96,15.97,42,263
58,59,59,Robert Garrigus,69,15.81,37,234
59,60,60,Harold Varner III,92,15.76,49,311
60,61,61,Brendan Steele,88,15.63,35,224
61,62,62,Rhein Gibson,58,15.6,34,218
62,63,63,Derek Fathauer,94,15.57,57,366
63,64,64,Freddie Jacobson,86,15.52,43,277
64,65,65,Cameron Smith,73,15.51,29,187
65,66,66,Rory Sabbatini,57,15.5,20,129
66,67,67,Tyler Aldridge,83,15.46,45,291
67,T68,T68,Bronson Burgoon,83,15.38,40,260
68,T68,T68,Jim Herman,93,15.38,38,247
69,T68,T68,Patrick Rodgers,89,15.38,46,299
70,71,71,Greg Owen,85,15.36,43,280
71,72,72,Chez Reavie,90,15.32,36,235
72,73,73,Matt Kuchar,100,15.29,39,255
73,T74,T74,Ricky Barnes,97,15.27,53,347
74,T74,T74,Scott Pinckney,87,15.27,40,262
75,76,76,Martin Piller,59,15.24,25,164
76,77,77,Martin Laird,82,15.2,45,296
77,78,78,Louis Oosthuizen,63,15.19,24,158
78,79,79,Mark Wilson,66,15.14,28,185
79,80,80,Erik Compton,65,15.12,31,205
80,81,81,John Senden,88,15.11,47,311
81,82,82,Lucas Glover,75,15.09,32,212
82,83,83,Steve Wheatcroft,85,15.07,41,272
83,84,84,Padraig Harrington,54,15.06,25,166
84,85,85,Colt Knost,90,15.05,28,186
85,T86,T86,James Hahn,85,15.0,39,260
86,T86,T86,Hunter Mahan,61,15.0,30,200
87,88,88,Sergio Garcia,54,14.95,16,107
88,89,89,Webb Simpson,70,14.9,31,208
89,90,90,Will MacKenzie,84,14.86,37,249
90,T91,T91,Andres Gonzales,80,14.81,40,270
91,T91,T91,Willy Wilcox,67,14.81,32,216
92,93,93,Ben Martin,92,14.75,41,278
93,94,94,Michael Thompson,71,14.72,29,197
94,95,95,Chad Collins,73,14.65,40,273
95,96,96,Chris Kirk,90,14.6,40,274
96,97,97,Robert Streb,87,14.52,36,248
97,98,98,Chesson Hadley,81,14.5,39,269
98,99,99,Rob Oppenheim,67,14.48,32,221
99,T100,T100,Kyle Reifers,115,14.38,45,313
100,T100,T100,Daniel Summerhays,99,14.38,45,313
101,102,102,Patrick Reed,105,14.37,51,355
102,T103,T103,Billy Horschel,73,14.29,28,196
103,T103,T103,Scott Piercy,87,14.29,36,252
104,T103,T103,Cameron Tringale,81,14.29,41,287
105,106,106,Harris English,97,14.24,45,316
106,107,107,John Huh,86,14.23,35,246
107,T108,T108,Henrik Norlander,71,14.12,25,177
108,T108,T108,Brian Stuard,66,14.12,25,177
109,110,110,Kevin Streelman,82,14.1,32,227
110,111,111,Michael Kim,100,14.01,44,314
111,T112,T112,Stuart Appleby,71,13.94,35,251
112,T112,T112,David Toms,62,13.94,23,165
113,114,114,Zach Johnson,90,13.91,32,230
114,115,115,William McGirt,98,13.77,42,305
115,116,116,Ben Crane,80,13.73,32,233
116,117,117,Kelly Kraft,63,13.69,23,168
117,118,118,Sung Kang,89,13.61,40,294
118,119,119,Patton Kizzire,93,13.58,41,302
119,120,120,Jason Gore,78,13.55,29,214
120,121,121,Brett Stegmaier,87,13.54,39,288
121,122,122,Alex Cejka,71,13.53,23,170
122,123,123,Fabián Gómez,82,13.48,36,267
123,124,124,Anirban Lahiri,72,13.46,28,208
124,125,125,Camilo Villegas,83,13.42,42,313
125,126,126,Justin Rose,65,13.21,28,212
126,127,127,Si Woo Kim,113,13.2,45,341
127,128,128,Peter Malnati,85,13.19,38,288
128,129,129,Shane Lowry,57,13.08,17,130
129,130,130,Whee Kim,82,13.06,32,245
130,131,131,Dicky Pride,55,13.04,18,138
131,132,132,Stewart Cink,61,13.0,26,200
132,133,133,Mark Hubbard,101,12.87,39,303
133,134,134,Daniel Berger,92,12.79,38,297
134,135,135,Scott Brown,88,12.66,29,229
135,136,136,Roberto Castro,97,12.64,33,261
136,137,137,Russell Henley,76,12.55,31,247
137,T138,T138,Ángel Cabrera,62,12.5,25,200
138,T138,T138,Luke Guthrie,57,12.5,25,200
139,140,140,Danny Lee,93,12.45,29,233
140,141,141,Bill Haas,86,12.39,29,234
141,142,142,Chad Campbell,90,12.36,33,267
142,143,143,Aaron Baddeley,93,12.34,38,308
143,144,144,Hiroshi Iwata,85,12.32,34,276
144,145,145,Tyrone Van Aswegen,105,12.26,44,359
145,146,146,Brendon de Jonge,83,12.2,31,254
146,T147,T147,K.J. Choi,73,12.18,24,197
147,T147,T147,Shawn Stefani,91,12.18,38,312
148,149,149,Steve Marino,72,12.12,28,231
149,150,150,Derek Ernst,59,12.1,19,157
150,151,151,Ryan Moore,86,12.02,25,208
151,152,152,Scott Langley,65,12.0,24,200
152,153,153,Steven Bowditch,71,11.93,34,285
153,154,154,Kyle Stanley,92,11.86,30,253
154,155,155,Billy Hurley III,66,11.73,23,196
155,156,156,Blayne Barber,84,11.72,30,256
156,157,157,Tim Wilkinson,72,11.64,22,189
157,158,158,Nick Taylor,83,11.61,31,267
158,159,159,Paul Casey,77,11.48,21,183
159,160,160,Brendon Todd,66,11.43,24,210
160,161,161,Abraham Ancer,51,11.28,15,133
161,162,162,Emiliano Grillo,93,11.21,25,223
162,163,163,Ernie Els,66,11.16,28,251
