,Stroke_Differential_Field_Average_RANK THIS WEEK,Stroke_Differential_Field_Average_RANK LAST WEEK,Stroke_Differential_Field_Average_PLAYER NAME,Stroke_Differential_Field_Average_ROUNDS,Stroke_Differential_Field_Average_STROKE DIFFERENTIAL,Stroke_Differential_Field_Average_PLAYER'S SCORE,Stroke_Differential_Field_Average_FIELD AVERAGE SCORE
0,1,1,Dustin Johnson,87,2.13,69.48,71.61
1,2,2,Jason Day,76,2.12,69.71,71.83
2,3,3,Rory McIlroy,69,1.77,69.97,71.74
3,4,4,Jordan Spieth,80,1.65,69.72,71.37
4,5,5,Phil Mickelson,75,1.6,69.97,71.57
5,6,6,Adam Scott,79,1.59,69.8,71.39
6,T7,T7,Sergio Garcia,54,1.26,70.39,71.65
7,T7,T7,Justin Rose,65,1.26,70.66,71.92
8,9,9,Paul Casey,77,1.24,70.2,71.44
9,10,10,Hideki Matsuyama,76,1.23,70.15,71.38
10,11,11,Brooks Koepka,75,1.2,70.13,71.33
11,12,12,Matt Kuchar,100,1.18,70.04,71.22
12,13,13,Rickie Fowler,80,1.15,70.17,71.32
13,14,14,Patrick Reed,105,1.11,70.15,71.26
14,15,15,Charl Schwartzel,73,1.02,70.3,71.32
15,16,16,Branden Grace,63,0.97,70.78,71.75
16,17,17,Brandt Snedeker,93,0.96,70.22,71.18
17,18,18,Gary Woodland,95,0.91,70.19,71.1
18,T19,T19,Ryan Palmer,86,0.89,70.33,71.22
19,T19,T19,Steve Stricker,53,0.89,69.98,70.87
20,T21,T21,Daniel Berger,92,0.87,70.42,71.29
21,T21,T21,Bubba Watson,72,0.87,70.54,71.41
22,23,23,Charles Howell III,91,0.83,70.07,70.9
23,T24,T24,J.B. Holmes,77,0.82,70.85,71.67
24,T24,T24,Russell Knox,92,0.82,70.4,71.22
25,T26,T26,Ryan Moore,86,0.79,70.23,71.02
26,T26,T26,Kevin Na,96,0.79,70.27,71.06
27,T28,T28,Alex Cejka,71,0.78,70.04,70.82
28,T28,T28,William McGirt,98,0.78,70.39,71.17
29,30,30,Bill Haas,86,0.74,70.71,71.45
30,T31,T31,Kevin Chappell,93,0.71,70.55,71.26
31,T31,T31,Jim Furyk,52,0.71,70.58,71.29
32,T31,T31,Lucas Glover,75,0.71,70.33,71.04
33,T31,T31,Billy Horschel,73,0.71,71.01,71.72
34,T31,T31,Louis Oosthuizen,63,0.71,70.89,71.6
35,36,36,Jason Dufner,105,0.7,70.27,70.97
36,37,37,Jimmy Walker,85,0.69,70.55,71.24
37,38,38,Roberto Castro,97,0.68,70.12,70.8
38,39,39,Zach Johnson,90,0.66,70.41,71.07
39,T40,T40,Francesco Molinari,64,0.62,70.69,71.31
40,T40,T40,Webb Simpson,70,0.62,70.44,71.06
41,42,42,Si Woo Kim,113,0.6,70.34,70.94
42,T43,T43,Emiliano Grillo,93,0.59,70.74,71.33
43,T43,T43,Marc Leishman,89,0.59,70.53,71.12
44,T45,T45,Retief Goosen,55,0.58,70.91,71.49
45,T45,T45,Jason Kokrak,89,0.58,70.6,71.18
46,47,47,Kevin Kisner,97,0.57,70.49,71.06
47,48,48,Harris English,97,0.56,70.66,71.22
48,49,49,Justin Thomas,99,0.53,70.72,71.25
49,T50,T50,Chad Campbell,90,0.52,70.29,70.81
50,T50,T50,Chez Reavie,90,0.52,70.31,70.83
51,52,52,Adam Hadwin,93,0.51,70.47,70.98
52,53,53,Shane Lowry,57,0.49,71.5,71.99
53,T54,T54,Russell Henley,76,0.48,70.34,70.82
54,T54,T54,Brendan Steele,88,0.48,70.89,71.37
55,T54,T54,Jhonattan Vegas,97,0.48,70.55,71.03
56,T57,T57,Charley Hoffman,91,0.45,71.07,71.52
57,T57,T57,Luke List,79,0.45,70.6,71.05
58,59,59,John Senden,88,0.44,70.55,70.99
59,T60,T60,Jamie Lovemark,91,0.43,70.7,71.13
60,T60,T60,Sean O'Hair,89,0.43,70.39,70.82
61,62,62,Tony Finau,95,0.42,70.75,71.17
62,63,63,Daniel Summerhays,99,0.41,70.79,71.2
63,T64,T64,Aaron Baddeley,93,0.4,70.53,70.93
64,T64,T64,David Hearn,95,0.4,70.52,70.92
65,T64,T64,Bryce Molder,80,0.4,70.69,71.09
66,67,67,Patrick Rodgers,89,0.39,70.59,70.98
67,68,68,Kevin Streelman,82,0.38,71.18,71.56
68,69,69,Ricky Barnes,97,0.37,70.34,70.71
69,T70,T70,Freddie Jacobson,86,0.36,70.62,70.98
70,T70,T70,Martin Laird,82,0.36,70.64,71.0
71,T70,T70,Johnson Wagner,86,0.36,70.5,70.86
72,T73,T73,Keegan Bradley,82,0.35,70.77,71.12
73,T73,T73,Colt Knost,90,0.35,70.85,71.2
74,T73,T73,Scott Piercy,87,0.35,70.85,71.2
75,76,76,Tim Wilkinson,72,0.34,70.41,70.75
76,77,77,Smylie Kaufman,91,0.33,70.92,71.25
77,78,78,Luke Donald,81,0.32,70.88,71.2
78,79,79,Brian Harman,104,0.31,70.67,70.98
79,80,80,Hudson Swafford,104,0.3,70.53,70.83
80,81,81,Chris Kirk,90,0.28,70.86,71.14
81,82,82,Kyle Reifers,115,0.27,70.72,70.99
82,T83,T83,Robert Garrigus,69,0.26,70.37,70.63
83,T83,T83,Spencer Levin,104,0.26,70.63,70.89
84,T85,T85,K.J. Choi,73,0.24,70.93,71.17
85,T85,T85,Patton Kizzire,93,0.24,71.06,71.3
86,T85,T85,David Lingmerth,84,0.24,70.94,71.18
87,T85,T85,David Toms,62,0.24,70.95,71.19
88,T89,T89,Billy Hurley III,66,0.23,70.85,71.08
89,T89,T89,Jerry Kelly,76,0.23,70.62,70.85
90,T91,T91,Ben Crane,80,0.22,70.75,70.97
91,T91,T91,Graham DeLaet,70,0.22,71.02,71.24
92,93,93,Harold Varner III,92,0.21,71.08,71.29
93,94,94,Graeme McDowell,63,0.2,71.2,71.4
94,T95,T95,Stewart Cink,61,0.16,70.49,70.65
95,T95,T95,Sung Kang,89,0.16,70.76,70.92
96,T97,T97,Danny Lee,93,0.15,71.31,71.46
97,T97,T97,Scott Stallings,74,0.15,70.81,70.96
98,T99,T99,Scott Brown,88,0.13,70.91,71.04
99,T99,T99,Boo Weekley,83,0.13,70.69,70.82
100,T99,T99,Willy Wilcox,67,0.13,70.97,71.1
101,T102,T102,Vaughn Taylor,72,0.12,71.14,71.26
102,T102,T102,Cameron Tringale,81,0.12,71.0,71.12
103,T104,T104,Anirban Lahiri,72,0.11,71.3,71.41
104,T104,T104,Henrik Norlander,71,0.11,70.66,70.77
105,T106,T106,Padraig Harrington,54,0.09,70.93,71.02
106,T106,T106,Chris Stroud,82,0.09,70.78,70.87
107,108,108,Stuart Appleby,71,0.07,70.65,70.72
108,T109,T109,Jonas Blixt,79,0.06,71.05,71.11
109,T109,T109,Kyle Stanley,92,0.06,70.88,70.94
110,T111,T111,Jason Bohn,67,0.05,70.72,70.77
111,T111,T111,John Huh,86,0.05,70.8,70.85
112,T111,T111,Brett Stegmaier,87,0.05,70.71,70.76
113,T114,T114,Jon Curran,99,0.04,70.88,70.92
114,T114,T114,Robert Streb,87,0.04,71.26,71.3
115,T116,T116,Jim Herman,93,0.03,71.31,71.34
116,T116,T116,Nick Taylor,83,0.03,70.85,70.88
117,T118,T118,Blayne Barber,84,0.01,70.73,70.74
118,T118,T118,Derek Fathauer,94,0.01,71.1,71.11
119,T120,T120,Bronson Burgoon,83,-0.01,70.95,70.94
120,T120,T120,James Hahn,85,-0.01,71.33,71.32
121,T120,T120,Michael Thompson,71,-0.01,70.79,70.78
122,T123,T123,Kelly Kraft,63,-0.02,70.81,70.79
123,T123,T123,Vijay Singh,72,-0.02,71.32,71.3
124,125,125,Seung-Yul Noh,85,-0.04,70.94,70.9
125,T126,T126,Matt Jones,83,-0.06,71.16,71.1
126,T126,T126,Andrew Landry,53,-0.06,70.92,70.86
127,T126,T126,Ben Martin,92,-0.06,70.85,70.79
128,T129,T129,Michael Kim,100,-0.07,70.98,70.91
129,T129,T129,Tyrone Van Aswegen,105,-0.07,71.03,70.96
130,T131,T131,Fabián Gómez,82,-0.11,71.37,71.26
131,T131,T131,Mark Hubbard,101,-0.11,71.12,71.01
132,T131,T131,Brian Stuard,66,-0.11,71.02,70.91
133,T134,T134,Thomas Aiken,70,-0.13,70.94,70.81
134,T134,T134,Andrew Loupe,75,-0.13,71.29,71.16
135,T136,T136,Geoff Ogilvy,63,-0.19,71.42,71.23
136,T136,T136,Dawie van der Walt,72,-0.19,71.01,70.82
137,T138,T138,Luke Guthrie,57,-0.2,70.78,70.58
138,T138,T138,Morgan Hoffmann,71,-0.2,71.13,70.93
139,T140,T140,Ernie Els,66,-0.22,71.74,71.52
140,T140,T140,Rob Oppenheim,67,-0.22,71.4,71.18
141,142,142,Shawn Stefani,91,-0.23,71.0,70.77
142,T143,T143,Tyler Aldridge,83,-0.26,71.09,70.83
143,T143,T143,Will MacKenzie,84,-0.26,71.2,70.94
144,T143,T143,Camilo Villegas,83,-0.26,71.43,71.17
145,T143,T143,Steve Wheatcroft,85,-0.26,71.26,71.0
