,Early_Par_3_Scoring_Average_RANK THIS WEEK,Early_Par_3_Scoring_Average_RANK LAST WEEK,Early_Par_3_Scoring_Average_PLAYER NAME,Early_Par_3_Scoring_Average_ROUNDS,Early_Par_3_Scoring_Average_AVG,Early_Par_3_Scoring_Average_TOTAL STROKES,Early_Par_3_Scoring_Average_TOTAL HOLES
0,1,1,Phil Mickelson,75,2.91,398,137
1,2,2,Dustin Johnson,87,2.93,281,96
2,T3,T3,Ricky Barnes,97,2.95,632,214
3,T3,T3,Alex Cejka,71,2.95,390,132
4,T3,T3,K.J. Choi,73,2.95,360,122
5,T3,T3,John Huh,86,2.95,510,173
6,T3,T3,David Toms,62,2.95,380,129
7,T8,T8,Keegan Bradley,82,2.96,512,173
8,T8,T8,Retief Goosen,55,2.96,335,113
9,T10,T10,Jim Furyk,52,2.97,309,104
10,T10,T10,David Hearn,95,2.97,553,186
11,T10,T10,Martin Laird,82,2.97,525,177
12,T10,T10,Kevin Na,96,2.97,517,174
13,T14,T14,Bronson Burgoon,83,2.98,447,150
14,T14,T14,Paul Casey,77,2.98,334,112
15,T14,T14,Luke Guthrie,57,2.98,358,120
16,T14,T14,Sam Saunders,69,2.98,375,126
17,T14,T14,Camilo Villegas,83,2.98,497,167
18,T19,T19,Blayne Barber,84,2.99,500,167
19,T19,T19,Chad Collins,73,2.99,518,173
20,T19,T19,Jason Day,76,2.99,350,117
21,T19,T19,Freddie Jacobson,86,2.99,493,165
22,T19,T19,Matt Kuchar,100,2.99,569,190
23,T19,T19,Henrik Norlander,71,2.99,478,160
24,T19,T19,Charl Schwartzel,73,2.99,374,125
25,T19,T19,Tim Wilkinson,72,2.99,445,149
26,T27,T27,Sergio Garcia,54,3.0,252,84
27,T27,T27,Hideki Matsuyama,76,3.0,372,124
28,T27,T27,Jordan Spieth,80,3.0,333,111
29,T27,T27,Cameron Tringale,81,3.0,435,145
30,T27,T27,Johnson Wagner,86,3.0,516,172
31,T32,T32,Tyler Aldridge,83,3.01,500,166
