,Bogey_Avoidance_RANK THIS WEEK,Bogey_Avoidance_RANK LAST WEEK,Bogey_Avoidance_PLAYER NAME,Bogey_Avoidance_ROUNDS,Bogey_Avoidance_% MAKES BOGEY,Bogey_Avoidance_BOGEYS,Bogey_Avoidance_HOLES PLAYED
0,1,1,Alex Cejka,71,13.1,158,1206
1,2,2,Rickie Fowler,80,13.2,183,1386
2,3,3,Steve Stricker,53,13.94,133,954
3,4,4,Phil Mickelson,75,13.97,181,1296
4,5,5,Paul Casey,77,14.04,187,1332
5,6,6,Jerry Kelly,76,14.11,193,1368
6,T7,T7,Lucas Glover,75,14.15,191,1350
7,T7,T7,David Hearn,95,14.15,242,1710
8,9,9,Chad Campbell,90,14.26,231,1620
9,10,10,Gary Woodland,95,14.29,234,1638
10,11,11,Roberto Castro,97,14.32,250,1746
11,12,12,Jason Day,76,14.33,178,1242
12,13,13,Charles Howell III,91,14.35,235,1638
13,14,14,Russell Henley,76,14.4,197,1368
14,T15,T15,Bill Haas,86,14.43,213,1476
15,T15,T15,Dustin Johnson,87,14.43,213,1476
16,17,17,Russell Knox,92,14.48,232,1602
17,18,18,Patrick Reed,105,14.58,265,1818
18,19,19,Chez Reavie,90,14.6,226,1548
19,20,20,Luke Donald,81,14.61,213,1458
20,21,21,Adam Scott,79,14.62,200,1368
21,22,22,Bryce Molder,80,14.74,207,1404
22,23,23,Matt Kuchar,100,14.76,255,1728
23,24,24,Jordan Spieth,80,14.77,202,1368
24,25,25,Brandt Snedeker,93,14.92,239,1602
25,26,26,John Senden,88,14.99,232,1548
26,27,27,Henrik Norlander,71,15.01,181,1206
27,28,28,William McGirt,98,15.02,265,1764
28,29,29,Jason Kokrak,89,15.04,241,1602
29,30,30,Jhonattan Vegas,97,15.05,252,1674
30,31,31,Ricky Barnes,97,15.11,253,1674
31,32,32,Hideki Matsuyama,76,15.14,199,1314
32,33,33,John Huh,86,15.16,232,1530
33,34,34,Jon Curran,99,15.21,271,1782
34,35,35,Ryan Moore,86,15.23,222,1458
35,36,36,Si Woo Kim,113,15.24,299,1962
36,T37,T37,Colt Knost,90,15.25,236,1548
37,T37,T37,Marc Leishman,89,15.25,236,1548
38,39,39,Tim Wilkinson,72,15.28,187,1224
39,40,40,Aaron Baddeley,93,15.29,245,1602
40,41,41,Spencer Levin,104,15.33,276,1800
41,42,42,Daniel Berger,92,15.36,246,1602
42,43,43,Johnson Wagner,86,15.44,239,1548
43,44,44,K.J. Choi,73,15.45,203,1314
44,45,45,Jim Furyk,52,15.49,145,936
45,46,46,Rory McIlroy,69,15.5,173,1116
46,47,47,Andrew Landry,53,15.53,137,882
47,48,48,Shawn Stefani,91,15.64,245,1566
48,49,49,Rod Pampling,54,15.67,141,900
49,T50,T50,Sergio Garcia,54,15.69,144,918
50,T50,T50,Chris Kirk,90,15.69,240,1530
51,52,52,Adam Hadwin,93,15.71,263,1674
52,53,53,Zach Johnson,90,15.76,244,1548
53,54,54,Kevin Na,96,15.77,264,1674
54,55,55,Charl Schwartzel,73,15.79,199,1260
55,56,56,Martin Laird,82,15.81,222,1404
56,57,57,Branden Grace,63,15.83,171,1080
57,58,58,Stuart Appleby,71,15.86,197,1242
58,59,59,Brian Harman,104,15.87,297,1872
59,T60,T60,Retief Goosen,55,15.96,158,990
60,T60,T60,Freddie Jacobson,86,15.96,247,1548
61,62,62,Kyle Reifers,115,15.97,319,1998
62,63,63,Billy Hurley III,66,15.99,190,1188
63,64,64,Jamie Lovemark,91,16.0,262,1638
64,65,65,Nick Taylor,83,16.03,228,1422
65,66,66,Patrick Rodgers,89,16.08,246,1530
66,67,67,Francesco Molinari,64,16.15,186,1152
67,68,68,Tyrone Van Aswegen,105,16.18,297,1836
68,69,69,Zac Blair,99,16.2,277,1710
69,70,70,Stewart Cink,61,16.21,178,1098
70,T71,T71,Scott Langley,65,16.23,184,1134
71,T71,T71,Luke List,79,16.23,225,1386
72,73,73,Jeff Overton,69,16.24,190,1170
73,T74,T74,Jason Bohn,67,16.25,196,1206
74,T74,T74,Chris Stroud,82,16.25,234,1440
75,T76,T76,Brendan Steele,88,16.27,246,1512
76,T76,T76,Brett Stegmaier,87,16.27,249,1530
77,T78,T78,Jason Dufner,105,16.29,299,1836
78,T78,T78,Hudson Swafford,104,16.29,305,1872
79,80,80,Ben Crane,80,16.3,223,1368
80,81,81,Justin Rose,65,16.31,182,1116
81,82,82,Bronson Burgoon,83,16.32,232,1422
82,83,83,Keegan Bradley,82,16.33,241,1476
83,T84,T84,Sung Kang,89,16.35,256,1566
84,T84,T84,Webb Simpson,70,16.35,206,1260
85,86,86,Luke Guthrie,57,16.36,162,990
86,T87,T87,Kevin Chappell,93,16.37,274,1674
87,T87,T87,Kevin Kisner,97,16.37,277,1692
88,T87,T87,Martin Piller,59,16.37,168,1026
89,90,90,Boo Weekley,83,16.4,245,1494
90,91,91,Scott Brown,88,16.41,260,1584
91,T92,T92,Kelly Kraft,63,16.48,175,1062
92,T92,T92,Sean O'Hair,89,16.48,264,1602
93,T94,T94,Harris English,97,16.49,288,1746
94,T94,T94,David Toms,62,16.49,184,1116
95,96,96,Brendon de Jonge,83,16.53,241,1458
96,97,97,Tony Finau,95,16.55,283,1710
97,98,98,Thomas Aiken,70,16.58,197,1188
98,T99,T99,Brian Stuard,66,16.67,198,1188
99,T99,T99,Bubba Watson,72,16.67,207,1242
100,101,101,Mark Wilson,66,16.76,187,1116
101,102,102,Michael Kim,100,16.78,290,1728
102,103,103,Will MacKenzie,84,16.81,242,1440
103,104,104,Jason Gore,78,16.82,224,1332
104,105,105,Scott Stallings,74,16.83,212,1260
105,106,106,Mark Hubbard,101,16.84,294,1746
106,107,107,Emiliano Grillo,93,16.85,273,1620
107,108,108,Derek Ernst,59,16.86,173,1026
108,109,109,Chad Collins,73,16.89,222,1314
109,110,110,Ryan Palmer,86,16.93,262,1548
110,T111,T111,Blayne Barber,84,16.94,244,1440
111,T111,T111,David Lingmerth,84,16.94,247,1458
112,113,113,Whee Kim,82,16.95,238,1404
113,114,114,Scott Piercy,87,17.0,257,1512
114,115,115,Kyle Stanley,92,17.04,273,1602
115,116,116,Kevin Streelman,82,17.07,252,1476
116,T117,T117,Padraig Harrington,54,17.08,166,972
117,T117,T117,Jim Herman,93,17.08,286,1674
118,119,119,Robert Garrigus,69,17.09,200,1170
119,120,120,Rob Oppenheim,67,17.11,194,1134
120,121,121,Tyler Aldridge,83,17.16,244,1422
121,122,122,Troy Merritt,77,17.17,238,1386
122,123,123,Jonas Blixt,79,17.18,235,1368
123,124,124,Steve Marino,72,17.24,211,1224
124,T125,T125,Louis Oosthuizen,63,17.26,174,1008
125,T125,T125,Willy Wilcox,67,17.26,202,1170
126,127,127,Steve Wheatcroft,85,17.28,252,1458
127,128,128,Smylie Kaufman,91,17.3,274,1584
128,T129,T129,Billy Horschel,73,17.38,219,1260
129,T129,T129,Brooks Koepka,75,17.38,219,1260
130,131,131,Michael Thompson,71,17.4,213,1224
131,132,132,Seung-Yul Noh,85,17.42,254,1458
132,133,133,Graeme McDowell,63,17.5,189,1080
133,134,134,Justin Thomas,99,17.53,303,1728
134,135,135,Graham DeLaet,70,17.59,209,1188
135,T136,T136,Patton Kizzire,93,17.6,282,1602
136,T136,T136,Cameron Tringale,81,17.6,244,1386
137,138,138,Matt Jones,83,17.64,254,1440
138,139,139,Derek Fathauer,94,17.67,299,1692
139,140,140,Ben Martin,92,17.68,280,1584
140,141,141,Camilo Villegas,83,17.72,252,1422
141,142,142,Morgan Hoffmann,71,17.74,214,1206
142,143,143,Jimmy Walker,85,17.75,262,1476
143,144,144,Peter Malnati,85,17.78,272,1530
144,145,145,Rhein Gibson,58,17.8,173,972
145,146,146,Andres Gonzales,80,17.81,250,1404
146,147,147,Scott Pinckney,87,17.84,273,1530
147,148,148,Daniel Summerhays,99,17.85,318,1782
148,T149,T149,Charley Hoffman,91,17.87,283,1584
149,T149,T149,Harold Varner III,92,17.87,296,1656
150,151,151,Robert Streb,87,17.92,271,1512
151,152,152,Hiroshi Iwata,85,17.94,268,1494
152,153,153,James Hahn,85,17.97,275,1530
153,154,154,J.J. Henry,68,18.01,214,1188
154,155,155,Greg Owen,85,18.04,263,1458
155,156,156,Fabián Gómez,82,18.07,257,1422
156,157,157,Vaughn Taylor,72,18.13,235,1296
157,158,158,J.B. Holmes,77,18.17,242,1332
158,159,159,Tom Hoge,81,18.25,253,1386
159,160,160,Sam Saunders,69,18.29,214,1170
160,161,161,Dawie van der Walt,72,18.33,231,1260
161,162,162,Geoff Ogilvy,63,18.36,195,1062
162,163,163,D.A. Points,55,18.41,169,918
163,164,164,Anirban Lahiri,72,18.44,229,1242
164,165,165,Dicky Pride,55,18.45,176,954
165,166,166,Danny Lee,93,18.46,299,1620
166,167,167,Wes Roach,59,18.48,183,990
167,168,168,Chesson Hadley,81,18.78,267,1422
168,169,169,Cameron Smith,73,18.92,235,1242
169,170,170,George McNeill,51,18.95,174,918
170,171,171,Vijay Singh,72,18.98,246,1296
171,172,172,Erik Compton,65,19.05,216,1134
172,173,173,Abraham Ancer,51,19.1,165,864
173,174,174,Rory Sabbatini,57,19.24,187,972
174,175,175,Hunter Mahan,61,19.31,212,1098
175,176,176,Ángel Cabrera,62,19.35,216,1116
176,177,177,Brendon Todd,66,19.58,222,1134
177,178,178,Shane Lowry,57,19.86,193,972
178,179,179,Ernie Els,66,19.87,236,1188
179,180,180,Andrew Loupe,75,19.93,269,1350
180,181,181,Carlos Ortiz,79,20.07,271,1350
181,182,182,Robert Allenby,51,20.81,191,918
182,183,183,D.H. Lee,61,22.03,226,1026
183,184,184,Ken Duke,58,22.63,220,972
184,185,185,Steven Bowditch,71,25.43,325,1278
