,Front_9_Round_3_Scoring_Average_RANK THIS WEEK,Front_9_Round_3_Scoring_Average_RANK LAST WEEK,Front_9_Round_3_Scoring_Average_PLAYER NAME,Front_9_Round_3_Scoring_Average_AVG,Front_9_Round_3_Scoring_Average_TOTAL STROKES,Front_9_Round_3_Scoring_Average_TOTAL ROUNDS
0,1,1,Alex Cejka,33.38,434,13
1,T2,T2,Padraig Harrington,33.73,371,11
2,T2,T2,Hideki Matsuyama,33.73,506,15
3,4,4,Phil Mickelson,33.87,508,15
4,5,5,Brandt Snedeker,34.16,649,19
5,6,6,Kelly Kraft,34.17,410,12
6,7,7,Scott Stallings,34.2,342,10
7,8,8,Aaron Baddeley,34.39,619,18
8,9,9,Scott Pinckney,34.4,516,15
9,10,10,Charles Howell III,34.43,723,21
10,11,11,Stuart Appleby,34.46,448,13
11,12,12,Billy Horschel,34.47,586,17
12,13,13,Derek Fathauer,34.5,690,20
13,14,14,Jason Day,34.53,587,17
14,15,15,Billy Hurley III,34.54,449,13
15,16,16,Shawn Stefani,34.56,553,16
16,17,17,Dicky Pride,34.57,242,7
17,18,18,Thomas Aiken,34.58,415,12
18,19,19,Jimmy Walker,34.59,588,17
19,20,20,Morgan Hoffmann,34.6,346,10
20,21,21,Russell Henley,34.64,485,14
21,T22,T22,Robert Allenby,34.67,104,3
22,T22,T22,Webb Simpson,34.67,520,15
23,T22,T22,Jordan Spieth,34.67,624,18
24,T25,T25,Ben Crane,34.69,451,13
25,T25,T25,Patrick Rodgers,34.69,555,16
26,T27,T27,Smylie Kaufman,34.71,590,17
27,T27,T27,Troy Merritt,34.71,486,14
28,29,29,Ben Martin,34.72,625,18
29,T30,T30,Bronson Burgoon,34.73,521,15
30,T30,T30,K.J. Choi,34.73,521,15
31,32,32,Ricky Barnes,34.74,660,19
32,33,33,Gary Woodland,34.76,730,21
33,T34,T34,Ken Duke,34.78,313,9
34,T34,T34,Matt Kuchar,34.78,800,23
35,36,36,Tyler Aldridge,34.79,487,14
36,37,37,Carlos Ortiz,34.8,348,10
37,38,38,Martin Laird,34.81,557,16
38,T39,T39,Rickie Fowler,34.82,592,17
39,T39,T39,Jeff Overton,34.82,383,11
40,T39,T39,Sam Saunders,34.82,383,11
41,T39,T39,Hudson Swafford,34.82,766,22
42,T43,T43,Stewart Cink,34.83,418,12
