,Scoring_Average_Before_Cut_RANK THIS WEEK,Scoring_Average_Before_Cut_RANK LAST WEEK,Scoring_Average_Before_Cut_PLAYER NAME,Scoring_Average_Before_Cut_AVG,Scoring_Average_Before_Cut_TOTAL STROKES,Scoring_Average_Before_Cut_TOTAL ROUNDS
0,1,1,Dustin Johnson,68.86,2961,43
1,2,2,Sergio Garcia,69.54,1947,28
2,3,3,Jason Day,69.55,2643,38
3,4,4,Jordan Spieth,69.73,2859,41
4,5,5,Adam Scott,69.76,2651,38
5,6,6,Roberto Castro,69.84,3911,56
6,7,7,Brooks Koepka,69.87,2725,39
7,8,8,Ryan Palmer,69.9,3355,48
8,9,9,Charles Howell III,69.92,3566,51
9,T10,T10,Matt Kuchar,69.94,3567,51
10,T10,T10,Gary Woodland,69.94,3497,50
11,T12,T12,Daniel Berger,69.98,3359,48
12,T12,T12,Jason Dufner,69.98,3919,56
13,14,14,Rory McIlroy,70.0,2380,34
14,15,15,Steve Stricker,70.06,2242,32
15,T16,T16,Rickie Fowler,70.07,3083,44
16,T16,T16,Patrick Reed,70.07,3924,56
17,18,18,Adam Hadwin,70.09,3855,55
18,19,19,Brendan Steele,70.1,3435,49
19,T20,T20,Lucas Glover,70.15,3367,48
20,T20,T20,Kevin Kisner,70.15,3648,52
21,T20,T20,Chez Reavie,70.15,3788,54
22,T23,T23,Alex Cejka,70.19,3018,43
23,T23,T23,Zach Johnson,70.19,3299,47
24,T23,T23,Charl Schwartzel,70.19,2527,36
25,26,26,Freddie Jacobson,70.22,3792,54
26,27,27,Martin Laird,70.23,3301,47
27,28,28,Harris English,70.25,3723,53
28,29,29,Kevin Chappell,70.27,3935,56
29,T30,T30,Jerry Kelly,70.31,3375,48
30,T30,T30,Kevin Na,70.31,3656,52
31,T32,T32,Brian Harman,70.32,4430,63
32,T32,T32,Si Woo Kim,70.32,4782,68
33,34,34,Hudson Swafford,70.34,4291,61
34,T35,T35,Chad Campbell,70.35,4010,57
35,T35,T35,Russell Knox,70.35,3447,49
36,37,37,Henrik Norlander,70.36,2955,42
37,T38,T38,Scott Piercy,70.37,3237,46
38,T38,T38,Jhonattan Vegas,70.37,3800,54
39,40,40,Ryan Moore,70.38,3167,45
40,41,41,Charley Hoffman,70.39,3590,51
41,T42,T42,Ricky Barnes,70.4,4013,57
42,T42,T42,Jamie Lovemark,70.4,3872,55
43,T44,T44,Robert Garrigus,70.41,2887,41
44,T44,T44,Phil Mickelson,70.41,3098,44
45,46,46,Johnson Wagner,70.43,3733,53
46,T47,T47,Paul Casey,70.45,2959,42
47,T47,T47,Sean O'Hair,70.45,3875,55
48,T49,T49,Jim Furyk,70.46,1973,28
49,T49,T49,Webb Simpson,70.46,2889,41
50,T51,T51,David Hearn,70.47,4228,60
51,T51,T51,Michael Kim,70.47,4017,57
52,T53,T53,Bill Haas,70.5,3384,48
53,T53,T53,Colt Knost,70.5,3666,52
54,55,55,John Senden,70.51,3878,55
55,56,56,Emiliano Grillo,70.52,3385,48
56,T57,T57,Graham DeLaet,70.56,2893,41
57,T57,T57,Spencer Levin,70.56,4516,64
58,T59,T59,Ben Crane,70.57,3599,51
59,T59,T59,Marc Leishman,70.57,3458,49
60,T61,T61,Keegan Bradley,70.6,3671,52
61,T61,T61,Brett Stegmaier,70.6,3883,55
62,T63,T63,Jonas Blixt,70.63,3673,52
63,T63,T63,Luke Donald,70.63,3390,48
64,T63,T63,Retief Goosen,70.63,2260,32
65,T63,T63,Luke List,70.63,3814,54
66,T63,T63,Justin Thomas,70.63,3814,54
67,T68,T68,Jason Bohn,70.64,3108,44
68,T68,T68,Patton Kizzire,70.64,3744,53
69,T68,T68,Jason Kokrak,70.64,3956,56
70,T68,T68,Tim Wilkinson,70.64,3108,44
71,72,72,Francesco Molinari,70.65,2614,37
72,73,73,Kyle Reifers,70.67,4664,66
73,T74,T74,Aaron Baddeley,70.68,3958,56
74,T74,T74,Harold Varner III,70.68,4029,57
75,T74,T74,Bubba Watson,70.68,2615,37
76,T77,T77,Jon Curran,70.69,4383,62
77,T77,T77,Daniel Summerhays,70.69,4100,58
78,T79,T79,Sung Kang,70.71,4101,58
79,T79,T79,William McGirt,70.71,4101,58
80,81,81,Seung-Yul Noh,70.72,3819,54
81,T82,T82,Russell Henley,70.73,3678,52
82,T82,T82,Brandt Snedeker,70.73,3678,52
83,84,84,Justin Rose,70.74,2476,35
84,T85,T85,Tony Finau,70.75,4033,57
85,T85,T85,Mark Hubbard,70.75,4245,60
86,T85,T85,Chris Stroud,70.75,3679,52
87,T88,T88,Hideki Matsuyama,70.77,3043,43
88,T88,T88,Boo Weekley,70.77,3751,53
89,T90,T90,Stewart Cink,70.78,2831,40
90,T90,T90,Billy Hurley III,70.78,2902,41
91,T92,T92,Stuart Appleby,70.82,3116,44
92,T92,T92,Tyrone Van Aswegen,70.82,4320,61
93,T94,T94,Andrew Landry,70.83,2550,36
94,T94,T94,David Lingmerth,70.83,3400,48
95,T94,T94,Michael Thompson,70.83,3258,46
96,97,97,Cameron Tringale,70.84,3471,49
97,98,98,Kelly Kraft,70.85,2834,40
98,T99,T99,Kyle Stanley,70.86,3968,56
99,T99,T99,Jimmy Walker,70.86,3472,49
100,T101,T101,Bryce Molder,70.87,3685,52
101,T101,T101,Patrick Rodgers,70.87,3827,54
102,T103,T103,J.B. Holmes,70.88,3048,43
103,T103,T103,Brian Stuard,70.88,2906,41
104,105,105,Scott Brown,70.89,3899,55
105,106,106,Jason Gore,70.9,3687,52
106,T107,T107,Derek Fathauer,70.92,4255,60
107,T107,T107,Will MacKenzie,70.92,3688,52
108,T109,T109,John Huh,70.93,3901,55
109,T109,T109,Danny Lee,70.93,3901,55
110,T109,T109,Rob Oppenheim,70.93,2979,42
111,112,112,Steve Wheatcroft,70.94,3689,52
112,T113,T113,Blayne Barber,70.96,3761,53
113,T113,T113,Nick Taylor,70.96,3690,52
114,T115,T115,Billy Horschel,70.97,2768,39
115,T115,T115,Rod Pampling,70.97,2484,35
116,T117,T117,K.J. Choi,70.98,3194,45
117,T117,T117,Willy Wilcox,70.98,3194,45
118,119,119,Mark Wilson,71.02,2912,41
119,T120,T120,Bronson Burgoon,71.04,3836,54
120,T120,T120,Jeff Overton,71.04,3268,46
121,122,122,Kevin Streelman,71.09,3839,54
122,T123,T123,Zac Blair,71.1,4337,61
123,T123,T123,Dawie van der Walt,71.1,3555,50
124,125,125,Scott Pinckney,71.11,4053,57
125,T126,T126,Anirban Lahiri,71.12,2916,41
126,T126,T126,Camilo Villegas,71.12,3698,52
127,128,128,D.A. Points,71.14,2561,36
128,T129,T129,Steve Marino,71.15,3273,46
129,T129,T129,David Toms,71.15,2775,39
130,T131,T131,Thomas Aiken,71.17,3274,46
131,T131,T131,Chesson Hadley,71.17,3843,54
132,T133,T133,Matt Jones,71.2,3845,54
133,T133,T133,Andrew Loupe,71.2,3987,56
134,135,135,Shane Lowry,71.21,2350,33
135,T136,T136,Vijay Singh,71.22,3205,45
136,T136,T136,Scott Stallings,71.22,3632,51
137,138,138,Ben Martin,71.23,3989,56
138,T139,T139,Luke Guthrie,71.24,2707,38
139,T139,T139,Hiroshi Iwata,71.24,4132,58
140,T141,T141,Morgan Hoffmann,71.25,3420,48
141,T141,T141,Smylie Kaufman,71.25,3919,55
142,T141,T141,Scott Langley,71.25,3135,44
143,T144,T144,Tyler Aldridge,71.27,3920,55
144,T144,T144,Padraig Harrington,71.27,2352,33
145,146,146,Brendon de Jonge,71.29,4206,59
146,T147,T147,Jim Herman,71.3,4278,60
147,T147,T147,Chris Kirk,71.3,3779,53
148,149,149,Vaughn Taylor,71.31,3494,49
149,T150,T150,Martin Piller,71.32,3138,44
150,T150,T150,Shawn Stefani,71.32,4065,57
151,T152,T152,Derek Ernst,71.35,2854,40
152,T152,T152,Branden Grace,71.35,2426,34
153,T152,T152,Whee Kim,71.35,3853,54
154,155,155,Greg Owen,71.38,4140,58
155,156,156,Wes Roach,71.39,2927,41
156,157,157,Robert Streb,71.4,3784,53
157,158,158,James Hahn,71.43,3786,53
158,T159,T159,Tom Hoge,71.46,3716,52
159,T159,T159,Troy Merritt,71.46,3859,54
160,161,161,Louis Oosthuizen,71.5,2288,32
161,162,162,Cameron Smith,71.53,3362,47
162,T163,T163,Rhein Gibson,71.55,2862,40
163,T163,T163,Sam Saunders,71.55,3363,47
164,165,165,Peter Malnati,71.56,4723,66
165,166,166,J.J. Henry,71.57,3292,46
166,167,167,Chad Collins,71.61,3867,54
167,168,168,Dicky Pride,71.69,3011,42
168,169,169,Ernie Els,71.71,3012,42
169,T170,T170,Fabián Gómez,71.73,3515,49
170,T170,T170,Andres Gonzales,71.73,4017,56
171,172,172,Geoff Ogilvy,71.75,3157,44
172,173,173,George McNeill,71.81,3016,42
173,174,174,Ángel Cabrera,71.83,3017,42
174,175,175,Graeme McDowell,71.85,2874,40
175,176,176,Erik Compton,71.89,3163,44
176,177,177,Abraham Ancer,72.03,2737,38
177,178,178,Carlos Ortiz,72.05,4107,57
178,179,179,Hunter Mahan,72.07,3243,45
179,180,180,Ken Duke,72.08,2811,39
180,181,181,Rory Sabbatini,72.48,2899,40
181,182,182,Brendon Todd,72.59,4210,58
182,183,183,D.H. Lee,72.7,3126,43
183,184,184,Robert Allenby,72.94,3428,47
184,185,185,Steven Bowditch,74.17,3931,53
