,Front_9_Round_2_Scoring_Average_RANK THIS WEEK,Front_9_Round_2_Scoring_Average_RANK LAST WEEK,Front_9_Round_2_Scoring_Average_PLAYER NAME,Front_9_Round_2_Scoring_Average_AVG,Front_9_Round_2_Scoring_Average_TOTAL STROKES,Front_9_Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,Charl Schwartzel,34.39,619,18
1,2,2,Kevin Kisner,34.42,895,26
2,T3,T3,Michael Kim,34.46,965,28
3,T3,T3,Russell Knox,34.46,827,24
4,T5,T5,Rhein Gibson,34.47,655,19
5,T5,T5,Brooks Koepka,34.47,655,19
6,7,7,Jason Day,34.5,621,18
7,8,8,Dustin Johnson,34.52,725,21
8,9,9,Rory McIlroy,34.53,587,17
9,10,10,Bryce Molder,34.56,864,25
10,11,11,Jim Furyk,34.64,485,14
11,T12,T12,Robert Garrigus,34.68,659,19
12,T12,T12,Matt Kuchar,34.68,867,25
13,T12,T12,Ryan Moore,34.68,763,22
14,15,15,Daniel Berger,34.71,833,24
15,16,16,Jerry Kelly,34.74,799,23
16,17,17,Kevin Na,34.76,869,25
17,18,18,Roberto Castro,34.78,939,27
18,19,19,Jordan Spieth,34.8,696,20
19,T20,T20,Jason Dufner,34.81,940,27
20,T20,T20,Luke List,34.81,905,26
21,22,22,Graham DeLaet,34.85,697,20
22,23,23,Sergio Garcia,34.86,488,14
23,24,24,Bronson Burgoon,34.88,907,26
24,T25,T25,Kelly Kraft,34.89,663,19
25,T25,T25,Adam Scott,34.89,663,19
26,T25,T25,Justin Thomas,34.89,942,27
27,28,28,Henrik Norlander,34.9,698,20
28,T29,T29,Charley Hoffman,34.92,873,25
29,T29,T29,Brendan Steele,34.92,838,24
30,T29,T29,Boo Weekley,34.92,908,26
31,32,32,Harold Varner III,34.93,978,28
32,T33,T33,Thomas Aiken,34.95,769,22
33,T33,T33,Rickie Fowler,34.95,769,22
34,T35,T35,Luke Donald,34.96,804,23
35,T35,T35,Chez Reavie,34.96,909,26
36,T35,T35,Gary Woodland,34.96,874,25
37,T38,T38,Spencer Levin,35.0,1085,31
38,T38,T38,Steve Stricker,35.0,525,15
39,40,40,Jon Curran,35.03,1051,30
40,41,41,Jason Kokrak,35.04,911,26
41,T42,T42,Kevin Chappell,35.07,947,27
42,T42,T42,John Huh,35.07,947,27
43,T42,T42,Patrick Reed,35.07,947,27
44,T45,T45,Marc Leishman,35.08,842,24
45,T45,T45,Sean O'Hair,35.08,912,26
46,T47,T47,Zac Blair,35.1,1018,29
47,T47,T47,Billy Hurley III,35.1,702,20
48,49,49,Wes Roach,35.11,667,19
49,50,50,Jhonattan Vegas,35.12,913,26
50,51,51,Chris Stroud,35.13,843,24
51,T52,T52,Jason Bohn,35.14,738,21
52,T52,T52,K.J. Choi,35.14,773,22
53,T54,T54,Harris English,35.15,914,26
54,T54,T54,Adam Hadwin,35.15,949,27
55,T54,T54,Freddie Jacobson,35.15,914,26
56,T54,T54,Matt Jones,35.15,914,26
57,T54,T54,Rob Oppenheim,35.15,703,20
58,T59,T59,Bill Haas,35.17,809,23
59,T59,T59,Francesco Molinari,35.17,633,18
60,T61,T61,Troy Merritt,35.19,915,26
61,T61,T61,Geoff Ogilvy,35.19,739,21
62,T61,T61,John Senden,35.19,950,27
63,T64,T64,Jonas Blixt,35.2,880,25
64,T64,T64,Mark Wilson,35.2,704,20
65,T66,T66,Stewart Cink,35.21,669,19
66,T66,T66,Fabián Gómez,35.21,845,24
67,T66,T66,Sung Kang,35.21,986,28
68,T66,T66,Cameron Tringale,35.21,845,24
69,70,70,Patton Kizzire,35.23,916,26
70,T71,T71,Colt Knost,35.24,881,25
71,T71,T71,Nick Taylor,35.24,881,25
72,73,73,William McGirt,35.25,987,28
73,T74,T74,Derek Ernst,35.26,670,19
74,T74,T74,Brian Harman,35.26,1093,31
75,T76,T76,Phil Mickelson,35.29,741,21
76,T76,T76,Daniel Summerhays,35.29,988,28
77,T76,T76,Jimmy Walker,35.29,847,24
78,T79,T79,Lucas Glover,35.3,812,23
79,T79,T79,Martin Laird,35.3,812,23
80,T79,T79,Ryan Palmer,35.3,812,23
81,T82,T82,Kyle Reifers,35.31,1130,32
82,T82,T82,Johnson Wagner,35.31,918,26
83,84,84,Tony Finau,35.32,989,28
84,85,85,Ricky Barnes,35.33,954,27
85,T86,T86,Alex Cejka,35.35,707,20
86,T86,T86,Zach Johnson,35.35,813,23
87,T88,T88,Ben Crane,35.36,884,25
88,T88,T88,Scott Pinckney,35.36,990,28
89,T88,T88,Brandt Snedeker,35.36,884,25
90,T91,T91,Ken Duke,35.37,672,19
91,T91,T91,Jamie Lovemark,35.37,955,27
92,T91,T91,Kyle Stanley,35.37,955,27
93,T94,T94,Jason Gore,35.38,849,24
94,T94,T94,Shane Lowry,35.38,566,16
95,T94,T94,Martin Piller,35.38,743,21
96,T94,T94,Robert Streb,35.38,920,26
97,98,98,Charles Howell III,35.4,885,25
98,T99,T99,Mark Hubbard,35.41,1027,29
99,T99,T99,D.A. Points,35.41,602,17
100,T99,T99,Patrick Rodgers,35.41,956,27
101,T102,T102,Paul Casey,35.43,744,21
102,T102,T102,David Lingmerth,35.43,815,23
103,T104,T104,Luke Guthrie,35.44,638,18
104,T104,T104,Tom Hoge,35.44,886,25
105,T106,T106,Jeff Overton,35.45,780,22
106,T106,T106,Michael Thompson,35.45,780,22
107,T108,T108,Shawn Stefani,35.46,993,28
108,T108,T108,Brett Stegmaier,35.46,922,26
109,110,110,Hudson Swafford,35.47,1064,30
110,111,111,Russell Henley,35.48,887,25
111,T112,T112,Blayne Barber,35.5,923,26
112,T112,T112,Seung-Yul Noh,35.5,923,26
113,T112,T112,Louis Oosthuizen,35.5,568,16
114,T112,T112,Sam Saunders,35.5,781,22
115,T112,T112,Vijay Singh,35.5,781,22
116,T117,T117,J.B. Holmes,35.52,746,21
117,T117,T117,Scott Langley,35.52,746,21
118,T117,T117,Andrew Loupe,35.52,959,27
119,T117,T117,Cameron Smith,35.52,817,23
120,121,121,Brian Stuard,35.55,711,20
121,T122,T122,Ben Martin,35.56,960,27
122,T122,T122,Bubba Watson,35.56,640,18
123,T124,T124,Greg Owen,35.57,996,28
124,T124,T124,Scott Piercy,35.57,818,23
125,T126,T126,Keegan Bradley,35.58,925,26
126,T126,T126,Morgan Hoffmann,35.58,854,24
127,T126,T126,Whee Kim,35.58,925,26
128,T126,T126,David Toms,35.58,676,19
129,T130,T130,Webb Simpson,35.6,712,20
130,T130,T130,Scott Stallings,35.6,890,25
131,T132,T132,Ernie Els,35.62,748,21
132,T132,T132,Chris Kirk,35.62,926,26
133,T132,T132,Tyrone Van Aswegen,35.62,1033,29
134,135,135,Rod Pampling,35.63,570,16
