,Tenth_Tee_Late_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Scoring_Average_ROUNDS,Tenth_Tee_Late_Scoring_Average_AVG,Tenth_Tee_Late_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Scoring_Average_TOTAL 10TH TEE LATE RNDS.
0,1,1,Matt Kuchar,100,67.33,202,3
1,2,2,Gary Woodland,95,68.73,756,11
2,3,3,Rickie Fowler,80,68.75,275,4
3,4,4,Jimmy Walker,85,68.8,688,10
4,5,5,Lucas Glover,75,68.83,826,12
5,T6,T6,Daniel Berger,92,69.0,690,10
6,T6,T6,Jason Day,76,69.0,69,1
7,T6,T6,Dustin Johnson,87,69.0,276,4
8,T6,T6,Patrick Reed,105,69.0,207,3
9,10,10,Jason Dufner,105,69.15,899,13
10,11,11,Louis Oosthuizen,63,69.2,346,5
11,12,12,Robert Garrigus,69,69.25,831,12
12,13,13,Kevin Kisner,97,69.29,485,7
13,14,14,Boo Weekley,83,69.31,1109,16
14,15,15,Dawie van der Walt,72,69.41,1180,17
15,16,16,Jonas Blixt,79,69.42,833,12
16,17,17,Brooks Koepka,75,69.44,625,9
17,18,18,Jason Bohn,67,69.6,1044,15
18,19,19,Roberto Castro,97,69.61,1253,18
19,T20,T20,Ryan Palmer,86,69.63,1114,16
20,T20,T20,Webb Simpson,70,69.63,557,8
21,22,22,Justin Rose,65,69.67,209,3
22,23,23,Vijay Singh,72,69.68,1324,19
23,24,24,Tony Finau,95,69.69,1115,16
24,25,25,Stewart Cink,61,69.79,977,14
25,T26,T26,Marc Leishman,89,69.83,838,12
26,T26,T26,Justin Thomas,99,69.83,419,6
27,28,28,Paul Casey,77,69.86,978,14
28,29,29,Kevin Chappell,93,69.87,1048,15
29,30,30,Russell Henley,76,69.89,1258,18
30,31,31,William McGirt,98,69.93,979,14
31,32,32,Harold Varner III,92,69.95,1539,22
32,T33,T33,K.J. Choi,73,70.0,1260,18
33,T33,T33,Zach Johnson,90,70.0,420,6
34,T33,T33,Jamie Lovemark,91,70.0,840,12
35,T33,T33,Sean O'Hair,89,70.0,1050,15
36,37,37,Francesco Molinari,64,70.1,701,10
37,38,38,Charley Hoffman,91,70.11,1262,18
38,39,39,Henrik Norlander,71,70.15,912,13
39,40,40,Adam Scott,79,70.17,421,6
40,41,41,Russell Knox,92,70.2,351,5
41,42,42,Aaron Baddeley,93,70.21,1334,19
42,T43,T43,Sergio Garcia,54,70.25,281,4
43,T43,T43,Adam Hadwin,93,70.25,1405,20
44,T45,T45,Jason Kokrak,89,70.27,773,11
45,T45,T45,Hudson Swafford,104,70.27,1827,26
