,Bounce_Back_RANK THIS WEEK,Bounce_Back_RANK LAST WEEK,Bounce_Back_PLAYER NAME,Bounce_Back_ROUNDS,Bounce_Back_%
0,1,1,Brooks Koepka,75,28.77
1,2,2,Jason Day,76,26.99
2,3,3,Robert Garrigus,69,26.98
3,4,4,Phil Mickelson,75,26.83
4,5,5,Whee Kim,82,26.34
5,6,6,Tim Wilkinson,72,26.14
6,7,7,Adam Hadwin,93,25.4
7,8,8,Daniel Berger,92,25.32
8,9,9,Hudson Swafford,104,25.09
9,10,10,Billy Horschel,73,24.64
10,11,11,Vaughn Taylor,72,24.32
11,12,12,Aaron Baddeley,93,24.24
12,13,13,Ryan Palmer,86,24.11
13,14,14,Sergio Garcia,54,24.09
14,15,15,Jhonattan Vegas,97,24.03
15,16,16,Greg Owen,85,23.77
16,17,17,Russell Henley,76,23.76
17,18,18,Scott Pinckney,87,23.66
18,19,19,Paul Casey,77,23.53
19,20,20,Retief Goosen,55,23.45
20,T21,T21,Ben Martin,92,23.35
21,T21,T21,Bubba Watson,72,23.35
22,23,23,Freddie Jacobson,86,23.28
23,24,24,Jamie Lovemark,91,23.27
24,25,25,Steve Stricker,53,23.26
25,26,26,Thomas Aiken,70,23.16
26,27,27,John Senden,88,23.0
27,28,28,Chesson Hadley,81,22.98
28,29,29,Wes Roach,59,22.94
29,T30,T30,J.B. Holmes,77,22.87
30,T30,T30,Hideki Matsuyama,76,22.87
31,T30,T30,Jordan Spieth,80,22.87
32,33,33,Rory Sabbatini,57,22.86
33,34,34,Rory McIlroy,69,22.84
34,35,35,Harold Varner III,92,22.74
35,36,36,Graham DeLaet,70,22.66
36,37,37,Chez Reavie,90,22.49
37,38,38,Cameron Tringale,81,22.37
38,39,39,Andrew Landry,53,22.31
39,40,40,Michael Thompson,71,22.17
40,41,41,Martin Laird,82,22.07
41,42,42,Roberto Castro,97,22.03
42,43,43,Jason Bohn,67,21.98
43,44,44,Scott Stallings,74,21.94
44,T45,T45,Rickie Fowler,80,21.89
45,T45,T45,Sam Saunders,69,21.89
46,47,47,Charley Hoffman,91,21.84
47,48,48,Adam Scott,79,21.81
48,49,49,Ricky Barnes,97,21.76
49,50,50,Emiliano Grillo,93,21.65
50,51,51,Jimmy Walker,85,21.54
51,T52,T52,Ernie Els,66,21.52
52,T52,T52,Gary Woodland,95,21.52
53,54,54,Andrew Loupe,75,21.26
54,55,55,Justin Thomas,99,21.25
55,T56,T56,Steve Marino,72,21.21
56,T56,T56,David Toms,62,21.21
57,T58,T58,Kevin Chappell,93,21.2
58,T58,T58,John Huh,86,21.2
59,60,60,Ken Duke,58,21.18
60,61,61,Martin Piller,59,21.15
61,62,62,Daniel Summerhays,99,21.09
62,63,63,Blayne Barber,84,21.05
63,T64,T64,Matt Kuchar,100,20.83
64,T64,T64,Bryce Molder,80,20.83
65,T66,T66,Tyler Aldridge,83,20.8
66,T66,T66,Boo Weekley,83,20.8
67,68,68,Ryan Moore,86,20.79
68,69,69,Sean O'Hair,89,20.78
69,70,70,Kevin Kisner,97,20.75
70,71,71,Jonas Blixt,79,20.74
71,72,72,Branden Grace,63,20.63
72,73,73,Willy Wilcox,67,20.62
73,74,74,Sung Kang,89,20.58
74,75,75,Patrick Rodgers,89,20.52
75,76,76,Mark Hubbard,101,20.51
76,77,77,Matt Jones,83,20.5
77,78,78,Luke List,79,20.47
78,79,79,Graeme McDowell,63,20.45
79,80,80,Harris English,97,20.44
80,81,81,Brendan Steele,88,20.43
81,82,82,Abraham Ancer,51,20.38
82,83,83,Webb Simpson,70,20.31
83,84,84,Anirban Lahiri,72,20.28
84,85,85,Kyle Reifers,115,20.27
85,86,86,Brett Stegmaier,87,20.17
86,87,87,Alex Cejka,71,20.13
87,T88,T88,David Lingmerth,84,20.09
88,T88,T88,Nick Taylor,83,20.09
89,90,90,Brian Harman,104,20.07
90,T91,T91,Patton Kizzire,93,20.0
91,T91,T91,Tyrone Van Aswegen,105,20.0
92,93,93,Kyle Stanley,92,19.92
93,94,94,Stuart Appleby,71,19.89
94,95,95,Louis Oosthuizen,63,19.88
95,96,96,Luke Guthrie,57,19.86
96,97,97,Spencer Levin,104,19.77
97,98,98,James Hahn,85,19.62
98,99,99,Zach Johnson,90,19.56
99,T100,T100,Tony Finau,95,19.55
100,T100,T100,Charles Howell III,91,19.55
101,102,102,Zac Blair,99,19.47
102,103,103,Henrik Norlander,71,19.43
103,104,104,Scott Langley,65,19.41
104,105,105,Charl Schwartzel,73,19.37
105,106,106,Jon Curran,99,19.31
106,107,107,Si Woo Kim,113,19.13
107,108,108,Andres Gonzales,80,19.07
108,109,109,Justin Rose,65,19.05
109,110,110,Bill Haas,86,19.02
110,T111,T111,William McGirt,98,18.95
111,T111,T111,Robert Streb,87,18.95
112,113,113,Jerry Kelly,76,18.92
113,114,114,Dustin Johnson,87,18.91
114,115,115,Jason Gore,78,18.87
115,T116,T116,Lucas Glover,75,18.75
116,T116,T116,Kelly Kraft,63,18.75
117,118,118,Padraig Harrington,54,18.71
118,119,119,Brendon de Jonge,83,18.67
119,120,120,Rhein Gibson,58,18.63
120,121,121,Michael Kim,100,18.59
121,122,122,Jason Kokrak,89,18.58
122,123,123,Ben Crane,80,18.54
123,124,124,Will MacKenzie,84,18.5
124,125,125,Camilo Villegas,83,18.45
125,126,126,Dawie van der Walt,72,18.43
126,127,127,Steve Wheatcroft,85,18.38
