,Final_Round_Scoring_Average_RANK THIS WEEK,Final_Round_Scoring_Average_RANK LAST WEEK,Final_Round_Scoring_Average_PLAYER NAME,Final_Round_Scoring_Average_AVG,Final_Round_Scoring_Average_TOTAL STROKES,Final_Round_Scoring_Average_TOTAL ROUNDS
0,1,1,Brendon Todd,68.0,136,2
1,2,2,Phil Mickelson,68.67,1030,15
2,3,3,Rory McIlroy,68.93,965,14
3,4,4,Branden Grace,69.15,899,13
4,5,5,Paul Casey,69.19,1107,16
5,6,6,Brandt Snedeker,69.21,1315,19
6,7,7,Luke List,69.25,831,12
7,8,8,Adam Scott,69.26,1316,19
8,9,9,William McGirt,69.3,1386,20
9,10,10,Stewart Cink,69.36,763,11
10,11,11,Robert Garrigus,69.46,903,13
11,12,12,Scott Stallings,69.5,695,10
12,13,13,Chad Campbell,69.53,1182,17
13,14,14,Luke Guthrie,69.56,626,9
14,15,15,Rory Sabbatini,69.57,487,7
15,16,16,Hideki Matsuyama,69.67,1045,15
16,T17,T17,Jason Day,69.69,1115,16
17,T17,T17,Chris Kirk,69.69,1115,16
18,19,19,Bubba Watson,69.75,1116,16
19,20,20,Jordan Spieth,69.83,1257,18
20,21,21,Chris Stroud,69.86,978,14
21,22,22,John Senden,69.88,1118,16
22,23,23,Kelly Kraft,69.89,629,9
23,24,24,Louis Oosthuizen,69.92,839,12
24,T25,T25,Fabián Gómez,69.93,1049,15
25,T25,T25,Boo Weekley,69.93,1049,15
26,T27,T27,Jim Furyk,70.0,840,12
27,T27,T27,Russell Henley,70.0,910,13
28,T27,T27,Peter Malnati,70.0,630,9
29,T27,T27,Michael Thompson,70.0,770,11
30,T27,T27,Jimmy Walker,70.0,1190,17
31,T32,T32,Zach Johnson,70.05,1331,19
32,T32,T32,Dustin Johnson,70.05,1401,20
33,T32,T32,Marc Leishman,70.05,1331,19
34,T32,T32,Kevin Na,70.05,1471,21
35,36,36,Blayne Barber,70.07,981,14
36,37,37,Rickie Fowler,70.12,1192,17
37,38,38,Si Woo Kim,70.14,1543,22
38,39,39,Russell Knox,70.15,1403,20
39,40,40,David Hearn,70.17,1263,18
40,T41,T41,Lucas Glover,70.2,1053,15
41,T41,T41,Jhonattan Vegas,70.2,1404,20
42,43,43,Bryce Molder,70.21,983,14
43,44,44,Patrick Reed,70.22,1615,23
44,T45,T45,Alex Cejka,70.23,913,13
45,T45,T45,Brian Stuard,70.23,913,13
46,47,47,Vaughn Taylor,70.25,843,12
47,T48,T48,Brendon de Jonge,70.27,773,11
48,T48,T48,Andres Gonzales,70.27,773,11
49,T50,T50,Jason Kokrak,70.29,1195,17
50,T50,T50,Chez Reavie,70.29,1195,17
51,T52,T52,Stuart Appleby,70.31,914,13
52,T52,T52,Patrick Rodgers,70.31,1125,16
53,T54,T54,Ryan Moore,70.33,1266,18
54,T54,T54,Carlos Ortiz,70.33,633,9
55,56,56,Brooks Koepka,70.38,1126,16
56,57,57,Matt Kuchar,70.39,1619,23
57,T58,T58,Keegan Bradley,70.4,1056,15
58,T58,T58,Chad Collins,70.4,704,10
59,60,60,Troy Merritt,70.42,845,12
60,T61,T61,Wes Roach,70.43,493,7
61,T61,T61,Justin Thomas,70.43,1479,21
62,63,63,Bronson Burgoon,70.46,916,13
63,64,64,Ben Martin,70.47,1198,17
64,T65,T65,Robert Allenby,70.5,141,2
65,T65,T65,Graeme McDowell,70.5,705,10
66,T65,T65,Sean O'Hair,70.5,1269,18
67,T65,T65,Geoff Ogilvy,70.5,564,8
68,T65,T65,Justin Rose,70.5,987,14
69,T65,T65,Johnson Wagner,70.5,1128,16
70,71,71,Charles Howell III,70.52,1481,21
71,72,72,Shawn Stefani,70.53,1058,15
72,73,73,Spencer Levin,70.58,1341,19
73,74,74,Roberto Castro,70.59,1553,22
74,75,75,Jerry Kelly,70.6,1059,15
75,76,76,Tim Wilkinson,70.62,918,13
76,77,77,Willy Wilcox,70.64,777,11
77,78,78,Ryan Palmer,70.65,1413,20
78,79,79,Vijay Singh,70.71,990,14
79,T80,T80,Sergio Garcia,70.73,778,11
80,T80,T80,John Huh,70.73,1061,15
81,82,82,Adam Hadwin,70.75,1415,20
82,83,83,Brett Stegmaier,70.8,1062,15
83,T84,T84,Thomas Aiken,70.82,779,11
84,T84,T84,Harris English,70.82,1558,22
85,86,86,Jason Dufner,70.83,1700,24
86,87,87,Seung-Yul Noh,70.86,992,14
87,T88,T88,David Lingmerth,70.88,1205,17
88,T88,T88,Rod Pampling,70.88,567,8
89,T90,T90,Kyle Reifers,70.91,1631,23
