,Tenth_Tee_Late_Par_5_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Par_5_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Par_5_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Par_5_Scoring_Average_ROUNDS,Tenth_Tee_Late_Par_5_Scoring_Average_AVG,Tenth_Tee_Late_Par_5_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Par_5_Scoring_Average_TOTAL HOLES
0,1,1,Rory McIlroy,69,4.29,60,14
1,2,2,Dustin Johnson,87,4.36,61,14
2,3,3,Ryan Palmer,86,4.37,227,52
3,4,4,J.B. Holmes,77,4.4,88,20
4,5,5,Daniel Berger,92,4.42,137,31
5,T6,T6,Andrew Loupe,75,4.43,217,49
6,T6,T6,Jordan Spieth,80,4.43,62,14
7,T6,T6,Harold Varner III,92,4.43,310,70
8,9,9,Billy Horschel,73,4.44,71,16
9,10,10,Stewart Cink,61,4.45,169,38
10,11,11,Hudson Swafford,104,4.46,370,83
11,12,12,Luke List,79,4.48,130,29
12,13,13,Gary Woodland,95,4.49,157,35
13,T14,T14,Jason Day,76,4.5,9,2
14,T14,T14,Jason Dufner,105,4.5,189,42
15,T14,T14,Louis Oosthuizen,63,4.5,54,12
16,T17,T17,Jonas Blixt,79,4.51,167,37
17,T17,T17,Boo Weekley,83,4.51,221,49
18,19,19,Smylie Kaufman,91,4.52,149,33
19,20,20,Robert Garrigus,69,4.53,163,36
20,T21,T21,Aaron Baddeley,93,4.54,286,63
21,T21,T21,Lucas Glover,75,4.54,168,37
22,T21,T21,Henrik Norlander,71,4.54,177,39
23,T24,T24,Jason Bohn,67,4.55,214,47
24,T24,T24,Kyle Reifers,115,4.55,250,55
25,T24,T24,Webb Simpson,70,4.55,100,22
26,T24,T24,Jimmy Walker,85,4.55,141,31
27,T28,T28,Tony Finau,95,4.56,228,50
28,T28,T28,Charley Hoffman,91,4.56,251,55
29,T28,T28,Scott Langley,65,4.56,146,32
30,T28,T28,Seung-Yul Noh,85,4.56,260,57
31,T28,T28,Steve Wheatcroft,85,4.56,178,39
32,33,33,Spencer Levin,104,4.57,347,76
33,T34,T34,Thomas Aiken,70,4.58,243,53
34,T34,T34,James Hahn,85,4.58,298,65
