,Par_Breakers_RANK THIS WEEK,Par_Breakers_RANK LAST WEEK,Par_Breakers_PLAYER NAME,Par_Breakers_ROUNDS,Par_Breakers_%,Par_Breakers_# BIRDIES/EAGLES,Par_Breakers_# HOLES
0,1,1,Dustin Johnson,87,25.81,381,1476
1,2,2,Rory McIlroy,69,25.27,282,1116
2,3,3,Jason Day,76,24.24,301,1242
3,4,4,Jordan Spieth,80,24.2,331,1368
4,5,5,Brooks Koepka,75,23.73,299,1260
5,6,6,Hideki Matsuyama,76,23.52,309,1314
6,7,7,Ryan Palmer,86,23.0,356,1548
7,8,8,Phil Mickelson,75,22.99,298,1296
8,9,9,Adam Scott,79,22.88,313,1368
9,T10,T10,Robert Garrigus,69,22.82,267,1170
10,T10,T10,J.B. Holmes,77,22.82,304,1332
11,12,12,Andrew Loupe,75,22.74,307,1350
12,13,13,Matt Kuchar,100,22.05,381,1728
13,14,14,Jimmy Walker,85,22.02,325,1476
14,15,15,Michael Thompson,71,21.98,269,1224
15,16,16,Sergio Garcia,54,21.9,201,918
16,17,17,Alex Cejka,71,21.89,264,1206
17,18,18,Patrick Reed,105,21.84,397,1818
18,T19,T19,Charles Howell III,91,21.79,357,1638
19,T19,T19,Sean O'Hair,89,21.79,349,1602
20,T19,T19,Hudson Swafford,104,21.79,408,1872
21,22,22,Adam Hadwin,93,21.74,364,1674
22,23,23,Justin Rose,65,21.68,242,1116
23,24,24,Daniel Berger,92,21.66,347,1602
24,25,25,Smylie Kaufman,91,21.65,343,1584
25,26,26,Charl Schwartzel,73,21.59,272,1260
26,T27,T27,Graham DeLaet,70,21.55,256,1188
27,T27,T27,Jamie Lovemark,91,21.55,353,1638
28,29,29,Ben Martin,92,21.53,341,1584
29,30,30,Kevin Na,96,21.51,360,1674
30,31,31,Justin Thomas,99,21.47,371,1728
31,T32,T32,Jason Dufner,105,21.41,393,1836
32,T32,T32,Lucas Glover,75,21.41,289,1350
33,T32,T32,Brandt Snedeker,93,21.41,343,1602
34,35,35,Emiliano Grillo,93,21.36,346,1620
35,T36,T36,Kevin Kisner,97,21.34,361,1692
36,T36,T36,Bubba Watson,72,21.34,265,1242
37,38,38,Luke List,79,21.28,295,1386
38,39,39,Ricky Barnes,97,21.27,356,1674
39,40,40,Jonas Blixt,79,21.2,290,1368
40,41,41,Rickie Fowler,80,21.14,293,1386
41,T42,T42,Freddie Jacobson,86,21.12,327,1548
42,T42,T42,Ryan Moore,86,21.12,308,1458
43,44,44,Daniel Summerhays,99,21.1,376,1782
44,45,45,Patrick Rodgers,89,21.05,322,1530
45,46,46,Si Woo Kim,113,21.0,412,1962
46,47,47,Roberto Castro,97,20.96,366,1746
47,48,48,Billy Horschel,73,20.95,264,1260
48,49,49,Gary Woodland,95,20.94,343,1638
49,50,50,Luke Guthrie,57,20.91,207,990
50,51,51,Jason Bohn,67,20.9,252,1206
51,52,52,Boo Weekley,83,20.88,312,1494
52,53,53,Paul Casey,77,20.87,278,1332
53,54,54,Martin Laird,82,20.8,292,1404
54,T55,T55,Kevin Chappell,93,20.79,348,1674
55,T55,T55,Webb Simpson,70,20.79,262,1260
56,T57,T57,Morgan Hoffmann,71,20.73,250,1206
57,T57,T57,Jhonattan Vegas,97,20.73,347,1674
58,59,59,Aaron Baddeley,93,20.72,332,1602
59,60,60,Brian Harman,104,20.67,387,1872
60,61,61,Jason Kokrak,89,20.66,331,1602
61,62,62,Cameron Tringale,81,20.63,286,1386
62,63,63,Tony Finau,95,20.58,352,1710
63,T64,T64,Zach Johnson,90,20.54,318,1548
64,T64,T64,Johnson Wagner,86,20.54,318,1548
65,66,66,David Lingmerth,84,20.51,299,1458
66,67,67,D.A. Points,55,20.48,188,918
67,68,68,Russell Knox,92,20.47,328,1602
68,69,69,Scott Pinckney,87,20.46,313,1530
69,70,70,Scott Piercy,87,20.44,309,1512
70,71,71,Kelly Kraft,63,20.43,217,1062
71,72,72,Patton Kizzire,93,20.41,327,1602
72,73,73,Danny Lee,93,20.37,330,1620
73,74,74,Chesson Hadley,81,20.32,289,1422
74,75,75,Wes Roach,59,20.3,201,990
75,T76,T76,Vaughn Taylor,72,20.29,263,1296
76,T76,T76,Harold Varner III,92,20.29,336,1656
77,78,78,Tim Wilkinson,72,20.26,248,1224
78,79,79,William McGirt,98,20.24,357,1764
79,80,80,Steve Stricker,53,20.23,193,954
80,81,81,Stewart Cink,61,20.22,222,1098
81,82,82,Brendan Steele,88,20.17,305,1512
82,T83,T83,Seung-Yul Noh,85,20.16,294,1458
83,T83,T83,Chez Reavie,90,20.16,312,1548
84,85,85,Kevin Streelman,82,20.12,297,1476
85,86,86,Russell Henley,76,20.1,275,1368
86,87,87,Willy Wilcox,67,20.09,235,1170
87,T88,T88,Blayne Barber,84,20.07,289,1440
88,T88,T88,Carlos Ortiz,79,20.07,271,1350
89,T88,T88,Kyle Reifers,115,20.07,401,1998
90,91,91,Andres Gonzales,80,20.01,281,1404
91,T92,T92,Chris Stroud,82,20.0,288,1440
92,T92,T92,Dawie van der Walt,72,20.0,252,1260
93,94,94,Troy Merritt,77,19.99,277,1386
94,95,95,John Senden,88,19.96,309,1548
95,96,96,David Hearn,95,19.94,341,1710
96,97,97,Matt Jones,83,19.93,287,1440
97,98,98,Marc Leishman,89,19.9,308,1548
98,99,99,Padraig Harrington,54,19.86,193,972
99,100,100,Nick Taylor,83,19.83,282,1422
100,101,101,Jason Gore,78,19.82,264,1332
101,T102,T102,Keegan Bradley,82,19.78,292,1476
102,T102,T102,Spencer Levin,104,19.78,356,1800
103,104,104,Scott Brown,88,19.76,313,1584
104,T105,T105,Derek Fathauer,94,19.74,334,1692
105,T105,T105,Louis Oosthuizen,63,19.74,199,1008
106,107,107,Anirban Lahiri,72,19.73,245,1242
107,108,108,Graeme McDowell,63,19.72,213,1080
108,109,109,Harris English,97,19.7,344,1746
109,T110,T110,Fabián Gómez,82,19.69,280,1422
110,T110,T110,Steve Marino,72,19.69,241,1224
111,112,112,Kyle Stanley,92,19.66,315,1602
112,113,113,Henrik Norlander,71,19.65,237,1206
113,114,114,Branden Grace,63,19.63,212,1080
114,115,115,Mark Hubbard,101,19.59,342,1746
115,116,116,Chad Campbell,90,19.57,317,1620
116,117,117,Greg Owen,85,19.55,285,1458
117,118,118,Sung Kang,89,19.54,306,1566
118,119,119,Scott Stallings,74,19.52,246,1260
119,120,120,Michael Kim,100,19.5,337,1728
120,T121,T121,K.J. Choi,73,19.48,256,1314
121,T121,T121,Brett Stegmaier,87,19.48,298,1530
122,123,123,Sam Saunders,69,19.4,227,1170
123,124,124,Charley Hoffman,91,19.38,307,1584
124,125,125,Chris Kirk,90,19.35,296,1530
125,126,126,Geoff Ogilvy,63,19.3,205,1062
126,127,127,Vijay Singh,72,19.29,250,1296
127,128,128,Ben Crane,80,19.23,263,1368
128,129,129,Jon Curran,99,19.19,342,1782
129,130,130,Bryce Molder,80,19.16,269,1404
130,T131,T131,Ernie Els,66,19.11,227,1188
131,T131,T131,Billy Hurley III,66,19.11,227,1188
132,133,133,Retief Goosen,55,19.09,189,990
133,T134,T134,Stuart Appleby,71,19.08,237,1242
134,T134,T134,John Huh,86,19.08,292,1530
135,T134,T134,Peter Malnati,85,19.08,292,1530
136,137,137,Camilo Villegas,83,19.06,271,1422
137,138,138,Tom Hoge,81,19.05,264,1386
138,139,139,Francesco Molinari,64,19.01,219,1152
139,140,140,Brian Stuard,66,18.94,225,1188
140,T141,T141,Ken Duke,58,18.93,184,972
141,T141,T141,Rhein Gibson,58,18.93,184,972
142,T141,T141,Shane Lowry,57,18.93,184,972
143,T141,T141,Rory Sabbatini,57,18.93,184,972
144,145,145,James Hahn,85,18.89,289,1530
145,146,146,Steve Wheatcroft,85,18.86,275,1458
146,T147,T147,Tyler Aldridge,83,18.85,268,1422
147,T147,T147,Hunter Mahan,61,18.85,207,1098
148,149,149,Robert Streb,87,18.78,284,1512
149,150,150,Thomas Aiken,70,18.77,223,1188
150,151,151,Cameron Smith,73,18.76,233,1242
151,152,152,Jim Herman,93,18.7,313,1674
152,153,153,Bronson Burgoon,83,18.64,265,1422
153,154,154,Abraham Ancer,51,18.63,161,864
154,155,155,Will MacKenzie,84,18.61,268,1440
155,156,156,Brendon de Jonge,83,18.59,271,1458
156,157,157,Tyrone Van Aswegen,105,18.57,341,1836
157,158,158,Colt Knost,90,18.54,287,1548
158,159,159,Jerry Kelly,76,18.49,253,1368
159,160,160,Andrew Landry,53,18.48,163,882
160,161,161,Hiroshi Iwata,85,18.41,275,1494
161,162,162,Whee Kim,82,18.38,258,1404
162,163,163,Dicky Pride,55,18.34,175,954
163,164,164,Jeff Overton,69,18.29,214,1170
164,165,165,Martin Piller,59,18.23,187,1026
165,T166,T166,George McNeill,51,18.19,167,918
166,T166,T166,David Toms,62,18.19,203,1116
167,168,168,D.H. Lee,61,18.13,186,1026
168,169,169,Zac Blair,99,18.01,308,1710
169,T170,T170,Erik Compton,65,17.9,203,1134
170,T170,T170,Luke Donald,81,17.9,261,1458
171,172,172,Bill Haas,86,17.89,264,1476
172,173,173,Shawn Stefani,91,17.88,280,1566
173,174,174,Derek Ernst,59,17.84,183,1026
174,175,175,Scott Langley,65,17.72,201,1134
175,176,176,Jim Furyk,52,17.63,165,936
176,177,177,Chad Collins,73,17.5,230,1314
177,178,178,Rob Oppenheim,67,17.46,198,1134
178,179,179,Ángel Cabrera,62,17.38,194,1116
179,180,180,Rod Pampling,54,17.33,156,900
180,181,181,Steven Bowditch,71,17.06,218,1278
181,182,182,Mark Wilson,66,17.03,190,1116
182,183,183,Brendon Todd,66,15.78,179,1134
183,184,184,J.J. Henry,68,15.66,186,1188
184,185,185,Robert Allenby,51,15.14,139,918
