,Birdie_or_Better_Percentage_-__125_yard_RANK THIS WEEK,Birdie_or_Better_Percentage_-__125_yard_RANK LAST WEEK,Birdie_or_Better_Percentage_-__125_yard_PLAYER NAME,Birdie_or_Better_Percentage_-__125_yard_ROUNDS,Birdie_or_Better_Percentage_-__125_yard_%,Birdie_or_Better_Percentage_-__125_yard_TOTAL BIRDIES,Birdie_or_Better_Percentage_-__125_yard_TOTAL HOLES
0,1,1,Jason Bohn,67,36.87,73,198
1,2,2,Hideki Matsuyama,76,33.68,64,190
2,3,3,Matt Kuchar,100,30.32,84,277
3,4,4,Ryan Moore,86,29.19,61,209
4,5,5,Jason Day,76,28.84,62,215
5,6,6,Jon Curran,99,28.81,87,302
6,7,7,Dustin Johnson,87,28.19,84,298
7,8,8,Boo Weekley,83,28.02,72,257
8,9,9,Daniel Summerhays,99,27.89,70,251
9,T10,T10,Seung-Yul Noh,85,27.27,69,253
10,T10,T10,Brian Stuard,66,27.27,57,209
11,12,12,Tim Wilkinson,72,27.18,53,195
12,13,13,Billy Horschel,73,27.04,43,159
13,14,14,Jamie Lovemark,91,27.0,91,337
14,15,15,Jimmy Walker,85,26.86,65,242
15,16,16,George McNeill,51,26.8,41,153
16,17,17,Roberto Castro,97,26.79,90,336
17,18,18,Stuart Appleby,71,26.74,69,258
18,19,19,Martin Piller,59,26.67,52,195
19,20,20,Ryan Palmer,86,26.6,83,312
20,21,21,Brandt Snedeker,93,26.59,71,267
21,22,22,Vijay Singh,72,26.36,63,239
22,T23,T23,Jim Furyk,52,26.05,31,119
23,T23,T23,Zach Johnson,90,26.05,68,261
24,25,25,Kevin Kisner,97,25.91,64,247
25,26,26,Jim Herman,93,25.9,65,251
26,T27,T27,Hunter Mahan,61,25.85,53,205
27,T27,T27,Jordan Spieth,80,25.85,61,236
28,29,29,Chris Kirk,90,25.84,69,267
29,30,30,Blayne Barber,84,25.77,67,260
30,31,31,Ben Crane,80,25.71,54,210
31,32,32,Brian Harman,104,25.6,96,375
32,33,33,David Toms,62,25.59,54,211
33,34,34,Harris English,97,25.54,59,231
34,35,35,Abraham Ancer,51,25.5,38,149
35,36,36,Patton Kizzire,93,25.41,62,244
36,37,37,Will MacKenzie,84,25.3,64,253
37,38,38,John Senden,88,25.19,68,270
38,39,39,Freddie Jacobson,86,25.1,63,251
39,T40,T40,Jason Dufner,105,25.0,78,312
40,T40,T40,Scott Piercy,87,25.0,57,228
41,42,42,Colt Knost,90,24.91,68,273
42,T43,T43,Tyler Aldridge,83,24.81,67,270
43,T43,T43,Bryce Molder,80,24.81,64,258
44,45,45,K.J. Choi,73,24.79,60,242
45,46,46,Jonas Blixt,79,24.77,54,218
46,47,47,Henrik Norlander,71,24.72,44,178
47,48,48,Fabián Gómez,82,24.71,64,259
48,49,49,Sean O'Hair,89,24.68,76,308
49,50,50,Alex Cejka,71,24.63,50,203
50,51,51,Mark Hubbard,101,24.6,76,309
51,52,52,Brooks Koepka,75,24.58,59,240
52,53,53,Lucas Glover,75,24.4,61,250
53,54,54,Chris Stroud,82,24.38,59,242
54,55,55,Steve Stricker,53,24.36,38,156
55,56,56,Hudson Swafford,104,24.33,82,337
56,57,57,Stewart Cink,61,24.28,42,173
57,58,58,Brendon Todd,66,24.27,50,206
58,59,59,Emiliano Grillo,93,24.07,58,241
59,60,60,Kevin Na,96,23.98,47,196
60,61,61,Thomas Aiken,70,23.84,36,151
61,62,62,Adam Scott,79,23.78,44,185
62,63,63,Michael Kim,100,23.77,77,324
63,64,64,Robert Garrigus,69,23.76,43,181
64,T65,T65,Ben Martin,92,23.74,66,278
65,T65,T65,Webb Simpson,70,23.74,47,198
66,67,67,Ricky Barnes,97,23.71,69,291
67,68,68,Rickie Fowler,80,23.68,54,228
68,69,69,Spencer Levin,104,23.64,65,275
69,70,70,Francesco Molinari,64,23.62,47,199
70,71,71,Billy Hurley III,66,23.56,53,225
71,72,72,Michael Thompson,71,23.5,47,200
72,73,73,Smylie Kaufman,91,23.42,74,316
73,74,74,Hiroshi Iwata,85,23.41,48,205
74,75,75,Peter Malnati,85,23.39,80,342
75,76,76,Graham DeLaet,70,23.37,43,184
76,77,77,Patrick Reed,105,23.33,77,330
77,78,78,Patrick Rodgers,89,23.29,68,292
78,79,79,Kelly Kraft,63,23.26,40,172
79,80,80,Scott Brown,88,23.25,63,271
80,T81,T81,Rhein Gibson,58,23.24,43,185
81,T81,T81,Gary Woodland,95,23.24,56,241
82,83,83,Danny Lee,93,23.22,49,211
83,84,84,Rob Oppenheim,67,23.2,45,194
84,85,85,Keegan Bradley,82,23.16,44,190
85,86,86,Ernie Els,66,23.15,50,216
86,87,87,J.B. Holmes,77,23.13,68,294
87,88,88,Derek Fathauer,94,23.1,64,277
88,89,89,Vaughn Taylor,72,23.05,62,269
89,T90,T90,David Hearn,95,22.98,71,309
90,T90,T90,Dawie van der Walt,72,22.98,57,248
91,92,92,Padraig Harrington,54,22.97,34,148
92,93,93,Bubba Watson,72,22.94,53,231
93,94,94,William McGirt,98,22.91,63,275
94,95,95,Cameron Tringale,81,22.86,56,245
95,96,96,Justin Thomas,99,22.85,69,302
96,97,97,Geoff Ogilvy,63,22.83,42,184
97,98,98,Phil Mickelson,75,22.77,46,202
98,99,99,Troy Merritt,77,22.76,56,246
99,100,100,Rory Sabbatini,57,22.73,35,154
100,101,101,Zac Blair,99,22.7,64,282
101,102,102,Scott Pinckney,87,22.67,56,247
102,T103,T103,Retief Goosen,55,22.62,38,168
103,T103,T103,Wes Roach,59,22.62,38,168
104,105,105,Andrew Loupe,75,22.6,73,323
105,106,106,Bill Haas,86,22.5,54,240
106,107,107,Paul Casey,77,22.49,38,169
107,108,108,Si Woo Kim,113,22.45,86,383
108,109,109,Greg Owen,85,22.32,52,233
109,110,110,Rory McIlroy,69,22.28,41,184
110,T111,T111,Chad Campbell,90,22.27,53,238
111,T111,T111,Luke List,79,22.27,51,229
112,T113,T113,Jeff Overton,69,22.22,46,207
113,T113,T113,Cameron Smith,73,22.22,44,198
114,T115,T115,Aaron Baddeley,93,22.13,54,244
115,T115,T115,Jason Gore,78,22.13,52,235
116,117,117,Marc Leishman,89,22.12,48,217
117,T118,T118,Charley Hoffman,91,22.06,62,281
118,T118,T118,D.A. Points,55,22.06,30,136
119,120,120,James Hahn,85,22.05,56,254
120,121,121,Charl Schwartzel,73,22.04,41,186
121,122,122,Charles Howell III,91,21.96,65,296
122,123,123,Sung Kang,89,21.89,51,233
123,124,124,Scott Stallings,74,21.84,45,206
124,125,125,Carlos Ortiz,79,21.79,51,234
125,126,126,Anirban Lahiri,72,21.74,35,161
126,127,127,Dicky Pride,55,21.69,36,166
127,128,128,David Lingmerth,84,21.65,50,231
128,129,129,Luke Guthrie,57,21.52,34,158
129,T130,T130,Ken Duke,58,21.51,40,186
130,T130,T130,Tyrone Van Aswegen,105,21.51,60,279
131,132,132,Tom Hoge,81,21.46,56,261
132,133,133,Shane Lowry,57,21.43,33,154
133,134,134,Morgan Hoffmann,71,21.37,50,234
134,135,135,Steve Marino,72,21.33,45,211
135,136,136,Chez Reavie,90,21.32,58,272
136,137,137,Chesson Hadley,81,21.27,57,268
137,138,138,Adam Hadwin,93,21.22,59,278
138,139,139,Brendan Steele,88,21.16,51,241
139,140,140,Matt Jones,83,21.12,49,232
140,141,141,Steve Wheatcroft,85,21.01,54,257
141,142,142,Willy Wilcox,67,20.97,39,186
142,143,143,Kyle Stanley,92,20.94,58,277
143,144,144,Kevin Streelman,82,20.93,54,258
144,145,145,Chad Collins,73,20.83,45,216
145,146,146,Andrew Landry,53,20.74,28,135
146,147,147,Erik Compton,65,20.69,42,203
147,T148,T148,Brendon de Jonge,83,20.68,49,237
148,T148,T148,Johnson Wagner,86,20.68,55,266
149,150,150,Mark Wilson,66,20.32,38,187
150,151,151,Brett Stegmaier,87,20.3,55,271
151,152,152,Whee Kim,82,20.29,42,207
152,153,153,Nick Taylor,83,20.22,55,272
153,154,154,Jhonattan Vegas,97,20.16,52,258
154,155,155,Kevin Chappell,93,20.08,52,259
155,156,156,Sam Saunders,69,20.0,37,185
156,157,157,Daniel Berger,92,19.91,42,211
157,158,158,Kyle Reifers,115,19.88,67,337
158,159,159,Louis Oosthuizen,63,19.75,31,157
159,160,160,Martin Laird,82,19.46,50,257
160,161,161,Justin Rose,65,19.43,34,175
161,162,162,Rod Pampling,54,19.42,27,139
162,163,163,Derek Ernst,59,19.38,31,160
163,164,164,Camilo Villegas,83,19.23,50,260
164,165,165,Russell Henley,76,19.22,54,281
165,166,166,Jerry Kelly,76,19.18,42,219
166,167,167,Bronson Burgoon,83,19.15,45,235
167,168,168,Tony Finau,95,19.12,52,272
168,169,169,Russell Knox,92,18.99,49,258
169,170,170,Sergio Garcia,54,18.89,17,90
170,171,171,John Huh,86,18.63,38,204
171,172,172,Branden Grace,63,18.52,30,162
172,173,173,Luke Donald,81,18.37,36,196
173,174,174,Andres Gonzales,80,18.36,47,256
174,175,175,Harold Varner III,92,18.33,55,300
175,176,176,Graeme McDowell,63,18.25,25,137
176,177,177,Robert Streb,87,17.57,42,239
177,178,178,Robert Allenby,51,17.48,25,143
178,179,179,Scott Langley,65,17.45,37,212
179,180,180,D.H. Lee,61,17.44,30,172
180,181,181,J.J. Henry,68,17.21,37,215
181,182,182,Steven Bowditch,71,16.02,37,231
182,183,183,Jason Kokrak,89,14.52,36,248
183,184,184,Shawn Stefani,91,14.44,41,284
184,185,185,Ángel Cabrera,62,14.2,23,162
