,First_Tee_Late_Round_2_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Round_2_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Round_2_Scoring_Average_PLAYER NAME,First_Tee_Late_Round_2_Scoring_Average_AVG,First_Tee_Late_Round_2_Scoring_Average_TOTAL STROKES,First_Tee_Late_Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,Colt Knost,63.0,63,1
1,2,2,Derek Fathauer,66.33,199,3
2,3,3,Ryan Moore,67.33,202,3
3,4,4,Jerry Kelly,67.8,339,5
4,5,5,Dustin Johnson,67.88,543,8
5,T6,T6,K.J. Choi,68.0,204,3
6,T6,T6,Jason Kokrak,68.0,340,5
7,8,8,Sergio Garcia,68.25,273,4
8,9,9,John Senden,68.33,205,3
9,10,10,Graham DeLaet,68.43,479,7
10,11,11,Russell Knox,68.63,549,8
11,12,12,Rory McIlroy,68.75,550,8
12,13,13,Charl Schwartzel,68.8,344,5
13,14,14,Chez Reavie,68.88,551,8
14,T15,T15,Stuart Appleby,69.0,69,1
15,T15,T15,Chad Campbell,69.0,345,5
16,T15,T15,J.J. Henry,69.0,69,1
17,T15,T15,Whee Kim,69.0,414,6
18,19,19,Sung Kang,69.14,484,7
19,20,20,Steve Stricker,69.17,415,6
20,21,21,Chris Stroud,69.2,346,5
21,T22,T22,Luke Donald,69.25,277,4
22,T22,T22,Brooks Koepka,69.25,554,8
23,T24,T24,Rickie Fowler,69.33,832,12
24,T24,T24,Bill Haas,69.33,416,6
25,26,26,Adam Scott,69.42,833,12
26,27,27,Jon Curran,69.45,764,11
27,T28,T28,Adam Hadwin,69.5,556,8
28,T28,T28,Kevin Kisner,69.5,695,10
29,T28,T28,Sean O'Hair,69.5,417,6
30,31,31,Daniel Berger,69.56,626,9
31,T32,T32,Jason Day,69.67,836,12
32,T32,T32,Daniel Summerhays,69.67,418,6
33,T34,T34,Michael Kim,69.71,488,7
34,T34,T34,Webb Simpson,69.71,488,7
35,T34,T34,Kyle Stanley,69.71,488,7
36,37,37,Luke List,69.73,767,11
37,38,38,Matt Kuchar,69.89,629,9
38,39,39,Peter Malnati,69.9,699,10
39,T40,T40,Ricky Barnes,70.0,420,6
40,T40,T40,Zac Blair,70.0,420,6
41,T40,T40,Jim Furyk,70.0,420,6
42,T40,T40,Brian Harman,70.0,350,5
43,T40,T40,Mark Hubbard,70.0,560,8
44,T40,T40,John Huh,70.0,280,4
45,T40,T40,Billy Hurley III,70.0,350,5
46,T40,T40,Bryce Molder,70.0,70,1
47,T40,T40,Rob Oppenheim,70.0,420,6
48,49,49,Kevin Chappell,70.1,701,10
49,50,50,Kevin Na,70.14,491,7
50,T51,T51,Robert Allenby,70.17,421,6
51,T51,T51,Emiliano Grillo,70.17,421,6
52,53,53,Chris Kirk,70.18,772,11
53,T54,T54,Scott Langley,70.2,351,5
54,T54,T54,Troy Merritt,70.2,351,5
55,56,56,Ben Crane,70.25,281,4
56,57,57,Henrik Norlander,70.29,492,7
57,T58,T58,Steve Marino,70.33,211,3
58,T58,T58,Geoff Ogilvy,70.33,211,3
59,T58,T58,D.A. Points,70.33,211,3
60,T61,T61,Lucas Glover,70.4,704,10
61,T61,T61,Ryan Palmer,70.4,352,5
62,T61,T61,Hudson Swafford,70.4,352,5
63,64,64,Patrick Reed,70.43,986,14
64,T65,T65,Abraham Ancer,70.5,282,4
65,T65,T65,Bronson Burgoon,70.5,705,10
66,T65,T65,Alex Cejka,70.5,282,4
67,T65,T65,Luke Guthrie,70.5,282,4
68,T65,T65,Charles Howell III,70.5,564,8
69,T65,T65,Andrew Landry,70.5,282,4
