,Early_Lowest_Round_RANK THIS WEEK,Early_Lowest_Round_RANK LAST WEEK,Early_Lowest_Round_PLAYER NAME,Early_Lowest_Round_LOW RND
0,1,1,Jim Furyk,58
1,T2,T2,Sung Kang,60
2,T2,T2,Si Woo Kim,60
3,T2,T2,Jhonattan Vegas,60
4,T5,T5,Scott Langley,62
5,T5,T5,David Lingmerth,62
6,T5,T5,William McGirt,62
7,T5,T5,Kevin Na,62
8,T5,T5,Scott Piercy,62
9,T5,T5,D.A. Points,62
10,T5,T5,Justin Thomas,62
11,T5,T5,Danny Willett,62
12,T13,T13,Ricky Barnes,63
13,T13,T13,Rafa Cabrera Bello,63
14,T13,T13,Chad Campbell,63
15,T13,T13,George Coetzee,63
16,T13,T13,Jason Day,63
17,T13,T13,Graham DeLaet,63
18,T13,T13,Sergio Garcia,63
19,T13,T13,Brian Harman,63
20,T13,T13,Tim Herron,63
21,T13,T13,Morgan Hoffmann,63
22,T13,T13,Freddie Jacobson,63
23,T13,T13,Kevin Kisner,63
24,T13,T13,Colt Knost,63
25,T13,T13,Matt Kuchar,63
26,T13,T13,Andrew Loupe,63
27,T13,T13,Graeme McDowell,63
28,T13,T13,Geoff Ogilvy,63
29,T13,T13,Scott Pinckney,63
30,T13,T13,Chez Reavie,63
31,T13,T13,Vijay Singh,63
32,T13,T13,Jordan Spieth,63
33,T13,T13,Brendan Steele,63
34,T13,T13,Hudson Swafford,63
35,T13,T13,Jimmy Walker,63
36,T13,T13,Tim Wilkinson,63
37,T38,T38,Aaron Baddeley,64
38,T38,T38,Blayne Barber,64
39,T38,T38,Daniel Berger,64
40,T38,T38,Jason Bohn,64
41,T38,T38,Steven Bowditch,64
42,T38,T38,Wesley Bryan,64
43,T38,T38,Bronson Burgoon,64
44,T38,T38,Roberto Castro,64
45,T38,T38,Stewart Cink,64
46,T38,T38,Jason Dufner,64
47,T38,T38,Jason Gore,64
48,T38,T38,Adam Hadwin,64
49,T38,T38,David Hearn,64
50,T38,T38,Charley Hoffman,64
51,T38,T38,Tom Hoge,64
52,T38,T38,Mark Hubbard,64
53,T38,T38,Dustin Johnson,64
54,T38,T38,Daisuke Kataoka,64
55,T38,T38,Whee Kim,64
56,T38,T38,Patton Kizzire,64
57,T38,T38,Søren Kjeldsen,64
58,T38,T38,Brooks Koepka,64
59,T38,T38,Jason Kokrak,64
60,T38,T38,Anirban Lahiri,64
61,T38,T38,Spencer Levin,64
62,T38,T38,Rory McIlroy,64
63,T38,T38,Bryce Molder,64
64,T38,T38,Henrik Norlander,64
65,T38,T38,Sean O'Hair,64
66,T38,T38,Louis Oosthuizen,64
67,T38,T38,Carlos Ortiz,64
68,T38,T38,Jeff Overton,64
69,T38,T38,Greg Owen,64
70,T38,T38,Ryan Palmer,64
71,T38,T38,Cameron Percy,64
72,T38,T38,Jon Rahm,64
73,T38,T38,Patrick Reed,64
74,T38,T38,Patrick Rodgers,64
75,T38,T38,Kyle Stanley,64
76,T38,T38,Robert Streb,64
77,T38,T38,Chris Stroud,64
78,T38,T38,Brian Stuard,64
79,T38,T38,Vaughn Taylor,64
80,T38,T38,Michael Thompson,64
81,T38,T38,Johnson Wagner,64
82,T38,T38,Steve Wheatcroft,64
83,T38,T38,Willy Wilcox,64
84,T38,T38,Gary Woodland,64
85,T86,T86,Byeong Hun An,65
86,T86,T86,Stuart Appleby,65
87,T86,T86,Ryan Armour,65
88,T86,T86,Shane Bertsch,65
89,T86,T86,Zac Blair,65
90,T86,T86,Ryan Blaum,65
91,T86,T86,Scott Brown,65
92,T86,T86,Ángel Cabrera,65
93,T86,T86,Bud Cauley,65
94,T86,T86,Kevin Chappell,65
95,T86,T86,Tim Clark,65
96,T86,T86,Chad Collins,65
97,T86,T86,Ben Crane,65
98,T86,T86,Brendon de Jonge,65
99,T86,T86,Luke Donald,65
100,T86,T86,Ken Duke,65
101,T86,T86,Harris English,65
102,T86,T86,Derek Fathauer,65
103,T86,T86,Martin Flores,65
104,T86,T86,Rickie Fowler,65
105,T86,T86,Brice Garnett,65
106,T86,T86,Robert Garrigus,65
107,T86,T86,Rhein Gibson,65
108,T86,T86,Fabián Gómez,65
109,T86,T86,Andres Gonzales,65
110,T86,T86,Retief Goosen,65
111,T86,T86,Emiliano Grillo,65
112,T86,T86,Luke Guthrie,65
113,T86,T86,Bill Haas,65
114,T86,T86,James Hahn,65
115,T86,T86,Padraig Harrington,65
116,T86,T86,Tyrrell Hatton,65
117,T86,T86,Russell Henley,65
118,T86,T86,J.B. Holmes,65
119,T86,T86,Charles Howell III,65
120,T86,T86,John Huh,65
121,T86,T86,Billy Hurley III,65
122,T86,T86,Ryo Ishikawa,65
123,T86,T86,Zach Johnson,65
