,Eagles_Holes_per_RANK THIS WEEK,Eagles_Holes_per_RANK LAST WEEK,Eagles_Holes_per_PLAYER NAME,Eagles_Holes_per_ROUNDS,Eagles_Holes_per_FREQUENCY,Eagles_Holes_per_# OF HOLES,Eagles_Holes_per_# OF EAGLES
0,1,1,J.B. Holmes,81,72.9,1386,19
1,2,2,Tiger Woods,55,78.0,936,12
2,3,3,Robert Allenby,79,99.0,1386,14
3,4,4,Charles Warren,93,101.3,1620,16
4,5,5,Adam Scott,70,102.0,1224,12
5,6,6,John Rollins,93,102.4,1638,16
6,7,7,Craig Barlow,77,109.5,1314,12
7,8,8,Kris Cox,83,112.2,1458,13
8,9,9,Scott Gutschewski,53,114.8,918,8
9,10,10,Jason Gore,86,116.3,1512,13
10,11,11,Stephen Ames,63,124.0,1116,9
11,12,12,Phil Mickelson,74,124.2,1242,10
12,13,13,Fred Couples,52,128.6,900,7
13,14,14,Bubba Watson,83,129.3,1422,11
14,15,15,John Huston,74,129.6,1296,10
15,16,16,Ted Purdy,103,129.9,1818,14
16,17,17,José María Olazábal,62,130.5,1044,8
17,18,18,Arjun Atwal,97,131.5,1710,13
18,19,19,Will MacKenzie,91,132.0,1584,12
19,20,20,Kevin Sutherland,100,132.9,1728,13
20,21,21,Charley Hoffman,100,135.7,1764,13
21,22,22,Jesper Parnevik,84,137.5,1512,11
22,23,23,Vijay Singh,103,138.5,1800,13
23,24,24,John Senden,96,139.5,1674,12
24,25,25,Daisuke Maruyama,83,142.2,1422,10
25,26,26,Tim Herron,82,145.8,1458,10
26,27,27,David Branshaw,98,147.0,1764,12
27,28,28,D.J. Trahan,92,147.3,1620,11
28,29,29,Daniel Chopra,110,148.2,1926,13
29,30,30,Harrison Frazar,95,148.9,1638,11
30,T31,T31,Lucas Glover,105,151.5,1818,12
31,T31,T31,Kent Jones,103,151.5,1818,12
32,T31,T31,Troy Matteson,101,151.5,1818,12
33,34,34,Vance Veazey,59,151.7,1062,7
34,35,35,Davis Love III,85,152.0,1368,9
35,36,36,Camilo Villegas,95,152.2,1674,11
36,37,37,Billy Mayfair,94,153.8,1692,11
37,38,38,Retief Goosen,68,154.3,1080,7
38,39,39,David Duval,71,155.3,1242,8
39,40,40,Bob Tway,81,156.0,1404,9
40,41,41,Roger Tambellini,64,156.9,1098,7
41,42,42,Geoff Ogilvy,76,157.5,1260,8
42,43,43,Justin Leonard,83,158.0,1422,9
43,44,44,Brandt Jobe,91,158.4,1584,10
44,45,45,Steve Flesch,119,159.2,2070,13
45,46,46,Eric Axley,91,160.2,1602,10
46,47,47,Sean O'Hair,100,160.4,1764,11
47,48,48,Brett Wetterich,82,164.0,1476,9
