,Scoring_Average_RANK THIS WEEK,Scoring_Average_RANK LAST WEEK,Scoring_Average_PLAYER NAME,Scoring_Average_ROUNDS,Scoring_Average_AVG,Scoring_Average_TOTAL STROKES,Scoring_Average_TOTAL ADJUSTMENT,Scoring_Average_TOTAL ROUNDS
0,1,1,Tiger Woods,55,68.115,3574,- 32.040,52
1,2,2,Jim Furyk,89,68.865,6112,- 51.924,88
2,3,3,Adam Scott,70,68.946,4761,- 72.696,68
3,4,4,Luke Donald,66,69.166,4414,- 56.571,63
4,5,5,Steve Stricker,64,69.372,4312,- 10.953,62
5,6,6,Phil Mickelson,74,69.5,4835,- 39.478,69
6,7,7,Trevor Immelman,86,69.507,6014,- 36.440,86
7,8,8,Vijay Singh,103,69.619,7021,- 59.080,100
8,9,9,Stewart Cink,93,69.66,6186,- 55.938,88
9,10,10,Ernie Els,69,69.756,4520,- 55.628,64
10,11,11,Arron Oberholser,82,69.858,5559,- 40.221,79
11,12,12,Robert Allenby,79,69.99,5427,- 37.777,77
12,13,13,Brett Quigley,109,70.025,7383,- 30.425,105
13,14,14,David Toms,76,70.089,4869,- 32.875,69
14,15,15,José María Olazábal,62,70.183,4123,- 52.395,58
15,16,16,Jonathan Byrd,66,70.19,4618,14.550,66
16,17,17,Ian Poulter,53,70.208,3694,- 43.206,52
17,18,18,K.J. Choi,93,70.21300000000001,6500,- 40.385,92
18,19,19,Stuart Appleby,83,70.251,5528,- 48.460,78
19,20,20,Mike Weir,88,70.255,6015,- 43.316,85
20,21,21,Lucas Glover,105,70.263,7127,- 30.454,101
21,22,22,Retief Goosen,68,70.291,4259,- 41.544,60
22,23,23,Rory Sabbatini,84,70.292,5876,- 41.751,83
23,24,24,Geoff Ogilvy,76,70.295,4983,- 62.378,70
24,25,25,Tom Pernice Jr.,108,70.321,7348,- 34.649,104
25,26,26,Padraig Harrington,54,70.334,3546,- 29.286,50
26,27,27,Justin Rose,98,70.40100000000001,6683,5.053,95
27,28,28,Zach Johnson,98,70.42,6235,- 38.042,88
28,29,29,Stephen Ames,63,70.436,4389,- 21.969,62
29,30,30,Rod Pampling,89,70.443,5962,- 44.804,84
30,31,31,Vaughn Taylor,88,70.457,6236,- 35.763,88
31,32,32,John Senden,96,70.47800000000001,6557,- 2.568,93
32,33,33,Kenny Perry,73,70.485,5108,- 33.081,72
33,T34,T34,J.J. Henry,96,70.528,6588,- 28.936,93
34,T34,T34,Frank Lickliter II,99,70.528,6836,5.204,97
35,36,36,Brian Gay,107,70.529,7524,22.645,107
36,37,37,Fred Funk,106,70.556,7444,- 35.609,105
37,38,38,Jason Bohn,104,70.557,7365,- 27.058,104
38,39,39,Sergio Garcia,59,70.567,3930,- 48.815,55
39,T40,T40,Tim Clark,80,70.577,5612,- 36.391,79
40,T40,T40,Bo Van Pelt,102,70.577,7221,- 22.175,102
41,42,42,Briny Baird,81,70.579,5429,5.593,77
42,43,43,Chad Campbell,91,70.585,6168,- 27.133,87
43,44,44,Charley Hoffman,100,70.631,6921,.828,98
44,45,45,Shaun Micheel,96,70.63600000000001,6595,- 25.831,93
45,46,46,Jesper Parnevik,84,70.639,5934,- .301,84
46,47,47,Shigeki Maruyama,94,70.65100000000001,6506,- 6.145,92
47,48,48,Carl Pettersson,95,70.654,6632,- 61.175,93
48,T49,T49,Scott Verplank,88,70.67,6069,8.608,86
49,T49,T49,Dean Wilson,115,70.67,7849,- 4.600,111
50,51,51,Charles Warren,93,70.675,6362,- 1.256,90
51,52,52,Bob Estes,85,70.676,6008,- .567,85
52,53,53,Corey Pavin,74,70.683,4964,- 16.159,70
53,54,54,Hunter Mahan,98,70.684,6929,- 1.929,98
54,55,55,Brett Wetterich,82,70.725,5796,3.426,82
55,56,56,Richard Johnson,94,70.732,6660,- 11.171,94
56,57,57,Bart Bryant,87,70.745,6127,- 42.888,86
57,58,58,Camilo Villegas,95,70.749,6610,- 30.368,93
58,59,59,Billy Mayfair,94,70.762,6674,- 22.410,94
59,60,60,Joe Durant,101,70.773,7146,2.061,101
60,61,61,Ryuji Imada,105,70.781,7218,1.621,102
61,62,62,Davis Love III,85,70.785,5404,- 24.351,76
62,63,63,Chris DiMarco,83,70.78699999999999,5541,- 19.650,78
63,64,64,Fred Couples,52,70.789,3586,- 46.566,50
64,65,65,Tom Lehman,70,70.797,4296,- 48.207,60
65,66,66,Justin Leonard,83,70.807,5631,- 37.211,79
66,T67,T67,Daniel Chopra,110,70.834,7560,19.268,107
67,T67,T67,Ben Crane,85,70.834,5698,- 31.288,80
68,69,69,Steve Flesch,119,70.83800000000001,8141,5.332,115
69,70,70,Jeff Sluman,101,70.852,7164,- 7.953,101
70,71,71,Jerry Kelly,100,70.85300000000001,7080,5.266,100
71,72,72,Kevin Sutherland,100,70.855,6785,17.085,96
72,T73,T73,Nathan Green,108,70.87100000000001,7380,- 9.427,104
73,T73,T73,Joe Ogilvie,95,70.87100000000001,6446,3.290,91
74,75,75,Brandt Jobe,91,70.876,6266,- 28.878,88
75,76,76,David Howell,52,70.885,3225,- 35.155,45
76,77,77,Nick Watney,97,70.907,6728,8.153,95
77,T78,T78,Billy Andrade,78,70.922,5261,- 12.793,74
78,T78,T78,Freddie Jacobson,56,70.922,3994,- 22.358,56
79,80,80,Jeff Gove,91,70.925,6154,16.487,87
80,81,81,Stephen Leaney,84,70.932,5946,12.263,84
81,82,82,John Cook,67,70.935,4760,- 7.360,67
82,83,83,Charles Howell III,96,70.946,6646,- 48.056,93
83,84,84,Bubba Watson,83,70.977,5582,25.198,79
84,85,85,Greg Owen,79,70.98,5467,- 1.528,77
85,86,86,Woody Austin,107,70.983,7609,- 13.841,107
86,87,87,Dudley Hart,83,70.993,5899,- 6.618,83
87,88,88,Ryan Palmer,101,71.008,7024,5.772,99
88,89,89,Ryan Moore,68,71.01100000000001,4617,- 1.255,65
89,90,90,Harrison Frazar,95,71.012,6440,22.118,91
90,91,91,Kent Jones,103,71.033,7176,- 1.654,101
91,92,92,Heath Slocum,96,71.06,6607,1.564,93
92,93,93,Steve Lowery,99,71.072,6908,- 14.003,97
93,94,94,Steve Elkington,52,71.08800000000001,3614,11.465,51
94,95,95,Paul Azinger,87,71.09,6180,4.860,87
95,96,96,Omar Uresti,61,71.108,4178,17.358,59
96,97,97,Jeff Overton,95,71.109,6601,12.105,93
97,98,98,John Rollins,93,71.113,6472,- .734,91
98,T99,T99,Olin Browne,108,71.117,7420,- 23.850,104
99,T99,T99,Peter Lonard,77,71.117,5456,- 51.093,76
100,101,101,Bernhard Langer,77,71.126,5121,.038,72
101,102,102,Brent Geiberger,99,71.137,6883,17.270,97
102,103,103,Brian Davis,92,71.14,6400,2.580,90
103,104,104,Mark Wilson,79,71.141,5381,25.692,76
104,105,105,Craig Barlow,77,71.171,5199,- 3.497,73
105,106,106,Daisuke Maruyama,83,71.178,5610,13.073,79
106,107,107,Bob May,65,71.185,4390,23.471,62
107,108,108,Ben Curtis,86,71.192,6157,- 34.529,86
108,109,109,Aaron Baddeley,78,71.197,5427,- 16.039,76
109,110,110,Duffy Waldorf,96,71.203,6535,15.646,92
110,111,111,Bill Haas,99,71.21600000000001,6812,24.761,96
111,112,112,J.B. Holmes,81,71.22399999999999,5501,- 16.767,77
112,113,113,Ted Purdy,103,71.227,7221,- 27.113,101
113,114,114,Marco Dawson,87,71.23,6178,19.036,87
114,115,115,David Branshaw,98,71.237,6937,44.209,98
115,116,116,Sean O'Hair,100,71.238,7019,- 37.700,98
116,117,117,Mathew Goggin,72,71.243,5010,- 23.013,70
117,118,118,Skip Kendall,72,71.251,5119,11.090,72
118,119,119,Tim Herron,82,71.26899999999999,5808,- 35.231,81
119,120,120,Mathias Grönberg,92,71.27,6325,18.069,89
120,121,121,Jerry Smith,94,71.27600000000001,6523,34.358,92
121,122,122,Eric Axley,91,71.286,6322,22.481,89
122,123,123,Will MacKenzie,91,71.332,6260,17.209,88
123,124,124,Michael Allen,84,71.333,5969,22.943,84
124,125,125,Troy Matteson,101,71.335,7192,12.854,101
125,126,126,Jeff Maggert,81,71.339,5804,- 25.559,81
126,127,127,Tommy Armour III,65,71.343,4646,- 8.695,65
127,128,128,Jonathan Kaye,95,71.347,6555,8.950,92
128,129,129,Alex Cejka,93,71.36,6458,35.734,91
129,130,130,Pat Perez,50,71.362,3581,- 12.917,50
130,131,131,Kris Cox,83,71.374,5763,18.322,81
131,132,132,John Huston,74,71.403,5136,5.042,72
132,133,133,Paul Stankowski,70,71.404,5003,- 4.730,70
133,134,134,Joey Sindelar,90,71.42,6444,- 16.215,90
134,135,135,Shane Bertsch,104,71.421,7272,12.990,102
135,136,136,Robert Gamez,94,71.43,6722,- 7.574,94
136,137,137,Paul Goydos,72,71.443,5129,14.890,72
137,138,138,D.J. Trahan,92,71.459,6433,- 1.678,90
138,139,139,Rich Beem,85,71.468,5938,- 6.141,83
