,Final_Round_Scoring_Average_RANK THIS WEEK,Final_Round_Scoring_Average_RANK LAST WEEK,Final_Round_Scoring_Average_PLAYER NAME,Final_Round_Scoring_Average_AVG,Final_Round_Scoring_Average_TOTAL STROKES,Final_Round_Scoring_Average_TOTAL ROUNDS
0,1,,Tiger Woods,68.75,825,12
1,2,,Steve Stricker,69.27,1039,15
2,3,,Omar Uresti,69.5,556,8
3,4,,Jim Furyk,69.71,1464,21
4,5,,Stewart Cink,69.8,1396,20
5,6,,Brett Quigley,69.95,1399,20
6,7,,Eric Axley,70.0,1120,16
7,T8,,Paul Azinger,70.06,1121,16
8,T8,,Kent Jones,70.06,1261,18
9,T10,,Luke Donald,70.13,1052,15
10,T10,,Adam Scott,70.13,1122,16
11,12,,Bob May,70.18,772,11
12,13,,Frank Lickliter II,70.21,1334,19
13,14,,Brett Wetterich,70.25,1124,16
14,15,,Brian Gay,70.27,1546,22
15,16,,Shigeki Maruyama,70.28,1265,18
16,T17,,Ryuji Imada,70.29,1476,21
17,T17,,Jesper Parnevik,70.29,1195,17
18,19,,Tom Pernice Jr.,70.32,1336,19
19,T20,,Jonathan Byrd,70.33,844,12
20,T20,,Billy Mayfair,70.33,1266,18
21,T20,,Jimmy Walker,70.33,633,9
22,23,,Vaughn Taylor,70.39,1267,18
23,24,,Joe Ogilvie,70.41,1197,17
24,T25,,Jeff Gove,70.47,1057,15
25,T25,,Dudley Hart,70.47,1057,15
26,T25,,Trevor Immelman,70.47,1339,19
27,28,,Hunter Mahan,70.48,1480,21
28,T29,,Greg Chalmers,70.5,423,6
29,T29,,Brian Davis,70.5,1269,18
30,T29,,Stephen Leaney,70.5,987,14
31,32,,Fred Funk,70.58,1694,24
32,33,,Briny Baird,70.6,1059,15
33,34,,José María Olazábal,70.62,918,13
34,35,,Tjaart van der Walt,70.63,565,8
35,36,,Bubba Watson,70.64,989,14
36,T37,,Stephen Ames,70.67,848,12
37,T37,,Michael Connell,70.67,212,3
38,T37,,Mathew Goggin,70.67,636,9
39,T37,,David Toms,70.67,1060,15
40,41,,Vijay Singh,70.71,1697,24
41,42,,Stuart Appleby,70.72,1273,18
42,43,,Jeff Brehaut,70.73,1061,15
43,44,,K.J. Choi,70.76,1486,21
44,45,,J.J. Henry,70.78,1274,18
45,46,,Kenny Perry,70.8,1062,15
46,47,,Lucas Glover,70.81,1487,21
47,48,,Heath Slocum,70.82,1204,17
48,T49,,Ian Poulter,70.83,850,12
49,T49,,John Rollins,70.83,1275,18
50,51,,Carl Pettersson,70.84,1346,19
51,T52,,Tommy Armour III,70.89,638,9
52,T52,,Bill Haas,70.89,1276,18
53,54,,Retief Goosen,70.93,993,14
54,T55,,Shaun Micheel,70.94,1277,18
55,T55,,Patrick Sheehan,70.94,1135,16
56,T57,,Jason Bohn,71.0,1633,23
57,T57,,Padraig Harrington,71.0,781,11
58,T57,,Daisuke Maruyama,71.0,1065,15
59,60,,John Senden,71.05,1350,19
60,T61,,Jerry Kelly,71.06,1279,18
61,T61,,Duffy Waldorf,71.06,1279,18
62,63,,Ron Whittaker,71.08,924,13
63,T64,,David Branshaw,71.1,1422,20
64,T64,,Jeff Sluman,71.1,1493,21
65,T66,,Brian Bateman,71.11,640,9
66,T66,,Brent Geiberger,71.11,1351,19
67,T66,,Arron Oberholser,71.11,1280,18
68,T66,,Charles Warren,71.11,1351,19
69,70,,Richard Johnson,71.12,1209,17
70,T71,,Aaron Baddeley,71.14,996,14
71,T71,,Skip Kendall,71.14,996,14
72,73,,Ted Purdy,71.18,1210,17
73,74,,Steve Elkington,71.22,641,9
74,75,,D.J. Trahan,71.23,926,13
75,76,,Joey Sindelar,71.27,1069,15
76,T77,,Steve Lowery,71.32,1355,19
77,T77,,Dean Wilson,71.32,1569,22
78,T79,,Tim Petrovic,71.33,1070,15
79,T79,,Mike Sposa,71.33,642,9
80,81,,Paul Goydos,71.36,785,11
81,82,,Jeff Overton,71.37,1356,19
82,T83,,Alex Cejka,71.38,1142,16
83,T83,,Davis Love III,71.38,1142,16
84,85,,Bubba Dickerson,71.39,1285,18
85,T86,,Chris Couch,71.4,714,10
86,T86,,Justin Leonard,71.4,1071,15
87,T88,,Corey Pavin,71.42,857,12
88,T88,,Scott Verplank,71.42,1357,19
89,T88,,Nick Watney,71.42,1357,19
90,91,,J.L. Lewis,71.45,786,11
91,T92,,Robert Allenby,71.47,1215,17
92,T92,,Henrik Bjornstad,71.47,1215,17
93,T92,,Chad Campbell,71.47,1358,19
94,T92,,Phil Mickelson,71.47,1215,17
95,T92,,Rod Pampling,71.47,1358,19
96,97,,Charley Hoffman,71.48,1501,21
97,98,,J.P. Hayes,71.5,572,8
98,T99,,Harrison Frazar,71.53,1216,17
99,T99,,Will MacKenzie,71.53,1073,15
100,101,,Camilo Villegas,71.56,1288,18
101,102,,Scott Gutschewski,71.57,501,7
102,103,,Joe Durant,71.59,1575,22
103,104,,Bernhard Langer,71.62,931,13
104,105,,Ben Curtis,71.65,1218,17
105,T106,,Arjun Atwal,71.67,1075,15
106,T106,,Chris DiMarco,71.67,1075,15
107,T106,,Matt Hansen,71.67,645,9
108,T106,,Len Mattiace,71.67,430,6
109,T110,,Brad Faxon,71.69,932,13
110,T110,,Carlos Franco,71.69,932,13
111,112,,Ryan Palmer,71.7,1434,20
112,T113,,Michael Allen,71.71,1219,17
113,T113,,Bob Tway,71.71,1004,14
114,115,,Zach Johnson,71.74,1363,19
115,T116,,Larry Mize,71.75,574,8
116,T116,,D.A. Points,71.75,861,12
117,118,,Steve Flesch,71.76,1794,25
118,T119,,Bart Bryant,71.78,1292,18
119,T119,,Rory Sabbatini,71.78,1292,18
120,T121,,Marco Dawson,71.81,1149,16
121,T121,,Geoff Ogilvy,71.81,1149,16
122,T123,,John Cook,71.82,790,11
123,T123,,Lee Janzen,71.82,790,11
124,125,,Troy Matteson,71.83,1293,18
125,126,,Billy Andrade,71.86,1006,14
126,127,,Mathias Grönberg,71.87,1078,15
127,128,,Jerry Smith,71.88,1222,17
128,129,,Charles Howell III,71.89,1366,19
129,130,,Justin Rose,71.9,1438,20
130,131,,Nathan Green,71.91,1654,23
131,T132,,Kris Cox,71.92,863,12
132,T132,,John Huston,71.92,863,12
133,T132,,Ryan Moore,71.92,863,12
134,T135,,Ben Crane,71.94,1223,17
135,T135,,Bob Estes,71.94,1223,17
136,T135,,Jonathan Kaye,71.94,1151,16
137,T138,,Tim Clark,72.0,1296,18
138,T138,,Jason Gore,72.0,1008,14
139,T138,,Tom Lehman,72.0,864,12
140,T138,,Kevin Sutherland,72.0,1368,19
141,T142,,Ernie Els,72.06,1153,16
142,T142,,Brandt Jobe,72.06,1225,17
143,144,,Greg Owen,72.07,1081,15
144,T145,,Woody Austin,72.09,1586,22
145,T145,,David Duval,72.09,793,11
146,T147,,Danny Ellis,72.1,721,10
147,T147,,Freddie Jacobson,72.1,721,10
148,149,,Robert Garrigus,72.13,1082,15
149,150,,Todd Fischer,72.19,1155,16
150,151,,J.B. Holmes,72.2,1083,15
151,152,,Robert Damron,72.23,939,13
152,153,,Robert Gamez,72.25,1156,16
153,154,,Sean O'Hair,72.26,1373,19
154,T155,,Craig Barlow,72.27,1084,15
155,T155,,Chris Riley,72.27,1084,15
156,157,,Daniel Chopra,72.29,1518,21
157,158,,Paul Stankowski,72.31,940,13
158,T159,,Greg Kraft,72.33,868,12
159,T159,,David McKenzie,72.33,868,12
160,T159,,Roger Tambellini,72.33,434,6
161,162,,Todd Hamilton,72.38,579,8
162,163,,Vance Veazey,72.4,724,10
163,T164,,"John Engler, Jr.",72.43,507,7
164,T164,,Bo Van Pelt,72.43,1666,23
165,T166,,Doug Barron,72.5,725,10
166,T166,,Jason Schultz,72.5,725,10
167,T166,,Chris Smith,72.5,870,12
168,169,,Mike Weir,72.53,1378,19
169,170,,Thomas Levet,72.56,653,9
170,T171,,David Howell,72.6,726,10
171,T171,,Mark Wilson,72.6,1089,15
172,173,,Olin Browne,72.68,1599,22
