,Birdie_or_Better_Percentage_-_Right_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Right_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Right_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Right_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Right_Rough_%,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL HOLES
0,1,1,Robert Allenby,79,25.56,23,90
1,2,2,Vaughn Taylor,88,23.77,29,122
2,3,3,John Senden,96,21.64,29,134
3,4,4,Retief Goosen,68,21.62,16,74
4,5,5,Stephen Ames,63,21.13,15,71
5,6,6,Briny Baird,81,21.05,20,95
6,7,7,Bob Estes,85,20.42,29,142
7,8,8,Chris DiMarco,83,20.37,22,108
8,9,9,Mark Calcavecchia,94,20.13,30,149
9,T10,T10,Kris Cox,83,20.0,28,140
10,T10,T10,Vijay Singh,103,20.0,33,165
11,12,12,Padraig Harrington,54,19.64,11,56
12,13,13,Duffy Waldorf,96,19.53,25,128
13,14,14,Robert Garrigus,85,18.99,30,158
14,15,15,Jonathan Byrd,66,18.95,18,95
15,16,16,Ryan Moore,68,18.89,17,90
16,17,17,Mark Wilson,79,18.81,19,101
17,18,18,Bo Van Pelt,102,18.75,33,176
18,19,19,Billy Mayfair,94,18.64,22,118
19,20,20,Trevor Immelman,86,18.63,30,161
20,21,21,Chris Couch,75,18.57,26,140
21,22,22,Shaun Micheel,96,18.47,29,157
22,23,23,Jeff Gove,91,18.4,23,125
23,24,24,Todd Fischer,101,18.3,28,153
24,25,25,David Toms,76,18.27,19,104
25,26,26,Fred Couples,52,18.18,14,77
26,27,27,Tag Ridings,103,18.13,35,193
27,28,28,Danny Ellis,68,17.95,21,117
28,29,29,J.P. Hayes,55,17.86,15,84
29,30,30,Daniel Chopra,110,17.74,33,186
30,31,31,Steve Lowery,99,17.73,25,141
31,T32,T32,Stuart Appleby,83,17.65,24,136
32,T32,T32,Brent Geiberger,99,17.65,24,136
33,T32,T32,Mike Weir,88,17.65,18,102
34,35,35,Sean O'Hair,100,17.5,21,120
35,36,36,Matt Hansen,68,17.48,18,103
36,37,37,Tiger Woods,55,17.39,12,69
37,38,38,Jeff Brehaut,100,17.33,26,150
38,39,39,Kirk Triplett,58,17.24,10,58
39,40,40,Justin Rose,98,17.21,21,122
40,T41,T41,Joe Durant,101,17.14,18,105
41,T41,T41,Steve Elkington,52,17.14,12,70
42,T41,T41,Ian Poulter,53,17.14,12,70
43,T44,T44,Eric Axley,91,17.09,20,117
44,T44,T44,James Driscoll,80,17.09,34,199
45,T46,T46,Fred Funk,106,17.07,14,82
46,T46,T46,Roger Tambellini,64,17.07,21,123
47,48,48,J.J. Henry,96,16.9,24,142
48,49,49,Lucas Glover,105,16.8,21,125
49,50,50,Jeff Sluman,101,16.78,24,143
50,T51,T51,Ben Crane,85,16.67,16,96
51,T51,T51,Greg Owen,79,16.67,16,96
52,53,53,Alex Aragon,63,16.53,20,121
53,54,54,Justin Leonard,83,16.49,16,97
54,55,55,Ernie Els,69,16.48,15,91
55,56,56,Nathan Green,108,16.33,24,147
56,57,57,Tim Petrovic,95,16.23,25,154
57,58,58,Michael Allen,84,16.22,24,148
58,59,59,Stewart Cink,93,16.2,23,142
59,T60,T60,Sergio Garcia,59,16.13,10,62
60,T60,T60,Phil Mickelson,74,16.13,15,93
61,62,62,Arron Oberholser,82,16.1,19,118
62,63,63,Dudley Hart,83,16.08,23,143
63,64,64,Heath Slocum,96,16.07,18,112
64,65,65,Jimmy Walker,60,16.0,20,125
65,66,66,Brian Bateman,69,15.89,17,107
66,T67,T67,Craig Barlow,77,15.83,19,120
67,T67,T67,Jason Gore,86,15.83,22,139
68,69,69,Doug Barron,74,15.79,15,95
69,70,70,John Daly,51,15.66,13,83
70,71,71,Charley Hoffman,100,15.58,31,199
71,72,72,Brett Quigley,109,15.56,28,180
72,T73,T73,Tom Lehman,70,15.48,13,84
73,T73,T73,Daisuke Maruyama,83,15.48,13,84
