,Scoring_Average_Actual_RANK THIS WEEK,Scoring_Average_Actual_RANK LAST WEEK,Scoring_Average_Actual_PLAYER NAME,Scoring_Average_Actual_ROUNDS,Scoring_Average_Actual_AVG,Scoring_Average_Actual_TOTAL STROKES,Scoring_Average_Actual_TOTAL ROUNDS
0,1,1,Tiger Woods,55,68.73,3574,52
1,2,2,Jim Furyk,89,69.45,6112,88
2,3,3,Steve Stricker,64,69.55,4312,62
3,4,4,Trevor Immelman,86,69.93,6014,86
4,5,5,Jonathan Byrd,66,69.97,4618,66
5,6,6,Adam Scott,70,70.01,4761,68
6,7,7,Luke Donald,66,70.06,4414,63
7,8,8,Phil Mickelson,74,70.07,4835,69
8,9,9,Vijay Singh,103,70.21,7021,100
9,10,10,Stewart Cink,93,70.3,6186,88
10,11,11,Brett Quigley,109,70.31,7383,105
11,12,12,Brian Gay,107,70.32,7524,107
12,13,13,Justin Rose,98,70.35,6683,95
13,14,14,Arron Oberholser,82,70.37,5559,79
14,15,15,Frank Lickliter II,99,70.47,6836,97
15,16,16,Robert Allenby,79,70.48,5427,77
16,T17,T17,Briny Baird,81,70.51,5429,77
17,T17,T17,John Senden,96,70.51,6557,93
18,19,19,Lucas Glover,105,70.56,7127,101
19,T20,T20,David Toms,76,70.57,4869,69
20,T20,T20,Scott Verplank,88,70.57,6069,86
21,22,22,Charley Hoffman,100,70.62,6921,98
22,23,23,Ernie Els,69,70.63,4520,64
23,24,24,Jesper Parnevik,84,70.64,5934,84
24,T25,T25,K.J. Choi,93,70.65,6500,92
25,T25,T25,Daniel Chopra,110,70.65,7560,107
26,T25,T25,Tom Pernice Jr.,108,70.65,7348,104
27,28,28,Bubba Watson,83,70.66,5582,79
28,T29,T29,Bob Estes,85,70.68,6008,85
29,T29,T29,Kevin Sutherland,100,70.68,6785,96
30,T29,T29,Brett Wetterich,82,70.68,5796,82
31,32,32,Charles Warren,93,70.69,6362,90
32,33,33,Hunter Mahan,98,70.7,6929,98
33,34,34,Dean Wilson,115,70.71,7849,111
34,35,35,Shigeki Maruyama,94,70.72,6506,92
