,Tenth_Tee_Early_Round_2_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Round_2_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Round_2_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Round_2_Scoring_Average_AVG,Tenth_Tee_Early_Round_2_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,Mike Weir,67.33,202,3
1,2,2,J.B. Holmes,67.75,271,4
2,T3,T3,Michael Allen,68.0,204,3
3,T3,T3,Luke Donald,68.0,340,5
4,5,5,Brandt Jobe,68.14,477,7
5,T6,T6,Stewart Cink,68.25,273,4
6,T6,T6,Phil Mickelson,68.25,273,4
7,8,8,Chris Riley,68.33,205,3
8,9,9,Ryan Moore,68.4,342,5
9,10,10,Tiger Woods,68.43,479,7
10,T11,T11,David Branshaw,68.5,274,4
11,T11,T11,Jim Furyk,68.5,411,6
12,T11,T11,Trevor Immelman,68.5,274,4
13,14,14,Joe Durant,68.57,480,7
14,15,15,Briny Baird,68.67,412,6
15,16,16,Fred Funk,68.75,275,4
16,17,17,Ernie Els,68.8,344,5
17,18,18,Brian Gay,68.89,620,9
18,T19,T19,Jonathan Byrd,69.0,345,5
19,T19,T19,Bob Estes,69.0,276,4
20,T19,T19,Shaun Micheel,69.0,483,7
21,T19,T19,Steve Stricker,69.0,552,8
22,T19,T19,Vance Veazey,69.0,207,3
23,24,24,Robert Allenby,69.2,346,5
24,T25,T25,Charley Hoffman,69.25,554,8
25,T25,T25,Adam Scott,69.25,277,4
26,27,27,Dudley Hart,69.3,693,10
27,T28,T28,Aaron Baddeley,69.33,208,3
28,T28,T28,Vaughn Taylor,69.33,208,3
29,T30,T30,Craig Barlow,69.4,347,5
30,T30,T30,K.J. Choi,69.4,347,5
31,T30,T30,Mathias Grönberg,69.4,347,5
32,T30,T30,Arron Oberholser,69.4,347,5
33,T34,T34,Sergio Garcia,69.5,139,2
34,T34,T34,Zach Johnson,69.5,139,2
35,T34,T34,Kevin Sutherland,69.5,278,4
36,T37,T37,Mathew Goggin,69.57,487,7
37,T37,T37,Duffy Waldorf,69.57,487,7
38,39,39,Stuart Appleby,69.6,348,5
39,40,40,Frank Lickliter II,69.63,557,8
40,T41,T41,Jason Bohn,69.67,209,3
41,T41,T41,Rod Pampling,69.67,418,6
42,43,43,Vijay Singh,69.78,628,9
43,44,44,Ben Crane,69.83,419,6
44,T45,T45,Arjun Atwal,70.0,350,5
45,T45,T45,Nathan Green,70.0,630,9
46,T45,T45,Matt Hansen,70.0,280,4
47,T45,T45,Padraig Harrington,70.0,210,3
48,T45,T45,Davis Love III,70.0,280,4
49,T45,T45,Brett Quigley,70.0,560,8
50,T45,T45,Kirk Triplett,70.0,280,4
51,T45,T45,Omar Uresti,70.0,140,2
52,T45,T45,Tjaart van der Walt,70.0,210,3
53,T45,T45,Ron Whittaker,70.0,210,3
54,T45,T45,Mark Wilson,70.0,350,5
55,56,56,Steve Flesch,70.11,631,9
56,57,57,Nicholas Thompson,70.13,561,8
57,58,58,Robert Garrigus,70.14,491,7
58,T59,T59,Woody Austin,70.17,421,6
59,T59,T59,John Cook,70.17,421,6
60,T59,T59,Larry Mize,70.17,421,6
61,T62,T62,Kent Jones,70.2,351,5
62,T62,T62,Daisuke Maruyama,70.2,351,5
63,T62,T62,Rory Sabbatini,70.2,351,5
64,T65,T65,J.P. Hayes,70.25,281,4
65,T65,T65,Ryan Palmer,70.25,281,4
66,T67,T67,Greg Owen,70.29,492,7
67,T67,T67,Justin Rose,70.29,492,7
68,69,69,Shigeki Maruyama,70.33,633,9
69,70,70,Jerry Smith,70.38,563,8
70,71,71,John Rollins,70.43,493,7
71,T72,T72,Olin Browne,70.5,282,4
72,T72,T72,Daniel Chopra,70.5,705,10
73,T72,T72,Todd Fischer,70.5,423,6
74,T72,T72,Ryuji Imada,70.5,423,6
75,T72,T72,Corey Pavin,70.5,564,8
76,T72,T72,Ian Poulter,70.5,141,2
77,T72,T72,John Senden,70.5,282,4
78,T72,T72,Jeff Sluman,70.5,423,6
79,T72,T72,Bubba Watson,70.5,282,4
80,81,81,Sean O'Hair,70.57,494,7
81,82,82,Tom Pernice Jr.,70.6,706,10
82,83,83,Marco Dawson,70.7,707,10
83,84,84,Harrison Frazar,70.71,495,7
84,85,85,Scott Verplank,70.75,283,4
85,T86,T86,D.A. Points,70.78,637,9
86,T86,T86,Paul Stankowski,70.78,637,9
87,88,88,J.J. Henry,70.8,354,5
88,T89,T89,Ben Curtis,70.83,425,6
89,T89,T89,Jerry Kelly,70.83,425,6
90,T89,T89,Tom Lehman,70.83,425,6
91,T89,T89,Jimmy Walker,70.83,425,6
92,T89,T89,Charles Warren,70.83,425,6
93,94,94,Hunter Mahan,70.86,496,7
94,95,95,Doug Barron,70.88,567,8
