,Tenth_Tee_Late_Lowest_Round_RANK THIS WEEK,Tenth_Tee_Late_Lowest_Round_RANK LAST WEEK,Tenth_Tee_Late_Lowest_Round_PLAYER NAME,Tenth_Tee_Late_Lowest_Round_ROUNDS,Tenth_Tee_Late_Lowest_Round_LOW RND
0,1,1,Freddie Jacobson,56,62
1,T2,T2,Woody Austin,107,63
2,T2,T2,Mark Calcavecchia,94,63
3,T2,T2,Chad Campbell,91,63
4,T2,T2,Paul Goydos,72,63
5,T2,T2,Will MacKenzie,91,63
6,T2,T2,Billy Mayfair,94,63
7,T2,T2,Rod Pampling,89,63
8,T2,T2,John Senden,96,63
9,T10,T10,Arjun Atwal,97,64
10,T10,T10,Eric Axley,91,64
11,T10,T10,Doug Barron,74,64
12,T10,T10,Henrik Bjornstad,97,64
13,T10,T10,Bob Estes,85,64
14,T10,T10,Robert Garrigus,85,64
15,T10,T10,Brian Gay,107,64
16,T10,T10,Nathan Green,108,64
17,T10,T10,Mathias Grönberg,92,64
18,T10,T10,Brian Henninger,39,64
19,T10,T10,Brandt Jobe,91,64
20,T10,T10,Robert Karlsson,20,64
21,T10,T10,Frank Lickliter II,99,64
22,T10,T10,Shigeki Maruyama,94,64
23,T10,T10,Troy Matteson,101,64
24,T10,T10,Graeme McDowell,44,64
25,T10,T10,Corey Pavin,74,64
26,T10,T10,Ian Poulter,53,64
27,T10,T10,Justin Rose,98,64
28,T10,T10,Patrick Sheehan,104,64
29,T10,T10,Darron Stiles,44,64
30,T10,T10,Omar Uresti,61,64
31,T10,T10,Nick Watney,97,64
32,T33,T33,Stephen Ames,63,65
33,T33,T33,Rich Beem,85,65
34,T33,T33,Shane Bertsch,104,65
35,T33,T33,Jason Bohn,104,65
36,T33,T33,Jeff Brehaut,100,65
37,T33,T33,Daniel Chopra,110,65
38,T33,T33,Kris Cox,83,65
39,T33,T33,Ben Crane,85,65
40,T33,T33,Ben Curtis,86,65
41,T33,T33,Joe Durant,101,65
42,T33,T33,Ernie Els,69,65
43,T33,T33,Steve Flesch,119,65
44,T33,T33,Jim Furyk,89,65
45,T33,T33,Jay Haas,25,65
46,T33,T33,J.J. Henry,96,65
47,T33,T33,Charley Hoffman,100,65
48,T33,T33,J.B. Holmes,81,65
49,T33,T33,John Huston,74,65
50,T33,T33,Zach Johnson,98,65
51,T33,T33,Kent Jones,103,65
52,T33,T33,Thomas Levet,53,65
53,T33,T33,Davis Love III,85,65
54,T33,T33,Hunter Mahan,98,65
55,T33,T33,Bob May,65,65
56,T33,T33,Shaun Micheel,96,65
57,T33,T33,Phil Mickelson,74,65
58,T33,T33,Joe Ogilvie,95,65
59,T33,T33,Jeff Overton,95,65
60,T33,T33,Ryan Palmer,101,65
61,T33,T33,Jesper Parnevik,84,65
62,T33,T33,D.A. Points,82,65
63,T33,T33,Ted Purdy,103,65
64,T33,T33,John Riegger,49,65
65,T33,T33,Chris Riley,86,65
66,T33,T33,Joey Sindelar,90,65
67,T33,T33,Jeff Sluman,101,65
68,T33,T33,Mike Small,27,65
69,T33,T33,Kevin Sutherland,100,65
70,T33,T33,Bo Van Pelt,102,65
71,T33,T33,Bubba Watson,83,65
72,T33,T33,Brett Wetterich,82,65
73,T74,T74,Robert Allenby,79,66
74,T74,T74,Stuart Appleby,83,66
75,T74,T74,Tommy Armour III,65,66
76,T74,T74,Aaron Baddeley,78,66
77,T74,T74,Mark Brooks,90,66
78,T74,T74,Olin Browne,108,66
79,T74,T74,Bart Bryant,87,66
80,T74,T74,Alex Cejka,93,66
81,T74,T74,K.J. Choi,93,66
82,T74,T74,Tim Clark,80,66
83,T74,T74,John Cook,67,66
84,T74,T74,Robert Damron,91,66
85,T74,T74,Marco Dawson,87,66
86,T74,T74,Stuart Deane,4,66
87,T74,T74,Brent Delahoussaye,4,66
88,T74,T74,Jay Delsing,39,66
89,T74,T74,David Duval,71,66
90,T74,T74,Steve Elkington,52,66
91,T74,T74,Todd Fischer,101,66
92,T74,T74,Harrison Frazar,95,66
93,T74,T74,Fred Funk,106,66
94,T74,T74,Bill Glasson,47,66
95,T74,T74,Lucas Glover,105,66
96,T74,T74,Jason Gore,86,66
97,T74,T74,Matt Hansen,68,66
98,T74,T74,Padraig Harrington,54,66
99,T74,T74,Tim Herron,82,66
100,T74,T74,Lee Janzen,79,66
101,T74,T74,Jerry Kelly,100,66
102,T74,T74,Skip Kendall,72,66
103,T74,T74,Greg Kraft,79,66
104,T74,T74,Stephen Leaney,84,66
105,T74,T74,Ian Leggatt,80,66
106,T74,T74,Justin Leonard,83,66
107,T74,T74,Peter Lonard,77,66
108,T74,T74,Steve Lowery,99,66
109,T74,T74,Daisuke Maruyama,83,66
110,T74,T74,David McKenzie,82,66
111,T74,T74,Spike McRoy,20,66
112,T74,T74,Arron Oberholser,82,66
113,T74,T74,Geoff Ogilvy,76,66
114,T74,T74,Tom Pernice Jr.,108,66
115,T74,T74,Kenny Perry,73,66
116,T74,T74,Jyoti Randhawa,6,66
117,T74,T74,Rory Sabbatini,84,66
118,T74,T74,Jason Schultz,77,66
119,T74,T74,Vaughn Taylor,88,66
120,T74,T74,David Toms,76,66
121,T74,T74,Bob Tway,81,66
122,T74,T74,Camilo Villegas,95,66
123,T74,T74,Duffy Waldorf,96,66
124,T74,T74,Charles Warren,93,66
125,T74,T74,Ron Whittaker,81,66
126,T74,T74,Jay Williamson,48,66
127,T74,T74,Garrett Willis,27,66
128,T74,T74,Dean Wilson,115,66
129,T130,T130,Jason Allred,6,67
130,T130,T130,Billy Andrade,78,67
131,T130,T130,Briny Baird,81,67
132,T130,T130,Brian Bateman,69,67
133,T130,T130,Cameron Beckman,48,67
134,T130,T130,John Bickerton,14,67
135,T130,T130,David Branshaw,98,67
136,T130,T130,Tom Byrum,28,67
137,T130,T130,Stewart Cink,93,67
138,T130,T130,José Coceres,38,67
139,T130,T130,Fred Couples,52,67
140,T130,T130,John Daly,51,67
141,T130,T130,James Driscoll,80,67
142,T130,T130,Simon Dyson,8,67
143,T130,T130,Danny Ellis,68,67
144,T130,T130,"John Engler, Jr.",69,67
145,T130,T130,Matt Every,8,67
146,T130,T130,David Frost,23,67
147,T130,T130,Robert Gamez,94,67
148,T130,T130,Brent Geiberger,99,67
149,T130,T130,Mathew Goggin,72,67
150,T130,T130,Jeff Gove,91,67
151,T130,T130,Scott Gutschewski,53,67
152,T130,T130,Bill Haas,99,67
153,T130,T130,Gary Hallberg,12,67
154,T130,T130,Todd Hamilton,72,67
155,T130,T130,J.P. Hayes,55,67
156,T130,T130,Ryan Hietala,61,67
157,T130,T130,David Howell,52,67
158,T130,T130,Ryuji Imada,105,67
159,T130,T130,Trevor Immelman,86,67
160,T130,T130,Richard Johnson,94,67
161,T130,T130,Jonathan Kaye,95,67
162,T130,T130,Anthony Kim,8,67
163,T130,T130,Neal Lancaster,44,67
164,T130,T130,Tom Lehman,70,67
165,T130,T130,Jeff Maggert,81,67
166,T130,T130,Sean O'Hair,100,67
167,T130,T130,José María Olazábal,62,67
168,T130,T130,Greg Owen,79,67
169,T130,T130,Tag Ridings,103,67
170,T130,T130,John Rollins,93,67
171,T130,T130,Heath Slocum,96,67
172,T130,T130,Joey Snyder III,14,67
173,T130,T130,Steve Stricker,64,67
174,T130,T130,D.J. Trahan,92,67
175,T130,T130,Kirk Triplett,58,67
176,T130,T130,Vance Veazey,59,67
177,T130,T130,Grant Waite,21,67
178,T130,T130,Jimmy Walker,60,67
179,T130,T130,Mike Weir,88,67
180,T130,T130,Don Yrene,8,67
181,T182,T182,Michael Allen,84,68
182,T182,T182,Paul Azinger,87,68
183,T182,T182,Craig Barlow,77,68
184,T182,T182,Ricky Barnes,7,68
185,T182,T182,Michael Bradley,15,68
186,T182,T182,Jonathan Byrd,66,68
187,T182,T182,Greg Chalmers,71,68
188,T182,T182,Michael Connell,51,68
189,T182,T182,Chris Couch,75,68
190,T182,T182,Brian Davis,92,68
191,T182,T182,Glen Day,30,68
192,T182,T182,Jason Day,23,68
193,T182,T182,Bubba Dickerson,98,68
194,T182,T182,Chris DiMarco,83,68
195,T182,T182,Johan Edfors,12,68
196,T182,T182,John Ellis,3,68
197,T182,T182,Nick Faldo,13,68
198,T182,T182,Brad Faxon,78,68
199,T182,T182,Dan Forsman,43,68
200,T182,T182,Matt Gogel,36,68
201,T182,T182,David Gossett,19,68
202,T182,T182,Donnie Hammond,33,68
203,T182,T182,Dudley Hart,83,68
204,T182,T182,Gabriel Hjertstedt,46,68
205,T182,T182,Matt Kuchar,21,68
206,T182,T182,Bernhard Langer,77,68
207,T182,T182,Andrew Magee,49,68
208,T182,T182,Len Mattiace,59,68
209,T182,T182,Blaine McCallister,29,68
210,T182,T182,Scott McCarron,47,68
211,T182,T182,Jon Mills,68,68
212,T182,T182,Larry Mize,53,68
213,T182,T182,John Morgan,2,68
214,T182,T182,Jin Park,4,68
215,T182,T182,Tim Petrovic,95,68
216,T182,T182,Carl Pettersson,95,68
217,T182,T182,Scott Piercy,20,68
218,T182,T182,"Wes Short, Jr.",96,68
219,T182,T182,Vijay Singh,103,68
220,T182,T182,Chris Smith,67,68
221,T182,T182,Jerry Smith,94,68
222,T182,T182,B.J. Staten,49,68
223,T182,T182,Henrik Stenson,34,68
224,T182,T182,Boyd Summerhays,31,68
225,T182,T182,Hidemichi Tanaka,74,68
226,T182,T182,Phil Tataurangi,46,68
227,T182,T182,Mark Wilson,79,68
228,T229,T229,Notah Begay III,31,69
229,T229,T229,Bob Burns,23,69
230,T229,T229,Ken Duke,8,69
231,T229,T229,Gonzalo Fernandez-Castaño,14,69
232,T229,T229,Carlos Franco,86,69
233,T229,T229,"Jim Gallagher, Jr.",10,69
234,T229,T229,Sergio Garcia,59,69
235,T229,T229,Retief Goosen,68,69
236,T229,T229,Scott Harrington,4,69
237,T229,T229,David Hearn,4,69
238,T229,T229,Tetsuji Hiratsuka,4,69
239,T229,T229,Charles Howell III,96,69
240,T229,T229,Steve Jones,83,69
241,T229,T229,J.L. Lewis,57,69
242,T229,T229,Rocco Mediate,49,69
243,T229,T229,Yusaku Miyazato,6,69
244,T229,T229,Ryan Moore,68,69
245,T229,T229,Nick O'Hern,48,69
246,T229,T229,Mark O'Meara,52,69
247,T229,T229,Pat Perez,50,69
248,T229,T229,Rod Perry,4,69
249,T229,T229,Nick Price,43,69
250,T229,T229,Dicky Pride,30,69
251,T229,T229,Brett Quigley,109,69
252,T229,T229,Richard Scott,4,69
253,T229,T229,Jeev Milkha Singh,8,69
254,T229,T229,Sonny Skinner,4,69
255,T229,T229,Mike Sposa,68,69
