,Front_9_Round_4_Scoring_Average_RANK THIS WEEK,Front_9_Round_4_Scoring_Average_RANK LAST WEEK,Front_9_Round_4_Scoring_Average_PLAYER NAME,Front_9_Round_4_Scoring_Average_AVG,Front_9_Round_4_Scoring_Average_TOTAL STROKES,Front_9_Round_4_Scoring_Average_TOTAL ROUNDS
0,1,1,Steve Elkington,33.89,305,9
1,2,2,Omar Uresti,34.13,273,8
2,3,3,Eric Axley,34.19,547,16
3,T4,T4,Corey Pavin,34.33,412,12
4,T4,T4,Steve Stricker,34.33,515,15
5,T4,T4,Tiger Woods,34.33,412,12
6,7,7,Kent Jones,34.37,653,19
7,8,8,Vaughn Taylor,34.39,619,18
8,9,9,Tom Pernice Jr.,34.53,656,19
9,10,10,Jimmy Walker,34.56,311,9
10,11,11,Jeff Gove,34.6,519,15
11,12,12,Jim Furyk,34.62,727,21
12,13,13,Adam Scott,34.75,556,16
13,14,14,Paul Azinger,34.81,557,16
14,15,15,Skip Kendall,34.86,488,14
15,T16,T16,Briny Baird,34.87,523,15
16,T16,T16,Luke Donald,34.87,523,15
17,T16,T16,Dudley Hart,34.87,523,15
18,T16,T16,David Toms,34.87,523,15
19,20,20,Richard Johnson,34.88,593,17
20,21,21,Brian Davis,34.89,628,18
21,22,22,Tommy Armour III,34.9,349,10
22,23,23,Jeff Brehaut,34.93,524,15
23,24,24,Joe Ogilvie,34.94,594,17
24,25,25,Jeff Sluman,34.95,734,21
25,T26,T26,Stephen Ames,35.0,420,12
26,T26,T26,Stuart Appleby,35.0,630,18
27,T26,T26,Michael Connell,35.0,105,3
28,T26,T26,Jerry Kelly,35.0,630,18
29,T26,T26,Stephen Leaney,35.0,525,15
30,T26,T26,Brett Quigley,35.0,700,20
31,32,32,Lucas Glover,35.05,736,21
32,T33,T33,Billy Mayfair,35.06,631,18
33,T33,T33,Rory Sabbatini,35.06,631,18
34,35,35,Retief Goosen,35.07,491,14
35,36,36,David McKenzie,35.08,421,12
36,T37,T37,Padraig Harrington,35.09,386,11
37,T37,T37,Bob May,35.09,386,11
38,39,39,Stewart Cink,35.1,702,20
39,40,40,Davis Love III,35.12,597,17
40,T41,T41,Craig Barlow,35.13,527,15
41,T41,T41,Kenny Perry,35.13,527,15
42,T43,T43,Brian Gay,35.14,773,22
43,T43,T43,Charley Hoffman,35.14,738,21
44,45,45,Scott Verplank,35.16,668,19
45,46,46,Ryuji Imada,35.19,739,21
46,47,47,Arron Oberholser,35.22,634,18
47,48,48,Ron Whittaker,35.23,458,13
48,T49,T49,Trevor Immelman,35.26,670,19
49,T49,T49,Kevin Sutherland,35.26,670,19
50,T49,T49,Bo Van Pelt,35.26,811,23
51,T52,T52,Jason Gore,35.27,529,15
52,T52,T52,Daisuke Maruyama,35.27,529,15
53,T52,T52,Dean Wilson,35.27,776,22
54,55,55,Shigeki Maruyama,35.28,635,18
55,56,56,Tim Herron,35.29,494,14
56,T57,T57,José María Olazábal,35.31,459,13
57,T57,T57,Patrick Sheehan,35.31,565,16
58,T59,T59,John Senden,35.32,671,19
59,T59,T59,Charles Warren,35.32,671,19
60,T61,T61,Mike Sposa,35.33,318,9
61,T61,T61,Mark Wilson,35.33,530,15
62,63,63,David Branshaw,35.35,707,20
63,T64,T64,Aaron Baddeley,35.36,495,14
64,T64,T64,David Duval,35.36,389,11
65,T64,T64,J.L. Lewis,35.36,389,11
66,T64,T64,Bubba Watson,35.36,495,14
67,T68,T68,K.J. Choi,35.38,743,21
68,T68,T68,Marco Dawson,35.38,566,16
69,70,70,Bubba Dickerson,35.39,637,18
70,71,71,Steve Lowery,35.4,708,20
71,T72,T72,Ben Curtis,35.41,602,17
72,T72,T72,Jesper Parnevik,35.41,602,17
73,T72,T72,Heath Slocum,35.41,602,17
74,75,75,Vijay Singh,35.42,850,24
75,76,76,D.J. Trahan,35.43,496,14
76,T77,T77,Bill Haas,35.44,638,18
77,T77,T77,Todd Hamilton,35.44,319,9
78,T77,T77,Ted Purdy,35.44,638,18
79,T77,T77,Brett Wetterich,35.44,567,16
80,T81,T81,Paul Goydos,35.45,390,11
81,T81,T81,Rod Pampling,35.45,709,20
82,T83,T83,Brad Faxon,35.46,461,13
83,T83,T83,Fred Funk,35.46,851,24
84,T85,T85,Robert Allenby,35.47,603,17
85,T85,T85,J.J. Henry,35.47,674,19
86,T87,T87,Bart Bryant,35.5,639,18
87,T87,T87,Alex Cejka,35.5,568,16
88,T87,T87,Ernie Els,35.5,568,16
89,T87,T87,Robert Gamez,35.5,568,16
90,T87,T87,Mathew Goggin,35.5,355,10
91,T87,T87,Justin Rose,35.5,710,20
92,T93,T93,Ben Crane,35.53,604,17
93,T93,T93,Mathias Grönberg,35.53,533,15
94,T93,T93,Brandt Jobe,35.53,604,17
95,T93,T93,Zach Johnson,35.53,675,19
96,T93,T93,Duffy Waldorf,35.53,675,19
97,T93,T93,Nick Watney,35.53,675,19
98,99,99,Bernhard Langer,35.54,462,13
99,T100,T100,Chris Couch,35.55,391,11
100,T100,T100,Kirk Triplett,35.55,391,11
101,T102,T102,Tim Clark,35.56,640,18
102,T102,T102,Geoff Ogilvy,35.56,569,16
103,T102,T102,Tim Petrovic,35.56,569,16
104,T105,T105,"John Engler, Jr.",35.57,249,7
105,T105,T105,Hunter Mahan,35.57,747,21
106,T105,T105,Mark O'Meara,35.57,249,7
107,T108,T108,Chad Campbell,35.58,676,19
108,T108,T108,John Huston,35.58,427,12
109,T108,T108,D.A. Points,35.58,427,12
110,T111,T111,Michael Allen,35.59,605,17
111,T111,T111,Henrik Bjornstad,35.59,605,17
112,T111,T111,Phil Mickelson,35.59,605,17
113,114,114,Chris Riley,35.6,534,15
114,115,115,Nathan Green,35.61,819,23
115,T116,T116,Jonathan Byrd,35.62,463,13
116,T116,T116,Kris Cox,35.62,463,13
117,118,118,Carl Pettersson,35.63,677,19
118,119,119,Steve Flesch,35.64,891,25
119,T120,T120,Arjun Atwal,35.67,535,15
120,T120,T120,Chris DiMarco,35.67,535,15
121,T120,T120,Justin Leonard,35.67,535,15
122,T120,T120,Ian Poulter,35.67,428,12
123,124,124,Paul Stankowski,35.69,464,13
124,T125,T125,Brent Geiberger,35.75,715,20
125,T125,T125,J.P. Hayes,35.75,286,8
126,T125,T125,Ryan Palmer,35.75,715,20
127,T125,T125,Joey Sindelar,35.75,572,16
128,T129,T129,Harrison Frazar,35.78,644,18
129,T129,T129,Matt Hansen,35.78,322,9
130,T129,T129,Shaun Micheel,35.78,644,18
131,T129,T129,Camilo Villegas,35.78,644,18
132,133,133,Carlos Franco,35.79,501,14
133,134,134,Greg Chalmers,35.83,215,6
134,135,135,Mike Weir,35.84,681,19
135,136,136,Roger Tambellini,35.86,251,7
136,137,137,Bob Tway,35.87,538,15
137,T138,T138,Brian Bateman,35.89,323,9
138,T138,T138,Pat Perez,35.89,323,9
139,T138,T138,John Rollins,35.89,646,18
140,T141,T141,Danny Ellis,35.9,359,10
141,T141,T141,Frank Lickliter II,35.9,718,20
142,143,143,John Cook,35.91,395,11
143,144,144,Olin Browne,35.95,791,22
144,T145,T145,Doug Barron,36.0,360,10
145,T145,T145,J.B. Holmes,36.0,540,15
146,T145,T145,Thomas Levet,36.0,324,9
147,T145,T145,Will MacKenzie,36.0,576,16
148,T145,T145,Len Mattiace,36.0,252,7
149,T145,T145,Jon Mills,36.0,252,7
150,T145,T145,Greg Owen,36.0,540,15
151,T145,T145,Jerry Smith,36.0,648,18
152,T145,T145,Tjaart van der Walt,36.0,288,8
153,T154,T154,Joe Durant,36.05,793,22
154,T154,T154,Jeff Overton,36.05,685,19
155,156,156,Todd Fischer,36.06,577,16
156,T157,T157,Rich Beem,36.07,541,15
157,T157,T157,Jeff Maggert,36.07,505,14
158,T159,T159,Ryan Moore,36.08,433,12
159,T159,T159,Chris Smith,36.08,433,12
160,161,161,Jason Bohn,36.09,830,23
161,T162,T162,Freddie Jacobson,36.1,361,10
162,T162,T162,Sean O'Hair,36.1,722,20
163,T164,T164,Billy Andrade,36.14,506,14
164,T164,T164,Woody Austin,36.14,795,22
165,T164,T164,Daniel Chopra,36.14,759,21
166,T167,T167,Lee Janzen,36.17,434,12
167,T167,T167,Tom Lehman,36.17,434,12
168,T169,T169,Mark Brooks,36.2,362,10
169,T169,T169,Robert Garrigus,36.2,543,15
170,171,171,Shane Bertsch,36.21,688,19
171,172,172,Troy Matteson,36.22,652,18
172,173,173,Bob Estes,36.24,616,17
173,174,174,Larry Mize,36.25,290,8
174,175,175,Charles Howell III,36.26,689,19
175,176,176,Robert Damron,36.29,508,14
176,177,177,Tag Ridings,36.35,618,17
177,178,178,Jonathan Kaye,36.41,619,17
178,179,179,Scott Gutschewski,36.43,255,7
179,180,180,Mark Calcavecchia,36.48,766,21
180,181,181,"Wes Short, Jr.",36.53,548,15
181,182,182,John Daly,36.57,256,7
182,183,183,Hidemichi Tanaka,36.63,293,8
183,T184,T184,Fred Couples,36.67,330,9
184,T184,T184,Greg Kraft,36.67,440,12
185,186,186,Jason Schultz,36.7,367,10
186,187,187,Nicholas Thompson,36.73,551,15
187,188,188,Peter Lonard,36.76,625,17
188,189,189,Ryan Hietala,36.86,258,7
189,190,190,Ian Leggatt,36.9,369,10
190,191,191,Sergio Garcia,36.92,443,12
191,T192,T192,James Driscoll,37.0,407,11
192,T192,T192,David Howell,37.0,370,10
193,194,194,Alex Aragon,37.17,223,6
194,195,195,Steve Jones,37.21,521,14
195,196,196,Vance Veazey,37.3,373,10
