,Tenth_Tee_Late_Round_5_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Round_5_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Round_5_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Round_5_Scoring_Average_AVG,Tenth_Tee_Late_Round_5_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Round_5_Scoring_Average_TOTAL ROUNDS
0,1,1,Robert Garrigus,66.0,66,1
1,2,2,Fred Couples,67.0,67,1
2,T3,T3,Daniel Chopra,68.0,68,1
3,T3,T3,Carl Pettersson,68.0,68,1
4,T5,T5,Fred Funk,69.0,69,1
5,T5,T5,Ryuji Imada,69.0,69,1
6,T5,T5,Tag Ridings,69.0,69,1
7,8,8,Shaun Micheel,70.0,70,1
8,T9,T9,Jeff Brehaut,71.0,71,1
9,T9,T9,David Duval,71.0,71,1
10,T9,T9,Jerry Kelly,71.0,71,1
11,T12,T12,Brian Davis,72.0,72,1
12,T12,T12,Jeff Sluman,72.0,72,1
13,T14,T14,Craig Barlow,77.0,77,1
14,T14,T14,Mark O'Meara,77.0,77,1
15,16,16,Woody Austin,78.0,78,1
