,Tenth_Tee_Late_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Scoring_Average_ROUNDS,Tenth_Tee_Late_Scoring_Average_AVG,Tenth_Tee_Late_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Scoring_Average_TOTAL 10TH TEE LATE RNDS.
0,1,1,Steve Stricker,64,68.67,412,6
1,T2,T2,David Howell,52,68.75,275,4
2,T2,T2,Geoff Ogilvy,76,68.75,550,8
3,4,4,Stephen Ames,63,68.82,757,11
4,5,5,Ian Poulter,53,68.88,551,8
5,6,6,Stuart Appleby,83,69.0,483,7
6,7,7,Fred Funk,106,69.06,1243,18
7,8,8,Arron Oberholser,82,69.14,484,7
8,9,9,K.J. Choi,93,69.23,900,13
9,10,10,Robert Allenby,79,69.36,763,11
10,11,11,Dean Wilson,115,69.52,1599,23
11,12,12,Phil Mickelson,74,69.6,348,5
12,13,13,Ernie Els,69,69.67,209,3
13,14,14,Tim Clark,80,69.75,558,8
14,15,15,Billy Mayfair,94,69.79,977,14
15,16,16,Brian Gay,107,69.84,1327,19
16,17,17,Jeff Gove,91,69.89,1258,18
17,18,18,Stewart Cink,93,69.92,839,12
18,T19,T19,Luke Donald,66,70.0,70,1
19,T19,T19,Bernhard Langer,77,70.0,840,12
20,T19,T19,Jeff Sluman,101,70.0,1120,16
21,T19,T19,Bubba Watson,83,70.0,840,12
22,23,23,Mike Weir,88,70.14,982,14
23,24,24,Chad Campbell,91,70.18,772,11
24,25,25,Rich Beem,85,70.19,1123,16
25,26,26,Jeff Overton,95,70.24,1194,17
26,27,27,Jerry Kelly,100,70.25,1124,16
27,T28,T28,Lucas Glover,105,70.27,1054,15
28,T28,T28,J.J. Henry,96,70.27,773,11
29,T30,T30,Justin Leonard,83,70.29,984,14
30,T30,T30,Bob May,65,70.29,984,14
31,T30,T30,Shaun Micheel,96,70.29,984,14
32,33,33,Kris Cox,83,70.31,1125,16
33,34,34,Charley Hoffman,100,70.35,1407,20
34,T35,T35,Danny Ellis,68,70.36,774,11
35,T35,T35,Zach Johnson,98,70.36,774,11
36,T35,T35,Bo Van Pelt,102,70.36,985,14
37,38,38,Jim Furyk,89,70.38,563,8
38,T39,T39,Brandt Jobe,91,70.4,704,10
39,T39,T39,Rory Sabbatini,84,70.4,704,10
40,41,41,Joe Durant,101,70.41,1549,22
41,T42,T42,Freddie Jacobson,56,70.45,775,11
42,T42,T42,Kent Jones,103,70.45,1550,22
43,T44,T44,Chris DiMarco,83,70.5,564,8
44,T44,T44,Paul Goydos,72,70.5,987,14
45,T44,T44,Stephen Leaney,84,70.5,1128,16
46,47,47,Steve Lowery,99,70.52,1481,21
47,48,48,Charles Warren,93,70.53,1340,19
48,T49,T49,Bart Bryant,87,70.55,776,11
49,T49,T49,Mathias Grönberg,92,70.55,1411,20
50,T51,T51,Eric Axley,91,70.56,1270,18
51,T51,T51,John Senden,96,70.56,1270,18
52,T53,T53,Retief Goosen,68,70.6,353,5
53,T53,T53,Frank Lickliter II,99,70.6,1059,15
54,T55,T55,Will MacKenzie,91,70.61,1271,18
55,T55,T55,Joe Ogilvie,95,70.61,1271,18
56,T57,T57,Robert Gamez,94,70.63,1130,16
57,T57,T57,Scott Gutschewski,53,70.63,565,8
58,T59,T59,David Duval,71,70.65,1413,20
59,T59,T59,Brett Wetterich,82,70.65,1201,17
60,T61,T61,Harrison Frazar,95,70.71,990,14
61,T61,T61,Shigeki Maruyama,94,70.71,990,14
62,T61,T61,Kenny Perry,73,70.71,495,7
63,T64,T64,Billy Andrade,78,70.73,1061,15
64,T64,T64,Tim Herron,82,70.73,1061,15
65,T66,T66,John Daly,51,70.75,566,8
66,T66,T66,Corey Pavin,74,70.75,849,12
67,68,68,Alex Cejka,93,70.76,1203,17
68,69,69,Bob Estes,85,70.77,920,13
69,T70,T70,Trevor Immelman,86,70.78,637,9
70,T70,T70,Thomas Levet,53,70.78,637,9
71,72,72,Brian Davis,92,70.8,1062,15
72,73,73,Michael Allen,84,70.81,1487,21
73,T74,T74,J.B. Holmes,81,70.82,779,11
74,T74,T74,Duffy Waldorf,96,70.82,1204,17
75,T76,T76,Briny Baird,81,70.83,1275,18
76,T76,T76,Fred Couples,52,70.83,425,6
77,T78,T78,John Huston,74,70.86,496,7
78,T78,T78,Jesper Parnevik,84,70.86,992,14
79,T80,T80,Jason Schultz,77,70.88,1205,17
80,T80,T80,Heath Slocum,96,70.88,1205,17
81,T82,T82,Hunter Mahan,98,70.89,1347,19
82,T82,T82,Troy Matteson,101,70.89,1347,19
83,84,84,John Cook,67,70.9,709,10
84,T85,T85,Marco Dawson,87,70.92,851,12
85,T85,T85,Camilo Villegas,95,70.92,851,12
86,T87,T87,Jason Bohn,104,70.94,1206,17
87,T87,T87,Mark Calcavecchia,94,70.94,1135,16
88,89,89,Olin Browne,108,70.95,1348,19
89,T90,T90,Tommy Armour III,65,71.0,852,12
90,T90,T90,Sergio Garcia,59,71.0,355,5
91,T90,T90,Padraig Harrington,54,71.0,355,5
92,T90,T90,D.A. Points,82,71.0,1136,16
93,T90,T90,Jerry Smith,94,71.0,994,14
94,T90,T90,Scott Verplank,88,71.0,710,10
95,T96,T96,Paul Azinger,87,71.06,1279,18
96,T96,T96,Skip Kendall,72,71.06,1137,16
97,T96,T96,Vance Veazey,59,71.06,1208,17
98,T99,T99,Patrick Sheehan,104,71.08,1777,25
99,T99,T99,Nick Watney,97,71.08,853,12
100,101,101,Greg Owen,79,71.13,569,8
101,102,102,Rod Pampling,89,71.14,996,14
102,T103,T103,Steve Elkington,52,71.15,925,13
103,T103,T103,Joey Sindelar,90,71.15,1423,20
104,105,105,Ryan Palmer,101,71.18,1566,22
105,106,106,Ben Crane,85,71.2,712,10
106,107,107,Woody Austin,107,71.22,1638,23
107,T108,T108,Robert Damron,91,71.23,926,13
108,T108,T108,Chris Riley,86,71.23,1567,22
109,110,110,Nathan Green,108,71.24,1211,17
110,111,111,Mark Wilson,79,71.25,855,12
111,T112,T112,Brian Bateman,69,71.27,784,11
112,T112,T112,Jeff Brehaut,100,71.27,1568,22
113,T112,T112,Sean O'Hair,100,71.27,1069,15
114,T115,T115,Lee Janzen,79,71.29,998,14
115,T115,T115,Vaughn Taylor,88,71.29,1212,17
116,T117,T117,Bill Haas,99,71.3,1640,23
117,T117,T117,Peter Lonard,77,71.3,713,10
