,Late_Par_4_Scoring_Average_RANK THIS WEEK,Late_Par_4_Scoring_Average_RANK LAST WEEK,Late_Par_4_Scoring_Average_PLAYER NAME,Late_Par_4_Scoring_Average_ROUNDS,Late_Par_4_Scoring_Average_AVG,Late_Par_4_Scoring_Average_TOTAL STROKES,Late_Par_4_Scoring_Average_TOTAL HOLES
0,1,1,Tiger Woods,55,3.94,1530,388
1,T2,T2,Jim Furyk,89,3.98,2613,656
2,T2,T2,Steve Stricker,64,3.98,1496,376
3,T4,T4,Alex Cejka,93,3.99,1812,454
4,T4,T4,Ian Poulter,53,3.99,1357,340
5,T6,T6,Brian Bateman,69,4.0,1316,329
6,T6,T6,Fred Funk,106,4.0,2194,549
7,T6,T6,Jeff Gove,91,4.0,1883,471
8,T6,T6,Jerry Kelly,100,4.0,2285,571
9,T6,T6,Stephen Leaney,84,4.0,1810,452
10,T11,T11,Woody Austin,107,4.01,2232,556
11,T11,T11,K.J. Choi,93,4.01,1794,447
12,T11,T11,Luke Donald,66,4.01,1571,392
13,T11,T11,J.P. Hayes,55,4.01,1183,295
14,T11,T11,Zach Johnson,98,4.01,2041,509
15,T11,T11,Frank Lickliter II,99,4.01,2118,528
16,T11,T11,Bob May,65,4.01,1292,322
17,T11,T11,Billy Mayfair,94,4.01,1874,467
18,T11,T11,Phil Mickelson,74,4.01,1610,401
19,T11,T11,Scott Verplank,88,4.01,1837,458
20,T11,T11,Camilo Villegas,95,4.01,2087,521
21,T22,T22,Joe Durant,101,4.02,2332,580
22,T22,T22,Ernie Els,69,4.02,1706,424
23,T22,T22,Steve Flesch,119,4.02,2115,526
24,T22,T22,Harrison Frazar,95,4.02,1940,482
25,T22,T22,Robert Gamez,94,4.02,1724,429
26,T22,T22,Scott Gutschewski,53,4.02,1177,293
27,T22,T22,Trevor Immelman,86,4.02,2193,546
28,T22,T22,Skip Kendall,72,4.02,1468,365
29,T22,T22,Jeff Overton,95,4.02,1548,385
30,T22,T22,Ryan Palmer,101,4.02,2187,544
31,T22,T22,Brett Quigley,109,4.02,2644,657
32,T22,T22,John Senden,96,4.02,1849,460
33,T22,T22,Vijay Singh,103,4.02,2500,622
34,T22,T22,Heath Slocum,96,4.02,1788,445
35,T22,T22,David Toms,76,4.02,1835,457
36,T22,T22,Bubba Watson,83,4.02,1574,392
37,T22,T22,Dean Wilson,115,4.02,2325,578
38,T39,T39,Robert Allenby,79,4.03,1749,434
39,T39,T39,Stephen Ames,63,4.03,1436,356
40,T39,T39,Billy Andrade,78,4.03,1502,373
41,T39,T39,Stuart Appleby,83,4.03,1895,470
42,T39,T39,Doug Barron,74,4.03,1484,368
43,T39,T39,Jeff Brehaut,100,4.03,1977,490
44,T39,T39,Bob Estes,85,4.03,1740,432
45,T39,T39,Charley Hoffman,100,4.03,2377,590
46,T39,T39,Bernhard Langer,77,4.03,1517,376
47,T39,T39,Kenny Perry,73,4.03,1475,366
48,T39,T39,Paul Stankowski,70,4.03,1287,319
49,T39,T39,Tjaart van der Walt,60,4.03,1069,265
50,T39,T39,Charles Warren,93,4.03,1860,462
51,T39,T39,Nick Watney,97,4.03,1946,483
52,T39,T39,Mike Weir,88,4.03,1967,488
53,T54,T54,Shane Bertsch,104,4.04,2074,514
54,T54,T54,David Branshaw,98,4.04,1930,478
55,T54,T54,Bart Bryant,87,4.04,1858,460
56,T54,T54,Jonathan Byrd,66,4.04,1410,349
57,T54,T54,Chad Campbell,91,4.04,1998,494
58,T54,T54,Stewart Cink,93,4.04,2083,515
59,T54,T54,Brian Gay,107,4.04,2318,574
60,T54,T54,Lucas Glover,105,4.04,2385,591
61,T54,T54,Paul Goydos,72,4.04,1477,366
62,T54,T54,J.J. Henry,96,4.04,2005,496
63,T54,T54,Richard Johnson,94,4.04,2088,517
64,T54,T54,Kent Jones,103,4.04,1901,471
65,T54,T54,Shigeki Maruyama,94,4.04,1858,460
66,T54,T54,Daisuke Maruyama,83,4.04,1596,395
67,T54,T54,Adam Scott,70,4.04,1808,448
68,T69,T69,Eric Axley,91,4.05,1790,442
69,T69,T69,Daniel Chopra,110,4.05,2636,651
70,T69,T69,Robert Damron,91,4.05,1781,440
71,T69,T69,Marco Dawson,87,4.05,1546,382
72,T69,T69,Nathan Green,108,4.05,2225,550
73,T69,T69,Larry Mize,53,4.05,965,238
74,T69,T69,Ryan Moore,68,4.05,1467,362
75,T69,T69,Greg Owen,79,4.05,1635,404
76,T69,T69,Joey Sindelar,90,4.05,1832,452
77,T69,T69,Vaughn Taylor,88,4.05,1909,471
78,T69,T69,Mark Wilson,79,4.05,1377,340
79,T80,T80,Michael Allen,84,4.06,1781,439
80,T80,T80,Paul Azinger,87,4.06,1724,425
81,T80,T80,Henrik Bjornstad,97,4.06,1943,478
82,T80,T80,John Cook,67,4.06,1286,317
83,T80,T80,Mathias Grönberg,92,4.06,1958,482
84,T80,T80,Bill Haas,99,4.06,2022,498
85,T80,T80,Matt Hansen,68,4.06,1278,315
86,T80,T80,Tim Herron,82,4.06,1777,438
87,T80,T80,J.B. Holmes,81,4.06,1580,389
88,T80,T80,Freddie Jacobson,56,4.06,1282,316
89,T80,T80,Brandt Jobe,91,4.06,1685,415
90,T80,T80,Steve Lowery,99,4.06,2024,499
91,T80,T80,Troy Matteson,101,4.06,2154,530
92,T80,T80,David McKenzie,82,4.06,1685,415
