,Birdie_or_Better_Percentage_-_200_yards_RANK THIS WEEK,Birdie_or_Better_Percentage_-_200_yards_RANK LAST WEEK,Birdie_or_Better_Percentage_-_200_yards_PLAYER NAME,Birdie_or_Better_Percentage_-_200_yards_ROUNDS,Birdie_or_Better_Percentage_-_200_yards_%,Birdie_or_Better_Percentage_-_200_yards_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_200_yards_TOTAL HOLES
162,163,163,Chris Riley,86,25.58,66,258
163,164,164,Skip Kendall,72,25.57,56,219
164,165,165,Omar Uresti,61,25.41,47,185
165,166,166,David McKenzie,82,25.4,64,252
166,167,167,Ryuji Imada,105,24.92,80,321
167,168,168,Kirk Triplett,58,24.84,38,153
168,169,169,Michael Connell,51,24.49,36,147
169,170,170,Olin Browne,108,24.45,78,319
170,171,171,Chris DiMarco,83,24.44,55,225
171,172,172,Robert Gamez,94,24.4,71,291
172,173,173,Doug Barron,74,24.35,66,271
173,174,174,Steve Jones,83,24.06,64,266
174,175,175,Peter Lonard,77,23.97,58,242
175,176,176,Paul Goydos,72,23.73,56,236
176,177,177,Todd Hamilton,72,23.71,46,194
177,178,178,David Branshaw,98,23.58,83,352
178,179,179,Tjaart van der Walt,60,23.44,45,192
179,180,180,Len Mattiace,59,23.37,43,184
180,181,181,Vance Veazey,59,23.2,42,181
181,182,182,Justin Leonard,83,22.9,49,214
182,183,183,Brian Gay,107,22.5,81,360
183,184,184,Ben Curtis,86,22.03,52,236
184,185,185,"John Engler, Jr.",69,21.85,52,238
185,186,186,Thomas Levet,53,21.81,41,188
186,187,187,Hidemichi Tanaka,74,21.33,48,225
187,188,188,John Cook,67,21.14,37,175
188,189,189,Fred Funk,106,20.89,61,292
189,190,190,Brad Faxon,78,20.53,62,302
190,191,191,Mark Brooks,90,19.85,53,267
191,192,192,Jerry Smith,94,19.61,60,306
192,193,193,Corey Pavin,74,19.59,48,245
193,194,194,Greg Kraft,79,17.77,43,242
194,195,195,Larry Mize,53,17.65,24,136
195,196,196,Mark O'Meara,52,16.03,21,131
