,Front_9_Round_1_Scoring_Average_RANK THIS WEEK,Front_9_Round_1_Scoring_Average_RANK LAST WEEK,Front_9_Round_1_Scoring_Average_PLAYER NAME,Front_9_Round_1_Scoring_Average_AVG,Front_9_Round_1_Scoring_Average_TOTAL STROKES,Front_9_Round_1_Scoring_Average_TOTAL ROUNDS
0,1,1,David Howell,34.0,408,12
1,2,2,Phil Mickelson,34.18,581,17
2,3,3,Jim Furyk,34.43,792,23
3,T4,T4,Retief Goosen,34.5,552,16
4,T4,T4,Ian Poulter,34.5,483,14
5,T6,T6,Ernie Els,34.56,553,16
6,T6,T6,Sergio Garcia,34.56,553,16
7,8,8,Vijay Singh,34.58,899,26
8,9,9,Steve Flesch,34.63,1108,32
9,10,10,Robert Allenby,34.67,728,21
10,T11,T11,Chad Campbell,34.71,833,24
11,T11,T11,Tiger Woods,34.71,486,14
12,13,13,Adam Scott,34.72,625,18
13,14,14,Stewart Cink,34.75,834,24
14,15,15,Zach Johnson,34.76,869,25
15,16,16,Frank Lickliter II,34.82,975,28
16,17,17,Billy Mayfair,34.83,1010,29
17,18,18,Will MacKenzie,34.86,976,28
18,19,19,Harrison Frazar,34.89,977,28
19,20,20,Skip Kendall,34.91,768,22
20,21,21,Luke Donald,34.94,594,17
21,22,22,Jonathan Byrd,34.95,699,20
22,T23,T23,J.J. Henry,34.96,944,27
23,T23,T23,Trevor Immelman,34.96,839,24
24,T25,T25,Stuart Appleby,35.0,735,21
25,T25,T25,Nathan Green,35.0,1015,29
26,T25,T25,Charley Hoffman,35.0,980,28
27,T25,T25,Steve Stricker,35.0,560,16
28,T25,T25,David Toms,35.0,700,20
29,T30,T30,Fred Funk,35.04,981,28
30,T30,T30,Charles Warren,35.04,911,26
31,T30,T30,Mark Wilson,35.04,806,23
32,T33,T33,K.J. Choi,35.08,877,25
33,T33,T33,Bubba Watson,35.08,877,25
34,35,35,Dean Wilson,35.09,1158,33
35,36,36,Davis Love III,35.1,737,21
36,37,37,Brandt Jobe,35.12,913,26
37,T38,T38,Bob Tway,35.13,843,24
38,T38,T38,Scott Verplank,35.13,843,24
39,T40,T40,Craig Barlow,35.14,738,21
40,T40,T40,Camilo Villegas,35.14,984,28
41,42,42,Duffy Waldorf,35.15,949,27
42,T43,T43,Robert Damron,35.16,1090,31
43,T43,T43,Brian Gay,35.16,1090,31
44,T45,T45,Mathias Grönberg,35.17,1020,29
45,T45,T45,Shigeki Maruyama,35.17,1020,29
46,T45,T45,Mike Weir,35.17,809,23
47,T48,T48,Danny Ellis,35.18,774,22
48,T48,T48,Nick Watney,35.18,985,28
49,T50,T50,Tom Pernice Jr.,35.19,1126,32
50,T50,T50,D.A. Points,35.19,950,27
51,T50,T50,John Senden,35.19,950,27
52,T53,T53,Olin Browne,35.21,1021,29
53,T53,T53,Hunter Mahan,35.21,986,28
54,T53,T53,Jesper Parnevik,35.21,845,24
55,56,56,Rod Pampling,35.23,775,22
56,57,57,Jerry Smith,35.25,987,28
57,T58,T58,Stephen Leaney,35.26,952,27
58,T58,T58,Rory Sabbatini,35.26,811,23
59,T58,T58,Jason Schultz,35.26,952,27
60,T61,T61,Lucas Glover,35.28,1023,29
61,T61,T61,Richard Johnson,35.28,1023,29
62,T63,T63,Jason Gore,35.29,988,28
63,T63,T63,Arron Oberholser,35.29,741,21
64,T63,T63,Chris Smith,35.29,741,21
65,T63,T63,Bo Van Pelt,35.29,988,28
66,T67,T67,Daniel Chopra,35.31,1130,32
67,T67,T67,Bill Haas,35.31,1024,29
68,69,69,Charles Howell III,35.32,989,28
69,70,70,John Huston,35.33,848,24
70,T71,T71,Mark Calcavecchia,35.35,919,26
71,T71,T71,Kent Jones,35.35,1096,31
72,T71,T71,Chris Riley,35.35,919,26
73,T71,T71,Vaughn Taylor,35.35,919,26
74,75,75,Eric Axley,35.36,990,28
75,T76,T76,Robert Gamez,35.37,1061,30
76,T76,T76,Justin Rose,35.37,955,27
77,T78,T78,Robert Garrigus,35.38,920,26
78,T78,T78,Steve Lowery,35.38,1026,29
79,80,80,Fred Couples,35.4,531,15
80,T81,T81,Alex Cejka,35.41,1027,29
81,T81,T81,Ryan Palmer,35.41,1027,29
82,T81,T81,Jeff Sluman,35.41,1027,29
83,84,84,Jerry Kelly,35.42,1098,31
84,T85,T85,Padraig Harrington,35.43,496,14
85,T85,T85,Ryan Moore,35.43,744,21
86,87,87,Bob Estes,35.44,886,25
87,T88,T88,Jason Bohn,35.45,1028,29
88,T88,T88,Nicholas Thompson,35.45,1099,31
89,90,90,Aaron Baddeley,35.46,851,24
90,T91,T91,Woody Austin,35.48,1100,31
91,T91,T91,Bart Bryant,35.48,887,25
92,T91,T91,Tim Clark,35.48,745,21
93,T91,T91,John Rollins,35.48,958,27
94,T95,T95,Rich Beem,35.5,923,26
95,T95,T95,Chris DiMarco,35.5,852,24
96,T95,T95,Paul Goydos,35.5,852,24
97,T95,T95,Pat Perez,35.5,568,16
98,99,99,Jeff Brehaut,35.53,1137,32
99,100,100,Briny Baird,35.54,853,24
100,101,101,Steve Elkington,35.56,569,16
101,102,102,Joe Ogilvie,35.57,996,28
102,T103,T103,John Cook,35.59,783,22
103,T103,T103,Larry Mize,35.59,605,17
104,T103,T103,Ron Whittaker,35.59,961,27
105,106,106,Ryuji Imada,35.6,1068,30
106,T107,T107,Scott Gutschewski,35.61,641,18
107,T107,T107,Shaun Micheel,35.61,997,28
108,T109,T109,David Branshaw,35.62,1033,29
109,T109,T109,Sean O'Hair,35.62,1033,29
110,T111,T111,Arjun Atwal,35.63,1140,32
111,T111,T111,Brian Davis,35.63,962,27
112,T111,T111,Geoff Ogilvy,35.63,677,19
113,T114,T114,Joe Durant,35.64,998,28
114,T114,T114,J.B. Holmes,35.64,891,25
115,T114,T114,Brett Wetterich,35.64,891,25
116,117,117,Bubba Dickerson,35.65,1105,31
117,T118,T118,Shane Bertsch,35.66,1141,32
118,T118,T118,Tag Ridings,35.66,1141,32
119,T120,T120,Chris Couch,35.67,963,27
120,T120,T120,Marco Dawson,35.67,963,27
121,T120,T120,Patrick Sheehan,35.67,1177,33
122,123,123,Kevin Sutherland,35.68,999,28
123,T124,T124,James Driscoll,35.69,1035,29
124,T124,T124,Jeff Maggert,35.69,928,26
125,T126,T126,Billy Andrade,35.7,821,23
126,T126,T126,David McKenzie,35.7,964,27
127,T128,T128,Brian Bateman,35.71,857,24
128,T128,T128,Todd Fischer,35.71,1214,34
129,T128,T128,Kirk Triplett,35.71,607,17
130,T128,T128,Omar Uresti,35.71,750,21
131,T132,T132,Carlos Franco,35.72,1036,29
132,T132,T132,Brett Quigley,35.72,1143,32
133,T134,T134,Tim Herron,35.73,929,26
134,T134,T134,Len Mattiace,35.73,786,22
135,T136,T136,Troy Matteson,35.75,1144,32
136,T136,T136,Ted Purdy,35.75,1144,32
137,T138,T138,J.L. Lewis,35.76,608,17
138,T138,T138,Joey Sindelar,35.76,1037,29
139,T140,T140,Steve Jones,35.77,930,26
140,T140,T140,Paul Stankowski,35.77,787,22
