,First_Tee_Late_Par_4_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Par_4_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Par_4_Scoring_Average_PLAYER NAME,First_Tee_Late_Par_4_Scoring_Average_ROUNDS,First_Tee_Late_Par_4_Scoring_Average_AVG,First_Tee_Late_Par_4_Scoring_Average_TOTAL STROKES,First_Tee_Late_Par_4_Scoring_Average_TOTAL HOLES
0,1,1,Tiger Woods,55,3.94,1485,377
1,T2,T2,Frank Lickliter II,99,3.97,1460,368
2,T2,T2,Brett Quigley,109,3.97,1855,467
3,T4,T4,Woody Austin,107,3.98,1250,314
4,T4,T4,Jim Furyk,89,3.98,2274,571
5,T4,T4,Jerry Kelly,100,3.98,1593,400
6,T7,T7,Doug Barron,74,3.99,798,200
7,T7,T7,Brian Bateman,69,3.99,849,213
8,T7,T7,Shane Bertsch,104,3.99,1185,297
9,T7,T7,Steve Stricker,64,3.99,1250,313
10,T11,T11,Alex Cejka,93,4.0,1107,277
11,T11,T11,Joe Durant,101,4.0,1424,356
12,T11,T11,Robert Gamez,94,4.0,1016,254
13,T11,T11,Scott Gutschewski,53,4.0,827,207
14,T11,T11,J.P. Hayes,55,4.0,764,191
15,T11,T11,David McKenzie,82,4.0,776,194
16,T11,T11,Joey Sindelar,90,4.0,972,243
17,T11,T11,Heath Slocum,96,4.0,1057,264
18,T11,T11,Tjaart van der Walt,60,4.0,512,128
19,T20,T20,David Branshaw,98,4.01,1042,260
20,T20,T20,Luke Donald,66,4.01,1527,381
21,T20,T20,Steve Flesch,119,4.01,1450,362
22,T20,T20,Trevor Immelman,86,4.01,1815,453
23,T20,T20,Ryan Palmer,101,4.01,1228,306
24,T20,T20,Paul Stankowski,70,4.01,946,236
25,T20,T20,David Toms,76,4.01,1568,391
26,T20,T20,Scott Verplank,88,4.01,1425,355
27,T20,T20,Camilo Villegas,95,4.01,1599,399
28,T29,T29,Jonathan Byrd,66,4.02,913,227
29,T29,T29,Zach Johnson,98,4.02,1584,394
30,T29,T29,Richard Johnson,94,4.02,1518,378
31,T29,T29,Phil Mickelson,74,4.02,1407,350
32,T29,T29,Kenny Perry,73,4.02,1155,287
33,T29,T29,Ian Poulter,53,4.02,1020,254
34,T29,T29,John Senden,96,4.02,1101,274
35,T29,T29,Vijay Singh,103,4.02,2361,588
36,T29,T29,Vaughn Taylor,88,4.02,1163,289
37,T29,T29,Nick Watney,97,4.02,1426,355
38,T39,T39,Ernie Els,69,4.03,1573,390
39,T39,T39,Bob Estes,85,4.03,1209,300
40,T39,T39,Harrison Frazar,95,4.03,1354,336
41,T39,T39,Brent Geiberger,99,4.03,769,191
42,T39,T39,Nathan Green,108,4.03,1501,372
43,T39,T39,Bill Haas,99,4.03,1045,259
44,T39,T39,Jonathan Kaye,95,4.03,1194,296
45,T39,T39,Stephen Leaney,84,4.03,1164,289
46,T39,T39,Bob May,65,4.03,706,175
47,T39,T39,Billy Mayfair,94,4.03,1279,317
48,T39,T39,Larry Mize,53,4.03,451,112
49,T39,T39,Ryan Moore,68,4.03,1075,267
50,T39,T39,Adam Scott,70,4.03,1711,425
51,T39,T39,Charles Warren,93,4.03,1068,265
52,T39,T39,Bubba Watson,83,4.03,1068,265
53,T39,T39,Mike Weir,88,4.03,1370,340
54,T55,T55,Billy Andrade,78,4.04,900,223
55,T55,T55,Stewart Cink,93,4.04,1571,389
56,T55,T55,Fred Funk,106,4.04,1439,356
57,T55,T55,Jeff Gove,91,4.04,1143,283
58,T55,T55,Paul Goydos,72,4.04,888,220
59,T55,T55,Matt Hansen,68,4.04,690,171
60,T55,T55,J.J. Henry,96,4.04,1546,383
61,T55,T55,Ryan Hietala,61,4.04,376,93
62,T55,T55,Charley Hoffman,100,4.04,1563,387
63,T55,T55,Shigeki Maruyama,94,4.04,1243,308
64,T55,T55,Daisuke Maruyama,83,4.04,804,199
65,T55,T55,Kevin Sutherland,100,4.04,1128,279
66,T55,T55,D.J. Trahan,92,4.04,876,217
67,T55,T55,Omar Uresti,61,4.04,473,117
68,T69,T69,Stuart Appleby,83,4.05,1608,397
69,T69,T69,Paul Azinger,87,4.05,939,232
70,T69,T69,Craig Barlow,77,4.05,968,239
71,T69,T69,Jeff Brehaut,100,4.05,1042,257
72,T69,T69,Bart Bryant,87,4.05,1382,341
73,T69,T69,Chad Campbell,91,4.05,1536,379
74,T69,T69,K.J. Choi,93,4.05,1239,306
75,T69,T69,Daniel Chopra,110,4.05,1849,456
76,T69,T69,Tim Herron,82,4.05,1131,279
77,T69,T69,J.B. Holmes,81,4.05,1089,269
78,T69,T69,Ryuji Imada,105,4.05,1255,310
79,T69,T69,Steve Jones,83,4.05,907,224
80,T69,T69,J.L. Lewis,57,4.05,665,164
81,T69,T69,Jeff Overton,95,4.05,806,199
82,T69,T69,Greg Owen,79,4.05,1309,323
83,T84,T84,Alex Aragon,63,4.06,589,145
84,T84,T84,Aaron Baddeley,78,4.06,994,245
85,T84,T84,Henrik Bjornstad,97,4.06,1089,268
86,T84,T84,Chris Couch,75,4.06,975,240
87,T84,T84,Lucas Glover,105,4.06,1748,431
88,T84,T84,Retief Goosen,68,4.06,1295,319
89,T84,T84,Jason Gore,86,4.06,957,236
90,T84,T84,Kent Jones,103,4.06,970,239
91,T84,T84,Skip Kendall,72,4.06,795,196
92,T84,T84,Bernhard Langer,77,4.06,1002,247
93,T84,T84,Troy Matteson,101,4.06,1352,333
94,T84,T84,José María Olazábal,62,4.06,885,218
95,T84,T84,Justin Rose,98,4.06,1751,431
96,T97,T97,Robert Allenby,79,4.07,1281,315
97,T97,T97,Robert Damron,91,4.07,1232,303
98,T97,T97,Marco Dawson,87,4.07,1038,255
99,T97,T97,Brian Gay,107,4.07,1526,375
100,T97,T97,Padraig Harrington,54,4.07,941,231
101,T97,T97,Ian Leggatt,80,4.07,900,221
102,T97,T97,Jeff Maggert,81,4.07,1270,312
103,T97,T97,Tim Petrovic,95,4.07,915,225
104,T97,T97,Patrick Sheehan,104,4.07,976,240
105,T97,T97,Jerry Smith,94,4.07,1041,256
106,T97,T97,Dean Wilson,115,4.07,1367,336
107,T97,T97,Mark Wilson,79,4.07,874,215
108,T109,T109,Stephen Ames,63,4.08,987,242
109,T109,T109,Arjun Atwal,97,4.08,1133,278
110,T109,T109,Eric Axley,91,4.08,1036,254
111,T109,T109,Briny Baird,81,4.08,1163,285
112,T109,T109,Jason Bohn,104,4.08,1343,329
113,T109,T109,Michael Connell,51,4.08,555,136
114,T109,T109,John Cook,67,4.08,864,212
115,T109,T109,Ben Crane,85,4.08,1264,310
116,T109,T109,Ben Curtis,86,4.08,1151,282
117,T109,T109,Bubba Dickerson,98,4.08,1057,259
118,T109,T109,Sergio Garcia,59,4.08,1015,249
119,T109,T109,Charles Howell III,96,4.08,1011,248
120,T109,T109,Brandt Jobe,91,4.08,1265,310
121,T109,T109,Tom Pernice Jr.,108,4.08,1742,427
122,T109,T109,John Rollins,93,4.08,1276,313
123,T109,T109,Rory Sabbatini,84,4.08,1225,300
124,T109,T109,Jason Schultz,77,4.08,857,210
125,T109,T109,Chris Smith,67,4.08,971,238
126,T109,T109,Kirk Triplett,58,4.08,641,157
127,T128,T128,Kris Cox,83,4.09,989,242
128,T128,T128,Brian Davis,92,4.09,961,235
129,T128,T128,Steve Elkington,52,4.09,532,130
130,T128,T128,John Huston,74,4.09,999,244
131,T128,T128,Peter Lonard,77,4.09,1218,298
132,T128,T128,Davis Love III,85,4.09,1186,290
133,T128,T128,Steve Lowery,99,4.09,1133,277
134,T128,T128,Will MacKenzie,91,4.09,1198,293
135,T128,T128,Hunter Mahan,98,4.09,1256,307
136,T128,T128,Arron Oberholser,82,4.09,1583,387
137,T128,T128,Chris Riley,86,4.09,917,224
138,T128,T128,Jeff Sluman,101,4.09,1419,347
139,T140,T140,Michael Allen,84,4.1,907,221
140,T140,T140,Tim Clark,80,4.1,1456,355
141,T140,T140,Chris DiMarco,83,4.1,1288,314
142,T140,T140,Carlos Franco,86,4.1,1004,245
143,T140,T140,Dudley Hart,83,4.1,1260,307
