,Par_4_Eagle_Leaders_RANK THIS WEEK,Par_4_Eagle_Leaders_RANK LAST WEEK,Par_4_Eagle_Leaders_PLAYER NAME,Par_4_Eagle_Leaders_ROUNDS,Par_4_Eagle_Leaders_TOTAL,Par_4_Eagle_Leaders_TOTAL PAR 4 HOLES,Par_4_Eagle_Leaders_TOTAL HOLE OUTS
0,1,1,Charles Warren,93,5,948,4.0
1,T2,T2,Arjun Atwal,97,4,1001,4.0
2,T2,T2,Kris Cox,83,4,855,4.0
3,T2,T2,John Rollins,93,4,949,3.0
4,T2,T2,Adam Scott,70,4,738,4.0
5,T2,T2,John Senden,96,4,978,2.0
6,T7,T7,Robert Allenby,79,3,817,3.0
7,T7,T7,Craig Barlow,77,3,763,2.0
8,T7,T7,David Branshaw,98,3,1019,3.0
9,T7,T7,Steve Flesch,119,3,1217,3.0
10,T7,T7,Zach Johnson,98,3,946,3.0
11,T7,T7,Kent Jones,103,3,1063,2.0
12,T7,T7,Jeff Maggert,81,3,858,2.0
13,T7,T7,Jon Mills,68,3,699,2.0
14,T7,T7,Carl Pettersson,95,3,998,2.0
15,T7,T7,Rory Sabbatini,84,3,888,
16,T7,T7,D.J. Trahan,92,3,953,3.0
17,T7,T7,Mike Weir,88,3,888,3.0
18,T19,T19,Stuart Appleby,83,2,824,2.0
19,T19,T19,Tommy Armour III,65,2,684,2.0
20,T19,T19,Eric Axley,91,2,937,2.0
21,T19,T19,Briny Baird,81,2,810,2.0
22,T19,T19,Henrik Bjornstad,97,2,1011,2.0
23,T19,T19,Jason Bohn,104,2,1094,2.0
24,T19,T19,Robert Damron,91,2,957,2.0
25,T19,T19,Brian Davis,92,2,947,2.0
26,T19,T19,Marco Dawson,87,2,907,1.0
27,T19,T19,Bubba Dickerson,98,2,1016,2.0
28,T19,T19,Steve Elkington,52,2,536,1.0
29,T19,T19,Harrison Frazar,95,2,957,2.0
30,T19,T19,Jim Furyk,89,2,951,2.0
31,T19,T19,Robert Gamez,94,2,1007,2.0
32,T19,T19,Robert Garrigus,85,2,871,1.0
33,T19,T19,Lucas Glover,105,2,1064,2.0
34,T19,T19,Todd Hamilton,72,2,757,2.0
35,T19,T19,Matt Hansen,68,2,701,2.0
36,T19,T19,J.J. Henry,96,2,984,1.0
37,T19,T19,Tim Herron,82,2,867,1.0
38,T19,T19,Charley Hoffman,100,2,1031,1.0
39,T19,T19,Ryuji Imada,105,2,1079,2.0
40,T19,T19,Brandt Jobe,91,2,927,
41,T19,T19,Davis Love III,85,2,794,2.0
42,T19,T19,Troy Matteson,101,2,1063,2.0
43,T19,T19,Ryan Palmer,101,2,1049,2.0
44,T19,T19,Corey Pavin,74,2,756,2.0
45,T19,T19,Tim Petrovic,95,2,957,1.0
46,T19,T19,Tag Ridings,103,2,1053,2.0
47,T19,T19,Chris Riley,86,2,863,2.0
48,T19,T19,"Wes Short, Jr.",96,2,1003,1.0
49,T19,T19,Kevin Sutherland,100,2,1005,1.0
50,T19,T19,Vaughn Taylor,88,2,940,1.0
51,T19,T19,Kirk Triplett,58,2,588,2.0
52,T19,T19,Bob Tway,81,2,827,2.0
53,T19,T19,Tiger Woods,55,2,546,
54,T55,T55,Billy Andrade,78,1,777,1.0
55,T55,T55,Aaron Baddeley,78,1,811,1.0
56,T55,T55,Shane Bertsch,104,1,1068,1.0
57,T55,T55,Jeff Brehaut,100,1,999,1.0
58,T55,T55,Mark Brooks,90,1,929,1.0
59,T55,T55,Olin Browne,108,1,1115,1.0
60,T55,T55,Chad Campbell,91,1,929,1.0
61,T55,T55,Alex Cejka,93,1,965,1.0
62,T55,T55,K.J. Choi,93,1,988,1.0
63,T55,T55,Daniel Chopra,110,1,1111,1.0
64,T55,T55,Stewart Cink,93,1,956,1.0
65,T55,T55,Tim Clark,80,1,818,1.0
66,T55,T55,John Cook,67,1,707,1.0
67,T55,T55,Chris Couch,75,1,788,1.0
68,T55,T55,Ben Crane,85,1,844,1.0
69,T55,T55,Chris DiMarco,83,1,831,
70,T55,T55,James Driscoll,80,1,853,1.0
71,T55,T55,David Duval,71,1,739,1.0
72,T55,T55,Ernie Els,69,1,680,
73,T55,T55,Bob Estes,85,1,903,1.0
74,T55,T55,Brad Faxon,78,1,828,1.0
75,T55,T55,Fred Funk,106,1,1125,1.0
76,T55,T55,Sergio Garcia,59,1,577,
77,T55,T55,Jason Gore,86,1,881,
78,T55,T55,Paul Goydos,72,1,755,1.0
79,T55,T55,Bill Haas,99,1,1007,
80,T55,T55,Dudley Hart,83,1,894,1.0
81,T55,T55,J.P. Hayes,55,1,579,1.0
82,T55,T55,J.B. Holmes,81,1,820,
83,T55,T55,Lee Janzen,79,1,821,1.0
84,T55,T55,Jerry Kelly,100,1,1046,1.0
85,T55,T55,Skip Kendall,72,1,753,1.0
86,T55,T55,Ian Leggatt,80,1,801,1.0
87,T55,T55,Justin Leonard,83,1,857,1.0
88,T55,T55,Steve Lowery,99,1,1016,1.0
89,T55,T55,Len Mattiace,59,1,620,1.0
90,T55,T55,Billy Mayfair,94,1,1001,1.0
91,T55,T55,Phil Mickelson,74,1,714,
92,T55,T55,Jeff Overton,95,1,997,1.0
93,T55,T55,Greg Owen,79,1,787,1.0
94,T55,T55,Ted Purdy,103,1,1055,1.0
95,T55,T55,Brett Quigley,109,1,1120,
96,T55,T55,Jason Schultz,77,1,789,1.0
97,T55,T55,Patrick Sheehan,104,1,1057,1.0
98,T55,T55,Vijay Singh,103,1,1066,1.0
99,T55,T55,Jeff Sluman,101,1,1057,
100,T55,T55,Mike Sposa,68,1,687,
101,T55,T55,Paul Stankowski,70,1,744,1.0
102,T55,T55,Steve Stricker,64,1,658,
103,T55,T55,Roger Tambellini,64,1,639,1.0
